日期,成屋銷售
2020-04-01,527
2020-03-01,577
2020-02-01,546
2020-01-01,554
2019-12-01,535
2019-11-01,546
2019-10-01,538
2019-09-01,549
2019-08-01,542
2019-07-01,527
2019-06-01,534
2019-05-01,519
2019-04-01,521
2019-03-01,551
2019-02-01,494
2019-01-01,499
2018-12-01,532
2018-11-01,522
2018-10-01,515
2018-09-01,534
2018-08-01,534
2018-07-01,538
2018-06-01,543
2018-05-01,546
2018-04-01,560
2018-03-01,554
2018-02-01,538
2018-01-01,557
2017-12-01,581
2017-11-01,548
2017-10-01,539
2017-09-01,535
2017-08-01,544
2017-07-01,552
2017-06-01,562
2017-05-01,557
2017-04-01,571
2017-03-01,548
2017-02-01,569
2017-01-01,549
2016-12-01,561
2016-11-01,560
2016-10-01,547
2016-09-01,533
2016-08-01,539
2016-07-01,557
2016-06-01,553
2016-05-01,545
2016-04-01,533
2016-03-01,508
2016-02-01,547
2016-01-01,546
2015-12-01,476
2015-11-01,536
2015-10-01,555
2015-09-01,531
2015-08-01,559
2015-07-01,549
2015-06-01,535
2015-05-01,504
2015-04-01,519
2015-03-01,488
2015-02-01,482
2015-01-01,504
2014-12-01,493
2014-11-01,526
2014-10-01,517
2014-09-01,505
2014-08-01,515
2014-07-01,504
2014-06-01,489
2014-05-01,465
2014-04-01,459
2014-03-01,460
2014-02-01,462
2014-01-01,487
2013-12-01,490
2013-11-01,512
2013-10-01,529
2013-09-01,548
2013-08-01,539
2013-07-01,508
2013-06-01,518
2013-05-01,497
2013-04-01,492
2013-03-01,498
2013-02-01,492
2013-01-01,494
2012-12-01,504
2012-11-01,479
2012-10-01,475
2012-09-01,482
2012-08-01,447
2012-07-01,437
2012-06-01,455
2012-05-01,462
2012-04-01,448
2012-03-01,459
2012-02-01,457
2012-01-01,461
2011-12-01,442
2011-11-01,497
2011-10-01,491
2011-09-01,503
2011-08-01,467
2011-07-01,477
2011-06-01,481
2011-05-01,505
2011-04-01,510
2011-03-01,488
2011-02-01,536
2011-01-01,528
2010-12-01,468
2010-11-01,443
2010-10-01,453
2010-09-01,413
2010-08-01,383
2010-07-01,537
2010-06-01,566
2010-05-01,577
2010-04-01,535
2010-03-01,502
2010-02-01,505
2010-01-01,545
2009-12-01,654
2009-11-01,610
2009-10-01,557
2009-09-01,510
2009-08-01,524
2009-07-01,489
2009-06-01,477
2009-05-01,468
2009-04-01,457
2009-03-01,472
2009-02-01,449
2009-01-01,474
2008-12-01,449
2008-11-01,498
2008-10-01,518
2008-09-01,491
2008-08-01,500
2008-07-01,486
2008-06-01,499
2008-05-01,489
2008-04-01,493
2008-03-01,503
2008-02-01,489
2008-01-01,441
2007-12-01,446
2007-11-01,443
2007-10-01,458
2007-09-01,487
2007-08-01,507
2007-07-01,512
2007-06-01,527
2007-05-01,529
2007-04-01,546
2007-03-01,579
2007-02-01,574
2007-01-01,640
2006-12-01,634
2006-11-01,636
2006-10-01,628
2006-09-01,634
2006-08-01,632
2006-07-01,648
2006-06-01,658
2006-05-01,670
2006-04-01,683
2006-03-01,684
2006-02-01,672
2006-01-01,684
2005-12-01,703
2005-11-01,710
2005-10-01,725
2005-09-01,723
2005-08-01,714
2005-07-01,718
2005-06-01,708
2005-05-01,712
2005-04-01,696
2005-03-01,688
2005-02-01,710
2005-01-01,689
2004-12-01,696
2004-11-01,685
2004-10-01,668
2004-09-01,670
2004-08-01,684
