Date,GRBK
2007-06-20,133.159271
2007-06-21,133.159271
2007-06-22,134.464752
2007-06-25,134.98693799999998
2007-06-26,135.77023300000002
2007-06-27,136.031326
2007-06-28,136.16188
2007-06-29,139.033936
2007-07-02,140.469971
2007-07-03,147.911224
2007-07-05,145.822449
2007-07-06,142.819839
2007-07-09,143.603134
2007-07-10,142.167099
2007-07-11,141.122711
2007-07-12,138.250656
2007-07-13,136.292435
2007-07-16,133.812012
2007-07-17,127.93733999999999
2007-07-18,118.92950400000001
2007-07-19,116.31853500000001
2007-07-20,120.10443899999999
2007-07-23,122.71540800000001
2007-07-24,118.66840400000001
2007-07-25,119.060051
2007-07-26,116.18798799999999
2007-07-27,114.36031299999999
2007-07-30,117.232376
2007-07-31,116.710182
2007-08-01,109.660576
2007-08-02,103.916451
2007-08-03,96.214096
2007-08-06,95.300262
2007-08-07,99.738907
2007-08-08,109.399475
2007-08-09,107.702347
2007-08-10,103.916451
2007-08-13,102.48041500000001
2007-08-14,96.34465
2007-08-15,95.430809
2007-08-16,91.12271899999999
2007-08-17,90.078331
2007-08-20,90.992165
2007-08-21,89.947784
2007-08-22,86.553528
2007-08-23,82.24543
2007-08-24,79.765015
2007-08-27,81.59269
2007-08-28,77.023499
2007-08-29,79.895561
2007-08-30,80.156654
2007-08-31,81.59269
2007-09-04,82.375977
2007-09-05,93.211487
2007-09-06,93.733681
2007-09-07,94.647522
2007-09-10,91.775459
2007-09-11,92.689293
2007-09-12,93.342033
2007-09-13,94.647522
2007-09-14,92.036552
2007-09-17,90.992165
2007-09-18,87.859009
2007-09-19,88.250656
2007-09-20,81.201042
2007-09-21,80.28720899999999
2007-09-24,76.501305
2007-09-25,73.890343
2007-09-26,71.40992
2007-09-27,74.67363
2007-09-28,75.587471
2007-10-01,72.193214
2007-10-02,67.49346899999999
2007-10-03,60.182766
2007-10-04,56.005221999999996
2007-10-05,61.357704000000005
2007-10-08,60.70496
2007-10-09,60.313316
2007-10-10,60.443863
2007-10-11,60.443863
2007-10-12,58.22454499999999
2007-10-15,68.40731
2007-10-16,69.060051
2007-10-17,65.66579399999999
2007-10-18,69.973892
2007-10-19,70.234985
2007-10-22,69.451698
2007-10-23,69.060051
2007-10-24,67.362923
2007-10-25,65.926895
2007-10-26,67.232376
2007-10-29,69.060051
2007-10-30,71.01828
2007-10-31,71.671021
2007-11-01,69.451698
2007-11-02,68.015663
2007-11-05,67.10183
2007-11-06,67.88511700000001
2007-11-07,68.66840400000001
2007-11-08,72.323761
