Date,POWI
1997-12-12,4.0625
1997-12-15,4.0
1997-12-16,4.1875
1997-12-17,4.1875
1997-12-18,4.1875
1997-12-19,4.3125
1997-12-22,4.4375
1997-12-23,4.4375
1997-12-24,4.4375
1997-12-26,4.5625
1997-12-29,4.5
1997-12-30,4.4375
1997-12-31,4.625
1998-01-02,4.75
1998-01-05,4.6875
1998-01-06,4.6875
1998-01-07,4.78125
1998-01-08,5.0625
1998-01-09,4.84375
1998-01-12,4.875
1998-01-13,5.125
1998-01-14,5.0625
1998-01-15,5.0
1998-01-16,4.875
1998-01-20,5.125
1998-01-21,6.03125
1998-01-22,5.75
1998-01-23,5.625
1998-01-26,5.25
1998-01-27,5.375
1998-01-28,5.6875
1998-01-29,6.0625
1998-01-30,6.125
1998-02-02,6.25
1998-02-03,6.0625
1998-02-04,6.0625
1998-02-05,6.5
1998-02-06,6.40625
1998-02-09,6.3125
1998-02-10,6.1875
1998-02-11,7.0
1998-02-12,7.0
1998-02-13,7.09375
1998-02-17,7.125
1998-02-18,6.875
1998-02-19,6.8125
1998-02-20,6.84375
1998-02-23,6.90625
1998-02-24,6.875
1998-02-25,6.8125
1998-02-26,6.4375
1998-02-27,6.53125
1998-03-02,6.4375
1998-03-03,6.4375
1998-03-04,6.3125
1998-03-05,6.0
1998-03-06,5.8125
1998-03-09,5.625
1998-03-10,6.03125
1998-03-11,5.9375
1998-03-12,5.9375
1998-03-13,5.8125
1998-03-16,5.8125
1998-03-17,6.0625
1998-03-18,6.3125
1998-03-19,6.4375
1998-03-20,6.46875
1998-03-23,6.25
1998-03-24,6.1875
1998-03-25,5.9375
1998-03-26,6.4375
1998-03-27,6.5625
1998-03-30,6.5
1998-03-31,6.625
1998-04-01,6.75
1998-04-02,6.5625
1998-04-03,6.8125
1998-04-06,6.9375
1998-04-07,6.75
1998-04-08,6.75
1998-04-09,6.875
1998-04-13,6.875
1998-04-14,7.0
1998-04-15,7.1875
1998-04-16,7.0
1998-04-17,7.0
1998-04-20,6.8125
1998-04-21,6.8125
1998-04-22,7.0
1998-04-23,6.84375
1998-04-24,6.875
1998-04-27,6.4375
1998-04-28,6.46875
1998-04-29,6.25
1998-04-30,6.8125
1998-05-01,6.75
1998-05-04,6.5625
1998-05-05,6.5
1998-05-06,6.4375
1998-05-07,6.375
1998-05-08,6.375
1998-05-11,6.0
1998-05-12,6.1875
1998-05-13,6.0625
1998-05-14,6.03125
1998-05-15,5.875
1998-05-18,5.75
1998-05-19,5.8125
1998-05-20,5.4375
1998-05-21,5.5625
1998-05-22,5.5625
1998-05-26,5.1875
1998-05-27,5.125
1998-05-28,5.25
1998-05-29,5.5625
1998-06-01,5.25
1998-06-02,5.25
1998-06-03,5.375
1998-06-04,5.25
1998-06-05,5.375
1998-06-08,4.625
1998-06-09,4.5
1998-06-10,4.5
1998-06-11,4.375
1998-06-12,4.34375
1998-06-15,4.1875
1998-06-16,4.1875
1998-06-17,4.25
1998-06-18,4.25
1998-06-19,4.25
1998-06-22,4.0625
1998-06-23,4.15625
1998-06-24,4.34375
1998-06-25,4.40625
1998-06-26,4.6875
1998-06-29,4.6875
1998-06-30,4.5625
1998-07-01,4.5625
1998-07-02,4.375
1998-07-06,4.375
1998-07-07,4.3125
1998-07-08,4.90625
1998-07-09,5.4375
1998-07-10,5.5
1998-07-13,5.25
1998-07-14,5.53125
1998-07-15,5.5
1998-07-16,5.4375
1998-07-17,5.4375
1998-07-20,5.34375
1998-07-21,5.25
1998-07-22,5.3125
1998-07-23,4.8125
1998-07-24,4.75
1998-07-27,4.875
1998-07-28,4.5
1998-07-29,4.75
1998-07-30,4.625
1998-07-31,4.375
1998-08-03,4.25
1998-08-04,4.375
1998-08-05,4.46875
1998-08-06,4.78125
1998-08-07,5.1875
1998-08-10,5.21875
1998-08-11,5.0
1998-08-12,5.5
1998-08-13,5.5625
1998-08-14,5.6875
1998-08-17,5.59375
1998-08-18,5.5625
1998-08-19,5.8125
1998-08-20,5.6875
1998-08-21,5.5625
1998-08-24,5.6875
1998-08-25,5.5
1998-08-26,5.1875
1998-08-27,4.9375
1998-08-28,4.90625
1998-08-31,4.5625
1998-09-01,4.25
1998-09-02,4.8125
1998-09-03,4.71875
1998-09-04,4.75
1998-09-08,4.9375
1998-09-09,4.6875
1998-09-10,4.625
1998-09-11,4.875
1998-09-14,4.78125
1998-09-15,5.0
1998-09-16,5.25
1998-09-17,5.21875
1998-09-18,5.375
1998-09-21,5.375
1998-09-22,5.84375
1998-09-23,6.0
1998-09-24,5.9375
1998-09-25,6.0
1998-09-28,6.46875
1998-09-29,6.625
1998-09-30,6.78125
1998-10-01,6.53125
1998-10-02,6.25
1998-10-05,5.75
1998-10-06,6.5
1998-10-07,5.875
1998-10-08,5.625
1998-10-09,5.75
1998-10-12,6.5625
1998-10-13,6.28125
1998-10-14,5.96875
1998-10-15,6.375
1998-10-16,6.25
1998-10-19,6.5
1998-10-20,7.0
1998-10-21,7.375
1998-10-22,7.53125
1998-10-23,7.6875
1998-10-26,8.625
1998-10-27,8.25
1998-10-28,8.0
1998-10-29,8.25
1998-10-30,8.0
1998-11-02,8.0
1998-11-03,8.25
1998-11-04,9.1875
1998-11-05,9.0625
1998-11-06,8.5
1998-11-09,8.6875
1998-11-10,8.34375
1998-11-11,9.0625
1998-11-12,9.5
1998-11-13,10.0625
1998-11-16,10.3125
1998-11-17,11.0
1998-11-18,11.4375
1998-11-19,10.6875
1998-11-20,10.4375
1998-11-23,11.15625
1998-11-24,11.3125
1998-11-25,11.8125
1998-11-27,12.0625
1998-11-30,12.0
1998-12-01,11.8125
1998-12-02,11.6875
1998-12-03,11.9375
1998-12-04,12.3125
1998-12-07,12.3125
1998-12-08,12.0
1998-12-09,11.375
1998-12-10,10.375
1998-12-11,11.0625
1998-12-14,10.6875
1998-12-15,11.5
1998-12-16,11.21875
1998-12-17,11.40625
1998-12-18,11.875
1998-12-21,13.5625
1998-12-22,12.625
1998-12-23,13.0625
1998-12-24,12.78125
1998-12-28,12.4375
