Date,WCBO
1990-03-12,13.7039
1990-03-13,13.8921
1990-03-14,13.8921
1990-03-15,13.8921
1990-03-16,13.8921
1990-03-19,13.8921
1990-03-20,13.8921
1990-03-21,13.8921
1990-03-22,13.8921
1990-03-23,13.8921
1990-03-26,13.8921
1990-03-27,13.8921
1990-03-28,13.8921
1990-03-29,13.8921
1990-03-30,13.8921
1990-04-02,13.5163
1990-04-03,13.5163
1990-04-04,13.5163
1990-04-05,13.5163
1990-04-06,13.5163
1990-04-09,13.5163
1990-04-10,13.5163
1990-04-11,13.5163
1990-04-12,13.7039
1990-04-16,13.7039
1990-04-17,13.7039
1990-04-18,13.7039
1990-04-19,13.7039
1990-04-20,13.7039
1990-04-23,13.7039
1990-04-24,13.7039
1990-04-25,13.7039
1990-04-26,13.7039
1990-04-27,13.7039
1990-04-30,13.7039
1990-05-01,13.7039
1990-05-02,13.7039
1990-05-03,13.7039
1990-05-04,13.7039
1990-05-07,13.7039
1990-05-08,13.7039
1990-05-09,13.7039
1990-05-10,13.5163
1990-05-11,13.5163
1990-05-14,13.1415
1990-05-15,13.1415
1990-05-16,13.1415
1990-05-17,13.1415
1990-05-18,13.3287
1990-05-21,13.3287
1990-05-22,13.3287
1990-05-23,13.3287
1990-05-24,13.3287
1990-05-25,13.3287
1990-05-29,13.3287
1990-05-30,13.3287
1990-05-31,13.3287
1990-06-01,13.3287
1990-06-04,13.3287
1990-06-05,13.3287
1990-06-06,13.3287
1990-06-07,13.3287
1990-06-08,13.3287
1990-06-11,13.3287
1990-06-12,13.3287
1990-06-13,13.3287
1990-06-14,13.3287
1990-06-15,13.4039
1990-06-18,13.4039
1990-06-19,13.4039
1990-06-20,13.4039
1990-06-21,13.4039
1990-06-22,13.4039
1990-06-25,13.4039
1990-06-26,13.4039
1990-06-27,13.4039
1990-06-28,13.4039
1990-06-29,13.4039
1990-07-02,13.4039
1990-07-03,13.4039
1990-07-05,13.4039
1990-07-06,13.4039
1990-07-09,13.4039
1990-07-10,13.2073
1990-07-11,13.2073
1990-07-12,13.1083
1990-07-13,13.1083
1990-07-16,13.1083
1990-07-17,13.1083
1990-07-18,13.1083
1990-07-19,12.9111
1990-07-20,12.9111
1990-07-23,12.9111
1990-07-24,12.9111
1990-07-25,12.9111
1990-07-26,12.9111
1990-07-27,12.9111
1990-07-30,12.6151
1990-07-31,12.6151
1990-08-01,12.6151
1990-08-02,12.6151
1990-08-03,12.6151
1990-08-06,12.419
1990-08-07,12.419
1990-08-08,12.419
1990-08-09,12.419
1990-08-10,12.419
1990-08-13,12.419
1990-08-14,12.419
1990-08-15,12.419
1990-08-16,12.419
1990-08-17,12.2214
1990-08-20,12.2214
1990-08-21,12.2214
1990-08-22,12.2214
1990-08-23,12.2214
1990-08-24,11.8272
1990-08-27,11.8272
1990-08-28,11.8272
1990-08-29,11.8272
1990-08-30,11.8272
1990-08-31,11.8272
1990-09-04,11.8272
1990-09-05,11.8272
1990-09-06,11.4331
1990-09-07,11.4331
1990-09-10,11.4331
1990-09-11,11.4331
1990-09-12,11.4331
1990-09-13,10.8413
