Date,ALC
2019-04-09,58.040001000000004
2019-04-10,57.299999
2019-04-11,55.599998
2019-04-12,54.43
2019-04-15,55.75
2019-04-16,57.02
2019-04-17,56.610001000000004
2019-04-18,55.330002
2019-04-22,55.0
2019-04-23,55.849998
2019-04-24,56.650002
2019-04-25,57.880001
2019-04-26,58.119999
2019-04-29,57.419998
2019-04-30,58.200001
2019-05-01,58.119999
2019-05-02,59.639998999999996
2019-05-03,58.5
2019-05-06,59.549999
2019-05-07,58.330002
2019-05-08,60.68
2019-05-09,60.689999
2019-05-10,63.330002
2019-05-13,61.639998999999996
2019-05-14,59.860001000000004
2019-05-15,60.849998
2019-05-16,61.139998999999996
2019-05-17,60.939999
2019-05-20,59.610001000000004
2019-05-21,59.009997999999996
2019-05-22,58.84
2019-05-23,58.799999
2019-05-24,59.0
2019-05-28,57.880001
2019-05-29,58.68
2019-05-30,58.619999
2019-05-31,58.18
2019-06-03,59.169998
2019-06-04,58.950001
2019-06-05,58.66
2019-06-06,58.59
2019-06-07,58.82
2019-06-10,59.110001000000004
2019-06-11,59.23
2019-06-12,59.330002
2019-06-13,59.029999
2019-06-14,57.900002
2019-06-17,58.310001
2019-06-18,58.5
2019-06-19,59.25
2019-06-20,59.57
2019-06-21,59.82
2019-06-24,59.529999
2019-06-25,58.959998999999996
2019-06-26,60.040001000000004
2019-06-27,60.240002000000004
2019-06-28,62.049999
2019-07-01,61.740002000000004
2019-07-02,62.419998
2019-07-03,62.41
2019-07-05,60.860001000000004
2019-07-08,61.099998
2019-07-09,60.689999
2019-07-10,61.130001
2019-07-11,61.529999
2019-07-12,61.41
2019-07-15,61.02
2019-07-16,60.5
2019-07-17,60.740002000000004
2019-07-18,60.900002
2019-07-19,60.080002
2019-07-22,59.799999
2019-07-23,59.709998999999996
2019-07-24,59.029999
2019-07-25,58.869999
2019-07-26,59.360001000000004
2019-07-29,59.470001
2019-07-30,59.049999
2019-07-31,58.75
2019-08-01,58.880001
2019-08-02,58.919998
2019-08-05,58.200001
2019-08-06,58.880001
2019-08-07,59.59
2019-08-08,59.639998999999996
2019-08-09,59.950001
2019-08-12,59.43
2019-08-13,59.889998999999996
2019-08-14,58.889998999999996
2019-08-15,59.580002
2019-08-16,60.849998
2019-08-19,61.75
2019-08-20,62.419998
