Date,TMO
1981-01-30,2.9190669999999996
1981-02-02,2.743484
1981-02-03,2.765432
1981-02-04,2.765432
1981-02-05,2.677641
1981-02-06,2.699589
1981-02-09,2.6337450000000002
1981-02-10,2.677641
1981-02-11,2.666667
1981-02-12,2.611797
1981-02-13,2.644719
1981-02-17,2.6227709999999997
1981-02-18,2.611797
1981-02-19,2.578875
1981-02-20,2.611797
1981-02-23,2.611797
1981-02-24,2.655693
1981-02-25,2.73251
1981-02-26,2.7983540000000002
1981-02-27,2.875171
1981-03-02,2.853224
1981-03-03,2.809328
1981-03-04,2.886145
1981-03-05,2.9519889999999998
1981-03-06,2.995885
1981-03-09,3.0836759999999996
1981-03-10,3.050755
1981-03-11,3.017833
1981-03-12,3.050755
1981-03-13,3.028807
1981-03-16,3.017833
1981-03-17,2.995885
1981-03-18,2.984911
1981-03-19,2.995885
1981-03-20,3.006859
1981-03-23,3.017833
1981-03-24,3.017833
1981-03-25,3.050755
1981-03-26,3.017833
1981-03-27,2.995885
1981-03-30,2.9519889999999998
1981-03-31,2.9629630000000002
1981-04-01,2.973937
1981-04-02,3.006859
1981-04-03,2.973937
1981-04-06,2.9519889999999998
1981-04-07,2.9519889999999998
1981-04-08,2.941015
1981-04-09,3.006859
1981-04-10,3.105624
1981-04-13,3.14952
1981-04-14,3.1275720000000002
1981-04-15,3.105624
1981-04-16,3.138546
1981-04-20,3.138546
1981-04-21,3.160494
1981-04-22,3.182442
1981-04-23,3.2482849999999996
1981-04-24,3.314129
1981-04-27,3.379972
1981-04-28,3.237311
1981-04-29,3.182442
1981-04-30,3.20439
1981-05-01,3.160494
1981-05-04,3.105624
1981-05-05,3.017833
1981-05-06,3.039781
1981-05-07,2.984911
1981-05-08,2.941015
1981-05-11,2.897119
1981-05-12,2.941015
1981-05-13,2.908093
1981-05-14,2.9190669999999996
1981-05-15,2.897119
1981-05-18,2.886145
1981-05-19,2.853224
1981-05-20,2.84225
1981-05-21,2.820302
1981-05-22,2.7873799999999997
1981-05-26,2.7873799999999997
1981-05-27,2.831276
1981-05-28,2.820302
1981-05-29,2.809328
1981-06-01,2.84225
1981-06-02,2.831276
1981-06-03,2.7873799999999997
1981-06-04,2.721536
1981-06-05,2.666667
1981-06-08,2.688615
1981-06-09,2.677641
1981-06-10,2.644719
1981-06-11,2.600823
1981-06-12,2.524005
1981-06-15,2.567901
1981-06-16,2.644719
1981-06-17,2.655693
1981-06-18,2.677641
1981-06-19,2.688615
1981-06-22,2.611797
1981-06-23,2.6227709999999997
1981-06-24,2.556927
1981-06-25,2.545953
1981-06-26,2.534979
1981-06-29,2.578875
1981-06-30,2.556927
1981-07-01,2.5020580000000003
1981-07-02,2.524005
1981-07-06,2.469136
1981-07-07,2.403292
1981-07-08,2.3374490000000003
1981-07-09,2.2935529999999997
1981-07-10,2.359396
1981-07-13,2.5130310000000002
1981-07-14,2.534979
1981-07-15,2.534979
1981-07-16,2.5130310000000002
1981-07-17,2.436214
1981-07-20,2.414266
1981-07-21,2.381344
1981-07-22,2.304527
1981-07-23,2.304527
1981-07-24,2.326475
1981-07-27,2.359396
1981-07-28,2.304527
1981-07-29,2.304527
1981-07-30,2.282579
1981-07-31,2.282579
1981-08-03,2.304527
1981-08-04,2.282579
1981-08-05,2.359396
1981-08-06,2.3374490000000003
1981-08-07,2.315501
1981-08-10,2.315501
1981-08-11,2.260631
1981-08-12,2.238683
1981-08-13,2.1838130000000002
1981-08-14,2.1728389999999997
1981-08-17,2.1289439999999997
1981-08-18,2.019204
1981-08-19,2.085048
1981-08-20,2.096022
1981-08-21,2.052126
1981-08-24,2.096022
1981-08-25,2.1289439999999997
1981-08-26,2.106996
1981-08-27,2.106996
1981-08-28,2.139918
1981-08-31,2.150892
1981-09-01,2.11797
1981-09-02,2.11797
1981-09-03,2.074074
1981-09-04,1.964335
1981-09-08,1.8326470000000001
1981-09-09,1.887517
1981-09-10,1.964335
1981-09-11,1.9533610000000001
1981-09-14,1.887517
1981-09-15,1.9094650000000002
1981-09-16,1.8216740000000002
1981-09-17,1.799726
1981-09-18,1.733882
1981-09-21,1.898491
1981-09-22,1.9094650000000002
1981-09-23,1.8326470000000001
1981-09-24,1.8326470000000001
1981-09-25,1.711934
1981-09-28,1.766804
1981-09-29,1.7887520000000001
1981-09-30,1.7887520000000001
1981-10-01,1.766804
1981-10-02,1.8655689999999998
1981-10-05,1.854595
1981-10-06,1.997257
1981-10-07,2.019204
1981-10-08,2.041152
1981-10-09,2.085048
1981-10-12,2.019204
1981-10-13,2.0082299999999997
1981-10-14,1.9533610000000001
1981-10-15,2.041152
1981-10-16,2.019204
1981-10-19,1.997257
1981-10-20,1.9862830000000002
1981-10-21,1.9862830000000002
1981-10-22,1.975309
1981-10-23,1.964335
1981-10-26,1.920439
1981-10-27,2.019204
1981-10-28,2.085048
1981-10-29,2.041152
1981-10-30,2.106996
1981-11-02,2.238683
1981-11-03,2.3374490000000003
1981-11-04,2.238683
1981-11-05,2.271605
1981-11-06,2.238683
1981-11-09,2.315501
1981-11-10,2.2935529999999997
1981-11-11,2.249657
1981-11-12,2.238683
1981-11-13,2.271605
1981-11-16,2.11797
1981-11-17,2.1289439999999997
1981-11-18,2.106996
1981-11-19,2.041152
1981-11-20,2.019204
1981-11-23,2.0082299999999997
1981-11-24,2.106996
1981-11-25,2.074074
1981-11-27,2.096022
1981-11-30,2.106996
1981-12-01,2.074074
1981-12-02,1.997257
1981-12-03,1.975309
1981-12-04,1.9862830000000002
1981-12-07,1.975309
1981-12-08,1.9423869999999999
1981-12-09,1.898491
1981-12-10,1.8326470000000001
1981-12-11,1.8216740000000002
1981-12-14,1.799726
1981-12-15,1.7887520000000001
1981-12-16,1.7777779999999999
1981-12-17,1.8216740000000002
1981-12-18,1.920439
1981-12-21,1.876543
1981-12-22,1.843621
1981-12-23,1.843621
1981-12-24,1.8326470000000001
1981-12-28,1.843621
1981-12-29,1.876543
1981-12-30,1.854595
1981-12-31,1.8655689999999998
1982-01-04,1.9423869999999999
1982-01-05,1.9423869999999999
1982-01-06,1.9094650000000002
1982-01-07,1.843621
1982-01-08,1.887517
1982-01-11,1.843621
1982-01-12,1.8326470000000001
1982-01-13,1.7887520000000001
1982-01-14,1.766804
1982-01-15,1.7887520000000001
1982-01-18,1.766804
1982-01-19,1.75583
1982-01-20,1.766804
1982-01-21,1.7777779999999999
1982-01-22,1.766804
1982-01-25,1.766804
1982-01-26,1.75583
1982-01-27,1.733882
1982-01-28,1.843621
1982-01-29,1.887517
1982-02-01,1.799726
1982-02-02,1.7887520000000001
1982-02-03,1.799726
1982-02-04,1.799726
1982-02-05,1.8326470000000001
1982-02-08,1.799726
1982-02-09,1.536351
1982-02-10,1.536351
1982-02-11,1.569273
1982-02-12,1.547325
1982-02-16,1.547325
1982-02-17,1.536351
1982-02-18,1.591221
1982-02-19,1.6241430000000001
1982-02-22,1.6680380000000001
1982-02-23,1.580247
1982-02-24,1.5582989999999999
1982-02-25,1.569273
1982-02-26,1.5582989999999999
1982-03-01,1.569273
1982-03-02,1.5144030000000002
1982-03-03,1.44856
1982-03-04,1.44856
1982-03-05,1.44856
1982-03-08,1.3936899999999999
1982-03-09,1.404664
1982-03-10,1.5034290000000001
1982-03-11,1.44856
1982-03-12,1.360768
1982-03-15,1.404664
1982-03-16,1.404664
1982-03-17,1.3388200000000001
1982-03-18,1.426612
1982-03-19,1.44856
1982-03-22,1.525377
1982-03-23,1.591221
1982-03-24,1.5582989999999999
1982-03-25,1.5582989999999999
1982-03-26,1.5582989999999999
1982-03-29,1.5034290000000001
1982-03-30,1.470508
1982-03-31,1.459534
1982-04-01,1.426612
1982-04-02,1.470508
1982-04-05,1.4924549999999999
1982-04-06,1.470508
1982-04-07,1.470508
1982-04-08,1.470508
1982-04-12,1.5144030000000002
1982-04-13,1.459534
1982-04-14,1.4924549999999999
1982-04-15,1.44856
1982-04-16,1.5034290000000001
1982-04-19,1.459534
1982-04-20,1.44856
1982-04-21,1.426612
1982-04-22,1.426612
1982-04-23,1.3936899999999999
1982-04-26,1.3388200000000001
1982-04-27,1.316872
1982-04-28,1.305899
1982-04-29,1.316872
1982-04-30,1.316872
1982-05-03,1.294924
1982-05-04,1.294924
1982-05-05,1.305899
1982-05-06,1.272977
1982-05-07,1.305899
1982-05-10,1.305899
1982-05-11,1.316872
1982-05-12,1.360768
1982-05-13,1.360768
1982-05-14,1.360768
1982-05-17,1.371742
1982-05-18,1.3497940000000002
1982-05-19,1.3388200000000001
1982-05-20,1.316872
1982-05-21,1.316872
1982-05-24,1.316872
1982-05-25,1.3278459999999999
1982-05-26,1.316872
1982-05-27,1.294924
1982-05-28,1.3388200000000001
1982-06-01,1.3497940000000002
1982-06-02,1.316872
1982-06-03,1.3388200000000001
1982-06-04,1.316872
1982-06-07,1.305899
1982-06-08,1.305899
1982-06-09,1.294924
1982-06-10,1.316872
1982-06-11,1.283951
1982-06-14,1.305899
1982-06-15,1.294924
1982-06-16,1.294924
1982-06-17,1.294924
1982-06-18,1.272977
1982-06-21,1.272977
1982-06-22,1.283951
1982-06-23,1.316872
1982-06-24,1.305899
1982-06-25,1.283951
1982-06-28,1.272977
1982-06-29,1.272977
1982-06-30,1.272977
1982-07-01,1.272977
1982-07-02,1.272977
1982-07-06,1.283951
1982-07-07,1.272977
1982-07-08,1.2510290000000002
1982-07-09,1.2510290000000002
1982-07-12,1.262003
1982-07-13,1.2510290000000002
1982-07-14,1.2510290000000002
1982-07-15,1.240055
1982-07-16,1.272977
1982-07-19,1.272977
1982-07-20,1.262003
1982-07-21,1.272977
1982-07-22,1.294924
1982-07-23,1.218107
1982-07-26,1.218107
1982-07-27,1.2290809999999999
1982-07-28,1.196159
1982-07-29,1.108368
1982-07-30,1.0864200000000002
1982-08-02,1.097394
1982-08-03,1.119342
1982-08-04,1.097394
1982-08-05,1.075446
1982-08-06,1.075446
1982-08-09,1.0644719999999999
1982-08-10,1.042524
1982-08-11,0.9986280000000001
1982-08-12,1.03155
1982-08-13,1.075446
1982-08-16,1.075446
1982-08-17,1.1303159999999999
1982-08-18,1.108368
1982-08-19,1.119342
1982-08-20,1.1522629999999998
1982-08-23,1.272977
1982-08-24,1.262003
1982-08-25,1.262003
1982-08-26,1.218107
1982-08-27,1.272977
1982-08-30,1.262003
1982-08-31,1.272977
1982-09-01,1.272977
1982-09-02,1.2510290000000002
1982-09-03,1.2510290000000002
1982-09-07,1.185185
1982-09-08,1.2290809999999999
1982-09-09,1.2290809999999999
1982-09-10,1.2290809999999999
1982-09-13,1.196159
1982-09-14,1.2510290000000002
1982-09-15,1.262003
1982-09-16,1.2510290000000002
1982-09-17,1.240055
1982-09-20,1.2290809999999999
1982-09-21,1.2290809999999999
1982-09-22,1.207133
1982-09-23,1.2290809999999999
1982-09-24,1.2290809999999999
1982-09-27,1.240055
1982-09-28,1.3497940000000002
1982-09-29,1.371742
1982-09-30,1.3388200000000001
1982-10-01,1.371742
1982-10-04,1.3388200000000001
1982-10-05,1.3497940000000002
1982-10-06,1.371742
1982-10-07,1.360768
1982-10-08,1.426612
1982-10-11,1.481481
1982-10-12,1.536351
1982-10-13,1.536351
1982-10-14,1.404664
1982-10-15,1.426612
