Date,FANG
2013-09-12,46.630001
2013-09-13,46.0
2013-09-16,44.82
2013-09-17,44.59
2013-09-18,44.669998
2013-09-19,44.02
2013-09-20,42.779999
2013-09-23,43.549999
2013-09-24,43.630001
2013-09-25,43.759997999999996
2013-09-26,43.98
2013-09-27,43.150002
2013-09-30,42.639998999999996
2013-10-01,43.419998
2013-10-02,43.220001
2013-10-03,43.830002
2013-10-04,46.009997999999996
2013-10-07,45.759997999999996
2013-10-08,44.560001
2013-10-09,43.380001
2013-10-10,43.68
2013-10-11,44.700001
2013-10-14,46.52
2013-10-15,46.849998
2013-10-16,49.52
2013-10-17,50.18
2013-10-18,52.18
2013-10-21,52.75
2013-10-22,50.32
2013-10-23,49.099998
2013-10-24,54.0
2013-10-25,53.32
2013-10-28,53.52
2013-10-29,54.07
2013-10-30,53.709998999999996
2013-10-31,51.650002
2013-11-01,50.639998999999996
2013-11-04,53.16
2013-11-05,55.139998999999996
2013-11-06,53.459998999999996
2013-11-07,54.0
2013-11-08,53.470001
2013-11-11,53.290001000000004
2013-11-12,52.5
2013-11-13,53.150002
2013-11-14,53.119999
2013-11-15,53.529999
2013-11-18,50.209998999999996
2013-11-19,48.82
2013-11-20,48.759997999999996
2013-11-21,51.740002000000004
2013-11-22,51.529999
2013-11-25,50.880001
2013-11-26,51.610001000000004
2013-11-27,50.060001
2013-11-29,49.740002000000004
2013-12-02,50.369999
2013-12-03,50.23
2013-12-04,50.450001
2013-12-05,49.200001
2013-12-06,46.18
2013-12-09,45.07
2013-12-10,46.0
2013-12-11,45.110001000000004
2013-12-12,44.959998999999996
2013-12-13,44.73
2013-12-16,45.490002000000004
2013-12-17,46.119999
2013-12-18,46.34
2013-12-19,49.799999
2013-12-20,50.790001000000004
2013-12-23,52.099998
2013-12-24,52.02
2013-12-26,52.73
2013-12-27,53.34
2013-12-30,51.93
2013-12-31,52.880001
2014-01-02,51.16
2014-01-03,49.18
2014-01-06,48.57
2014-01-07,48.389998999999996
2014-01-08,47.610001000000004
2014-01-09,45.52
2014-01-10,46.970001
2014-01-13,44.43
2014-01-14,47.009997999999996
2014-01-15,48.02
2014-01-16,48.610001000000004
2014-01-17,48.509997999999996
2014-01-21,49.080002
2014-01-22,51.220001
2014-01-23,50.439999
2014-01-24,48.869999
2014-01-27,47.540001000000004
2014-01-28,49.799999
2014-01-29,48.59
2014-01-30,51.369999
2014-01-31,51.98
2014-02-03,50.080002
2014-02-04,51.639998999999996
2014-02-05,52.959998999999996
2014-02-06,53.77
2014-02-07,56.720001
2014-02-10,57.52
2014-02-11,58.91
2014-02-12,57.970001
2014-02-13,58.889998999999996
2014-02-14,59.650002
2014-02-18,61.02
2014-02-19,61.040001000000004
2014-02-20,62.669998
2014-02-21,63.990002000000004
2014-02-24,64.800003
2014-02-25,63.740002000000004
2014-02-26,64.540001
2014-02-27,63.889998999999996
2014-02-28,64.33000200000001
2014-03-03,64.410004
2014-03-04,65.480003
2014-03-05,64.040001
2014-03-06,62.759997999999996
2014-03-07,63.880001
2014-03-10,63.029999
2014-03-11,62.009997999999996
2014-03-12,63.16
2014-03-13,63.360001000000004
2014-03-14,63.580002
2014-03-17,63.93
2014-03-18,65.68
2014-03-19,64.400002
2014-03-20,65.190002
2014-03-21,64.220001
2014-03-24,64.139999
2014-03-25,64.290001
2014-03-26,64.889999
2014-03-27,68.040001
2014-03-28,69.699997
2014-03-31,67.309998
2014-04-01,66.410004
2014-04-02,68.970001
2014-04-03,67.910004
2014-04-04,67.25
2014-04-07,65.16999799999999
2014-04-08,66.599998
2014-04-09,68.059998
2014-04-10,65.629997
2014-04-11,67.599998
2014-04-14,70.120003
2014-04-15,69.08000200000001
2014-04-16,70.489998
2014-04-17,73.339996
2014-04-21,74.519997
2014-04-22,74.260002
2014-04-23,73.889999
2014-04-24,75.41999799999999
2014-04-25,71.440002
2014-04-28,70.959999
2014-04-29,72.220001
2014-04-30,71.940002
2014-05-01,71.269997
2014-05-02,73.769997
2014-05-05,73.629997
2014-05-06,73.25
2014-05-07,75.720001
2014-05-08,71.760002
2014-05-09,71.239998
2014-05-12,72.720001
2014-05-13,73.730003
2014-05-14,72.019997
2014-05-15,69.43
2014-05-16,70.66999799999999
2014-05-19,71.150002
2014-05-20,70.160004
2014-05-21,72.709999
2014-05-22,73.029999
2014-05-23,72.779999
2014-05-27,71.470001
2014-05-28,71.389999
2014-05-29,75.019997
2014-05-30,75.480003
2014-06-02,76.110001
2014-06-03,78.300003
2014-06-04,78.540001
2014-06-05,79.239998
2014-06-06,81.089996
2014-06-09,82.0
2014-06-10,82.33000200000001
2014-06-11,83.839996
2014-06-12,84.690002
2014-06-13,87.949997
2014-06-16,89.900002
2014-06-17,90.260002
2014-06-18,90.339996
2014-06-19,89.050003
2014-06-20,89.790001
2014-06-23,91.410004
2014-06-24,87.690002
2014-06-25,90.559998
2014-06-26,89.290001
2014-06-27,88.690002
2014-06-30,88.800003
2014-07-01,89.769997
2014-07-02,88.290001
2014-07-03,88.809998
2014-07-07,87.309998
2014-07-08,85.970001
2014-07-09,87.290001
2014-07-10,85.720001
2014-07-11,84.209999
2014-07-14,86.589996
2014-07-15,83.360001
2014-07-16,85.489998
2014-07-17,84.709999
2014-07-18,86.660004
2014-07-21,87.989998
2014-07-22,86.559998
2014-07-23,87.849998
2014-07-24,88.010002
2014-07-25,85.699997
2014-07-28,84.800003
2014-07-29,85.589996
2014-07-30,84.75
2014-07-31,82.230003
2014-08-01,80.019997
2014-08-04,81.610001
2014-08-05,78.93
2014-08-06,78.519997
2014-08-07,76.58000200000001
2014-08-08,77.449997
2014-08-11,77.489998
2014-08-12,76.040001
2014-08-13,77.18
2014-08-14,75.860001
2014-08-15,78.449997
2014-08-18,79.779999
2014-08-19,80.0
2014-08-20,80.239998
2014-08-21,80.739998
2014-08-22,79.980003
2014-08-25,81.400002
2014-08-26,83.879997
2014-08-27,82.599998
2014-08-28,83.199997
2014-08-29,86.349998
2014-09-02,83.230003
2014-09-03,83.839996
2014-09-04,79.5
2014-09-05,79.25
2014-09-08,77.41999799999999
2014-09-09,76.459999
2014-09-10,76.800003
2014-09-11,77.870003
2014-09-12,76.559998
2014-09-15,76.239998
2014-09-16,78.220001
2014-09-17,77.699997
2014-09-18,76.18
2014-09-19,75.550003
2014-09-22,73.459999
2014-09-23,72.839996
2014-09-24,74.300003
2014-09-25,72.599998
2014-09-26,73.639999
2014-09-29,76.760002
2014-09-30,74.779999
2014-10-01,74.410004
2014-10-02,75.279999
2014-10-03,73.0
2014-10-06,73.970001
2014-10-07,71.449997
2014-10-08,73.120003
2014-10-09,69.269997
2014-10-10,64.75
2014-10-13,59.209998999999996
2014-10-14,58.439999
2014-10-15,59.98
2014-10-16,63.119999
2014-10-17,63.349998
2014-10-20,64.279999
2014-10-21,67.489998
2014-10-22,64.199997
2014-10-23,67.220001
2014-10-24,67.239998
2014-10-27,64.129997
2014-10-28,67.779999
2014-10-29,69.08000200000001
2014-10-30,67.68
2014-10-31,68.440002
2014-11-03,67.389999
2014-11-04,63.639998999999996
2014-11-05,65.010002
2014-11-06,65.82
2014-11-07,69.489998
2014-11-10,66.599998
2014-11-11,67.5
2014-11-12,64.809998
2014-11-13,64.760002
2014-11-14,67.790001
2014-11-17,63.720001
2014-11-18,64.370003
2014-11-19,65.129997
2014-11-20,67.209999
2014-11-21,69.739998
2014-11-24,68.089996
2014-11-25,67.029999
2014-11-26,64.879997
2014-11-28,56.400002
2014-12-01,55.810001
2014-12-02,57.84
2014-12-03,59.860001000000004
2014-12-04,58.48
2014-12-05,58.790001000000004
2014-12-08,54.799999
2014-12-09,56.68
2014-12-10,53.650002
2014-12-11,53.110001000000004
2014-12-12,52.470001
2014-12-15,53.41
2014-12-16,55.84
2014-12-17,58.970001
2014-12-18,59.580002
2014-12-19,62.560001
2014-12-22,61.07
2014-12-23,61.700001
2014-12-24,60.18
2014-12-26,60.41
2014-12-29,60.380001
2014-12-30,59.869999
2014-12-31,59.779999
2015-01-02,59.93
2015-01-05,57.279999
2015-01-06,57.369999
2015-01-07,58.25
2015-01-08,61.09
2015-01-09,61.84
