Date,HENKY
2007-06-20,11.9375
2007-06-21,12.0
2007-06-22,11.9675
2007-06-25,11.925
2007-06-26,11.7125
2007-06-27,11.475
2007-06-28,11.7875
2007-06-29,11.9
2007-07-02,11.8875
2007-07-03,11.825
2007-07-05,12.3
2007-07-06,12.425
2007-07-09,12.5375
2007-07-10,12.6625
2007-07-11,12.775
2007-07-12,12.975
2007-07-13,12.7875
2007-07-16,12.7
2007-07-17,12.55
2007-07-18,12.3625
2007-07-19,12.5125
2007-07-20,12.3875
2007-07-23,12.25
2007-07-24,12.125
2007-07-25,12.075
2007-07-26,11.525
2007-07-27,11.5625
2007-07-30,11.9375
2007-07-31,12.3375
2007-08-01,11.7625
2007-08-02,11.5875
2007-08-03,11.6
2007-08-06,11.675
2007-08-07,11.625
2007-08-08,11.6875
2007-08-09,11.2125
2007-08-10,11.02
2007-08-13,11.0
2007-08-14,10.9375
2007-08-15,10.875
2007-08-16,10.4125
2007-08-17,10.725
2007-08-20,10.6125
2007-08-21,10.7375
2007-08-22,10.825
2007-08-23,10.975
2007-08-24,11.05
2007-08-27,11.0625
2007-08-28,11.14
2007-08-29,11.55
2007-08-30,11.6
2007-08-31,11.7125
2007-09-04,11.775
2007-09-05,11.5375
2007-09-06,11.625
2007-09-07,11.375
2007-09-10,11.4625
2007-09-11,11.425
2007-09-12,11.7
2007-09-13,11.6875
2007-09-14,11.6625
2007-09-17,11.5125
2007-09-18,11.73
2007-09-19,11.5775
2007-09-20,11.725
2007-09-21,11.6825
2007-09-24,11.7125
2007-09-25,11.565
2007-09-26,11.5375
2007-09-27,11.7875
2007-09-28,11.7375
2007-10-01,11.775
2007-10-02,11.5375
2007-10-03,11.2825
2007-10-04,11.225
2007-10-05,11.3
2007-10-08,11.175
2007-10-09,11.0875
2007-10-10,11.375
2007-10-11,11.7225
2007-10-12,11.775
2007-10-15,11.625
2007-10-16,11.45
2007-10-17,11.4325
2007-10-18,11.65
2007-10-19,11.625
2007-10-22,11.375
2007-10-23,11.6
2007-10-24,11.575
2007-10-25,11.3875
2007-10-26,11.4625
2007-10-29,11.5625
2007-10-30,11.4
2007-10-31,11.3875
2007-11-01,11.55
2007-11-02,11.7125
2007-11-05,11.5875
2007-11-06,11.8
2007-11-07,12.125
2007-11-08,12.2
2007-11-09,12.5
2007-11-12,12.3875
2007-11-13,12.5125
2007-11-14,12.6125
2007-11-15,12.6625
2007-11-16,12.775
2007-11-19,12.475
2007-11-20,12.825
2007-11-21,13.0
2007-11-23,12.2375
2007-11-26,12.2375
2007-11-27,12.1375
2007-11-28,12.375
2007-11-29,12.375
2007-11-30,12.475
2007-12-03,12.7125
2007-12-04,13.025
2007-12-05,13.0875
2007-12-06,13.2875
2007-12-07,13.1
2007-12-10,13.275
2007-12-11,13.0
2007-12-12,13.225
2007-12-13,13.2625
2007-12-14,12.8875
2007-12-17,12.7125
2007-12-18,12.5625
2007-12-19,12.3
2007-12-20,12.4875
2007-12-21,12.6375
2007-12-24,12.7
2007-12-26,12.7375
2007-12-27,12.625
2007-12-28,12.75
2007-12-31,12.6875
2008-01-02,12.6125
2008-01-03,12.525
2008-01-04,12.5125
2008-01-07,12.275
2008-01-08,12.075
2008-01-09,11.9
2008-01-10,12.0625
2008-01-11,11.625
2008-01-14,11.6625
2008-01-15,11.325
2008-01-16,10.925
2008-01-17,10.9
2008-01-18,10.6375
2008-01-22,10.0875
2008-01-23,9.7875
2008-01-24,10.525
2008-01-25,10.275
2008-01-28,10.4625
2008-01-29,10.75
2008-01-30,10.8875
2008-01-31,10.45
2008-02-01,10.4125
2008-02-04,10.475
2008-02-05,9.925
2008-02-06,10.1125
2008-02-07,9.725
2008-02-08,9.4475
2008-02-11,9.51
2008-02-12,9.95
2008-02-13,10.1375
2008-02-14,10.2875
2008-02-15,10.175
2008-02-19,10.175
2008-02-20,10.2
2008-02-21,10.225
2008-02-22,10.2875
2008-02-25,10.4375
2008-02-26,10.475
2008-02-27,10.5125
2008-02-28,10.575
2008-02-29,10.2
2008-03-03,10.2875
2008-03-04,10.0525
2008-03-05,10.0
2008-03-06,9.95
2008-03-07,9.6625
2008-03-10,9.6375
2008-03-11,9.725
2008-03-12,9.8375
2008-03-13,9.7375
2008-03-14,9.5125
2008-03-17,9.65
2008-03-18,9.5625
2008-03-19,9.8625
2008-03-20,10.0
2008-03-24,10.0875
2008-03-25,10.3
2008-03-26,10.475
2008-03-27,10.575
2008-03-28,10.45
2008-03-31,10.5375
2008-04-01,10.7
2008-04-02,10.6
2008-04-03,10.6
2008-04-04,10.5375
2008-04-07,10.525
2008-04-08,10.425
2008-04-09,10.4875
2008-04-10,10.3125
2008-04-11,9.975
2008-04-14,10.125
2008-04-15,10.2
2008-04-16,10.0725
2008-04-17,10.025
2008-04-18,10.225
2008-04-21,10.4875
2008-04-22,10.5
2008-04-23,10.3375
2008-04-24,10.2125
2008-04-25,10.2625
2008-04-28,10.275
2008-04-29,10.0625
2008-04-30,10.025
2008-05-01,9.9125
2008-05-02,10.0375
2008-05-05,10.2625
2008-05-06,10.25
2008-05-07,10.6875
2008-05-08,10.475
2008-05-09,10.5
2008-05-12,10.6875
2008-05-13,10.6625
2008-05-14,10.4025
2008-05-15,10.7875
2008-05-16,11.1
2008-05-19,11.2875
2008-05-20,11.375
2008-05-21,11.1875
2008-05-22,11.05
2008-05-23,11.075
2008-05-27,10.975
2008-05-28,11.2
2008-05-29,11.0625
2008-05-30,11.275
2008-06-02,11.045
2008-06-03,11.125
2008-06-04,11.0025
2008-06-05,11.325
2008-06-06,11.3125
2008-06-09,11.0125
2008-06-10,10.7
2008-06-11,10.675
2008-06-12,10.575
2008-06-13,10.4125
2008-06-16,10.425
2008-06-17,10.425
2008-06-18,10.3475
2008-06-19,10.1575
2008-06-20,9.9375
2008-06-23,9.9375
2008-06-24,9.6125
2008-06-25,9.9125
2008-06-26,9.3225
2008-06-27,9.35
2008-06-30,9.3625
2008-07-01,9.3225
2008-07-02,9.35
2008-07-03,9.3375
2008-07-07,9.0875
2008-07-08,9.125
2008-07-09,9.2525
2008-07-10,9.0
2008-07-11,8.625
2008-07-14,8.6
2008-07-15,8.7125
2008-07-16,8.75
2008-07-17,8.9125
2008-07-18,9.2125
2008-07-21,9.4375
2008-07-22,9.5125
2008-07-23,9.625
2008-07-24,9.575
2008-07-25,9.7125
2008-07-28,9.755
2008-07-29,9.6
2008-07-30,9.625
2008-07-31,9.5275
2008-08-01,9.1625
2008-08-04,9.25
2008-08-05,9.8375
2008-08-06,10.15
2008-08-07,9.9375
2008-08-08,9.9625
2008-08-11,9.75
2008-08-12,9.59
2008-08-13,9.4125
2008-08-14,9.3025
2008-08-15,9.4625
2008-08-18,9.27
2008-08-19,9.125
2008-08-20,9.1225
2008-08-21,8.95
2008-08-22,9.07
2008-08-25,8.875
2008-08-26,9.025
2008-08-27,8.875
2008-08-28,8.9375
2008-08-29,8.725
2008-09-02,8.59
2008-09-03,8.5875
2008-09-04,8.2875
2008-09-05,8.225
2008-09-08,8.35
2008-09-09,8.175
2008-09-10,8.075
2008-09-11,8.1
2008-09-12,8.54
2008-09-15,8.8125
2008-09-16,8.7775
2008-09-17,8.615
2008-09-18,8.8125
2008-09-19,8.9375
2008-09-22,8.8525
2008-09-23,8.6
2008-09-24,8.4375
2008-09-25,8.5
2008-09-26,8.1875
2008-09-29,7.4125
2008-09-30,7.6625
2008-10-01,7.475
2008-10-02,7.3875
2008-10-03,7.275
2008-10-06,6.8375
2008-10-07,6.525
2008-10-08,6.535
2008-10-09,6.2475
2008-10-10,6.125
2008-10-13,6.3875
2008-10-14,6.675
2008-10-15,6.425
2008-10-16,6.525
2008-10-17,6.3
2008-10-20,6.5625
2008-10-21,6.205
2008-10-22,5.9175
2008-10-23,6.0875
2008-10-24,5.745
2008-10-27,5.6
2008-10-28,5.5375
2008-10-29,5.725
2008-10-30,6.1375
2008-10-31,6.125
2008-11-03,6.4375
2008-11-04,6.625
2008-11-05,6.3625
2008-11-06,5.775
2008-11-07,6.1625
2008-11-10,6.15
2008-11-11,5.8875
2008-11-12,5.7875
2008-11-13,6.275
2008-11-14,6.025
2008-11-17,5.975
2008-11-18,5.905
2008-11-19,5.575
2008-11-20,5.0375
2008-11-21,5.2875
2008-11-24,6.0875
2008-11-25,6.225
2008-11-26,6.175
2008-11-28,6.15
2008-12-01,5.925
2008-12-02,5.9375
2008-12-03,6.0625
2008-12-04,5.9625
2008-12-05,6.0
2008-12-08,6.225
2008-12-09,6.1875
2008-12-10,6.35
2008-12-11,6.2475
2008-12-12,6.3125
2008-12-15,6.45
2008-12-16,6.3875
2008-12-17,6.775
2008-12-18,6.5125
2008-12-19,6.6625
2008-12-22,6.4125
2008-12-23,6.625
2008-12-24,6.7
2008-12-26,6.725
2008-12-29,6.6375
2008-12-30,6.6375
2008-12-31,6.7
2009-01-02,7.025
2009-01-05,6.7875
2009-01-06,6.875
2009-01-07,6.8
2009-01-08,6.9625
2009-01-09,6.6
2009-01-12,6.5625
2009-01-13,6.2375
2009-01-14,5.825
2009-01-15,5.8625
2009-01-16,5.875
2009-01-20,5.725
2009-01-21,6.0125
2009-01-22,5.875
2009-01-23,5.5875
2009-01-26,5.75
2009-01-27,5.825
2009-01-28,5.8875
2009-01-29,5.8625
2009-01-30,5.8375
2009-02-02,5.7125
2009-02-03,6.0625
2009-02-04,5.7125
2009-02-05,5.825
2009-02-06,5.8125
2009-02-09,5.8225
2009-02-10,5.7325
2009-02-11,5.8125
2009-02-12,5.9125
2009-02-13,5.8625
2009-02-17,5.5375
2009-02-18,5.4125
2009-02-19,5.4
2009-02-20,5.495
2009-02-23,5.125
2009-02-24,5.1875
2009-02-25,5.45
2009-02-26,5.2875
2009-02-27,5.4075
2009-03-02,5.425
2009-03-03,5.325
2009-03-04,5.525
2009-03-05,5.4875
2009-03-06,5.4275
2009-03-09,5.3
2009-03-10,5.45
2009-03-11,5.65
2009-03-12,5.7725
2009-03-13,5.7425
2009-03-16,5.8625
2009-03-17,6.0
2009-03-18,6.1625
2009-03-19,6.1375
2009-03-20,6.0375
2009-03-23,6.3
2009-03-24,6.2
2009-03-25,6.3025
2009-03-26,6.385
2009-03-27,6.135
2009-03-30,6.0075
2009-03-31,6.25
2009-04-01,6.35
2009-04-02,6.6125
2009-04-03,6.725
2009-04-06,6.645
2009-04-07,6.5925
2009-04-08,6.6175
2009-04-09,6.0125
2009-04-13,6.175
2009-04-14,5.9775
2009-04-15,6.1875
2009-04-16,6.05
2009-04-17,5.865
2009-04-20,5.625
2009-04-21,5.875
2009-04-22,5.75
2009-04-23,5.7875
2009-04-24,6.0
2009-04-27,5.95
2009-04-28,5.925
2009-04-29,5.9825
2009-04-30,6.13
2009-05-01,6.2075
2009-05-04,6.35
2009-05-05,6.3725
2009-05-06,6.5875
2009-05-07,6.65
2009-05-08,6.875
2009-05-11,6.7625
2009-05-12,6.925
2009-05-13,6.9
2009-05-14,6.9375
2009-05-15,6.825
2009-05-18,6.9875
2009-05-19,7.07
2009-05-20,7.025
2009-05-21,7.02
2009-05-22,7.0625
2009-05-26,7.1125
2009-05-27,6.875
2009-05-28,6.85
2009-05-29,6.7625
2009-06-01,6.875
2009-06-02,6.8675
2009-06-03,6.7375
2009-06-04,6.8875
2009-06-05,6.825
2009-06-08,6.825
2009-06-09,6.9175
2009-06-10,6.95
2009-06-11,7.0625
2009-06-12,6.9625
2009-06-15,6.6875
2009-06-16,6.625
2009-06-17,6.7175
2009-06-18,6.625
2009-06-19,6.8125
