Date,PAHC
2014-04-11,17.0
2014-04-14,16.67
2014-04-15,16.24
2014-04-16,16.309998999999998
2014-04-17,16.02
2014-04-21,16.129998999999998
2014-04-22,16.82
2014-04-23,17.110001
2014-04-24,17.139999
2014-04-25,17.870001000000002
2014-04-28,17.959999
2014-04-29,17.549999
2014-04-30,17.66
2014-05-01,17.59
2014-05-02,17.780001000000002
2014-05-05,17.959999
2014-05-06,17.82
2014-05-07,17.969998999999998
2014-05-08,17.84
2014-05-09,17.76
2014-05-12,17.73
2014-05-13,17.84
2014-05-14,17.91
2014-05-15,17.959999
2014-05-16,17.9
2014-05-19,18.469998999999998
2014-05-20,18.639999
2014-05-21,18.389999
2014-05-22,18.610001
2014-05-23,18.65
2014-05-27,18.92
2014-05-28,18.540001
2014-05-29,19.059998999999998
2014-05-30,19.030001000000002
2014-06-02,19.209999
2014-06-03,19.66
2014-06-04,20.34
2014-06-05,20.67
2014-06-06,20.549999
2014-06-09,21.75
2014-06-10,21.99
2014-06-11,23.110001
2014-06-12,22.219998999999998
2014-06-13,21.93
2014-06-16,20.9
2014-06-17,20.030001000000002
2014-06-18,20.68
2014-06-19,20.76
2014-06-20,20.49
2014-06-23,20.92
2014-06-24,21.040001
2014-06-25,21.93
2014-06-26,21.76
2014-06-27,20.719998999999998
2014-06-30,21.950001
2014-07-01,22.16
2014-07-02,22.41
2014-07-03,22.5
2014-07-07,21.92
2014-07-08,20.370001000000002
2014-07-09,20.200001
2014-07-10,19.610001
2014-07-11,20.200001
2014-07-14,20.209999
2014-07-15,19.549999
2014-07-16,19.74
2014-07-17,19.620001000000002
2014-07-18,20.07
2014-07-21,20.09
2014-07-22,19.809998999999998
2014-07-23,20.219998999999998
2014-07-24,19.940001000000002
2014-07-25,19.76
2014-07-28,19.58
2014-07-29,19.559998999999998
2014-07-30,19.120001000000002
2014-07-31,18.959999
2014-08-01,19.01
2014-08-04,18.610001
2014-08-05,18.450001
2014-08-06,18.309998999999998
2014-08-07,18.059998999999998
2014-08-08,18.620001000000002
2014-08-11,18.99
2014-08-12,18.370001000000002
2014-08-13,18.889999
2014-08-14,18.879998999999998
2014-08-15,18.52
2014-08-18,19.07
2014-08-19,19.08
2014-08-20,18.879998999999998
2014-08-21,19.18
2014-08-22,19.030001000000002
2014-08-25,19.26
2014-08-26,19.4
2014-08-27,19.0
2014-08-28,19.07
2014-08-29,19.139999
2014-09-02,18.799999
2014-09-03,18.969998999999998
2014-09-04,19.0
2014-09-05,19.9
2014-09-08,19.879998999999998
2014-09-09,19.65
2014-09-10,19.85
2014-09-11,20.0
2014-09-12,19.950001
2014-09-15,20.1
2014-09-16,20.83
2014-09-17,22.639999
2014-09-18,22.41
2014-09-19,22.709999
2014-09-22,22.120001000000002
2014-09-23,21.950001
2014-09-24,22.389999
2014-09-25,22.01
2014-09-26,22.549999
2014-09-29,22.219998999999998
2014-09-30,22.41
2014-10-01,22.299999
2014-10-02,21.610001
2014-10-03,21.129998999999998
2014-10-06,21.09
2014-10-07,21.35
2014-10-08,22.459999
2014-10-09,22.389999
2014-10-10,23.43
2014-10-13,24.68
2014-10-14,24.690001000000002
2014-10-15,24.02
2014-10-16,23.83
2014-10-17,23.620001000000002
2014-10-20,24.139999
2014-10-21,24.305
2014-10-22,24.6
2014-10-23,24.23
2014-10-24,23.889999
2014-10-27,23.84
2014-10-28,24.370001000000002
2014-10-29,24.809998999999998
2014-10-30,25.65
2014-10-31,25.92
2014-11-03,25.77
2014-11-04,26.35
2014-11-05,26.6
2014-11-06,26.860001
2014-11-07,28.34
2014-11-10,27.809998999999998
2014-11-11,27.92
2014-11-12,29.879998999999998
2014-11-13,29.459999
2014-11-14,31.5
2014-11-17,30.85
2014-11-18,31.200001
2014-11-19,30.5
2014-11-20,30.76
2014-11-21,30.59
2014-11-24,30.67
2014-11-25,30.4
2014-11-26,30.26
2014-11-28,30.559998999999998
2014-12-01,30.68
2014-12-02,31.02
2014-12-03,31.33
