Date,ENR
2015-06-12,35.0
2015-06-15,33.959998999999996
2015-06-16,33.82
2015-06-17,33.040001000000004
2015-06-18,33.0
2015-06-19,33.099998
2015-06-22,33.5
2015-06-23,33.52
2015-06-24,34.330002
2015-06-25,34.200001
2015-06-26,34.5
2015-06-29,34.07
2015-06-30,34.0
2015-07-01,34.0
2015-07-02,36.650002
2015-07-06,36.389998999999996
2015-07-07,35.310001
2015-07-08,34.919998
2015-07-09,35.889998999999996
2015-07-10,37.0
2015-07-13,38.5
2015-07-14,37.610001000000004
2015-07-15,37.880001
2015-07-16,39.860001000000004
2015-07-17,41.459998999999996
2015-07-20,42.0
2015-07-21,42.029999
2015-07-22,42.0
2015-07-23,42.080002
2015-07-24,41.950001
2015-07-27,41.360001000000004
2015-07-28,40.59
2015-07-29,39.34
2015-07-30,38.950001
2015-07-31,38.509997999999996
2015-08-03,39.25
2015-08-04,38.599998
2015-08-05,39.450001
2015-08-06,41.139998999999996
2015-08-07,40.549999
2015-08-10,41.16
2015-08-11,41.32
2015-08-12,41.02
2015-08-13,40.799999
2015-08-14,40.540001000000004
2015-08-17,40.540001000000004
2015-08-18,40.459998999999996
2015-08-19,39.75
2015-08-20,38.889998999999996
2015-08-21,39.580002
2015-08-24,39.5
2015-08-25,39.779999
2015-08-26,40.099998
2015-08-27,41.57
2015-08-28,41.619999
2015-08-31,41.759997999999996
2015-09-01,41.459998999999996
2015-09-02,41.139998999999996
2015-09-03,41.130001
2015-09-04,41.25
2015-09-08,42.0
2015-09-09,41.799999
2015-09-10,40.470001
2015-09-11,40.529999
2015-09-14,40.34
2015-09-15,40.490002000000004
2015-09-16,41.759997999999996
2015-09-17,42.0
2015-09-18,41.82
2015-09-21,42.310001
2015-09-22,42.009997999999996
2015-09-23,42.009997999999996
2015-09-24,40.080002
2015-09-25,40.25
2015-09-28,39.810001
2015-09-29,39.279999
2015-09-30,38.709998999999996
2015-10-01,40.18
2015-10-02,40.66
2015-10-05,41.810001
2015-10-06,41.119999
2015-10-07,41.139998999999996
2015-10-08,42.0
2015-10-09,42.259997999999996
2015-10-12,42.740002000000004
2015-10-13,43.0
2015-10-14,42.360001000000004
2015-10-15,42.650002
2015-10-16,42.700001
2015-10-19,42.5
2015-10-20,43.0
2015-10-21,43.110001000000004
2015-10-22,43.220001
2015-10-23,43.09
2015-10-26,42.419998
2015-10-27,42.490002000000004
2015-10-28,43.200001
2015-10-29,43.02
2015-10-30,42.830002
2015-11-02,43.25
2015-11-03,42.84
2015-11-04,42.439999
2015-11-05,41.330002
2015-11-06,40.799999
2015-11-09,40.919998
2015-11-10,40.540001000000004
2015-11-11,39.669998
2015-11-12,36.080002
2015-11-13,35.84
2015-11-16,37.34
2015-11-17,36.009997999999996
2015-11-18,35.669998
2015-11-19,35.619999
2015-11-20,35.27
2015-11-23,35.009997999999996
2015-11-24,34.639998999999996
2015-11-25,34.669998
2015-11-27,34.32
2015-11-30,33.82
2015-12-01,34.049999
2015-12-02,33.919998
2015-12-03,33.200001
2015-12-04,34.200001
2015-12-07,34.279999
2015-12-08,34.049999
2015-12-09,34.029999
2015-12-10,34.049999
2015-12-11,34.099998
2015-12-14,33.830002
2015-12-15,34.02
2015-12-16,35.139998999999996
2015-12-17,34.880001
2015-12-18,34.130001
2015-12-21,34.900002
2015-12-22,35.32
2015-12-23,35.57
2015-12-24,34.91
2015-12-28,35.049999
2015-12-29,35.48
2015-12-30,34.849998
2015-12-31,34.060001
2016-01-04,34.700001
2016-01-05,34.549999
2016-01-06,34.330002
2016-01-07,33.110001000000004
2016-01-08,31.950001
2016-01-11,31.4
2016-01-12,31.940001000000002
2016-01-13,31.4
2016-01-14,31.440001000000002
2016-01-15,30.620001000000002
2016-01-19,30.23
