Date,CPLG
2018-06-01,27.530001000000002
2018-06-04,27.0
2018-06-05,26.82
2018-06-06,26.66
2018-06-07,26.059998999999998
2018-06-08,25.950001
2018-06-11,26.23
2018-06-12,25.99
2018-06-13,25.82
2018-06-14,26.190001000000002
2018-06-15,25.889999
2018-06-18,25.5
2018-06-19,25.700001
2018-06-20,26.139999
2018-06-21,26.33
2018-06-22,26.65
2018-06-25,26.23
2018-06-26,26.209999
2018-06-27,25.950001
2018-06-28,25.91
2018-06-29,25.9
2018-07-02,25.459999
2018-07-03,25.75
2018-07-05,26.25
2018-07-06,26.5
2018-07-09,26.59
2018-07-10,26.32
2018-07-11,26.1
2018-07-12,26.299999
2018-07-13,26.27
2018-07-16,26.02
2018-07-17,25.73
2018-07-18,25.43
2018-07-19,25.67
2018-07-20,25.700001
2018-07-23,25.889999
2018-07-24,25.700001
2018-07-25,25.65
2018-07-26,25.67
2018-07-27,25.17
2018-07-30,25.0
2018-07-31,25.26
2018-08-01,25.5
2018-08-02,25.51
2018-08-03,25.379998999999998
2018-08-06,25.370001000000002
2018-08-07,25.01
2018-08-08,25.299999
2018-08-09,25.34
2018-08-10,25.16
2018-08-13,25.219998999999998
2018-08-14,22.940001000000002
2018-08-15,21.58
2018-08-16,22.030001000000002
2018-08-17,22.48
2018-08-20,22.0
2018-08-21,21.9
2018-08-22,21.860001
2018-08-23,21.24
2018-08-24,20.84
2018-08-27,20.629998999999998
2018-08-28,20.610001
2018-08-29,21.17
2018-08-30,20.93
2018-08-31,20.85
2018-09-04,20.559998999999998
2018-09-05,20.83
2018-09-06,20.790001
2018-09-07,20.75
2018-09-10,20.43
2018-09-11,20.26
2018-09-12,20.24
2018-09-13,20.49
2018-09-14,20.530001000000002
2018-09-17,20.120001000000002
2018-09-18,20.129998999999998
2018-09-19,20.209999
2018-09-20,20.139999
2018-09-21,20.219998999999998
2018-09-24,19.950001
2018-09-25,19.99
2018-09-26,19.629998999999998
2018-09-27,19.42
2018-09-28,19.450001
2018-10-01,19.35
2018-10-02,18.99
2018-10-03,19.08
2018-10-04,18.799999
2018-10-05,18.68
2018-10-08,18.530001000000002
2018-10-09,18.41
2018-10-10,17.959999
2018-10-11,17.65
2018-10-12,17.559998999999998
2018-10-15,17.01
2018-10-16,17.5
2018-10-17,17.4
2018-10-18,16.889999
2018-10-19,16.799999
2018-10-22,16.790001
2018-10-23,16.620001000000002
2018-10-24,15.86
2018-10-25,16.110001
2018-10-26,16.059998999999998
2018-10-29,15.86
2018-10-30,16.07
2018-10-31,16.370001000000002
2018-11-01,16.790001
2018-11-02,16.870001000000002
2018-11-05,17.559998999999998
2018-11-06,15.97
2018-11-07,16.23
2018-11-08,16.049999
2018-11-09,15.66
2018-11-12,15.16
2018-11-13,14.88
2018-11-14,14.57
2018-11-15,14.27
2018-11-16,14.24
2018-11-19,14.26
2018-11-20,14.02
2018-11-21,14.27
2018-11-23,13.99
2018-11-26,13.84
2018-11-27,13.62
2018-11-28,13.94
2018-11-29,14.15
2018-11-30,14.07
2018-12-03,14.1
2018-12-04,13.46
2018-12-06,13.34
2018-12-07,13.3
2018-12-10,13.21
2018-12-11,13.05
2018-12-12,12.79
2018-12-13,12.43
2018-12-14,11.8
2018-12-17,11.58
2018-12-18,12.16
2018-12-19,12.15
2018-12-20,12.0
2018-12-21,11.97
2018-12-24,11.83
2018-12-26,11.99
2018-12-27,11.98
2018-12-28,12.1
2018-12-31,12.25
2019-01-02,12.28
2019-01-03,12.15
2019-01-04,12.76
2019-01-07,12.73
2019-01-08,13.18
2019-01-09,13.05
2019-01-10,13.17
2019-01-11,12.98
2019-01-14,12.56
2019-01-15,12.43
2019-01-16,12.4
2019-01-17,12.34
2019-01-18,12.4
2019-01-22,12.3
2019-01-23,12.13
2019-01-24,12.12
2019-01-25,12.07
2019-01-28,12.03
2019-01-29,12.08
2019-01-30,12.13
2019-01-31,12.24
2019-02-01,12.68
2019-02-04,12.7
2019-02-05,12.5
2019-02-06,12.47
2019-02-07,12.24
2019-02-08,12.25
2019-02-11,12.53
2019-02-12,12.57
2019-02-13,13.06
2019-02-14,12.97
2019-02-15,12.94
2019-02-19,13.51
2019-02-20,14.06
2019-02-21,14.23
2019-02-22,14.24
2019-02-25,14.2
2019-02-26,14.02
2019-02-27,14.01
2019-02-28,13.97
2019-03-01,14.32
2019-03-04,14.5
2019-03-05,14.56
2019-03-06,14.4
2019-03-07,14.01
2019-03-08,13.67
2019-03-11,14.08
2019-03-12,13.86
2019-03-13,13.9
2019-03-14,13.88
2019-03-15,13.87
2019-03-18,13.85
2019-03-19,13.76
2019-03-20,13.63
2019-03-21,14.13
2019-03-22,10.5
2019-03-25,10.32
2019-03-26,10.48
2019-03-27,10.52
2019-03-28,11.0
2019-03-29,11.17
2019-04-01,11.55
2019-04-02,11.84
2019-04-03,12.1
2019-04-04,12.22
