Date,LIFE
2015-05-07,209.300003
2015-05-08,269.77999900000003
2015-05-11,290.5
2015-05-12,301.980011
2015-05-13,274.26001
2015-05-14,288.119995
2015-05-15,281.820007
2015-05-18,278.600006
2015-05-19,281.399994
2015-05-20,320.320007
2015-05-21,336.0
2015-05-22,345.940002
2015-05-26,354.76001
2015-05-27,345.660004
2015-05-28,335.72000099999997
2015-05-29,320.459991
2015-06-01,328.72000099999997
2015-06-02,353.359985
2015-06-03,390.320007
2015-06-04,382.619995
2015-06-05,362.179993
2015-06-08,349.019989
2015-06-09,309.959991
2015-06-10,315.559998
2015-06-11,303.23999
2015-06-12,311.22000099999997
2015-06-15,317.100006
2015-06-16,307.299988
2015-06-17,313.880005
2015-06-18,309.26001
2015-06-19,305.480011
2015-06-22,319.899994
2015-06-23,307.160004
2015-06-24,307.019989
2015-06-25,274.399994
2015-06-26,275.23999
2015-06-29,263.899994
2015-06-30,259.27999900000003
2015-07-01,238.0
2015-07-02,230.86000099999998
2015-07-06,227.36000099999998
2015-07-07,226.24000499999997
2015-07-08,209.440002
2015-07-09,214.61999500000002
2015-07-10,257.040009
2015-07-13,272.299988
2015-07-14,251.440002
2015-07-15,244.86000099999998
2015-07-16,250.17999300000002
2015-07-17,237.72000099999997
2015-07-20,223.86000099999998
2015-07-21,221.19999700000002
2015-07-22,233.80000299999998
2015-07-23,233.38000499999998
2015-07-24,247.940002
2015-07-27,245.27999900000003
2015-07-28,264.73999
2015-07-29,246.960007
2015-07-30,253.960007
2015-07-31,262.5
2015-08-03,272.859985
2015-08-04,278.320007
2015-08-05,291.899994
2015-08-06,262.5
2015-08-07,259.27999900000003
2015-08-10,253.82000699999998
2015-08-11,238.83999599999999
2015-08-12,238.419998
2015-08-13,206.639999
2015-08-14,200.619995
2015-08-17,225.399994
2015-08-18,211.539993
2015-08-19,204.679993
2015-08-20,202.860001
2015-08-21,196.559998
2015-08-24,192.080002
2015-08-25,192.220001
2015-08-26,200.199997
2015-08-27,217.69999700000002
2015-08-28,207.059998
2015-08-31,202.720001
2015-09-01,197.119995
2015-09-02,203.139999
2015-09-03,206.360001
2015-09-04,201.740005
2015-09-08,219.940002
2015-09-09,216.020004
2015-09-10,258.019989
2015-09-11,237.440002
2015-09-14,262.22000099999997
2015-09-15,268.660004
2015-09-16,262.920013
2015-09-17,259.0
2015-09-18,250.17999300000002
2015-09-21,231.69999700000002
2015-09-22,217.69999700000002
2015-09-23,214.61999500000002
2015-09-24,212.66000400000001
2015-09-25,185.779999
2015-09-28,150.919998
2015-09-29,138.179993
2015-09-30,143.639999
2015-10-01,143.360001
2015-10-02,155.259995
2015-10-05,158.33999599999999
2015-10-06,149.100006
2015-10-07,157.5
2015-10-08,161.699997
2015-10-09,162.259995
2015-10-12,155.53999299999998
2015-10-13,155.259995
2015-10-14,155.820007
2015-10-15,161.419998
2015-10-16,159.880005
2015-10-19,153.720001
2015-10-20,138.600006
2015-10-21,134.399994
2015-10-22,136.639999
2015-10-23,151.479996
2015-10-26,160.440002
2015-10-27,160.720001
2015-10-28,174.860001
2015-10-29,172.33999599999999
2015-10-30,174.440002
2015-11-02,179.199997
2015-11-03,171.220001
2015-11-04,170.100006
2015-11-05,171.360001
2015-11-06,169.820007
2015-11-09,166.740005
2015-11-10,160.720001
2015-11-11,137.479996
2015-11-12,138.03999299999998
2015-11-13,143.220001
2015-11-16,139.300003
2015-11-17,138.880005
2015-11-18,135.66000400000001
2015-11-19,121.940002
2015-11-20,122.220001
2015-11-23,118.58000200000001
2015-11-24,117.739998
2015-11-25,119.0
2015-11-27,122.360001
2015-11-30,119.139999
2015-12-01,118.300003
2015-12-02,121.800003
2015-12-03,123.339996
2015-12-04,122.5
2015-12-07,111.440002
2015-12-08,113.120003
2015-12-09,107.519997
2015-12-10,107.660004
2015-12-11,106.540001
2015-12-14,116.620003
2015-12-15,121.940002
2015-12-16,119.839996
2015-12-17,142.380005
2015-12-18,140.979996
2015-12-21,150.919998
2015-12-22,141.679993
2015-12-23,142.240005
2015-12-24,143.919998
2015-12-28,142.380005
2015-12-29,137.199997
2015-12-30,140.419998
2015-12-31,137.619995
2016-01-04,127.82
2016-01-05,131.03999299999998
2016-01-06,121.660004
2016-01-07,108.08000200000001
2016-01-08,104.019997
2016-01-11,104.160004
2016-01-12,100.099998
2016-01-13,91.559998
2016-01-14,88.620003
2016-01-15,83.160004
2016-01-19,84.139999
2016-01-20,84.0
2016-01-21,77.839996
2016-01-22,80.220001
2016-01-25,87.639999
2016-01-26,86.800003
2016-01-27,85.959999
2016-01-28,79.519997
2016-01-29,73.91999799999999
2016-02-01,76.720001
2016-02-02,66.5
2016-02-03,62.580002
2016-02-04,64.68
2016-02-05,60.060001
2016-02-08,56.98
2016-02-09,54.880001
2016-02-10,53.34
2016-02-11,53.200001
2016-02-12,57.540001000000004
2016-02-16,60.619999
2016-02-17,63.279999
2016-02-18,60.900002
2016-02-19,60.759997999999996
2016-02-22,61.32
2016-02-23,58.099998
2016-02-24,64.260002
2016-02-25,60.34
2016-02-26,64.120003
2016-02-29,62.580002
2016-03-01,69.160004
2016-03-02,73.5
2016-03-03,71.959999
2016-03-04,78.82
2016-03-07,87.5
2016-03-08,76.58000200000001
2016-03-09,74.199997
2016-03-10,71.120003
2016-03-11,71.400002
2016-03-14,78.260002
2016-03-15,77.0
2016-03-16,75.18
2016-03-17,75.32
2016-03-18,74.199997
2016-03-21,79.940002
2016-03-22,76.440002
2016-03-23,70.0
2016-03-24,70.139999
2016-03-28,69.300003
2016-03-29,70.699997
2016-03-30,68.040001
2016-03-31,55.16
2016-04-01,53.34
2016-04-04,50.400002
2016-04-05,48.580002
2016-04-06,44.66
2016-04-07,44.799999
2016-04-08,44.799999
2016-04-11,50.68
2016-04-12,54.18
2016-04-13,55.860001000000004
2016-04-14,59.080002
2016-04-15,58.66
2016-04-18,55.860001000000004
2016-04-19,53.48
2016-04-20,54.740002000000004
2016-04-21,56.139998999999996
2016-04-22,58.52
2016-04-25,55.439999
2016-04-26,54.18
2016-04-27,53.48
2016-04-28,52.639998999999996
2016-04-29,49.84
2016-05-02,51.380001
2016-05-03,48.720001
2016-05-04,46.759997999999996
2016-05-05,45.080002
2016-05-06,43.400002
2016-05-09,45.220001
2016-05-10,43.959998999999996
2016-05-11,42.139998999999996
2016-05-12,40.040001000000004
2016-05-13,40.740002000000004
2016-05-16,42.84
2016-05-17,44.099998
2016-05-18,43.400002
2016-05-19,42.139998999999996
2016-05-20,44.099998
2016-05-23,45.080002
2016-05-24,46.619999
2016-05-25,46.200001
2016-05-26,44.939999
2016-05-27,45.220001
2016-05-31,46.34
