Date,CWH
2016-10-07,22.5
2016-10-10,22.26
2016-10-11,21.700001
2016-10-12,21.4
2016-10-13,21.0
2016-10-14,21.059998999999998
2016-10-17,20.52
2016-10-18,21.15
2016-10-19,21.360001
2016-10-20,21.68
2016-10-21,21.92
2016-10-24,22.469998999999998
2016-10-25,22.76
2016-10-26,22.690001000000002
2016-10-27,22.26
2016-10-28,22.360001
2016-10-31,22.360001
2016-11-01,21.940001000000002
2016-11-02,21.58
2016-11-03,21.66
2016-11-04,22.030001000000002
2016-11-07,21.280001000000002
2016-11-08,21.01
2016-11-09,21.940001000000002
2016-11-10,22.27
2016-11-11,24.07
2016-11-14,24.5
2016-11-15,23.98
2016-11-16,24.0
2016-11-17,23.99
2016-11-18,23.98
2016-11-21,24.1
2016-11-22,25.23
2016-11-23,26.110001
2016-11-25,26.92
2016-11-28,26.84
2016-11-29,27.67
2016-11-30,27.9
2016-12-01,27.790001
2016-12-02,27.07
2016-12-05,27.040001
2016-12-06,27.209999
2016-12-07,28.049999
2016-12-08,28.76
2016-12-09,30.26
2016-12-12,30.950001
2016-12-13,30.6
2016-12-14,30.07
2016-12-15,31.57
2016-12-16,31.77
2016-12-19,31.84
2016-12-20,32.060001
2016-12-21,32.360001000000004
2016-12-22,32.310001
2016-12-23,32.27
2016-12-27,33.23
2016-12-28,32.849998
2016-12-29,32.09
2016-12-30,32.59
2017-01-03,32.869999
2017-01-04,34.209998999999996
2017-01-05,33.23
2017-01-06,32.799999
2017-01-09,32.41
2017-01-10,32.200001
2017-01-11,32.200001
2017-01-12,31.73
2017-01-13,30.799999
2017-01-17,31.27
2017-01-18,31.27
2017-01-19,30.690001000000002
2017-01-20,31.219998999999998
2017-01-23,31.73
2017-01-24,31.58
2017-01-25,31.15
2017-01-26,32.23
2017-01-27,32.32
2017-01-30,32.759997999999996
2017-01-31,31.48
2017-02-01,32.049999
2017-02-02,31.809998999999998
2017-02-03,31.889999
2017-02-06,31.75
2017-02-07,31.370001000000002
2017-02-08,31.799999
2017-02-09,33.139998999999996
2017-02-10,33.09
2017-02-13,32.740002000000004
2017-02-14,33.189999
2017-02-15,34.349998
2017-02-16,33.630001
2017-02-17,32.959998999999996
