Date,NS
2001-04-10,28.0
2001-04-11,29.0
2001-04-12,28.879998999999998
2001-04-16,28.719998999999998
2001-04-17,28.559998999999998
2001-04-18,28.16
2001-04-19,28.16
2001-04-20,27.85
2001-04-23,27.66
2001-04-24,28.1
2001-04-25,28.5
2001-04-26,29.0
2001-04-27,28.799999
2001-04-30,28.9
2001-05-01,28.85
2001-05-02,28.9
2001-05-03,28.48
2001-05-04,28.15
2001-05-07,29.700001
2001-05-08,30.83
2001-05-09,31.950001
2001-05-10,31.059998999999998
2001-05-11,30.799999
2001-05-14,30.299999
2001-05-15,29.950001
2001-05-16,30.299999
2001-05-17,30.35
2001-05-18,31.0
2001-05-21,31.23
2001-05-22,31.299999
2001-05-23,31.23
2001-05-24,31.15
2001-05-25,30.700001
2001-05-29,30.450001
2001-05-30,29.48
2001-05-31,29.700001
2001-06-01,29.6
2001-06-04,29.98
2001-06-05,29.9
2001-06-06,29.9
2001-06-07,29.75
2001-06-08,29.809998999999998
2001-06-11,29.940001000000002
2001-06-12,29.5
2001-06-13,29.809998999999998
2001-06-14,29.85
2001-06-15,29.780001000000002
2001-06-18,29.6
2001-06-19,29.5
2001-06-20,29.5
2001-06-21,29.549999
2001-06-22,29.5
2001-06-25,29.719998999999998
2001-06-26,29.9
2001-06-27,29.93
2001-06-28,29.9
2001-06-29,29.9
2001-07-02,30.0
2001-07-03,30.299999
2001-07-05,30.200001
2001-07-06,30.200001
2001-07-09,31.5
2001-07-10,31.25
2001-07-11,30.76
2001-07-12,30.48
2001-07-13,30.25
2001-07-16,30.35
2001-07-17,31.1
2001-07-18,30.950001
2001-07-19,31.0
2001-07-20,31.440001000000002
2001-07-23,31.99
2001-07-24,32.099998
2001-07-25,32.599998
2001-07-26,32.439999
2001-07-27,32.450001
2001-07-30,32.169998
2001-07-31,32.799999
2001-08-01,33.18
2001-08-02,32.900002
2001-08-03,32.73
2001-08-06,32.0
2001-08-07,31.5
2001-08-08,32.0
2001-08-09,32.650002
2001-08-10,33.169998
2001-08-13,32.77
2001-08-14,33.290001000000004
2001-08-15,34.810001
2001-08-16,34.189999
2001-08-17,34.610001000000004
2001-08-20,34.630001
2001-08-21,34.48
2001-08-22,35.200001
2001-08-23,35.25
2001-08-24,35.0
2001-08-27,34.77
2001-08-28,34.799999
2001-08-29,35.34
2001-08-30,35.150002
2001-08-31,34.48
2001-09-04,35.5
2001-09-05,34.700001
2001-09-06,34.650002
2001-09-07,35.290001000000004
2001-09-10,35.599998
2001-09-17,34.650002
2001-09-18,34.0
2001-09-19,32.400002
2001-09-20,31.6
2001-09-21,31.290001
2001-09-24,33.0
2001-09-25,32.099998
2001-09-26,32.349998
2001-09-27,32.0
2001-09-28,32.599998
2001-10-01,33.099998
2001-10-02,34.150002
2001-10-03,34.900002
2001-10-04,36.099998
2001-10-05,36.049999
2001-10-08,36.200001
2001-10-09,37.0
2001-10-10,37.0
2001-10-11,36.599998
2001-10-12,36.240002000000004
2001-10-15,36.259997999999996
2001-10-16,37.099998
2001-10-17,37.18
2001-10-18,37.950001
2001-10-19,38.360001000000004
2001-10-22,38.099998
2001-10-23,37.849998
2001-10-24,37.700001
2001-10-25,37.48
2001-10-26,37.450001
2001-10-29,36.799999
2001-10-30,36.009997999999996
2001-10-31,35.950001
2001-11-01,37.5
2001-11-02,37.5
2001-11-05,37.5
2001-11-06,38.57
2001-11-07,39.0
2001-11-08,39.549999
2001-11-09,40.400002
2001-11-12,39.400002
2001-11-13,39.779999
2001-11-14,40.099998
2001-11-15,39.799999
2001-11-16,38.0
2001-11-19,37.299999
2001-11-20,37.580002
2001-11-21,36.650002
2001-11-23,36.799999
2001-11-26,36.450001
2001-11-27,36.549999
2001-11-28,36.599998
2001-11-29,35.470001
2001-11-30,35.84
2001-12-03,35.75
2001-12-04,36.650002
2001-12-05,36.700001
2001-12-06,37.400002
2001-12-07,37.349998
2001-12-10,37.490002000000004
2001-12-11,37.450001
2001-12-12,37.48
2001-12-13,38.299999
2001-12-14,38.18
2001-12-17,39.0
2001-12-18,38.939999
2001-12-19,38.5
2001-12-20,39.049999
2001-12-21,39.400002
2001-12-24,39.470001
2001-12-26,39.5
2001-12-27,39.849998
2001-12-28,40.150002
2001-12-31,40.049999
2002-01-02,39.349998
2002-01-03,39.619999
2002-01-04,39.75
2002-01-07,39.66
2002-01-08,40.549999
2002-01-09,40.849998
2002-01-10,41.5
2002-01-11,42.099998
2002-01-14,41.900002
2002-01-15,41.950001
2002-01-16,41.029999
2002-01-17,41.25
2002-01-18,41.25
2002-01-22,40.950001
2002-01-23,40.099998
2002-01-24,39.450001
2002-01-25,38.700001
2002-01-28,39.25
2002-01-29,39.639998999999996
2002-01-30,39.099998
2002-01-31,39.740002000000004
2002-02-01,39.509997999999996
2002-02-04,39.200001
2002-02-05,39.25
2002-02-06,39.32
2002-02-07,39.25
2002-02-08,39.349998
2002-02-11,39.400002
2002-02-12,39.389998999999996
2002-02-13,39.27
2002-02-14,39.48
2002-02-15,40.189999
2002-02-19,40.299999
2002-02-20,39.900002
2002-02-21,39.790001000000004
2002-02-22,39.450001
2002-02-25,39.200001
2002-02-26,39.0
2002-02-27,39.0
2002-02-28,37.0
2002-03-01,37.490002000000004
2002-03-04,37.139998999999996
2002-03-05,37.400002
2002-03-06,38.400002
2002-03-07,38.150002
2002-03-08,39.099998
2002-03-11,39.240002000000004
2002-03-12,38.98
2002-03-13,38.599998
2002-03-14,38.599998
2002-03-15,38.400002
2002-03-18,38.950001
2002-03-19,38.799999
2002-03-20,38.599998
2002-03-21,38.200001
2002-03-22,38.220001
2002-03-25,38.75
2002-03-26,38.5
2002-03-27,38.200001
2002-03-28,38.099998
2002-04-01,38.299999
2002-04-02,37.299999
2002-04-03,37.970001
2002-04-04,37.25
2002-04-05,37.0
2002-04-08,37.349998
2002-04-09,37.5
2002-04-10,37.150002
2002-04-11,37.259997999999996
2002-04-12,37.450001
2002-04-15,37.900002
