Date,TRIP
2012-11-06,33.830002
2012-11-07,34.0
2012-11-08,34.169998
2012-11-09,34.310001
2012-11-12,34.98
2012-11-13,35.540001000000004
2012-11-14,35.639998999999996
2012-11-15,36.599998
2012-11-16,38.029999
2012-11-19,38.16
2012-11-20,37.279999
2012-11-21,37.400002
2012-11-23,38.0
2012-11-26,37.91
2012-11-27,37.77
2012-11-28,37.900002
2012-11-29,37.869999
2012-11-30,38.189999
2012-12-03,37.700001
2012-12-04,37.529999
2012-12-05,38.369999
2012-12-06,39.290001000000004
2012-12-07,38.59
2012-12-10,38.389998999999996
2012-12-11,40.91
2012-12-12,42.650002
2012-12-13,42.709998999999996
2012-12-14,41.669998
2012-12-17,43.450001
2012-12-18,42.98
2012-12-19,43.41
2012-12-20,42.970001
2012-12-21,41.970001
2012-12-24,42.25
2012-12-26,41.799999
2012-12-27,41.93
2012-12-28,41.34
2012-12-31,41.919998
2013-01-02,44.16
2013-01-03,43.91
2013-01-04,44.119999
2013-01-07,45.119999
2013-01-08,44.720001
2013-01-09,44.330002
2013-01-10,43.490002000000004
2013-01-11,43.98
2013-01-14,44.150002
2013-01-15,44.150002
2013-01-16,43.970001
2013-01-17,44.09
2013-01-18,43.68
2013-01-22,44.32
2013-01-23,44.84
2013-01-24,44.82
2013-01-25,45.959998999999996
2013-01-28,46.5
2013-01-29,45.900002
2013-01-30,45.52
2013-01-31,46.279999
2013-02-01,46.299999
2013-02-04,45.639998999999996
2013-02-05,46.84
2013-02-06,47.0
2013-02-07,46.849998
2013-02-08,47.02
2013-02-11,46.23
2013-02-12,46.66
2013-02-13,46.900002
2013-02-14,43.549999
2013-02-15,44.419998
2013-02-19,43.52
2013-02-20,42.759997999999996
2013-02-21,42.939999
2013-02-22,43.849998
2013-02-25,43.639998999999996
2013-02-26,43.73
2013-02-27,45.27
2013-02-28,45.540001000000004
2013-03-01,45.619999
2013-03-04,45.509997999999996
2013-03-05,47.68
2013-03-06,48.630001
2013-03-07,50.59
2013-03-08,51.029999
2013-03-11,51.400002
2013-03-12,51.150002
2013-03-13,52.389998999999996
2013-03-14,52.59
2013-03-15,52.400002
2013-03-18,52.43
2013-03-19,52.299999
2013-03-20,53.240002000000004
2013-03-21,51.75
2013-03-22,52.5
2013-03-25,52.240002000000004
2013-03-26,52.439999
2013-03-27,52.200001
2013-03-28,52.52
2013-04-01,51.700001
2013-04-02,50.509997999999996
2013-04-03,49.110001000000004
2013-04-04,49.52
2013-04-05,48.880001
2013-04-08,48.68
2013-04-09,48.290001000000004
2013-04-10,50.07
2013-04-11,51.889998999999996
2013-04-12,52.490002000000004
2013-04-15,51.560001
2013-04-16,52.939999
2013-04-17,52.169998
2013-04-18,51.349998
2013-04-19,51.09
2013-04-22,51.09
2013-04-23,52.299999
2013-04-24,51.34
2013-04-25,53.009997999999996
2013-04-26,53.720001
2013-04-29,53.07
2013-04-30,52.580002
2013-05-01,52.110001000000004
2013-05-02,53.509997999999996
2013-05-03,55.299999
2013-05-06,55.169998
2013-05-07,55.009997999999996
2013-05-08,52.490002000000004
2013-05-09,51.990002000000004
2013-05-10,53.84
2013-05-13,54.790001000000004
2013-05-14,58.009997999999996
2013-05-15,59.360001000000004
2013-05-16,59.029999
2013-05-17,59.880001
2013-05-20,62.630001
2013-05-21,62.34
2013-05-22,61.509997999999996
2013-05-23,62.060001
2013-05-24,61.689999
2013-05-28,64.300003
2013-05-29,63.560001
2013-05-30,63.990002000000004
2013-05-31,64.489998
2013-06-03,62.060001
2013-06-04,62.189999
2013-06-05,61.52
2013-06-06,62.029999
2013-06-07,64.050003
2013-06-10,64.309998
2013-06-11,63.860001000000004
2013-06-12,63.18
2013-06-13,64.510002
2013-06-14,63.75
2013-06-17,64.360001
2013-06-18,63.849998
2013-06-19,63.77
2013-06-20,61.52
2013-06-21,60.279999
2013-06-24,60.68
2013-06-25,61.529999
2013-06-26,61.91
2013-06-27,60.84
2013-06-28,60.869999
2013-07-01,61.07
2013-07-02,60.23
2013-07-03,60.790001000000004
2013-07-05,61.700001
2013-07-08,63.16
2013-07-09,62.740002000000004
2013-07-10,61.93
2013-07-11,60.439999
2013-07-12,61.049999
2013-07-15,60.450001
2013-07-16,60.619999
2013-07-17,61.09
2013-07-18,62.27
2013-07-19,60.619999
2013-07-22,60.650002
2013-07-23,60.66
2013-07-24,61.139998999999996
2013-07-25,71.099998
2013-07-26,73.949997
2013-07-29,73.290001
2013-07-30,73.269997
2013-07-31,75.019997
2013-08-01,75.889999
2013-08-02,75.790001
2013-08-05,78.010002
2013-08-06,79.279999
2013-08-07,77.989998
2013-08-08,79.709999
2013-08-09,80.940002
2013-08-12,81.260002
2013-08-13,80.959999
2013-08-14,73.550003
2013-08-15,70.519997
2013-08-16,70.989998
2013-08-19,69.260002
2013-08-20,69.809998
2013-08-21,70.199997
2013-08-22,71.209999
2013-08-23,71.870003
2013-08-26,72.25
2013-08-27,71.08000200000001
2013-08-28,72.519997
2013-08-29,74.18
2013-08-30,73.970001
2013-09-03,73.82
2013-09-04,74.739998
2013-09-05,74.66999799999999
2013-09-06,74.110001
2013-09-09,74.5
2013-09-10,72.620003
2013-09-11,73.790001
2013-09-12,74.489998
2013-09-13,72.82
2013-09-16,72.599998
2013-09-17,72.93
2013-09-18,73.91999799999999
2013-09-19,74.269997
2013-09-20,75.120003
2013-09-23,74.300003
2013-09-24,75.300003
2013-09-25,74.779999
2013-09-26,75.300003
2013-09-27,75.849998
2013-09-30,75.839996
2013-10-01,78.5
2013-10-02,79.660004
2013-10-03,78.660004
2013-10-04,78.410004
2013-10-07,75.849998
2013-10-08,71.699997
2013-10-09,70.66999799999999
2013-10-10,72.269997
2013-10-11,74.010002
2013-10-14,75.010002
2013-10-15,73.870003
2013-10-16,75.0
2013-10-17,72.739998
2013-10-18,71.870003
2013-10-21,74.110001
2013-10-22,75.5
2013-10-23,75.209999
2013-10-24,74.849998
2013-10-25,76.980003
2013-10-28,77.790001
2013-10-29,82.260002
2013-10-30,80.220001
2013-10-31,82.720001
2013-11-01,83.379997
2013-11-04,88.220001
2013-11-05,88.07
2013-11-06,86.610001
2013-11-07,83.879997
2013-11-08,84.480003
2013-11-11,85.019997
2013-11-12,84.900002
2013-11-13,87.489998
2013-11-14,89.18
2013-11-15,87.769997
2013-11-18,87.41999799999999
2013-11-19,87.510002
2013-11-20,87.129997
2013-11-21,87.269997
2013-11-22,87.400002
2013-11-25,86.610001
2013-11-26,87.379997
2013-11-27,88.309998
2013-11-29,88.32
2013-12-02,87.540001
2013-12-03,85.91999799999999
2013-12-04,85.129997
2013-12-05,85.540001
2013-12-06,85.610001
2013-12-09,84.769997
2013-12-10,84.980003
2013-12-11,82.790001
2013-12-12,82.599998
2013-12-13,81.379997
2013-12-16,81.889999
2013-12-17,80.900002
2013-12-18,81.410004
2013-12-19,82.019997
2013-12-20,83.129997
2013-12-23,83.400002
2013-12-24,82.82
2013-12-26,83.470001
2013-12-27,81.639999
2013-12-30,81.66999799999999
2013-12-31,82.83000200000001
2014-01-02,80.480003
2014-01-03,80.91999799999999
2014-01-06,80.379997
2014-01-07,84.910004
2014-01-08,85.150002
2014-01-09,85.16999799999999
2014-01-10,86.800003
2014-01-13,84.449997
2014-01-14,84.309998
2014-01-15,84.339996
2014-01-16,84.760002
2014-01-17,83.900002
2014-01-21,81.5
2014-01-22,82.470001
2014-01-23,81.339996
2014-01-24,80.360001
2014-01-27,77.910004
2014-01-28,77.769997
2014-01-29,76.66999799999999
2014-01-30,77.790001
2014-01-31,77.190002
2014-02-03,73.910004
2014-02-04,76.370003
2014-02-05,76.160004
2014-02-06,77.139999
2014-02-07,84.449997
2014-02-10,84.050003
2014-02-11,84.199997
2014-02-12,90.269997
2014-02-13,92.300003
2014-02-14,91.25
2014-02-18,93.349998
2014-02-19,93.760002
2014-02-20,96.800003
2014-02-21,96.91999799999999
2014-02-24,98.260002
2014-02-25,101.040001
2014-02-26,100.18
2014-02-27,99.720001
2014-02-28,100.239998
2014-03-03,100.550003
2014-03-04,106.889999
2014-03-05,107.300003
2014-03-06,108.379997
2014-03-07,108.059998
2014-03-10,107.540001
2014-03-11,104.730003
2014-03-12,106.690002
2014-03-13,103.209999
2014-03-14,102.949997
2014-03-17,104.529999
2014-03-18,105.199997
2014-03-19,103.760002
2014-03-20,103.360001
2014-03-21,101.510002
2014-03-24,97.58000200000001
2014-03-25,96.480003
2014-03-26,92.709999
2014-03-27,89.949997
2014-03-28,90.050003
2014-03-31,90.589996
2014-04-01,95.550003
2014-04-02,95.160004
2014-04-03,91.300003
2014-04-04,85.690002
2014-04-07,83.360001
2014-04-08,86.07
2014-04-09,88.110001
2014-04-10,81.900002
2014-04-11,78.989998
2014-04-14,79.769997
2014-04-15,83.300003
2014-04-16,84.800003
2014-04-17,85.68
2014-04-21,84.800003
2014-04-22,85.769997
2014-04-23,83.279999
2014-04-24,83.480003
2014-04-25,77.389999
2014-04-28,77.279999
2014-04-29,80.83000200000001
2014-04-30,80.739998
2014-05-01,83.5
2014-05-02,82.599998
2014-05-05,84.709999
2014-05-06,81.370003
2014-05-07,83.989998
2014-05-08,83.220001
2014-05-09,84.58000200000001
2014-05-12,89.510002
2014-05-13,86.089996
2014-05-14,84.190002
2014-05-15,83.610001
2014-05-16,82.160004
2014-05-19,86.410004
2014-05-20,85.870003
2014-05-21,88.160004
2014-05-22,91.010002
2014-05-23,94.41999799999999
2014-05-27,95.41999799999999
