Date,CINF
1980-03-17,1.325465
1980-03-18,1.325465
1980-03-19,1.325465
1980-03-20,1.325465
1980-03-21,1.325465
1980-03-24,1.256907
1980-03-25,1.234054
1980-03-26,1.234054
1980-03-27,1.188348
1980-03-28,1.074084
1980-03-31,1.074084
1980-04-01,1.08551
1980-04-02,1.096937
1980-04-03,1.096937
1980-04-07,1.096937
1980-04-08,1.108363
1980-04-09,1.108363
1980-04-10,1.131216
1980-04-11,1.131216
1980-04-14,1.119789
1980-04-15,1.119789
1980-04-16,1.131216
1980-04-17,1.131216
1980-04-18,1.131216
1980-04-21,1.131216
1980-04-22,1.131216
1980-04-23,1.131216
1980-04-24,1.131216
1980-04-25,1.131216
1980-04-28,1.142642
1980-04-29,1.131216
1980-04-30,1.154069
1980-05-01,1.1654950000000002
1980-05-02,1.1654950000000002
1980-05-05,1.199774
1980-05-06,1.256907
1980-05-07,1.256907
1980-05-08,1.24548
1980-05-09,1.234054
1980-05-12,1.234054
1980-05-13,1.211201
1980-05-14,1.2226270000000001
1980-05-15,1.234054
1980-05-16,1.24548
1980-05-19,1.234054
1980-05-20,1.234054
1980-05-21,1.234054
1980-05-22,1.234054
1980-05-23,1.234054
1980-05-27,1.256907
1980-05-28,1.256907
1980-05-29,1.24548
1980-05-30,1.24548
1980-06-02,1.24548
1980-06-03,1.24548
1980-06-04,1.279759
1980-06-05,1.279759
1980-06-06,1.2911860000000002
1980-06-09,1.2911860000000002
1980-06-10,1.2911860000000002
1980-06-11,1.40545
1980-06-12,1.439729
1980-06-13,1.496861
1980-06-16,1.5082879999999999
1980-06-17,1.496861
1980-06-18,1.496861
1980-06-19,1.496861
1980-06-20,1.496861
1980-06-23,1.5082879999999999
1980-06-24,1.5082879999999999
1980-06-25,1.531141
1980-06-26,1.531141
1980-06-27,1.531141
1980-06-30,1.531141
1980-07-01,1.531141
1980-07-02,1.531141
1980-07-03,1.542567
1980-07-07,1.553994
1980-07-08,1.553994
1980-07-09,1.553994
1980-07-10,1.553994
1980-07-11,1.553994
1980-07-14,1.553994
1980-07-15,1.553994
1980-07-16,1.553994
1980-07-17,1.542567
1980-07-18,1.542567
1980-07-21,1.542567
1980-07-22,1.531141
1980-07-23,1.531141
1980-07-24,1.519714
1980-07-25,1.531141
1980-07-28,1.531141
1980-07-29,1.542567
1980-07-30,1.531141
1980-07-31,1.519714
1980-08-01,1.5082879999999999
1980-08-04,1.4740090000000001
1980-08-05,1.451156
1980-08-06,1.456869
1980-08-07,1.462582
1980-08-08,1.462582
1980-08-11,1.462582
1980-08-12,1.4740090000000001
1980-08-13,1.4740090000000001
1980-08-14,1.5082879999999999
1980-08-15,1.519714
1980-08-18,1.5082879999999999
1980-08-19,1.5082879999999999
1980-08-20,1.519714
1980-08-21,1.56542
1980-08-22,1.56542
1980-08-25,1.599699
1980-08-26,1.611126
1980-08-27,1.611126
1980-08-28,1.622552
1980-08-29,1.622552
1980-09-02,1.622552
1980-09-03,1.622552
