Date,CAKE
1992-09-18,3.5884769999999997
1992-09-21,3.4897120000000004
1992-09-22,3.292181
1992-09-23,3.242798
1992-09-24,3.325103
1992-09-25,3.226337
1992-09-28,3.1275720000000002
1992-09-29,3.193416
1992-09-30,3.292181
1992-10-01,3.226337
1992-10-02,3.061728
1992-10-05,2.930041
1992-10-06,3.09465
1992-10-07,3.226337
1992-10-08,3.308642
1992-10-09,3.226337
1992-10-12,3.226337
1992-10-13,3.09465
1992-10-14,3.226337
1992-10-15,3.358025
1992-10-16,3.423868
1992-10-19,3.5555559999999997
1992-10-20,3.621399
1992-10-21,3.654321
1992-10-22,3.4897120000000004
1992-10-23,3.5555559999999997
1992-10-26,3.5226339999999996
1992-10-27,3.423868
1992-10-28,3.5720160000000005
1992-10-29,3.4567900000000003
1992-10-30,3.242798
1992-11-02,3.27572
1992-11-03,3.292181
1992-11-04,3.226337
1992-11-05,3.4567900000000003
1992-11-06,3.4567900000000003
1992-11-09,3.4897120000000004
1992-11-10,3.423868
1992-11-11,3.423868
1992-11-12,3.4567900000000003
1992-11-13,3.5226339999999996
1992-11-16,3.5226339999999996
1992-11-17,3.5061730000000004
1992-11-18,3.621399
1992-11-19,3.621399
1992-11-20,3.720165
1992-11-23,3.720165
1992-11-24,3.720165
1992-11-25,3.7860080000000003
1992-11-27,3.967078
1992-11-30,4.049383
1992-12-01,3.950617
1992-12-02,3.8518519999999996
1992-12-03,3.654321
1992-12-04,3.621399
1992-12-07,3.753086
1992-12-08,3.654321
1992-12-09,3.4897120000000004
1992-12-10,3.4567900000000003
1992-12-11,3.5555559999999997
1992-12-14,3.423868
1992-12-15,3.325103
1992-12-16,3.358025
1992-12-17,3.621399
1992-12-18,3.5555559999999997
1992-12-21,3.5555559999999997
1992-12-22,3.4897120000000004
1992-12-23,3.358025
1992-12-24,3.374485
1992-12-28,2.8641970000000003
1992-12-29,2.9629630000000002
1992-12-30,3.061728
1992-12-31,3.160494
1993-01-04,3.209877
1993-01-05,3.193416
1993-01-06,2.995885
1993-01-07,2.831276
1993-01-08,2.7983540000000002
1993-01-11,2.9629630000000002
1993-01-12,2.897119
1993-01-13,2.930041
1993-01-14,3.259259
1993-01-15,3.325103
1993-01-18,3.193416
1993-01-19,3.176955
1993-01-20,3.160494
1993-01-21,3.061728
1993-01-22,3.160494
1993-01-25,3.09465
1993-01-26,3.09465
1993-01-27,3.325103
1993-01-28,3.193416
1993-01-29,3.1275720000000002
1993-02-01,3.390946
1993-02-02,3.358025
1993-02-03,3.423868
1993-02-04,3.259259
1993-02-05,3.27572
1993-02-08,3.226337
1993-02-09,3.078189
1993-02-10,3.012346
1993-02-11,2.930041
1993-02-12,2.765432
1993-02-16,2.8641970000000003
1993-02-17,2.9794240000000003
1993-02-18,2.946502
1993-02-19,3.028807
1993-02-22,2.9629630000000002
1993-02-23,2.831276
1993-02-24,2.831276
1993-02-25,2.897119
1993-02-26,2.9629630000000002
1993-03-01,2.9629630000000002
1993-03-02,3.061728
1993-03-03,3.209877
1993-03-04,3.259259
1993-03-05,3.292181
1993-03-08,3.4897120000000004
1993-03-09,3.4897120000000004
1993-03-10,3.654321
1993-03-11,3.753086
1993-03-12,3.5884769999999997
1993-03-15,3.5884769999999997
1993-03-16,3.5555559999999997
1993-03-17,3.4567900000000003
1993-03-18,3.423868
1993-03-19,3.440329
1993-03-22,3.4567900000000003
1993-03-23,3.423868
1993-03-24,3.4567900000000003
1993-03-25,3.4567900000000003
1993-03-26,3.4567900000000003
1993-03-29,3.5226339999999996
1993-03-30,3.621399
1993-03-31,3.720165
1993-04-01,3.4897120000000004
1993-04-02,3.4567900000000003
1993-04-05,3.4732510000000003
1993-04-06,3.423868
1993-04-07,3.325103
1993-04-08,3.292181
1993-04-12,3.423868
1993-04-13,3.5555559999999997
1993-04-14,3.621399
1993-04-15,3.63786
1993-04-16,3.5555559999999997
1993-04-19,3.63786
1993-04-20,3.5555559999999997
1993-04-21,3.5226339999999996
1993-04-22,3.5555559999999997
1993-04-23,3.5555559999999997
1993-04-26,3.5061730000000004
1993-04-27,3.5555559999999997
1993-04-28,3.5555559999999997
1993-04-29,3.5226339999999996
1993-04-30,3.621399
1993-05-03,3.654321
1993-05-04,3.687243
1993-05-05,3.621399
1993-05-06,3.736625
1993-05-07,3.720165
1993-05-10,3.917696
1993-05-11,3.983539
1993-05-12,4.082304
1993-05-13,4.032922
1993-05-14,4.016461
1993-05-17,4.032922
1993-05-18,4.115226
1993-05-19,4.213992
1993-05-20,4.411523000000001
1993-05-21,4.411523000000001
1993-05-24,4.378601000000001
1993-05-25,4.246913
1993-05-26,4.312757
1993-05-27,4.279835
1993-05-28,4.279835
1993-06-01,4.230453
1993-06-02,4.312757
1993-06-03,4.378601000000001
1993-06-04,4.296296
1993-06-07,4.049383
1993-06-08,4.016461
1993-06-09,4.18107
1993-06-10,4.246913
1993-06-11,4.246913
1993-06-14,4.18107
1993-06-15,4.246913
1993-06-16,4.246913
1993-06-17,4.378601000000001
1993-06-18,4.065844
1993-06-21,3.8189300000000004
1993-06-22,3.769547
1993-06-23,3.7860080000000003
1993-06-24,3.720165
1993-06-25,3.720165
1993-06-28,3.983539
1993-06-29,4.016461
1993-06-30,3.950617
1993-07-01,4.016461
1993-07-02,3.983539
1993-07-06,4.016461
1993-07-07,3.917696
1993-07-08,3.8847739999999997
1993-07-09,3.950617
1993-07-12,3.950617
1993-07-13,3.983539
1993-07-14,3.7860080000000003
1993-07-15,3.983539
1993-07-16,3.8683129999999997
1993-07-19,3.7860080000000003
1993-07-20,3.63786
1993-07-21,3.5555559999999997
1993-07-22,3.5884769999999997
1993-07-23,3.4567900000000003
1993-07-26,3.440329
1993-07-27,3.423868
1993-07-28,3.423868
1993-07-29,3.423868
1993-07-30,3.5555559999999997
1993-08-02,3.687243
1993-08-03,3.621399
1993-08-04,3.5884769999999997
1993-08-05,3.720165
