Date,CVET
2019-02-06,46.189999
2019-02-07,43.049999
2019-02-08,41.009997999999996
2019-02-11,37.560001
2019-02-12,36.82
2019-02-13,37.740002000000004
2019-02-14,36.560001
2019-02-15,36.549999
2019-02-19,39.349998
2019-02-20,35.09
2019-02-21,35.450001
2019-02-22,37.189999
2019-02-25,39.110001000000004
2019-02-26,39.91
2019-02-27,37.470001
2019-02-28,35.779999
2019-03-01,36.23
2019-03-04,34.540001000000004
2019-03-05,35.099998
2019-03-06,34.150002
2019-03-07,32.349998
2019-03-08,33.41
2019-03-11,34.009997999999996
2019-03-12,33.970001
2019-03-13,34.810001
2019-03-14,35.889998999999996
2019-03-15,34.459998999999996
2019-03-18,34.23
2019-03-19,34.77
2019-03-20,35.060001
2019-03-21,36.060001
2019-03-22,34.779999
2019-03-25,33.57
2019-03-26,33.509997999999996
2019-03-27,32.389998999999996
2019-03-28,31.52
2019-03-29,31.85
2019-04-01,32.349998
2019-04-02,32.450001
2019-04-03,32.23
2019-04-04,32.23
2019-04-05,33.150002
2019-04-08,32.66
2019-04-09,32.549999
2019-04-10,32.0
2019-04-11,32.48
2019-04-12,32.650002
2019-04-15,32.799999
2019-04-16,32.650002
2019-04-17,32.959998999999996
2019-04-18,32.650002
2019-04-22,32.490002000000004
2019-04-23,33.040001000000004
2019-04-24,32.830002
2019-04-25,32.990002000000004
2019-04-26,32.98
2019-04-29,32.959998999999996
2019-04-30,32.869999
2019-05-01,32.84
2019-05-02,32.98
2019-05-03,33.27
2019-05-06,33.02
2019-05-07,32.169998
2019-05-08,30.530001000000002
2019-05-09,29.889999
2019-05-10,28.370001000000002
2019-05-13,27.450001
2019-05-14,29.16
2019-05-15,29.280001000000002
2019-05-16,28.32
2019-05-17,28.690001000000002
2019-05-20,28.120001000000002
2019-05-21,28.049999
2019-05-22,27.35
2019-05-23,25.83
2019-05-24,26.129998999999998
2019-05-28,25.65
2019-05-29,25.99
2019-05-30,25.200001
2019-05-31,24.66
2019-06-03,25.25
2019-06-04,26.08
2019-06-05,25.809998999999998
2019-06-06,25.629998999999998
2019-06-07,25.799999
2019-06-10,25.51
2019-06-11,25.219998999999998
2019-06-12,24.969998999999998
2019-06-13,25.23
2019-06-14,25.01
2019-06-17,24.440001000000002
2019-06-18,25.469998999999998
2019-06-19,25.24
2019-06-20,24.74
2019-06-21,23.65
2019-06-24,23.549999
2019-06-25,23.49
2019-06-26,22.879998999999998
2019-06-27,23.799999
2019-06-28,24.459999
2019-07-01,24.6
2019-07-02,24.68
2019-07-03,24.73
2019-07-05,25.02
2019-07-08,24.26
2019-07-09,23.99
2019-07-10,24.26
2019-07-11,25.02
