Date,PGH
2013-08-14,6.1
2013-08-15,6.09
2013-08-16,6.0
2013-08-19,5.91
2013-08-20,6.08
2013-08-21,6.0
2013-08-22,5.98
2013-08-23,5.99
2013-08-26,5.98
2013-08-27,6.0
2013-08-28,6.06
2013-08-29,6.0
2013-08-30,6.05
2013-09-03,5.99
2013-09-04,5.99
2013-09-05,6.0
2013-09-06,5.99
2013-09-09,6.0
2013-09-10,5.99
2013-09-11,5.85
2013-09-12,5.8
2013-09-13,5.8
2013-09-16,5.94
2013-09-17,5.89
2013-09-18,5.8
2013-09-19,5.8
2013-09-20,5.79
2013-09-23,5.79
2013-09-24,5.68
2013-09-25,5.68
2013-09-26,5.63
2013-09-27,5.6
2013-09-30,5.6
2013-10-01,5.69
2013-10-02,5.56
2013-10-03,5.6
2013-10-04,5.6
2013-10-07,5.61
2013-10-08,5.6
2013-10-09,5.76
2013-10-10,5.61
2013-10-11,5.75
2013-10-14,5.72
2013-10-15,5.72
2013-10-16,5.72
2013-10-17,5.7
2013-10-18,5.69
2013-10-21,5.8
2013-10-22,5.8
2013-10-23,5.66
2013-10-24,5.73
2013-10-25,5.65
2013-10-28,5.65
2013-10-29,5.63
2013-10-30,5.6
2013-10-31,5.65
2013-11-01,5.6
2013-11-04,5.6
2013-11-05,5.6
2013-11-06,5.59
2013-11-07,5.56
2013-11-08,5.63
2013-11-11,5.63
2013-11-12,5.73
2013-11-13,5.7
2013-11-14,5.74
2013-11-15,5.7
2013-11-18,5.7
2013-11-19,5.63
2013-11-20,5.63
2013-11-21,5.7
2013-11-22,5.7
2013-11-25,5.7
2013-11-26,5.62
2013-11-27,5.59
2013-11-29,5.69
2013-12-02,5.6
2013-12-03,5.55
2013-12-04,5.52
2013-12-05,5.51
2013-12-06,5.48
2013-12-09,5.52
2013-12-10,5.4
2013-12-11,5.32
2013-12-12,5.32
2013-12-13,5.4
2013-12-16,5.39
2013-12-17,5.34
2013-12-18,5.33
2013-12-19,5.34
2013-12-20,5.35
2013-12-23,5.34
2013-12-24,5.34
2013-12-26,5.37
2013-12-27,5.3
2013-12-30,5.28
2013-12-31,5.2
2014-01-02,5.29
2014-01-03,5.29
2014-01-06,5.26
2014-01-07,5.2
2014-01-08,5.24
2014-01-09,5.24
2014-01-10,5.25
2014-01-13,5.25
2014-01-14,5.25
2014-01-15,5.21
2014-01-16,5.21
2014-01-17,5.24
2014-01-21,5.24
2014-01-22,5.19
2014-01-23,5.16
2014-01-24,5.29
2014-01-27,5.45
2014-01-28,5.38
2014-01-29,5.3
2014-01-30,5.17
2014-01-31,5.18
2014-02-03,5.19
2014-02-04,5.3
2014-02-05,5.3
2014-02-06,5.44
2014-02-07,5.68
2014-02-10,5.6
2014-02-11,5.59
2014-02-12,5.49
2014-02-13,5.57
2014-02-14,5.56
2014-02-18,5.6
2014-02-19,5.6
2014-02-20,5.6
2014-02-21,5.78
2014-02-24,5.77
2014-02-25,5.73
2014-02-26,5.77
2014-02-27,5.8
2014-02-28,5.79
2014-03-03,5.89
2014-03-04,5.73
2014-03-05,5.72
2014-03-06,5.87
2014-03-07,5.87
2014-03-10,5.91
2014-03-11,5.88
2014-03-12,5.8
2014-03-13,5.8
2014-03-14,5.8
2014-03-17,5.85
2014-03-18,5.85
2014-03-19,5.8
2014-03-20,5.8
2014-03-21,5.8
2014-03-24,5.8
2014-03-25,5.8
2014-03-26,5.83
2014-03-27,5.8
2014-03-28,5.8
2014-03-31,5.76
2014-04-01,5.75
2014-04-02,5.75
2014-04-03,5.77
2014-04-04,5.68
2014-04-07,5.7
2014-04-08,5.68
2014-04-09,5.68
2014-04-10,5.75
2014-04-11,5.55
2014-04-14,5.58
2014-04-15,5.55
2014-04-16,5.53
2014-04-17,5.41
2014-04-21,5.35
2014-04-22,5.36
2014-04-23,5.3
2014-04-24,5.3
2014-04-25,5.21
2014-04-28,5.22
2014-04-29,5.23
2014-04-30,5.2
2014-05-01,5.2
2014-05-02,5.27
2014-05-05,5.27
2014-05-06,5.15
2014-05-07,5.13
2014-05-08,5.14
2014-05-09,5.1
2014-05-12,5.13
2014-05-13,5.1
2014-05-14,5.1
2014-05-15,5.11
2014-05-16,5.11
2014-05-19,5.11
2014-05-20,5.11
2014-05-21,5.11
2014-05-22,5.11
2014-05-23,5.11
2014-05-27,5.11
2014-05-28,5.11
2014-05-29,5.11
2014-05-30,5.11
2014-06-02,5.11
2014-06-03,5.11
2014-06-04,5.11
2014-06-05,5.11
2014-06-06,5.11
2014-06-09,5.11
2014-06-10,5.11
2014-06-11,5.11
2014-06-12,5.11
2014-06-13,5.11
2014-06-16,5.11
2014-06-17,5.11
2014-06-18,5.11
2014-06-19,5.11
2014-06-20,5.11
2014-06-23,5.11
2014-06-24,5.11
2014-06-25,5.11
2014-06-26,5.18
2014-06-27,5.2
2014-06-30,5.2
2014-07-01,5.2
2014-07-02,5.2
2014-07-03,5.2
2014-07-07,5.2
2014-07-08,5.2
2014-07-09,5.3
2014-07-10,5.3
2014-07-11,5.3
2014-07-14,5.4
2014-07-15,5.4
2014-07-16,5.4
2014-07-17,5.45
2014-07-18,5.51
2014-07-21,5.67
2014-07-22,5.79
2014-07-23,5.69
2014-07-24,5.69
2014-07-25,5.69
2014-07-28,5.69
2014-07-29,5.69
2014-07-30,5.69
2014-07-31,5.52
2014-08-01,5.5
2014-08-04,5.4
2014-08-05,5.39
2014-08-06,5.33
2014-08-07,5.3
2014-08-08,5.29
2014-08-11,5.4
2014-08-12,5.3
2014-08-13,5.3
2014-08-14,5.3
2014-08-15,5.3
2014-08-18,5.35
2014-08-19,5.31
2014-08-20,5.32
2014-08-21,5.31
2014-08-22,5.35
2014-08-25,5.3
2014-08-26,5.34
2014-08-27,5.3
2014-08-28,5.3
2014-08-29,5.3
2014-09-02,5.3
2014-09-03,5.3
2014-09-04,5.34
2014-09-05,5.3
2014-09-08,5.34
2014-09-09,5.34
2014-09-10,5.3
2014-09-11,5.3
2014-09-12,5.3
2014-09-15,5.3
2014-09-16,5.3
2014-09-17,5.3
2014-09-18,5.3
2014-09-19,5.3
2014-09-22,5.3
2014-09-23,5.3
2014-09-24,5.3
2014-09-25,5.31
2014-09-26,5.3
2014-09-29,5.3
2014-09-30,5.33
2014-10-01,5.33
2014-10-02,5.33
2014-10-03,5.33
2014-10-06,5.33
2014-10-07,5.3
2014-10-08,5.3
2014-10-09,5.45
2014-10-10,5.5
2014-10-13,5.4
2014-10-14,5.47
2014-10-15,5.47
2014-10-16,5.4
2014-10-17,5.33
2014-10-20,5.4
2014-10-21,5.44
2014-10-22,5.5
2014-10-23,5.5
2014-10-24,5.5
2014-10-27,5.55
2014-10-28,5.54
2014-10-29,5.45
2014-10-30,5.45
2014-10-31,5.45
2014-11-03,5.43
2014-11-04,5.4
2014-11-05,5.45
2014-11-06,5.41
2014-11-07,5.5
2014-11-10,5.4
2014-11-11,5.4
2014-11-12,5.45
2014-11-13,5.4
2014-11-14,5.4
2014-11-17,5.4
2014-11-18,5.4
2014-11-19,5.45
2014-11-20,5.6
2014-11-21,5.5
2014-11-24,5.5
2014-11-25,5.5
2014-11-26,5.48
2014-11-28,5.5
2014-12-01,5.5
2014-12-02,5.58
2014-12-03,5.58
2014-12-04,5.58
2014-12-05,5.55
2014-12-08,5.5
2014-12-09,5.5
2014-12-10,5.5
2014-12-11,5.5
2014-12-12,5.5
2014-12-15,5.5
2014-12-16,5.55
2014-12-17,5.57
2014-12-18,5.57
2014-12-19,5.56
2014-12-22,5.72
2014-12-23,5.6
2014-12-24,5.6
2014-12-26,5.58
2014-12-29,5.5
2014-12-30,5.58
2014-12-31,5.58
2015-01-02,5.68
2015-01-05,5.69
2015-01-06,5.52
2015-01-07,5.52
2015-01-08,5.5
2015-01-09,5.5
2015-01-12,5.5
2015-01-13,5.5
2015-01-14,5.5
2015-01-15,5.5
2015-01-16,5.45
2015-01-20,5.4
2015-01-21,5.3
2015-01-22,5.4
2015-01-23,5.4
2015-01-26,5.4
2015-01-27,5.4
2015-01-28,5.4
2015-01-29,5.43
2015-01-30,5.42
2015-02-02,5.4
2015-02-03,5.4
2015-02-04,5.49
2015-02-05,5.49
2015-02-06,5.49
2015-02-09,5.4
2015-02-10,5.4
2015-02-11,5.55
2015-02-12,5.55
2015-02-13,5.4
2015-02-17,5.56
2015-02-18,5.56
2015-02-19,5.41
2015-02-20,5.4
2015-02-23,5.45
2015-02-24,5.4
2015-02-25,5.4
2015-02-26,5.5
2015-02-27,5.4
2015-03-02,5.45
2015-03-03,5.4
2015-03-04,5.4
2015-03-05,5.55
2015-03-06,5.5
2015-03-09,5.54
2015-03-10,5.5
2015-03-11,5.5
2015-03-12,5.5
2015-03-13,5.5
2015-03-16,5.5
2015-03-17,5.5
2015-03-18,5.5
2015-03-19,5.5
2015-03-20,5.5
2015-03-23,5.54
2015-03-24,5.5
2015-03-25,5.5
2015-03-26,5.5
2015-03-27,5.5
2015-03-30,5.5
2015-03-31,5.5
2015-04-01,5.5
2015-04-02,5.5
2015-04-06,5.5
2015-04-07,5.5
2015-04-08,5.5
2015-04-09,5.5
2015-04-10,5.5
2015-04-13,5.5
2015-04-14,5.5
2015-04-15,5.5
2015-04-16,5.5
2015-04-17,5.5
2015-04-20,5.5
2015-04-21,5.5
2015-04-22,5.5
2015-04-23,5.5
2015-04-24,5.5
2015-04-27,5.5
2015-04-28,5.5
2015-04-29,5.5
2015-04-30,5.5
2015-05-01,5.5
2015-05-04,5.5
2015-05-05,5.5
2015-05-06,5.5
2015-05-07,5.5
2015-05-08,5.5
2015-05-11,5.5
2015-05-12,5.5
2015-05-13,5.5
2015-05-14,5.5
2015-05-15,5.5
2015-05-18,5.5
2015-05-19,5.5
2015-05-20,5.5
2015-05-21,5.5
2015-05-22,5.5
2015-05-26,5.5
2015-05-27,5.5
2015-05-28,5.5
2015-05-29,5.5
2015-06-01,5.5
2015-06-02,5.4
2015-06-03,5.19
2015-06-04,5.19
2015-06-05,5.34
2015-06-08,5.4
2015-06-09,5.35
2015-06-10,5.43
2015-06-11,5.35
2015-06-12,5.4
2015-06-15,5.45
2015-06-16,5.4
2015-06-17,5.45
2015-06-18,5.45
2015-06-19,5.5
2015-06-22,5.5
2015-06-23,5.45
2015-06-24,5.39
2015-06-25,5.35
2015-06-26,5.31
2015-06-29,5.34
2015-06-30,5.34
2015-07-01,5.28
2015-07-02,5.4
2015-07-06,5.57
2015-07-07,5.57
2015-07-08,5.4
2015-07-09,5.4
2015-07-10,5.4
2015-07-13,5.45
2015-07-14,5.45
2015-07-15,5.46
2015-07-16,5.45
2015-07-17,5.45
2015-07-20,5.45
2015-07-21,5.34
2015-07-22,5.49
2015-07-23,5.5
2015-07-24,5.49
2015-07-27,5.42
2015-07-28,5.5
2015-07-29,5.35
2015-07-30,5.4
2015-07-31,5.42
2015-08-03,5.42
2015-08-04,5.45
2015-08-05,5.45
2015-08-06,5.55
2015-08-07,5.55
2015-08-10,5.5
2015-08-11,5.4
2015-08-12,5.35
2015-08-13,5.35
2015-08-14,5.35
