Date,EXP
1994-04-12,4.7083330000000005
1994-04-13,4.6666669999999995
1994-04-14,4.6666669999999995
1994-04-15,4.7083330000000005
1994-04-18,4.6666669999999995
1994-04-19,4.5833330000000005
1994-04-20,4.3333330000000005
1994-04-21,4.25
1994-04-22,4.0833330000000005
1994-04-25,4.0833330000000005
1994-04-26,4.2083330000000005
1994-04-28,4.2916669999999995
1994-04-29,4.2916669999999995
1994-05-02,4.4583330000000005
1994-05-03,4.4166669999999995
1994-05-04,4.375
1994-05-05,4.375
1994-05-06,4.2916669999999995
1994-05-09,4.3333330000000005
1994-05-10,4.375
1994-05-11,4.375
1994-05-12,4.4166669999999995
1994-05-13,4.4166669999999995
1994-05-16,4.2916669999999995
1994-05-17,4.2083330000000005
1994-05-18,4.125
1994-05-19,4.0833330000000005
1994-05-20,4.0
1994-05-23,3.958333
1994-05-24,4.0
1994-05-25,3.666667
1994-05-26,3.708333
1994-05-27,3.541667
1994-05-31,3.5
1994-06-01,3.416667
1994-06-02,3.583333
1994-06-03,3.583333
1994-06-06,3.875
1994-06-07,3.791667
1994-06-08,3.75
1994-06-09,3.666667
1994-06-10,3.833333
1994-06-13,3.75
1994-06-14,3.625
1994-06-15,3.791667
1994-06-16,3.916667
1994-06-17,3.916667
1994-06-20,4.0
1994-06-21,4.0416669999999995
1994-06-22,4.1666669999999995
1994-06-23,4.0833330000000005
1994-06-24,3.916667
1994-06-27,3.958333
1994-06-28,3.958333
1994-06-29,3.958333
1994-06-30,3.958333
1994-07-01,3.916667
1994-07-05,3.833333
1994-07-06,3.916667
1994-07-07,3.916667
1994-07-08,3.958333
1994-07-11,4.0
1994-07-12,4.125
1994-07-13,4.2083330000000005
1994-07-14,4.1666669999999995
1994-07-15,4.0833330000000005
1994-07-18,4.0833330000000005
1994-07-19,4.0
1994-07-20,4.0416669999999995
1994-07-21,4.1666669999999995
1994-07-22,4.0416669999999995
1994-07-25,3.958333
1994-07-26,4.0
1994-07-27,3.916667
1994-07-28,4.0
1994-07-29,3.958333
1994-08-01,3.916667
1994-08-02,4.0
1994-08-03,3.958333
