Date,ICLR
1998-05-15,6.359375
1998-05-18,6.125
1998-05-19,6.28125
1998-05-20,6.1875
1998-05-21,6.1875
1998-05-22,6.1875
1998-05-26,6.21875
1998-05-27,5.984375
1998-05-28,6.03125
1998-05-29,6.375
1998-06-01,6.375
1998-06-02,6.3125
1998-06-03,6.3125
1998-06-04,6.1875
1998-06-05,6.3125
1998-06-08,6.75
1998-06-09,7.0
1998-06-10,7.078125
1998-06-11,7.0
1998-06-12,7.0625
1998-06-15,6.890625
1998-06-16,6.921875
1998-06-17,6.6875
1998-06-18,6.5
1998-06-19,6.21875
1998-06-22,6.21875
1998-06-23,6.21875
1998-06-24,6.5
1998-06-25,6.4375
1998-06-26,6.46875
1998-06-29,6.3125
1998-06-30,6.3125
1998-07-01,6.21875
1998-07-02,6.15625
1998-07-06,6.75
1998-07-07,6.59375
1998-07-08,6.75
1998-07-09,6.625
1998-07-10,6.75
1998-07-13,6.625
1998-07-14,6.640625
1998-07-15,6.6875
1998-07-16,6.4375
1998-07-17,6.6875
1998-07-20,7.125
1998-07-21,7.3125
1998-07-22,7.40625
1998-07-23,7.5625
1998-07-24,7.5625
1998-07-27,7.5625
1998-07-28,7.5625
1998-07-29,7.625
1998-07-30,7.84375
1998-07-31,7.8125
1998-08-03,7.8125
1998-08-04,7.6875
1998-08-05,7.6875
1998-08-06,7.6875
1998-08-07,7.59375
1998-08-10,7.59375
1998-08-11,7.0
1998-08-12,7.25
1998-08-13,6.9375
1998-08-14,7.0
1998-08-17,6.90625
1998-08-18,6.75
1998-08-19,6.90625
1998-08-20,7.59375
1998-08-21,7.40625
1998-08-24,7.9375
1998-08-25,7.84375
1998-08-26,7.75
1998-08-27,7.78125
1998-08-28,7.578125
1998-08-31,6.65625
1998-09-01,6.875
1998-09-02,7.25
1998-09-03,7.03125
1998-09-04,6.96875
1998-09-08,7.109375
1998-09-09,6.875
1998-09-10,6.84375
1998-09-11,6.84375
1998-09-14,7.078125
1998-09-15,6.84375
1998-09-16,7.1875
1998-09-17,7.1875
1998-09-18,7.53125
1998-09-21,7.53125
1998-09-22,7.984375
1998-09-23,8.21875
1998-09-24,8.25
1998-09-25,8.4375
1998-09-28,8.8125
1998-09-29,8.5
1998-09-30,8.15625
1998-10-01,6.9375
1998-10-02,7.3125
1998-10-05,7.03125
1998-10-06,6.859375
1998-10-07,6.40625
1998-10-08,6.34375
1998-10-09,6.5
1998-10-12,7.15625
1998-10-13,7.25
1998-10-14,7.125
1998-10-15,7.375
1998-10-16,6.96875
1998-10-19,7.1875
1998-10-20,7.09375
1998-10-21,7.25
1998-10-22,7.40625
1998-10-23,7.375
1998-10-26,7.6875
1998-10-27,7.6875
1998-10-28,7.3125
1998-10-29,6.78125
1998-10-30,7.0
1998-11-02,6.96875
1998-11-03,6.90625
1998-11-04,7.03125
1998-11-05,7.09375
1998-11-06,7.15625
1998-11-09,7.0
1998-11-10,7.0625
1998-11-11,7.0625
1998-11-12,6.75
1998-11-13,6.9375
1998-11-16,6.875
1998-11-17,6.90625
1998-11-18,6.8125
1998-11-19,6.75
1998-11-20,7.0625
1998-11-23,7.125
1998-11-24,7.09375
1998-11-25,7.25
1998-11-27,7.25
1998-11-30,7.09375
1998-12-01,7.375
1998-12-02,7.15625
1998-12-03,7.21875
1998-12-04,7.25
1998-12-07,7.125
1998-12-08,7.21875
1998-12-09,7.375
1998-12-10,7.1875
1998-12-11,7.25
1998-12-14,7.34375
1998-12-15,7.375
1998-12-16,7.71875
1998-12-17,7.96875
1998-12-18,7.96875
1998-12-21,8.0
1998-12-22,8.625
1998-12-23,8.3125
1998-12-24,8.375
1998-12-28,8.8125
1998-12-29,8.625
1998-12-30,8.375
1998-12-31,8.375
1999-01-04,8.15625
1999-01-05,8.125
1999-01-06,8.125
1999-01-07,8.0625
1999-01-08,7.875
1999-01-11,8.25
1999-01-12,7.5
1999-01-13,7.90625
1999-01-14,7.9375
1999-01-15,7.3125
1999-01-19,6.96875
1999-01-20,7.3125
1999-01-21,7.375
1999-01-22,7.1875
1999-01-25,7.3125
1999-01-26,7.1875
1999-01-27,6.96875
1999-01-28,7.3125
1999-01-29,7.25
1999-02-01,7.375
1999-02-02,7.125
1999-02-03,7.28125
1999-02-04,7.09375
1999-02-05,6.9375
1999-02-08,7.0625
1999-02-09,7.125
1999-02-10,6.96875
1999-02-11,6.96875
1999-02-12,6.90625
1999-02-16,7.015625
1999-02-17,7.125
1999-02-18,6.5625
1999-02-19,6.75
1999-02-22,6.75
1999-02-23,7.125
1999-02-24,7.0
1999-02-25,6.875
1999-02-26,7.0625
1999-03-01,7.0
1999-03-02,7.0625
1999-03-03,6.9375
1999-03-04,7.75
1999-03-05,7.4375
1999-03-08,7.5
1999-03-09,7.46875
1999-03-10,7.6875
1999-03-11,7.46875
1999-03-12,7.4375
1999-03-15,7.4375
1999-03-16,7.4375
1999-03-17,7.3125
1999-03-18,7.0
1999-03-19,6.90625
1999-03-22,6.53125
1999-03-23,6.625
1999-03-24,6.515625
1999-03-25,6.6875
1999-03-26,6.578125
1999-03-29,6.6875
1999-03-30,3.28125
1999-03-31,3.625
1999-04-01,3.671875
1999-04-05,3.375
1999-04-06,3.625
1999-04-07,3.625
1999-04-08,3.59375
1999-04-09,3.59375
1999-04-12,3.625
1999-04-13,3.671875
1999-04-14,3.734375
1999-04-15,3.734375
1999-04-16,4.0
1999-04-19,4.03125
1999-04-20,3.9375
1999-04-21,3.9375
1999-04-22,4.03125
1999-04-23,4.046875
1999-04-26,3.9375
1999-04-27,3.9375
1999-04-28,3.9375
1999-04-29,3.9375
1999-04-30,3.9375
1999-05-03,3.875
1999-05-04,3.890625
1999-05-05,3.78125
1999-05-06,3.75
1999-05-07,3.75
1999-05-10,3.75
1999-05-11,3.71875
1999-05-12,3.765625
1999-05-13,3.75
1999-05-14,3.625
1999-05-17,3.5625
1999-05-18,3.46875
1999-05-19,3.4375
1999-05-20,3.453125
1999-05-21,3.34375
1999-05-24,3.375
1999-05-25,3.0
1999-05-26,3.3125
1999-05-27,3.03125
1999-05-28,3.125
1999-06-01,3.09375
1999-06-02,3.265625
1999-06-03,3.1875
1999-06-04,3.1875
1999-06-07,3.1875
1999-06-08,3.1875
1999-06-09,3.09375
1999-06-10,3.15625
1999-06-11,3.21875
1999-06-14,3.40625
1999-06-15,3.1875
1999-06-16,3.25
1999-06-17,3.4375
1999-06-18,4.5
1999-06-21,4.96875
1999-06-22,4.5625
1999-06-23,4.96875
1999-06-24,5.5625
1999-06-25,5.5
1999-06-28,5.125
1999-06-29,5.21875
1999-06-30,4.90625
1999-07-01,4.875
1999-07-02,4.46875
1999-07-06,4.15625
1999-07-07,4.375
1999-07-08,4.25
1999-07-09,4.109375
1999-07-12,4.0625
1999-07-13,4.5
1999-07-14,4.78125
1999-07-15,4.59375
1999-07-16,4.46875
1999-07-19,4.6875
1999-07-20,4.8125
1999-07-21,4.78125
1999-07-22,4.78125
1999-07-23,4.75
1999-07-26,4.53125
1999-07-27,4.8125
1999-07-28,5.1875
1999-07-29,5.25
1999-07-30,5.5
1999-08-02,5.5
1999-08-03,5.5
1999-08-04,5.5
1999-08-05,5.25
1999-08-06,5.40625
1999-08-09,5.46875
1999-08-10,5.21875
1999-08-11,5.125
1999-08-12,5.09375
1999-08-13,5.09375
1999-08-16,5.125
1999-08-17,5.0
1999-08-18,5.0
1999-08-19,4.8125
1999-08-20,4.6875
1999-08-23,5.0
1999-08-24,5.03125
1999-08-25,4.75
1999-08-26,4.75
1999-08-27,4.5625
1999-08-30,4.5625
1999-08-31,4.515625
1999-09-01,4.53125
1999-09-02,4.84375
1999-09-03,4.9375
1999-09-07,5.0
1999-09-08,4.8125
1999-09-09,4.84375
1999-09-10,4.78125
1999-09-13,4.71875
1999-09-14,4.71875
1999-09-15,4.84375
1999-09-16,4.6875
1999-09-17,4.46875
1999-09-20,4.4375
1999-09-21,4.21875
1999-09-22,4.125
1999-09-23,3.90625
1999-09-24,3.875
1999-09-27,4.0
1999-09-28,3.875
1999-09-29,3.8125
1999-09-30,3.9375
1999-10-01,3.90625
1999-10-04,3.90625
1999-10-05,3.96875
1999-10-06,3.90625
1999-10-07,3.890625
1999-10-08,3.84375
1999-10-11,3.84375
1999-10-12,3.53125
1999-10-13,3.09375
1999-10-14,3.25
1999-10-15,3.375
1999-10-18,3.375
1999-10-19,3.3125
1999-10-20,3.328125
1999-10-21,3.3125
1999-10-22,3.40625
1999-10-25,3.34375
1999-10-26,3.3125
1999-10-27,3.40625
1999-10-28,3.40625
1999-10-29,3.375
1999-11-01,3.375
1999-11-02,3.375
1999-11-03,3.46875
1999-11-04,3.609375
1999-11-05,3.59375
1999-11-08,3.5625
1999-11-09,3.625
1999-11-10,3.625
1999-11-11,4.234375
1999-11-12,4.25
1999-11-15,4.078125
1999-11-16,4.078125
1999-11-17,4.0
1999-11-18,4.21875
1999-11-19,4.28125
1999-11-22,4.25
1999-11-23,3.96875
1999-11-24,3.9375
1999-11-26,3.9375
1999-11-29,3.875
1999-11-30,3.46875
1999-12-01,3.96875
1999-12-02,4.28125
1999-12-03,4.015625
1999-12-06,3.75
1999-12-07,3.875
1999-12-08,3.5
1999-12-09,3.5
1999-12-10,3.5
1999-12-13,3.25
1999-12-14,3.375
1999-12-15,3.65625
1999-12-16,3.6875
1999-12-17,3.609375
1999-12-20,3.75
1999-12-21,3.5
1999-12-22,3.625
1999-12-23,4.25
1999-12-27,4.25
1999-12-28,4.25
1999-12-29,4.3125
1999-12-30,4.25
1999-12-31,4.25
2000-01-03,4.25
2000-01-04,4.15625
2000-01-05,4.109375
2000-01-06,4.21875
2000-01-07,4.21875
2000-01-10,4.28125
2000-01-11,4.25
2000-01-12,4.03125
2000-01-13,4.0
2000-01-14,3.953125
2000-01-18,3.96875
2000-01-19,3.703125
2000-01-20,3.875
2000-01-21,3.75
2000-01-24,3.875
2000-01-25,4.3125
2000-01-26,4.328125
2000-01-27,4.25
2000-01-28,4.25
2000-01-31,4.28125
2000-02-01,4.40625
2000-02-02,4.65625
2000-02-03,4.640625
2000-02-04,5.21875
2000-02-07,5.46875
2000-02-08,5.25
2000-02-09,5.53125
2000-02-10,5.15625
2000-02-11,4.78125
2000-02-14,4.5
2000-02-15,4.59375
2000-02-16,4.59375
2000-02-17,4.5
2000-02-18,4.59375
2000-02-22,4.5625
2000-02-23,4.5625
2000-02-24,4.59375
2000-02-25,4.53125
2000-02-28,4.5
2000-02-29,4.46875
2000-03-01,4.09375
2000-03-02,4.25
2000-03-03,4.28125
2000-03-06,3.90625
2000-03-07,4.25
2000-03-08,4.3125
2000-03-09,4.3125
2000-03-10,4.15625
