Date,IDCC
1981-11-12,3.25
1981-11-13,3.125
1981-11-16,2.875
1981-11-17,3.0
1981-11-18,3.0
1981-11-19,3.25
1981-11-20,3.125
1981-11-23,3.25
1981-11-24,3.375
1981-11-25,3.25
1981-11-27,3.375
1981-11-30,3.125
1981-12-01,3.0
1981-12-02,3.0
1981-12-03,3.0
1981-12-04,3.0
1981-12-07,3.0
1981-12-08,3.0
1981-12-09,2.875
1981-12-10,2.875
1981-12-11,2.875
1981-12-14,2.875
1981-12-15,2.625
1981-12-16,2.875
1981-12-17,2.875
1981-12-18,3.0
1981-12-21,3.0
1981-12-22,2.875
1981-12-23,3.0
1981-12-24,2.875
1981-12-28,2.875
1981-12-29,2.875
1981-12-30,2.875
1981-12-31,2.875
1982-01-04,2.5
1982-01-05,2.5
1982-01-06,2.625
1982-01-07,3.0
1982-01-08,3.25
1982-01-11,3.125
1982-01-12,3.125
1982-01-13,3.125
1982-01-14,3.0
1982-01-15,3.125
1982-01-18,3.625
1982-01-19,3.75
1982-01-20,4.375
1982-01-21,4.375
1982-01-22,4.375
1982-01-25,4.625
1982-01-26,4.875
1982-01-27,5.0
1982-01-28,5.375
1982-01-29,5.25
1982-02-01,4.75
1982-02-02,4.5
1982-02-03,4.375
1982-02-04,4.375
1982-02-05,4.5
1982-02-08,4.5
1982-02-09,4.375
1982-02-10,4.125
1982-02-11,3.875
1982-02-12,4.25
1982-02-16,4.0
1982-02-17,4.125
1982-02-18,4.0
1982-02-19,3.75
1982-02-22,3.625
1982-02-23,4.0
1982-02-24,3.875
1982-02-25,3.875
1982-02-26,3.875
1982-03-01,3.875
1982-03-02,4.125
1982-03-03,4.25
1982-03-04,4.25
1982-03-05,3.875
1982-03-08,3.5
1982-03-09,3.5
1982-03-10,3.375
1982-03-11,3.375
1982-03-12,3.5
1982-03-15,3.375
1982-03-16,3.375
1982-03-17,3.125
1982-03-18,3.375
1982-03-19,3.375
1982-03-22,3.375
1982-03-23,3.5
1982-03-24,3.375
1982-03-25,3.375
1982-03-26,3.375
1982-03-29,3.25
1982-03-30,3.375
1982-03-31,3.375
1982-04-01,3.5
1982-04-02,3.5
1982-04-05,3.5
1982-04-06,3.25
1982-04-07,3.75
1982-04-08,3.625
1982-04-12,3.75
1982-04-13,3.625
1982-04-14,3.5
1982-04-15,3.5
1982-04-16,3.375
1982-04-19,3.375
1982-04-20,3.25
1982-04-21,3.25
1982-04-22,3.875
1982-04-23,3.875
1982-04-26,4.0
1982-04-27,4.125
1982-04-28,4.25
1982-04-29,4.25
1982-04-30,4.375
1982-05-03,4.0
1982-05-04,3.875
1982-05-05,4.0
1982-05-06,3.875
1982-05-07,3.75
1982-05-10,3.625
1982-05-11,3.875
1982-05-12,3.625
1982-05-13,3.625
1982-05-14,3.625
1982-05-17,3.625
1982-05-18,3.625
1982-05-19,3.625
1982-05-20,3.625
1982-05-21,3.5
1982-05-24,3.375
1982-05-25,3.375
1982-05-26,3.375
1982-05-27,3.375
1982-05-28,3.0
1982-06-01,3.0
1982-06-02,3.125
1982-06-03,3.0
1982-06-04,3.125
1982-06-07,3.0
1982-06-08,3.125
1982-06-09,3.125
1982-06-10,3.125
1982-06-11,3.125
1982-06-14,3.125
1982-06-15,3.25
1982-06-16,3.375
1982-06-17,3.375
1982-06-18,3.5
1982-06-21,3.25
1982-06-22,3.25
1982-06-23,3.375
1982-06-24,3.375
1982-06-25,3.375
1982-06-28,3.25
1982-06-29,3.125
1982-06-30,3.125
1982-07-01,3.125
1982-07-02,3.0
1982-07-06,3.0
1982-07-07,3.0
1982-07-08,2.875
1982-07-09,2.875
1982-07-12,2.875
1982-07-13,2.875
1982-07-14,2.875
1982-07-15,2.875
1982-07-16,3.125
1982-07-19,3.125
1982-07-20,3.125
1982-07-21,3.125
1982-07-22,3.25
1982-07-23,3.125
1982-07-26,3.25
1982-07-27,3.25
1982-07-28,3.125
1982-07-29,3.25
1982-07-30,3.125
1982-08-02,3.125
1982-08-03,3.125
1982-08-04,2.75
1982-08-05,2.625
1982-08-06,2.625
1982-08-09,2.375
1982-08-10,2.375
1982-08-11,2.5
1982-08-12,2.5
1982-08-13,2.375
1982-08-16,2.375
1982-08-17,2.5
1982-08-18,2.75
1982-08-19,2.75
1982-08-20,3.0
1982-08-23,3.125
1982-08-24,3.125
1982-08-25,3.0
1982-08-26,2.875
1982-08-27,2.875
1982-08-30,2.875
1982-08-31,3.125
1982-09-01,3.0
1982-09-02,2.875
1982-09-03,2.875
1982-09-07,2.875
1982-09-08,2.875
1982-09-09,2.875
