Date,TSG
2010-10-06,1.9866
2010-10-07,15.99
2010-10-08,2.285
2010-10-11,15.95
2010-10-12,2.2857
2010-10-13,2.1853
2010-10-14,2.3446
2010-10-15,2.34
2010-10-18,2.34
2010-10-19,2.34
2010-10-20,2.36
2010-10-21,2.36
2010-10-22,2.36
2010-10-25,2.36
2010-10-26,3.38
2010-10-27,3.29
2010-10-28,3.29
2010-10-29,3.29
2010-11-01,3.29
2010-11-02,3.29
2010-11-03,3.29
2010-11-04,3.29
2010-11-05,3.01
2010-11-08,3.01
2010-11-09,3.01
2010-11-10,2.53
2010-11-11,2.53
2010-11-12,2.53
2010-11-15,2.53
2010-11-16,2.53
2010-11-17,2.53
2010-11-18,2.53
2010-11-19,2.95
2010-11-22,2.95
2010-11-23,2.95
2010-11-24,2.95
2010-11-26,2.95
2010-11-29,2.95
2010-11-30,2.95
2010-12-01,2.95
2010-12-02,2.95
2010-12-03,2.95
2010-12-06,2.95
2010-12-07,2.86
2010-12-08,2.86
2010-12-09,2.85
2010-12-10,2.85
2010-12-13,2.85
2010-12-14,2.85
2010-12-15,2.85
2010-12-16,2.85
2010-12-17,2.85
2010-12-20,2.85
2010-12-21,2.71
2010-12-22,2.65
2010-12-23,2.65
2010-12-27,2.65
2010-12-28,2.65
2010-12-29,2.65
2010-12-30,2.65
2010-12-31,2.65
2011-01-03,2.65
2011-01-04,2.65
2011-01-05,2.6
2011-01-06,2.6
2011-01-07,2.6
2011-01-10,2.6
2011-01-11,2.6
2011-01-12,2.62
2011-01-13,2.62
2011-01-14,2.62
2011-01-18,2.62
2011-01-19,2.62
2011-01-20,2.62
2011-01-21,2.62
2011-01-24,2.72
2011-01-25,2.68
2011-01-26,2.74
2011-01-27,2.74
2011-01-28,2.74
2011-01-31,2.74
2011-02-01,2.71
2011-02-02,2.71
2011-02-03,2.71
2011-02-04,2.71
2011-02-07,2.53
2011-02-08,2.51
2011-02-09,2.51
2011-02-10,2.51
2011-02-11,2.51
2011-02-14,2.51
2011-02-15,2.51
2011-02-16,2.51
2011-02-17,2.51
2011-02-18,2.51
2011-02-22,2.51
2011-02-23,2.51
2011-02-24,2.51
2011-02-25,2.67
2011-02-28,2.67
2011-03-01,2.67
2011-03-02,2.67
2011-03-03,2.58
2011-03-04,2.58
2011-03-07,2.58
2011-03-08,2.58
2011-03-09,2.58
2011-03-10,2.58
2011-03-11,2.58
2011-03-14,2.58
2011-03-15,2.58
2011-03-16,2.58
2011-03-17,2.58
2011-03-18,2.58
2011-03-21,2.58
2011-03-22,2.58
2011-03-23,2.58
2011-03-24,2.92
2011-03-25,2.92
2011-03-28,2.92
2011-03-29,2.92
2011-03-30,2.92
2011-03-31,2.92
2011-04-01,2.92
2011-04-04,2.92
2011-04-05,2.92
2011-04-06,2.92
2011-04-07,2.92
2011-04-08,2.92
2011-04-11,2.92
2011-04-12,2.92
2011-04-13,2.92
2011-04-14,2.92
2011-04-15,2.92
2011-04-18,2.92
2011-04-19,2.92
2011-04-20,2.92
2011-04-21,3.17
2011-04-25,3.17
2011-04-26,3.17
2011-04-27,3.11
2011-04-28,3.11
2011-04-29,3.11
2011-05-02,3.11
2011-05-03,3.11
2011-05-04,3.11
2011-05-05,3.11
2011-05-06,3.11
2011-05-09,3.11
2011-05-10,3.11
2011-05-11,3.11
2011-05-12,3.11
2011-05-13,3.11
2011-05-16,3.11
2011-05-17,2.97
2011-05-18,2.97
2011-05-19,3.04
2011-05-20,3.02
2011-05-23,3.02
2011-05-24,3.24
2011-05-25,3.18
2011-05-26,3.18
2011-05-27,3.29
2011-05-31,3.41
2011-06-01,3.22
2011-06-02,3.22
2011-06-03,3.22
2011-06-06,3.21
2011-06-07,3.21
2011-06-08,3.11
2011-06-09,3.14
2011-06-10,3.13
2011-06-13,3.13
2011-06-14,3.13
2011-06-15,3.13
2011-06-16,3.13
2011-06-17,3.13
2011-06-20,3.13
2011-06-21,3.13
2011-06-22,3.13
2011-06-23,3.13
2011-06-24,3.13
2011-06-27,3.13
2011-06-28,3.13
2011-06-29,3.13
2011-06-30,3.13
2011-07-01,3.13
2011-07-05,2.61
2011-07-06,2.61
2011-07-07,2.61
2011-07-08,2.61
2011-07-11,2.61
2011-07-12,2.61
2011-07-13,2.61
2011-07-14,2.61
2011-07-15,2.61
2011-07-18,2.61
2011-07-19,2.61
2011-07-20,2.61
2011-07-21,2.61
2011-07-22,2.99
2011-07-25,2.99
2011-07-26,2.9
2011-07-27,2.9
2011-07-28,2.9
2011-07-29,2.9
2011-08-01,2.9
2011-08-02,2.9
2011-08-03,2.9
2011-08-04,2.9
2011-08-05,2.58
2011-08-08,2.58
2011-08-09,2.58
2011-08-10,2.58
2011-08-11,2.58
2011-08-12,2.58
2011-08-15,2.58
2011-08-16,2.58
2011-08-17,2.58
2011-08-18,2.58
2011-08-19,2.58
2011-08-22,2.58
2011-08-23,2.58
2011-08-24,2.58
2011-08-25,2.58
2011-08-26,2.58
2011-08-29,2.58
2011-08-30,2.58
2011-08-31,2.11
2011-09-01,2.11
2011-09-02,2.11
2011-09-06,2.11
2011-09-07,2.54
2011-09-08,2.54
2011-09-09,2.54
2011-09-12,2.54
2011-09-13,2.19
2011-09-14,2.19
2011-09-15,2.28
2011-09-16,2.28
2011-09-19,2.28
2011-09-20,2.28
2011-09-21,2.28
2011-09-22,2.28
2011-09-23,2.28
2011-09-26,2.28
2011-09-27,2.28
2011-09-28,2.28
2011-09-29,2.28
2011-09-30,2.28
2011-10-03,2.28
2011-10-04,2.28
2011-10-05,2.28
2011-10-06,2.28
2011-10-07,2.28
2011-10-10,2.28
2011-10-11,2.28
2011-10-12,2.28
