Date,IBKR
2007-05-04,31.299999
2007-05-07,29.75
2007-05-08,28.5
2007-05-09,28.32
2007-05-10,27.690001000000002
2007-05-11,27.23
2007-05-14,27.65
2007-05-15,27.98
2007-05-16,28.27
2007-05-17,27.32
2007-05-18,26.620001000000002
2007-05-21,27.09
2007-05-22,27.549999
2007-05-23,27.120001000000002
2007-05-24,27.0
2007-05-25,27.290001
2007-05-29,27.549999
2007-05-30,25.91
2007-05-31,25.5
2007-06-01,26.540001
2007-06-04,26.1
2007-06-05,26.27
2007-06-06,26.959999
2007-06-07,26.799999
2007-06-08,27.74
2007-06-11,28.24
2007-06-12,28.700001
2007-06-13,27.91
2007-06-14,27.459999
2007-06-15,27.950001
2007-06-18,27.6
2007-06-19,27.32
2007-06-20,27.059998999999998
2007-06-21,26.85
2007-06-22,26.41
2007-06-25,26.129998999999998
2007-06-26,26.879998999999998
2007-06-27,27.23
2007-06-28,27.219998999999998
2007-06-29,27.129998999999998
2007-07-02,27.26
2007-07-03,27.23
2007-07-05,27.110001
2007-07-06,24.969998999999998
2007-07-09,24.35
2007-07-10,23.49
2007-07-11,23.709999
2007-07-12,24.24
2007-07-13,23.98
2007-07-16,23.540001
2007-07-17,23.41
2007-07-18,23.01
2007-07-19,22.809998999999998
2007-07-20,23.120001000000002
2007-07-23,23.07
2007-07-24,21.99
2007-07-25,21.799999
2007-07-26,21.98
2007-07-27,22.93
2007-07-30,24.690001000000002
2007-07-31,24.280001000000002
2007-08-01,24.110001
2007-08-02,24.540001
2007-08-03,23.5
2007-08-06,23.18
2007-08-07,24.02
2007-08-08,24.57
2007-08-09,25.07
2007-08-10,25.129998999999998
2007-08-13,25.25
2007-08-14,24.860001
2007-08-15,24.059998999999998
2007-08-16,23.91
2007-08-17,24.690001000000002
2007-08-20,24.75
2007-08-21,25.33
2007-08-22,26.59
2007-08-23,26.530001000000002
2007-08-24,26.75
2007-08-27,26.52
2007-08-28,26.26
2007-08-29,26.809998999999998
2007-08-30,26.610001
2007-08-31,26.76
2007-09-04,27.01
2007-09-05,26.49
2007-09-06,26.290001
2007-09-07,26.040001
2007-09-10,25.65
2007-09-11,25.370001000000002
2007-09-12,26.01
2007-09-13,26.120001000000002
2007-09-14,26.120001000000002
2007-09-17,26.17
2007-09-18,27.02
2007-09-19,27.43
2007-09-20,27.48
2007-09-21,27.75
2007-09-24,27.33
2007-09-25,26.950001
2007-09-26,27.02
2007-09-27,26.790001
2007-09-28,26.26
2007-10-01,27.58
2007-10-02,27.5
2007-10-03,27.370001000000002
2007-10-04,27.299999
2007-10-05,27.6
2007-10-08,27.309998999999998
2007-10-09,27.450001
2007-10-10,28.32
2007-10-11,27.790001
2007-10-12,27.93
2007-10-15,28.9
2007-10-16,28.75
2007-10-17,29.18
2007-10-18,29.5
2007-10-19,28.610001
2007-10-22,28.950001
2007-10-23,29.91
2007-10-24,30.110001
2007-10-25,30.940001000000002
2007-10-26,30.110001
2007-10-29,29.15
2007-10-30,28.67
2007-10-31,28.870001000000002
2007-11-01,27.83
2007-11-02,29.0
2007-11-05,28.91
2007-11-06,28.99
2007-11-07,28.5
2007-11-08,27.969998999999998
2007-11-09,27.559998999999998
2007-11-12,27.76
2007-11-13,28.0
2007-11-14,27.92
2007-11-15,27.6
2007-11-16,27.68
2007-11-19,27.309998999999998
2007-11-20,28.0
2007-11-21,28.0
2007-11-23,27.66
2007-11-26,27.58
2007-11-27,27.950001
2007-11-28,28.690001000000002
2007-11-29,29.17
2007-11-30,29.4
2007-12-03,29.75
2007-12-04,29.5
2007-12-05,29.99
2007-12-06,30.790001
2007-12-07,31.049999
2007-12-10,31.799999
2007-12-11,30.959999
2007-12-12,30.889999
2007-12-13,30.18
2007-12-14,30.639999
2007-12-17,30.02
2007-12-18,29.879998999999998
2007-12-19,30.93
2007-12-20,32.27
2007-12-21,32.66
2007-12-24,32.560001
2007-12-26,33.009997999999996
2007-12-27,32.439999
2007-12-28,32.400002
2007-12-31,32.32
2008-01-02,31.91
2008-01-03,31.610001
2008-01-04,31.0
2008-01-07,31.35
2008-01-08,31.32
2008-01-09,31.780001000000002
2008-01-10,32.610001000000004
2008-01-11,32.77
2008-01-14,33.869999
2008-01-15,32.889998999999996
2008-01-16,32.540001000000004
2008-01-17,31.450001
2008-01-18,31.33
2008-01-22,30.52
2008-01-23,31.870001000000002
2008-01-24,32.860001000000004
2008-01-25,31.450001
2008-01-28,33.34
2008-01-29,33.349998
2008-01-30,33.740002000000004
2008-01-31,34.810001
2008-02-01,35.470001
2008-02-04,35.0
2008-02-05,34.02
2008-02-06,32.599998
2008-02-07,32.23
2008-02-08,31.67
2008-02-11,32.740002000000004
2008-02-12,33.23
2008-02-13,34.07
2008-02-14,33.959998999999996
2008-02-15,34.450001
2008-02-19,34.049999
2008-02-20,34.650002
2008-02-21,34.599998
2008-02-22,34.490002000000004
2008-02-25,34.700001
2008-02-26,34.869999
2008-02-27,34.060001
2008-02-28,33.279999
2008-02-29,31.07
2008-03-03,30.49
2008-03-04,30.280001000000002
2008-03-05,30.969998999999998
2008-03-06,29.709999
2008-03-07,30.35
2008-03-10,29.84
2008-03-11,31.66
2008-03-12,31.93
2008-03-13,31.91
2008-03-14,29.719998999999998
2008-03-17,25.370001000000002
2008-03-18,25.59
2008-03-19,26.74
2008-03-20,26.9
2008-03-24,27.16
2008-03-25,27.110001
2008-03-26,26.870001000000002
2008-03-27,26.82
2008-03-28,26.07
2008-03-31,25.67
2008-04-01,28.440001000000002
2008-04-02,28.25
2008-04-03,28.940001000000002
2008-04-04,28.700001
2008-04-07,28.73
2008-04-08,28.870001000000002
2008-04-09,27.799999
2008-04-10,27.950001
2008-04-11,27.290001
2008-04-14,25.9
2008-04-15,26.690001000000002
2008-04-16,28.129998999999998
2008-04-17,28.1
2008-04-18,27.870001000000002
2008-04-21,28.27
2008-04-22,27.59
2008-04-23,27.48
2008-04-24,27.870001000000002
2008-04-25,30.92
2008-04-28,31.139999
2008-04-29,31.620001000000002
2008-04-30,31.57
2008-05-01,32.150002
2008-05-02,31.85
2008-05-05,32.240002000000004
2008-05-06,32.240002000000004
2008-05-07,32.73
2008-05-08,31.950001
2008-05-09,32.619999
2008-05-12,32.990002000000004
2008-05-13,32.669998
2008-05-14,32.799999
2008-05-15,32.759997999999996
2008-05-16,32.34
2008-05-19,31.99
2008-05-20,31.360001
2008-05-21,30.74
2008-05-22,30.620001000000002
2008-05-23,29.83
2008-05-27,31.48
2008-05-28,31.559998999999998
2008-05-29,32.130001
2008-05-30,32.57
2008-06-02,32.02
2008-06-03,32.02
2008-06-04,32.740002000000004
2008-06-05,34.720001
2008-06-06,32.66
2008-06-09,32.889998999999996
2008-06-10,32.77
2008-06-11,32.029999
2008-06-12,32.66
2008-06-13,34.419998
2008-06-16,34.830002
2008-06-17,33.630001
2008-06-18,33.369999
2008-06-19,33.669998
2008-06-20,33.490002000000004
2008-06-23,33.5
2008-06-24,33.459998999999996
2008-06-25,33.540001000000004
2008-06-26,33.0
2008-06-27,32.540001000000004
2008-06-30,32.130001
2008-07-01,31.91
2008-07-02,31.0
2008-07-03,30.24
2008-07-07,29.73
2008-07-08,31.91
2008-07-09,30.4
2008-07-10,29.35
2008-07-11,30.0
2008-07-14,28.950001
2008-07-15,29.65
2008-07-16,31.450001
2008-07-17,32.119999
2008-07-18,33.720001
2008-07-21,32.209998999999996
2008-07-22,33.790001000000004
2008-07-23,33.959998999999996
2008-07-24,32.200001
2008-07-25,26.030001000000002
2008-07-28,26.219998999999998
2008-07-29,27.57
2008-07-30,27.889999
2008-07-31,28.059998999999998
2008-08-01,28.32
2008-08-04,26.99
2008-08-05,27.85
2008-08-06,27.639999
2008-08-07,27.23
2008-08-08,28.389999
2008-08-11,28.73
2008-08-12,27.27
2008-08-13,27.389999
2008-08-14,28.559998999999998
2008-08-15,28.889999
2008-08-18,27.870001000000002
2008-08-19,27.040001
2008-08-20,27.32
2008-08-21,26.74
2008-08-22,27.43
2008-08-25,26.76
2008-08-26,26.959999
2008-08-27,27.16
2008-08-28,27.4
2008-08-29,27.299999
2008-09-02,27.34
2008-09-03,27.24
2008-09-04,26.07
2008-09-05,26.92
2008-09-08,25.93
2008-09-09,24.059998999999998
2008-09-10,23.75
2008-09-11,24.23
2008-09-12,24.879998999999998
2008-09-15,23.360001
2008-09-16,22.790001
2008-09-17,19.32
2008-09-18,19.66
2008-09-19,21.969998999999998
2008-09-22,21.639999
2008-09-23,20.549999
2008-09-24,20.860001
2008-09-25,21.09
2008-09-26,24.190001000000002
2008-09-29,21.200001
2008-09-30,22.17
2008-10-01,22.889999
2008-10-02,22.51
2008-10-03,21.450001
2008-10-06,21.540001
2008-10-07,21.51
2008-10-08,20.23
2008-10-09,19.18
2008-10-10,20.58
2008-10-13,23.17
