Date,OVV
2002-04-08,74.974998
2002-04-09,74.074997
2002-04-10,74.75
2002-04-11,74.699997
2002-04-12,71.949997
2002-04-15,72.625
2002-04-16,73.875
2002-04-17,75.974998
2002-04-18,75.75
2002-04-19,75.800003
2002-04-22,75.650002
2002-04-23,76.875
2002-04-24,76.5
2002-04-25,78.275002
2002-04-26,78.474998
2002-04-29,77.625
2002-04-30,78.625
2002-05-01,79.25
2002-05-02,79.449997
2002-05-03,80.5
2002-05-06,78.375
2002-05-07,77.125
2002-05-08,79.25
2002-05-09,78.900002
2002-05-10,78.625
2002-05-13,77.400002
2002-05-14,78.425003
2002-05-15,76.25
2002-05-16,76.199997
2002-05-17,76.400002
2002-05-20,75.625
2002-05-21,75.625
2002-05-22,75.449997
2002-05-23,77.074997
2002-05-24,76.375
2002-05-28,76.300003
2002-05-29,76.300003
2002-05-30,75.625
2002-05-31,76.75
2002-06-03,75.599998
2002-06-04,74.974998
2002-06-05,74.25
2002-06-06,74.175003
2002-06-07,74.625
2002-06-10,72.824997
2002-06-11,71.25
2002-06-12,73.0
2002-06-13,73.574997
2002-06-14,74.25
2002-06-17,76.050003
2002-06-18,75.050003
2002-06-19,75.375
2002-06-20,76.449997
2002-06-21,77.5
2002-06-24,76.125
2002-06-25,76.599998
2002-06-26,75.425003
2002-06-27,74.75
2002-06-28,76.5
2002-07-01,78.375
2002-07-02,76.75
2002-07-03,75.875
2002-07-05,77.900002
2002-07-08,77.300003
2002-07-09,77.474998
2002-07-10,75.75
2002-07-11,72.525002
2002-07-12,71.25
2002-07-15,69.599998
2002-07-16,69.849998
2002-07-17,71.0
2002-07-18,69.525002
2002-07-19,67.974998
2002-07-22,63.799999
2002-07-23,60.200001
2002-07-24,67.074997
2002-07-25,66.125
2002-07-26,66.0
2002-07-29,67.875
2002-07-30,69.375
2002-07-31,70.800003
2002-08-01,70.125
2002-08-02,70.974998
2002-08-05,68.675003
2002-08-06,71.175003
2002-08-07,70.625
2002-08-08,71.625
2002-08-09,71.5
2002-08-12,72.5
2002-08-13,73.25
2002-08-14,74.875
2002-08-15,76.474998
2002-08-16,76.324997
2002-08-19,75.474998
2002-08-20,76.875
2002-08-21,76.275002
2002-08-22,76.949997
2002-08-23,74.775002
2002-08-26,75.849998
2002-08-27,76.275002
2002-08-28,75.150002
2002-08-29,73.5
2002-08-30,73.5
2002-09-03,71.75
2002-09-04,71.574997
2002-09-05,72.275002
2002-09-06,73.474998
2002-09-09,74.175003
2002-09-10,74.75
2002-09-11,75.150002
2002-09-12,74.025002
2002-09-13,75.0
2002-09-16,75.650002
2002-09-17,73.0
2002-09-18,73.625
2002-09-19,72.224998
2002-09-20,72.425003
2002-09-23,74.175003
2002-09-24,73.375
2002-09-25,74.949997
2002-09-26,75.224998
2002-09-27,74.625
2002-09-30,75.25
2002-10-01,74.900002
2002-10-02,74.300003
2002-10-03,73.5
2002-10-04,73.150002
2002-10-07,72.175003
2002-10-08,70.625
2002-10-09,67.449997
2002-10-10,67.775002
2002-10-11,68.625
2002-10-14,70.5
2002-10-15,73.675003
2002-10-16,73.625
2002-10-17,74.875
