Date,NKTR
1994-05-03,3.75
1994-05-04,3.75
1994-05-05,3.75
1994-05-06,3.75
1994-05-09,3.75
1994-05-10,3.75
1994-05-11,3.75
1994-05-12,3.75
1994-05-13,3.734375
1994-05-16,3.75
1994-05-17,3.75
1994-05-18,3.75
1994-05-19,3.734375
1994-05-20,3.75
1994-05-23,3.75
1994-05-24,3.75
1994-05-25,3.75
1994-05-26,4.0
1994-05-27,3.75
1994-05-31,3.75
1994-06-01,3.75
1994-06-02,3.75
1994-06-03,3.75
1994-06-06,3.75
1994-06-07,3.5
1994-06-08,3.5
1994-06-09,3.25
1994-06-10,3.375
1994-06-13,3.125
1994-06-14,3.125
1994-06-15,3.125
1994-06-16,3.25
1994-06-17,3.125
1994-06-20,3.25
1994-06-21,2.875
1994-06-22,2.875
1994-06-23,2.75
1994-06-24,2.875
1994-06-27,2.75
1994-06-28,2.75
1994-06-29,2.75
1994-06-30,2.75
1994-07-01,2.875
1994-07-05,2.875
1994-07-06,2.75
1994-07-07,2.8125
1994-07-08,2.8125
1994-07-11,2.8125
1994-07-12,2.8125
1994-07-13,2.75
1994-07-14,2.875
1994-07-15,2.875
1994-07-18,2.875
1994-07-19,2.875
1994-07-20,2.75
1994-07-21,2.6875
1994-07-22,2.75
1994-07-25,2.75
1994-07-26,2.875
1994-07-27,2.875
1994-07-28,2.875
1994-07-29,2.875
1994-08-01,2.75
1994-08-02,2.875
1994-08-03,2.875
1994-08-04,3.0
1994-08-05,3.0
1994-08-08,3.125
1994-08-09,3.125
1994-08-10,3.125
1994-08-11,3.25
1994-08-12,3.375
1994-08-15,3.375
1994-08-16,3.125
1994-08-17,3.625
1994-08-18,3.625
1994-08-19,3.4375
1994-08-22,3.8125
1994-08-23,3.6875
1994-08-24,3.75
1994-08-25,3.875
1994-08-26,3.875
1994-08-29,3.875
1994-08-30,3.875
1994-08-31,4.25
1994-09-01,4.25
1994-09-02,3.875
1994-09-06,3.875
1994-09-07,3.875
1994-09-08,4.125
1994-09-09,5.0
1994-09-12,5.0
1994-09-13,5.125
1994-09-14,5.0
1994-09-15,4.75
1994-09-16,5.0
1994-09-19,4.75
1994-09-20,4.75
1994-09-21,4.75
1994-09-22,4.75
1994-09-23,4.75
1994-09-26,4.75
1994-09-27,4.75
1994-09-28,4.625
1994-09-29,4.875
1994-09-30,4.875
1994-10-03,4.625
1994-10-04,4.625
1994-10-05,4.75
1994-10-06,4.875
1994-10-07,4.875
1994-10-10,4.875
1994-10-11,5.625
1994-10-12,5.625
1994-10-13,5.625
1994-10-14,5.625
1994-10-17,5.625
1994-10-18,5.0
1994-10-19,5.0
1994-10-20,4.25
1994-10-21,4.375
1994-10-24,4.5
1994-10-25,4.375
1994-10-26,4.375
1994-10-27,4.5
1994-10-28,4.125
1994-10-31,4.25
1994-11-01,4.25
1994-11-02,4.3125
1994-11-03,4.25
1994-11-04,4.375
1994-11-07,4.375
1994-11-08,4.125
1994-11-09,4.5
1994-11-10,4.9375
1994-11-11,5.3125
1994-11-14,5.375
1994-11-15,5.0625
1994-11-16,5.25
1994-11-17,5.125
1994-11-18,5.0
1994-11-21,4.25
1994-11-22,4.25
1994-11-23,4.25
1994-11-25,4.4375
1994-11-28,4.625
1994-11-29,4.5
1994-11-30,4.625
1994-12-01,4.625
1994-12-02,4.625
1994-12-05,4.625
1994-12-06,4.625
1994-12-07,4.625
1994-12-08,4.5
1994-12-09,4.625
1994-12-12,4.25
1994-12-13,4.5
1994-12-14,4.25
1994-12-15,4.625
1994-12-16,4.625
1994-12-19,4.625
1994-12-20,4.625
1994-12-21,3.9375
1994-12-22,4.0
1994-12-23,3.875
1994-12-27,4.0
1994-12-28,4.0
1994-12-29,4.46875
1994-12-30,4.625
1995-01-03,4.5
1995-01-04,4.625
1995-01-05,4.625
1995-01-06,4.625
1995-01-09,4.625
1995-01-10,4.625
1995-01-11,4.625
1995-01-12,4.4375
1995-01-13,4.4375
1995-01-16,4.625
1995-01-17,4.5625
1995-01-18,4.625
1995-01-19,5.25
1995-01-20,5.5
1995-01-23,5.1875
1995-01-24,5.25
1995-01-25,5.25
1995-01-26,5.0
1995-01-27,5.0
1995-01-30,5.125
1995-01-31,5.125
1995-02-01,4.875
1995-02-02,4.875
1995-02-03,4.875
1995-02-06,4.75
1995-02-07,4.75
1995-02-08,4.75
1995-02-09,5.0
1995-02-10,5.0
1995-02-13,4.75
1995-02-14,4.875
1995-02-15,4.875
1995-02-16,4.5
1995-02-17,4.5
1995-02-21,4.5
1995-02-22,4.5
1995-02-23,4.625
1995-02-24,4.875
1995-02-27,4.875
1995-02-28,4.875
1995-03-01,4.875
1995-03-02,4.5
1995-03-03,4.875
1995-03-06,4.875
1995-03-07,4.875
1995-03-08,5.0
1995-03-09,4.75
1995-03-10,4.75
1995-03-13,4.75
1995-03-14,4.75
1995-03-15,4.5
1995-03-16,4.375
1995-03-17,3.9375
1995-03-20,3.875
1995-03-21,3.625
1995-03-22,3.625
1995-03-23,3.625
1995-03-24,3.625
1995-03-27,3.625
1995-03-28,3.625
1995-03-29,3.875
1995-03-30,3.75
1995-03-31,3.875
1995-04-03,3.625
1995-04-04,3.75
1995-04-05,3.75
1995-04-06,3.625
1995-04-07,3.75
1995-04-10,3.625
1995-04-11,3.625
1995-04-12,3.5
1995-04-13,3.5
1995-04-17,3.5
1995-04-18,3.875
1995-04-19,3.875
1995-04-20,3.75
1995-04-21,3.875
1995-04-24,3.625
1995-04-25,3.875
1995-04-26,3.875
1995-04-27,3.75
1995-04-28,3.625
1995-05-01,3.625
1995-05-02,3.625
1995-05-03,3.625
1995-05-04,3.625
1995-05-05,3.875
1995-05-08,3.875
1995-05-09,3.875
1995-05-10,3.875
1995-05-11,3.875
1995-05-12,3.875
1995-05-15,3.875
1995-05-16,3.875
1995-05-17,3.875
1995-05-18,3.75
1995-05-19,3.625
1995-05-22,3.875
1995-05-23,3.5
1995-05-24,3.8125
1995-05-25,3.8125
1995-05-26,3.625
1995-05-30,3.8125
1995-05-31,3.8125
1995-06-01,3.8125
1995-06-02,3.625
1995-06-05,3.5
1995-06-06,3.8125
1995-06-07,3.8125
1995-06-08,3.625
1995-06-09,3.625
1995-06-12,3.8125
1995-06-13,3.8125
1995-06-14,3.6875
1995-06-15,3.875
1995-06-16,3.75
1995-06-19,4.0
1995-06-20,3.8125
1995-06-21,3.8125
1995-06-22,3.90625
1995-06-23,4.0
1995-06-26,4.0
1995-06-27,4.0
1995-06-28,4.0
1995-06-29,4.0
1995-06-30,4.0
1995-07-03,3.875
1995-07-05,3.875
1995-07-06,4.0
1995-07-07,4.0
1995-07-10,4.0
1995-07-11,3.875
1995-07-12,3.875
1995-07-13,4.0
1995-07-14,4.0
1995-07-17,4.0
1995-07-18,3.875
1995-07-19,3.875
1995-07-20,3.875
1995-07-21,4.0
1995-07-24,3.875
1995-07-25,4.0
1995-07-26,4.0
1995-07-27,4.0
1995-07-28,3.875
1995-07-31,4.0
1995-08-01,3.9375
1995-08-02,3.875
1995-08-03,3.875
1995-08-04,4.0625
1995-08-07,4.125
1995-08-08,4.25
1995-08-09,4.125
1995-08-10,4.1875
1995-08-11,4.25
1995-08-14,4.6875
1995-08-15,4.75
1995-08-16,5.5
1995-08-17,5.875
1995-08-18,6.5
1995-08-21,7.125
1995-08-22,7.1875
1995-08-23,7.125
1995-08-24,6.8125
1995-08-25,6.1875
1995-08-28,6.25
1995-08-29,6.125
1995-08-30,6.0
1995-08-31,6.0625
1995-09-01,6.0
1995-09-05,6.0
1995-09-06,5.875
1995-09-07,6.0
1995-09-08,6.0
1995-09-11,5.875
1995-09-12,5.8125
1995-09-13,5.9375
1995-09-14,5.8125
1995-09-15,6.0
1995-09-18,6.125
1995-09-19,6.0
1995-09-20,6.125
1995-09-21,5.8125
1995-09-22,6.125
1995-09-25,6.125
1995-09-26,5.75
1995-09-27,6.0
1995-09-28,6.0
1995-09-29,6.0
1995-10-02,5.875
1995-10-03,6.0
1995-10-04,6.0
1995-10-05,5.8125
1995-10-06,5.8125
1995-10-09,5.625
1995-10-10,5.5
1995-10-11,5.75
1995-10-12,5.5
1995-10-13,5.5
1995-10-16,5.375
1995-10-17,5.375
1995-10-18,5.5
1995-10-19,5.5625
1995-10-20,5.75
1995-10-23,5.25
1995-10-24,5.25
1995-10-25,5.375
1995-10-26,5.5
1995-10-27,5.4375
1995-10-30,5.375
1995-10-31,5.5
1995-11-01,5.75
1995-11-02,5.75
1995-11-03,6.28125
1995-11-06,6.1875
1995-11-07,6.0
1995-11-08,6.25
1995-11-09,6.0
1995-11-10,6.25
1995-11-13,6.0
1995-11-14,6.0
1995-11-15,6.0
1995-11-16,6.0
1995-11-17,6.375
1995-11-20,6.0
1995-11-21,6.25
1995-11-22,6.0
1995-11-24,6.0
1995-11-27,5.75
1995-11-28,6.0
1995-11-29,6.0
1995-11-30,6.0
1995-12-01,6.0
1995-12-04,6.0
1995-12-05,6.0
1995-12-06,5.625
1995-12-07,5.5625
1995-12-08,5.75
1995-12-11,5.5
1995-12-12,5.5
1995-12-13,5.75
1995-12-14,5.6875
1995-12-15,5.375
1995-12-18,5.5
1995-12-19,5.25
1995-12-20,5.5
1995-12-21,5.5
1995-12-22,5.5
1995-12-26,5.375
1995-12-27,5.5
1995-12-28,5.125
1995-12-29,4.875
1996-01-02,5.125
1996-01-03,5.0625
1996-01-04,5.0625
1996-01-05,5.125
1996-01-08,5.125
1996-01-09,5.125
1996-01-10,5.125
1996-01-11,5.125
1996-01-12,5.125
1996-01-15,5.0
1996-01-16,5.0625
1996-01-17,5.125
1996-01-18,5.125
1996-01-19,5.125
1996-01-22,5.0625
1996-01-23,5.125
1996-01-24,5.0625
1996-01-25,5.0625
1996-01-26,5.5
1996-01-29,5.6875
1996-01-30,6.0
1996-01-31,6.125
1996-02-01,5.9375
1996-02-02,6.0625
1996-02-05,5.8125
1996-02-06,5.96875
1996-02-07,6.125
1996-02-08,6.125
1996-02-09,6.125
1996-02-12,5.875
1996-02-13,6.125
1996-02-14,5.875
1996-02-15,5.875
1996-02-16,6.125
1996-02-20,5.875
1996-02-21,5.875
1996-02-22,5.875
1996-02-23,6.0
1996-02-26,5.875
1996-02-27,6.0
1996-02-28,6.25
1996-02-29,6.25
1996-03-01,6.125
1996-03-04,8.375
1996-03-05,7.75
1996-03-06,7.875
1996-03-07,7.875
1996-03-08,7.125
1996-03-11,7.0625
1996-03-12,7.3125
1996-03-13,7.5
1996-03-14,7.25
1996-03-15,7.75
1996-03-18,7.75
1996-03-19,7.625
1996-03-20,7.75
1996-03-21,7.6875
1996-03-22,7.625
1996-03-25,7.625
1996-03-26,7.625
1996-03-27,7.6875
1996-03-28,7.625
1996-03-29,7.625
1996-04-01,7.625
1996-04-02,7.6875
1996-04-03,7.625
1996-04-04,7.6875
1996-04-08,7.6875
1996-04-09,7.6875
1996-04-10,7.5625
1996-04-11,7.59375
1996-04-12,7.625
1996-04-15,7.5625
1996-04-16,7.6875
1996-04-17,7.625
1996-04-18,7.625
1996-04-19,7.6875
1996-04-22,7.6875
1996-04-23,8.6875
1996-04-24,9.0625
1996-04-25,9.0625
1996-04-26,8.8125
1996-04-29,9.0
1996-04-30,8.75
1996-05-01,8.875
1996-05-02,8.625
1996-05-03,8.8125
1996-05-06,9.0625
1996-05-07,9.375
1996-05-08,10.3125
1996-05-09,10.125
1996-05-10,10.125
1996-05-13,9.75
1996-05-14,9.625
1996-05-15,9.6875
1996-05-16,9.8125
1996-05-17,10.25
1996-05-20,10.0625
1996-05-21,10.0
1996-05-22,10.0625
