Date,TRMD
2018-02-23,7.6
2018-02-26,7.6
2018-02-27,7.6
2018-02-28,7.6
2018-03-01,7.6
2018-03-02,7.6
2018-03-05,7.6
2018-03-06,7.6
2018-03-07,7.4
2018-03-08,7.75
2018-03-09,7.7
2018-03-12,8.1
2018-03-13,8.1
2018-03-14,8.05
2018-03-15,8.05
2018-03-16,7.5
2018-03-19,7.85
2018-03-20,7.85
2018-03-21,7.445
2018-03-22,7.4
2018-03-23,7.485
2018-03-26,7.53
2018-03-27,7.4
2018-03-28,7.4
2018-03-29,7.4
2018-04-02,7.4
2018-04-03,7.45
2018-04-04,7.1
2018-04-05,7.3
2018-04-06,7.3
2018-04-09,7.3
2018-04-10,7.449
2018-04-11,7.45
2018-04-12,7.415
2018-04-13,7.415
2018-04-16,7.45
2018-04-17,7.47
2018-04-18,7.63
2018-04-19,7.63
2018-04-20,8.08
2018-04-23,8.05
2018-04-24,8.2
2018-04-25,7.701
2018-04-26,7.8
2018-04-27,7.8
2018-04-30,8.0
2018-05-01,8.0
2018-05-02,8.0
2018-05-03,8.0
2018-05-04,7.75
2018-05-07,7.75
2018-05-08,7.75
2018-05-09,7.75
2018-05-10,7.75
2018-05-11,7.75
2018-05-14,7.909
2018-05-15,7.93
2018-05-16,7.93
2018-05-17,7.93
2018-05-18,7.6
2018-05-21,8.0
2018-05-22,8.0
2018-05-23,7.128
2018-05-24,7.57
2018-05-25,7.58
2018-05-29,7.58
2018-05-30,7.32
2018-05-31,7.32
2018-06-01,7.69
2018-06-04,7.85
2018-06-05,7.86
2018-06-06,7.86
2018-06-07,7.986
2018-06-08,7.986
2018-06-11,7.986
2018-06-12,7.986
2018-06-13,7.986
2018-06-14,7.986
2018-06-15,8.05
2018-06-18,8.05
2018-06-19,7.715
2018-06-20,7.715
2018-06-21,7.8
2018-06-22,7.8
2018-06-25,7.8
2018-06-26,7.8
2018-06-27,7.8
2018-06-28,7.8
2018-06-29,7.8
2018-07-02,7.8
2018-07-03,7.8
2018-07-05,7.8
2018-07-06,7.25
2018-07-09,7.25
2018-07-10,7.25
2018-07-11,7.25
2018-07-12,7.25
2018-07-13,7.25
2018-07-16,7.25
2018-07-17,7.25
2018-07-18,7.25
2018-07-19,7.25
2018-07-20,7.25
2018-07-23,7.25
2018-07-24,7.25
2018-07-25,7.25
2018-07-26,7.678
2018-07-27,7.678
2018-07-30,7.678
2018-07-31,7.75
2018-08-01,7.85
2018-08-02,7.85
2018-08-03,7.85
2018-08-06,7.64
2018-08-07,7.58
2018-08-08,7.48
2018-08-09,7.22
2018-08-10,7.0
2018-08-13,6.79
2018-08-14,6.57
2018-08-15,6.62
2018-08-16,6.6
2018-08-17,6.6
2018-08-20,6.6
2018-08-21,6.619
2018-08-22,6.6
2018-08-23,6.6
2018-08-24,6.6
2018-08-27,6.63
2018-08-28,6.63
2018-08-29,6.77
2018-08-30,6.52
2018-08-31,6.57
2018-09-04,6.49
2018-09-05,6.49
2018-09-06,6.49
2018-09-07,6.49
2018-09-10,6.49
2018-09-11,7.09
2018-09-12,7.09
2018-09-13,7.0
2018-09-14,7.0
2018-09-17,5.939
2018-09-18,5.939
2018-09-19,5.939
2018-09-20,5.939
2018-09-21,5.939
