Date,CCE
2019-12-05,
2019-12-06,
2019-12-09,
2019-12-10,
2019-12-11,
2019-12-12,
2019-12-13,
2019-12-16,
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,
2019-12-23,
2019-12-24,
2019-12-26,
2019-12-27,
2019-12-30,
2019-12-31,
2020-01-02,
2020-01-03,1139.880005
2020-01-06,1132.609985
2020-01-07,1122.01001
2020-01-08,1117.699951
2020-01-09,1133.660034
2020-01-10,1138.839966
2020-01-13,1146.400024
2020-01-14,1143.800049
2020-01-15,1132.560059
2020-01-16,1129.51001
2020-01-17,1127.910034
2020-01-21,1123.51001
2020-01-22,1124.089966
2020-01-23,1127.209961
2020-01-24,1127.599976
2020-01-27,1100.030029
2020-01-28,1100.72998
2020-01-29,1096.800049
2020-01-30,1088.780029
2020-01-31,1082.329956
2020-02-03,1086.959961
2020-02-04,1103.97998
2020-02-05,1115.670044
2020-02-06,1117.859985
2020-02-07,1114.22998
2020-02-10,1108.23999
2020-02-11,1115.530029
2020-02-12,1120.319946
2020-02-13,1121.050049
2020-02-14,1123.930054
2020-02-18,1121.869995
2020-02-19,1125.550049
2020-02-20,1115.170044
2020-02-21,1109.959961
2020-02-24,1065.98999
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-03-02,980.0200199999999
2020-03-03,1018.7000119999999
2020-03-04,1011.909973
2020-03-05,990.7000119999999
2020-03-06,958.5499880000001
2020-03-09,885.6199949999999
2020-03-10,881.4799800000001
2020-03-11,838.650024
2020-03-12,736.679993
2020-03-13,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,749.539978
2020-03-27,734.789978
2020-03-30,725.630005
2020-03-31,741.98999
2020-04-01,721.97998
2020-04-02,726.76001
2020-04-03,726.179993
2020-04-06,759.799988
2020-04-07,779.179993
2020-04-08,770.8099980000001
2020-04-09,790.530029
2020-04-13,789.679993
2020-04-14,808.630005
2020-04-15,776.869995
2020-04-16,770.799988
2020-04-17,786.169983
2020-04-20,785.830017
2020-04-21,756.02002
2020-04-22,766.6099849999999
2020-04-23,778.6099849999999
2020-04-24,776.369995
2020-04-27,777.98999
2020-04-28,
2020-04-29,810.840027
2020-04-30,
2020-05-01,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
