Date,REGI
2013-03-18,7.93
2013-03-19,7.83
2013-03-20,7.72
2013-03-21,7.76
2013-03-22,7.16
2013-03-25,7.5
2013-03-26,7.48
2013-03-27,8.09
2013-03-28,7.69
2013-04-01,7.9
2013-04-02,8.08
2013-04-03,7.9
2013-04-04,7.92
2013-04-05,8.29
2013-04-08,8.5
2013-04-09,9.27
2013-04-10,9.43
2013-04-11,9.33
2013-04-12,9.32
2013-04-15,8.58
2013-04-16,8.87
2013-04-17,8.8
2013-04-18,9.1
2013-04-19,9.05
2013-04-22,9.43
2013-04-23,9.5
2013-04-24,9.49
2013-04-25,9.72
2013-04-26,9.91
2013-04-29,9.79
2013-04-30,9.83
2013-05-01,9.91
2013-05-02,11.35
2013-05-03,11.85
2013-05-06,12.03
2013-05-07,11.97
2013-05-08,12.28
2013-05-09,12.75
2013-05-10,12.48
2013-05-13,12.99
2013-05-14,13.11
2013-05-15,13.17
2013-05-16,13.23
2013-05-17,13.25
2013-05-20,14.44
2013-05-21,14.21
2013-05-22,13.42
2013-05-23,13.61
2013-05-24,13.58
2013-05-28,13.64
2013-05-29,13.79
2013-05-30,13.83
2013-05-31,13.53
2013-06-03,12.99
2013-06-04,13.59
2013-06-05,13.18
2013-06-06,13.23
2013-06-07,12.89
2013-06-10,13.31
2013-06-11,13.07
2013-06-12,12.73
2013-06-13,12.96
2013-06-14,12.86
2013-06-17,13.22
2013-06-18,12.97
2013-06-19,13.25
2013-06-20,12.87
2013-06-21,13.55
2013-06-24,12.99
2013-06-25,13.12
2013-06-26,13.98
2013-06-27,14.67
2013-06-28,14.23
2013-07-01,14.33
2013-07-02,14.3
2013-07-03,14.56
2013-07-05,14.63
2013-07-08,15.49
2013-07-09,15.27
2013-07-10,14.72
2013-07-11,14.01
2013-07-12,14.38
2013-07-15,14.45
2013-07-16,14.19
2013-07-17,14.14
2013-07-18,14.15
2013-07-19,13.76
2013-07-22,13.91
2013-07-23,13.93
2013-07-24,14.02
2013-07-25,14.16
2013-07-26,14.06
2013-07-29,14.14
2013-07-30,13.98
2013-07-31,15.59
2013-08-01,15.62
2013-08-02,14.84
2013-08-05,15.29
2013-08-06,15.44
2013-08-07,15.32
2013-08-08,15.42
2013-08-09,15.57
2013-08-12,15.6
2013-08-13,15.98
2013-08-14,15.77
2013-08-15,15.29
2013-08-16,15.11
2013-08-19,12.88
2013-08-20,14.4
2013-08-21,14.03
2013-08-22,14.39
2013-08-23,14.6
2013-08-26,15.29
2013-08-27,14.64
2013-08-28,15.25
2013-08-29,15.86
2013-08-30,15.45
2013-09-03,16.0
2013-09-04,15.6
2013-09-05,15.86
2013-09-06,15.62
2013-09-09,15.88
2013-09-10,15.16
2013-09-11,14.68
2013-09-12,14.79
2013-09-13,15.39
2013-09-16,15.15
2013-09-17,15.67
2013-09-18,15.51
2013-09-19,15.47
2013-09-20,15.25
2013-09-23,15.26
2013-09-24,15.48
2013-09-25,15.49
2013-09-26,15.4
2013-09-27,15.15
2013-09-30,15.15
2013-10-01,15.77
2013-10-02,15.32
2013-10-03,15.12
2013-10-04,15.52
2013-10-07,15.08
2013-10-08,14.03
2013-10-09,14.35
2013-10-10,13.91
2013-10-11,13.8
2013-10-14,13.76
2013-10-15,13.67
2013-10-16,13.9
2013-10-17,13.79
2013-10-18,13.56
2013-10-21,13.53
2013-10-22,12.97
2013-10-23,12.86
2013-10-24,13.13
2013-10-25,11.34
2013-10-28,11.3
2013-10-29,11.12
2013-10-30,11.3
2013-10-31,10.91
2013-11-01,11.37
2013-11-04,11.55
2013-11-05,11.77
2013-11-06,13.0
2013-11-07,13.0
2013-11-08,13.34
2013-11-11,13.99
2013-11-12,13.92
2013-11-13,14.17
2013-11-14,14.06
2013-11-15,13.38
2013-11-18,11.42
2013-11-19,11.01
2013-11-20,11.17
2013-11-21,11.24
2013-11-22,11.01
2013-11-25,10.81
2013-11-26,11.24
2013-11-27,11.27
2013-11-29,11.37
2013-12-02,11.27
2013-12-03,11.18
2013-12-04,11.3
2013-12-05,11.21
2013-12-06,11.26
2013-12-09,10.81
2013-12-10,10.89
2013-12-11,10.36
2013-12-12,10.26
2013-12-13,10.51
2013-12-16,10.61
2013-12-17,10.56
2013-12-18,11.1
2013-12-19,10.97
2013-12-20,11.26
2013-12-23,11.46
2013-12-24,11.8
2013-12-26,11.36
2013-12-27,11.84
2013-12-30,12.03
2013-12-31,11.46
2014-01-02,11.84
2014-01-03,11.79
2014-01-06,11.47
2014-01-07,11.26
2014-01-08,10.9
2014-01-09,10.63
2014-01-10,10.64
2014-01-13,10.51
2014-01-14,10.74
2014-01-15,10.79
2014-01-16,10.92
2014-01-17,10.88
2014-01-21,11.28
2014-01-22,11.77
2014-01-23,10.53
2014-01-24,10.3
2014-01-27,10.03
2014-01-28,10.01
2014-01-29,10.15
2014-01-30,10.26
2014-01-31,10.01
2014-02-03,9.72
2014-02-04,9.94
2014-02-05,10.02
2014-02-06,10.16
2014-02-07,10.34
2014-02-10,10.26
2014-02-11,10.27
2014-02-12,10.23
2014-02-13,10.36
2014-02-14,10.97
2014-02-18,11.42
2014-02-19,11.4
2014-02-20,11.4
2014-02-21,11.27
2014-02-24,11.71
2014-02-25,11.54
2014-02-26,11.52
2014-02-27,11.89
2014-02-28,11.67
2014-03-03,11.24
2014-03-04,11.5
2014-03-05,11.34
2014-03-06,11.43
2014-03-07,11.48
2014-03-10,11.34
2014-03-11,10.73
2014-03-12,11.23
2014-03-13,11.09
2014-03-14,11.41
2014-03-17,11.37
2014-03-18,11.96
2014-03-19,11.98
2014-03-20,11.99
2014-03-21,12.0
2014-03-24,11.83
2014-03-25,11.74
2014-03-26,11.15
2014-03-27,11.2
2014-03-28,11.52
2014-03-31,11.99
2014-04-01,12.04
2014-04-02,12.06
2014-04-03,12.01
2014-04-04,11.72
2014-04-07,11.68
2014-04-08,11.79
2014-04-09,11.99
2014-04-10,11.98
2014-04-11,11.85
2014-04-14,11.91
2014-04-15,12.2
2014-04-16,12.58
2014-04-17,11.89
2014-04-21,11.59
2014-04-22,11.44
2014-04-23,12.08
2014-04-24,12.03
2014-04-25,11.74
2014-04-28,11.48
2014-04-29,11.46
2014-04-30,11.77
2014-05-01,11.56
2014-05-02,11.57
2014-05-05,11.75
2014-05-06,11.25
2014-05-07,10.4
2014-05-08,10.06
2014-05-09,10.1
2014-05-12,10.13
2014-05-13,10.2
2014-05-14,10.12
2014-05-15,10.12
2014-05-16,10.3
2014-05-19,10.17
2014-05-20,10.05
2014-05-21,10.15
2014-05-22,10.31
2014-05-23,11.45
2014-05-27,11.01
2014-05-28,10.94
2014-05-29,10.01
2014-05-30,9.89
2014-06-02,9.83
2014-06-03,9.97
2014-06-04,10.07
2014-06-05,10.15
2014-06-06,10.2
2014-06-09,10.45
2014-06-10,10.41
2014-06-11,10.31
2014-06-12,10.17
2014-06-13,10.36
2014-06-16,10.82
2014-06-17,11.11
2014-06-18,10.98
2014-06-19,11.22
2014-06-20,11.36
2014-06-23,11.2
2014-06-24,11.35
2014-06-25,11.45
2014-06-26,11.43
2014-06-27,11.5
2014-06-30,11.47
2014-07-01,11.43
2014-07-02,11.39
2014-07-03,11.64
2014-07-07,11.7
2014-07-08,11.41
2014-07-09,11.3
2014-07-10,11.28
2014-07-11,11.18
2014-07-14,11.22
2014-07-15,10.93
2014-07-16,10.96
2014-07-17,10.89
2014-07-18,11.01
2014-07-21,11.03
2014-07-22,11.16
2014-07-23,11.3
2014-07-24,10.9
2014-07-25,10.86
2014-07-28,10.85
2014-07-29,10.88
2014-07-30,11.16
2014-07-31,11.2
2014-08-01,11.41
2014-08-04,11.7
2014-08-05,11.5
2014-08-06,11.48
2014-08-07,11.56
2014-08-08,11.65
2014-08-11,11.72
2014-08-12,11.36
2014-08-13,11.48
2014-08-14,11.57
2014-08-15,11.64
2014-08-18,11.96
2014-08-19,11.96
2014-08-20,11.88
2014-08-21,11.71
2014-08-22,11.88
2014-08-25,11.97
2014-08-26,11.8
2014-08-27,11.99
2014-08-28,11.81
2014-08-29,12.16
2014-09-02,12.19
2014-09-03,11.64
2014-09-04,11.17
2014-09-05,11.04
2014-09-08,11.28
2014-09-09,11.07
2014-09-10,11.14
2014-09-11,11.02
2014-09-12,11.01
2014-09-15,10.96
2014-09-16,10.73
2014-09-17,10.61
2014-09-18,10.64
2014-09-19,10.6
2014-09-22,10.44
2014-09-23,10.27
2014-09-24,10.33
2014-09-25,10.07
2014-09-26,10.3
2014-09-29,10.37
2014-09-30,10.15
2014-10-01,9.91
2014-10-02,10.01
2014-10-03,10.16
2014-10-06,10.01
2014-10-07,10.0
2014-10-08,10.25
2014-10-09,10.22
2014-10-10,9.69
2014-10-13,9.47
2014-10-14,9.6
2014-10-15,10.0
2014-10-16,10.3
2014-10-17,10.18
2014-10-20,10.46
2014-10-21,10.6
2014-10-22,10.12
2014-10-23,10.17
2014-10-24,10.07
2014-10-27,9.97
2014-10-28,10.3
2014-10-29,10.23
2014-10-30,10.41
2014-10-31,10.53
2014-11-03,10.52
2014-11-04,9.84
2014-11-05,10.01
2014-11-06,10.38
2014-11-07,10.31
2014-11-10,10.08
2014-11-11,9.99
2014-11-12,10.35
2014-11-13,9.69
2014-11-14,10.14
2014-11-17,10.12
2014-11-18,10.2
2014-11-19,10.26
2014-11-20,10.75
2014-11-21,10.6
2014-11-24,10.28
2014-11-25,10.17
2014-11-26,10.15
2014-11-28,9.52
2014-12-01,9.12
2014-12-02,9.5
2014-12-03,10.46
2014-12-04,9.82
2014-12-05,9.85
2014-12-08,9.71
2014-12-09,10.08
2014-12-10,9.56
2014-12-11,9.31
2014-12-12,9.16
2014-12-15,8.89
2014-12-16,9.11
2014-12-17,9.64
2014-12-18,9.63
2014-12-19,10.0
2014-12-22,9.71
2014-12-23,9.72
2014-12-24,9.67
2014-12-26,9.66
2014-12-29,9.78
2014-12-30,9.82
2014-12-31,9.71
2015-01-02,9.79
2015-01-05,9.55
2015-01-06,9.12
2015-01-07,9.19
2015-01-08,9.43
2015-01-09,9.31
2015-01-12,9.29
2015-01-13,9.2
2015-01-14,9.2
2015-01-15,8.95
2015-01-16,9.07
2015-01-20,9.01
2015-01-21,8.97
2015-01-22,9.0
2015-01-23,8.9
2015-01-26,8.95
2015-01-27,8.9
2015-01-28,8.6
2015-01-29,8.77
2015-01-30,8.74
2015-02-02,8.95
2015-02-03,9.0
2015-02-04,8.9
2015-02-05,9.0
2015-02-06,8.57
2015-02-09,8.76
2015-02-10,8.76
2015-02-11,8.56
2015-02-12,8.75
2015-02-13,8.54
2015-02-17,8.6
2015-02-18,8.44
2015-02-19,8.62
2015-02-20,8.96
2015-02-23,8.63
2015-02-24,8.99
2015-02-25,8.88
2015-02-26,8.89
2015-02-27,8.92
2015-03-02,9.13
2015-03-03,9.14
2015-03-04,9.56
2015-03-05,9.42
2015-03-06,9.15
2015-03-09,9.46
2015-03-10,9.4
2015-03-11,9.44
2015-03-12,9.54
2015-03-13,9.55
2015-03-16,9.32
2015-03-17,9.44
2015-03-18,9.79
2015-03-19,9.62
2015-03-20,9.66
2015-03-23,9.66
2015-03-24,9.52
2015-03-25,9.36
2015-03-26,9.44
2015-03-27,9.4
2015-03-30,9.56
2015-03-31,9.22
2015-04-01,9.6
2015-04-02,9.36
2015-04-06,9.47
2015-04-07,9.44
2015-04-08,9.24
2015-04-09,9.1
2015-04-10,9.33
2015-04-13,9.1
2015-04-14,9.27
2015-04-15,9.23
2015-04-16,9.22
2015-04-17,8.93
2015-04-20,9.11
2015-04-21,8.86
2015-04-22,8.94
2015-04-23,9.14
2015-04-24,9.2
2015-04-27,9.34
2015-04-28,9.3
2015-04-29,9.52
2015-04-30,9.21
2015-05-01,9.08
2015-05-04,9.01
2015-05-05,8.81
2015-05-06,8.67
2015-05-07,8.86
2015-05-08,8.77
2015-05-11,8.67
2015-05-12,8.87
2015-05-13,9.03
2015-05-14,9.07
2015-05-15,9.27
2015-05-18,9.53
2015-05-19,9.58
2015-05-20,9.57
2015-05-21,9.7
2015-05-22,9.87
2015-05-26,9.93
2015-05-27,9.99
2015-05-28,10.21
2015-05-29,10.63
2015-06-01,12.38
2015-06-02,12.27
2015-06-03,11.94
2015-06-04,12.01
2015-06-05,12.2
2015-06-08,12.07
2015-06-09,12.25
2015-06-10,12.46
2015-06-11,12.34
2015-06-12,12.2
2015-06-15,12.32
2015-06-16,12.26
2015-06-17,11.95
2015-06-18,11.83
2015-06-19,11.89
2015-06-22,11.87
2015-06-23,12.17
2015-06-24,11.88
2015-06-25,11.99
2015-06-26,11.7
2015-06-29,11.46
2015-06-30,11.56
2015-07-01,11.73
2015-07-02,11.84
2015-07-06,11.88
2015-07-07,11.64
