Date,PETQ
2017-07-21,23.32
2017-07-24,22.200001
2017-07-25,21.879998999999998
2017-07-26,23.639999
2017-07-27,22.4
2017-07-28,23.49
2017-07-31,23.280001000000002
2017-08-01,23.629998999999998
2017-08-02,23.129998999999998
2017-08-03,23.32
2017-08-04,22.690001000000002
2017-08-07,23.700001
2017-08-08,23.809998999999998
2017-08-09,23.280001000000002
2017-08-10,22.15
2017-08-11,22.26
2017-08-14,22.870001000000002
2017-08-15,22.719998999999998
2017-08-16,22.219998999999998
2017-08-17,21.040001
2017-08-18,22.6
2017-08-21,23.280001000000002
2017-08-22,24.040001
2017-08-23,25.74
2017-08-24,26.25
2017-08-25,26.15
2017-08-28,25.02
2017-08-29,24.959999
2017-08-30,24.83
2017-08-31,25.059998999999998
2017-09-01,25.34
2017-09-05,26.700001
2017-09-06,25.84
2017-09-07,25.41
2017-09-08,25.299999
2017-09-11,24.959999
2017-09-12,25.25
2017-09-13,25.690001000000002
2017-09-14,25.309998999999998
2017-09-15,24.68
2017-09-18,23.26
2017-09-19,22.809998999999998
2017-09-20,23.9
2017-09-21,23.700001
2017-09-22,25.309998999999998
2017-09-25,25.110001
2017-09-26,25.26
2017-09-27,26.690001000000002
2017-09-28,26.290001
2017-09-29,27.08
2017-10-02,27.27
2017-10-03,26.0
2017-10-04,26.5
2017-10-05,26.08
2017-10-06,25.629998999999998
2017-10-09,24.9
2017-10-10,25.700001
2017-10-11,24.959999
2017-10-12,24.99
2017-10-13,24.530001000000002
2017-10-16,24.58
2017-10-17,24.709999
2017-10-18,25.280001000000002
2017-10-19,25.49
2017-10-20,25.76
2017-10-23,25.27
2017-10-24,25.93
2017-10-25,24.799999
2017-10-26,24.030001000000002
2017-10-27,24.040001
2017-10-30,24.219998999999998
2017-10-31,24.059998999999998
2017-11-01,24.049999
2017-11-02,24.360001
2017-11-03,24.99
2017-11-06,25.709999
2017-11-07,24.540001
2017-11-08,25.120001000000002
2017-11-09,22.49
2017-11-10,19.700001
2017-11-13,18.040001
