Date,MCFT
2015-07-17,15.92
2015-07-20,15.11
2015-07-21,15.65
2015-07-22,15.65
2015-07-23,15.67
2015-07-24,15.66
2015-07-27,15.42
2015-07-28,15.47
2015-07-29,15.48
2015-07-30,15.6
2015-07-31,15.3
2015-08-03,15.6
2015-08-04,15.62
2015-08-05,15.43
2015-08-06,15.49
2015-08-07,15.14
2015-08-10,15.25
2015-08-11,14.92
2015-08-12,15.77
2015-08-13,15.79
2015-08-14,16.23
2015-08-17,15.6
2015-08-18,15.25
2015-08-19,15.17
2015-08-20,14.97
2015-08-21,14.94
2015-08-24,15.1
2015-08-25,15.1
2015-08-26,15.29
2015-08-27,14.57
2015-08-28,14.33
2015-08-31,14.9
2015-09-01,15.07
2015-09-02,15.46
2015-09-03,15.17
2015-09-04,14.99
2015-09-08,15.35
2015-09-09,14.99
2015-09-10,15.26
2015-09-11,14.19
2015-09-14,15.09
2015-09-15,13.9
2015-09-16,14.66
2015-09-17,14.39
2015-09-18,13.51
2015-09-21,13.02
2015-09-22,12.58
2015-09-23,12.48
2015-09-24,12.25
2015-09-25,12.17
2015-09-28,11.64
2015-09-29,13.52
2015-09-30,12.96
2015-10-01,12.72
2015-10-02,12.77
2015-10-05,12.69
2015-10-06,13.42
2015-10-07,13.3
2015-10-08,13.52
2015-10-09,13.31
2015-10-12,13.18
2015-10-13,13.46
2015-10-14,13.5
2015-10-15,13.97
2015-10-16,13.73
2015-10-19,13.77
2015-10-20,14.51
2015-10-21,14.49
2015-10-22,14.1
2015-10-23,14.66
2015-10-26,13.66
2015-10-27,13.16
2015-10-28,13.84
2015-10-29,13.57
2015-10-30,13.17
2015-11-02,13.25
2015-11-03,13.84
2015-11-04,13.96
2015-11-05,13.7
2015-11-06,14.4
2015-11-09,14.5
2015-11-10,14.63
2015-11-11,13.81
2015-11-12,13.55
2015-11-13,13.77
2015-11-16,13.57
2015-11-17,13.64
2015-11-18,13.78
2015-11-19,13.23
2015-11-20,13.69
2015-11-23,14.11
2015-11-24,14.15
2015-11-25,14.28
2015-11-27,14.11
2015-11-30,14.35
2015-12-01,14.51
2015-12-02,14.37
2015-12-03,14.19
2015-12-04,13.98
2015-12-07,13.78
2015-12-08,13.86
2015-12-09,14.08
2015-12-10,14.1
2015-12-11,14.03
2015-12-14,13.88
2015-12-15,14.26
2015-12-16,14.74
2015-12-17,14.62
2015-12-18,14.3
2015-12-21,14.13
2015-12-22,14.08
2015-12-23,14.17
2015-12-24,14.15
2015-12-28,13.66
2015-12-29,13.82
2015-12-30,13.52
2015-12-31,13.7
2016-01-04,13.38
2016-01-05,13.6
2016-01-06,13.34
2016-01-07,12.82
2016-01-08,12.52
2016-01-11,13.07
2016-01-12,12.97
2016-01-13,12.86
2016-01-14,12.86
2016-01-15,12.56
2016-01-19,12.86
2016-01-20,12.2
2016-01-21,12.06
2016-01-22,12.05
2016-01-25,12.1
2016-01-26,12.11
2016-01-27,11.95
2016-01-28,11.7
2016-01-29,12.62
2016-02-01,12.08
2016-02-02,11.64
2016-02-03,12.07
2016-02-04,12.27
2016-02-05,11.79
2016-02-08,11.97
2016-02-09,11.51
2016-02-10,11.42
2016-02-11,11.51
2016-02-12,11.19
2016-02-16,11.31
2016-02-17,11.31
2016-02-18,11.26
2016-02-19,11.94
2016-02-22,12.59
2016-02-23,12.6
2016-02-24,12.57
2016-02-25,13.44
2016-02-26,13.27
2016-02-29,13.28
2016-03-01,13.44
2016-03-02,13.3
2016-03-03,13.91
2016-03-04,13.5
2016-03-07,13.97
2016-03-08,13.14
2016-03-09,13.49
2016-03-10,13.25
2016-03-11,13.47
2016-03-14,13.22
2016-03-15,12.97
2016-03-16,12.97
2016-03-17,13.12
2016-03-18,13.34
2016-03-21,13.34
2016-03-22,13.0
2016-03-23,13.07
2016-03-24,13.19
2016-03-28,13.54
2016-03-29,13.78
2016-03-30,14.57
2016-03-31,14.08
2016-04-01,14.06
2016-04-04,14.16
2016-04-05,14.12
2016-04-06,14.12
2016-04-07,14.33
2016-04-08,13.21
2016-04-11,12.73
2016-04-12,12.76
2016-04-13,13.38
2016-04-14,12.96
2016-04-15,13.08
2016-04-18,13.14
2016-04-19,12.85
2016-04-20,13.25
2016-04-21,13.41
2016-04-22,13.41
2016-04-25,13.41
2016-04-26,13.4
2016-04-27,13.83
2016-04-28,13.58
2016-04-29,13.42
2016-05-02,13.42
2016-05-03,13.23
2016-05-04,12.45
2016-05-05,12.63
2016-05-06,13.12
2016-05-09,13.52
2016-05-10,13.54
2016-05-11,13.07
2016-05-12,12.89
2016-05-13,12.9
2016-05-16,12.8
2016-05-17,12.42
2016-05-18,12.5
2016-05-19,12.22
2016-05-20,12.5
