Date,GBL
1999-12-20,8.616048
1999-12-21,8.447764999999999
1999-12-22,8.279483
1999-12-23,8.414109
1999-12-27,8.616048
1999-12-28,8.414109
1999-12-29,8.178514
1999-12-30,8.582391000000001
1999-12-31,8.750672999999999
2000-01-03,8.582391000000001
2000-01-04,8.515079
2000-01-05,8.68336
2000-01-06,8.616048
2000-01-07,8.414109
2000-01-10,8.481421000000001
2000-01-11,8.616048
2000-01-12,8.582391000000001
2000-01-13,8.515079
2000-01-14,8.279483
2000-01-18,8.481421000000001
2000-01-19,8.548735
2000-01-20,8.750672999999999
2000-01-21,8.616048
2000-01-24,8.952612
2000-01-25,8.918955
2000-01-26,8.885299
2000-01-27,8.750672999999999
2000-01-28,8.717016000000001
2000-01-31,8.481421000000001
2000-02-01,8.582391000000001
2000-02-02,8.616048
2000-02-03,8.548735
2000-02-04,8.548735
2000-02-07,8.582391000000001
2000-02-08,8.548735
2000-02-09,8.548735
2000-02-10,8.515079
2000-02-11,8.548735
2000-02-14,8.447764999999999
2000-02-15,8.616048
2000-02-16,8.68336
2000-02-17,8.986267999999999
2000-02-18,8.918955
2000-02-22,9.053581
2000-02-23,8.986267999999999
2000-02-24,8.885299
2000-02-25,8.952612
2000-02-28,8.851643
2000-02-29,8.717016000000001
2000-03-01,8.952612
2000-03-02,9.221863
2000-03-03,9.322832
2000-03-06,9.087237
2000-03-07,9.019924000000001
2000-03-08,9.221863
2000-03-09,9.154551
2000-03-10,9.154551
2000-03-13,9.053581
2000-03-14,8.817986
2000-03-15,8.717016000000001
2000-03-16,8.885299
2000-03-17,9.154551
2000-03-20,9.053581
2000-03-21,9.087237
2000-03-22,9.154551
2000-03-23,9.221863
2000-03-24,9.188207
2000-03-27,9.423801
2000-03-28,9.625739999999999
2000-03-29,9.289176
2000-03-30,9.289176
2000-03-31,9.221863
2000-04-03,9.087237
2000-04-04,9.087237
2000-04-05,9.423801
2000-04-06,9.659397
2000-04-07,9.659397
2000-04-10,9.625739999999999
2000-04-11,9.693052999999999
2000-04-12,9.861336
2000-04-13,10.467152
2000-04-14,10.130587
2000-04-17,10.568121000000001
2000-04-18,10.702746000000001
2000-04-19,10.635433
2000-04-20,10.871029
2000-04-24,10.837372
2000-04-25,10.803716
2000-04-26,10.635433
2000-04-27,10.635433
2000-04-28,10.702746000000001
2000-05-01,10.77006
2000-05-02,11.308562
2000-05-03,11.207593
2000-05-04,11.510501
2000-05-05,11.611469999999999
2000-05-08,11.712439999999999
2000-05-09,11.712439999999999
2000-05-10,11.813409
2000-05-11,11.847064999999999
2000-05-12,11.779753
2000-05-15,12.250942
2000-05-16,12.890414
2000-05-17,12.823102
2000-05-18,12.520194
2000-05-19,12.385568
2000-05-22,11.443188000000001
2000-05-23,11.106624
2000-05-24,10.702746000000001
2000-05-25,10.366182
2000-05-26,10.534464
2000-05-30,10.803716
2000-05-31,10.837372
2000-06-01,11.072968
2000-06-02,11.375875
2000-06-05,11.544157
2000-06-06,11.712439999999999
2000-06-07,12.621163000000001
2000-06-08,12.755789
2000-06-09,12.890414
2000-06-12,13.529886999999999
2000-06-13,13.428918
2000-06-14,13.496229999999999
2000-06-15,13.462573999999998
2000-06-16,13.327948999999998
2000-06-19,13.428918
2000-06-20,13.260635
2000-06-21,13.159666
2000-06-22,13.327948999999998
2000-06-23,13.327948999999998
2000-06-26,13.327948999999998
2000-06-27,13.361604999999999
2000-06-28,13.395260999999998
2000-06-29,13.428918
2000-06-30,13.462573999999998
2000-07-03,13.428918
2000-07-05,13.428918
2000-07-06,13.428918
2000-07-07,13.428918
2000-07-10,13.395260999999998
2000-07-11,13.361604999999999
2000-07-12,13.025041
2000-07-13,13.058697
2000-07-14,12.924071000000001
2000-07-17,12.924071000000001
2000-07-18,12.856758000000001
2000-07-19,12.688476
2000-07-20,12.385568
2000-07-21,12.385568
2000-07-24,12.385568
2000-07-25,12.183629
2000-07-26,12.250942
2000-07-27,12.250942
2000-07-28,12.082661
2000-07-31,12.116317
2000-08-01,12.419225
2000-08-02,12.183629
2000-08-03,12.116317
2000-08-04,11.981691
2000-08-07,12.385568
2000-08-08,12.55385
2000-08-09,12.486537
2000-08-10,12.318255
2000-08-11,12.351911999999999
2000-08-14,12.486537
2000-08-15,12.419225
2000-08-16,12.419225
2000-08-17,12.452881
2000-08-18,12.654819
2000-08-21,12.520194
2000-08-22,12.789444999999999
2000-08-23,13.058697
2000-08-24,13.193322
2000-08-25,13.260635
2000-08-28,13.193322
2000-08-29,14.270329
2000-08-30,15.111739000000002
2000-08-31,16.222403
2000-09-01,15.885838
2000-09-05,14.977114000000002
2000-09-06,15.246366
2000-09-07,15.246366
