Date,TTD
2017-08-15,51.02
2017-08-16,50.57
2017-08-17,48.369999
2017-08-18,49.509997999999996
2017-08-21,50.02
2017-08-22,50.279999
2017-08-23,49.990002000000004
2017-08-24,51.0
2017-08-25,51.040001000000004
2017-08-28,51.400002
2017-08-29,51.75
2017-08-30,53.0
2017-08-31,52.970001
2017-09-01,53.689999
2017-09-05,53.509997999999996
2017-09-06,54.849998
2017-09-07,57.080002
2017-09-08,56.23
2017-09-11,60.57
2017-09-12,61.68
2017-09-13,60.119999
2017-09-14,59.700001
2017-09-15,59.880001
2017-09-18,60.09
2017-09-19,61.720001
2017-09-20,59.810001
2017-09-21,59.540001000000004
2017-09-22,59.799999
2017-09-25,56.360001000000004
2017-09-26,56.009997999999996
2017-09-27,57.790001000000004
2017-09-28,58.32
2017-09-29,61.509997999999996
2017-10-02,59.560001
2017-10-03,60.529999
2017-10-04,60.139998999999996
2017-10-05,60.959998999999996
2017-10-06,64.279999
2017-10-09,64.18
2017-10-10,64.120003
2017-10-11,64.860001
2017-10-12,65.309998
2017-10-13,66.510002
2017-10-16,64.529999
2017-10-17,63.889998999999996
2017-10-18,64.07
2017-10-19,63.240002000000004
2017-10-20,63.619999
2017-10-23,63.459998999999996
2017-10-24,63.310001
2017-10-25,62.57
2017-10-26,62.68
2017-10-27,63.970001
2017-10-30,64.199997
2017-10-31,65.91999799999999
2017-11-01,65.07
2017-11-02,64.059998
2017-11-03,64.620003
2017-11-06,65.379997
2017-11-07,64.660004
2017-11-08,61.650002
2017-11-09,59.279999
2017-11-10,50.994999
2017-11-13,48.404999
2017-11-14,47.049999
2017-11-15,48.240002000000004
2017-11-16,48.900002
2017-11-17,50.009997999999996
2017-11-20,50.400002
2017-11-21,51.919998
2017-11-22,51.119999
2017-11-24,51.189999
2017-11-27,49.889998999999996
2017-11-28,50.139998999999996
2017-11-29,48.41
2017-11-30,49.139998999999996
2017-12-01,48.0
2017-12-04,45.25
2017-12-05,45.07
2017-12-06,44.18
2017-12-07,45.34
2017-12-08,45.25
2017-12-11,48.299999
2017-12-12,46.860001000000004
2017-12-13,49.0
2017-12-14,48.970001
2017-12-15,49.25
2017-12-18,49.799999
2017-12-19,48.939999
2017-12-20,49.59
2017-12-21,46.16
2017-12-22,46.220001
2017-12-26,46.48
2017-12-27,47.009997999999996
2017-12-28,46.419998
2017-12-29,45.73
2018-01-02,46.41
2018-01-03,47.91
2018-01-04,47.650002
2018-01-05,48.349998
2018-01-08,47.869999
2018-01-09,47.419998
2018-01-10,47.900002
2018-01-11,48.959998999999996
2018-01-12,49.130001
2018-01-16,48.330002
2018-01-17,49.48
2018-01-18,48.360001000000004
2018-01-19,47.360001000000004
2018-01-22,48.650002
2018-01-23,49.400002
2018-01-24,48.799999
2018-01-25,49.48
2018-01-26,51.240002000000004
2018-01-29,50.549999
2018-01-30,48.689999
2018-01-31,48.48
2018-02-01,45.830002
2018-02-02,46.759997999999996
2018-02-05,45.099998
2018-02-06,45.470001
2018-02-07,44.200001
2018-02-08,43.34
2018-02-09,42.799999
2018-02-12,43.880001
2018-02-13,45.220001
2018-02-14,47.209998999999996
2018-02-15,48.310001
2018-02-16,48.41
2018-02-20,50.200001
2018-02-21,49.810001
2018-02-22,48.400002
2018-02-23,59.939999
2018-02-26,57.369999
2018-02-27,55.560001
2018-02-28,56.259997999999996
2018-03-01,54.32
2018-03-02,56.91
2018-03-05,58.240002000000004
2018-03-06,57.990002000000004
2018-03-07,58.689999
2018-03-08,57.919998
2018-03-09,58.860001000000004
2018-03-12,59.529999
2018-03-13,57.950001
2018-03-14,58.57
2018-03-15,58.389998999999996
2018-03-16,57.91
2018-03-19,55.599998
2018-03-20,57.0
2018-03-21,56.509997999999996
2018-03-22,54.52
2018-03-23,53.34
2018-03-26,55.220001
2018-03-27,52.240002000000004
2018-03-28,50.959998999999996
2018-03-29,49.619999
2018-04-02,48.009997999999996
2018-04-03,47.459998999999996
