Date,MVL
2008-11-25,0.729
2008-11-26,0.765
2008-11-28,0.72
2008-12-01,0.723
2008-12-02,0.674
2008-12-03,0.713
2008-12-04,0.785
2008-12-05,0.8
2008-12-08,0.88
2008-12-09,
2008-12-10,0.958
2008-12-11,0.949
2008-12-12,0.92
2008-12-15,0.966
2008-12-16,1.0
2008-12-17,0.95
2008-12-18,0.925
2008-12-19,0.964
2008-12-22,0.917
2008-12-23,0.917
2008-12-24,0.915
2008-12-26,0.87
2008-12-29,0.868
2008-12-30,0.885
2008-12-31,0.87
2009-01-02,0.895
2009-01-05,0.851
2009-01-06,0.81
2009-01-07,0.73
2009-01-08,
2009-01-09,0.664
2009-01-12,0.698
2009-01-13,0.698
2009-01-14,0.73
2009-01-15,0.745
2009-01-16,0.783
2009-01-20,0.835
2009-01-21,0.835
2009-01-22,0.858
2009-01-23,0.854
2009-01-26,
2009-01-27,0.861
2009-01-28,0.857
2009-01-29,0.888
2009-01-30,0.88
2009-02-02,0.863
2009-02-03,0.897
2009-02-04,0.913
2009-02-05,0.925
2009-02-06,0.952
2009-02-09,0.969
2009-02-10,0.999
2009-02-11,1.005
2009-02-12,0.988
2009-02-13,0.993
2009-02-17,0.991
2009-02-18,0.98
2009-02-19,1.01
2009-02-20,0.992
2009-02-23,
2009-02-24,0.998
2009-02-25,0.965
2009-02-26,0.96
2009-02-27,0.998
2009-03-02,
2009-03-03,0.962
2009-03-04,0.912
2009-03-05,0.935
2009-03-06,
2009-03-09,0.922
2009-03-10,
2009-03-11,
2009-03-12,
2009-03-13,0.88
2009-03-16,
2009-03-17,
2009-03-18,0.88
2009-03-19,0.89
2009-03-20,0.938
2009-03-23,
2009-03-24,0.99
2009-03-25,1.093
2009-03-26,
2009-03-27,1.1
2009-03-30,
2009-03-31,1.1
2009-04-01,1.11
2009-04-02,1.131
2009-04-03,
2009-04-06,1.221
2009-04-07,
2009-04-08,1.297
2009-04-09,1.362
2009-04-13,1.431
2009-04-14,
2009-04-15,1.5
2009-04-16,1.5
2009-04-17,1.54
2009-04-20,1.5
2009-04-21,1.49
2009-04-22,1.524
2009-04-23,1.607
2009-04-24,1.659
2009-04-27,1.64
2009-04-28,1.66
2009-04-29,1.72
2009-04-30,
2009-05-01,
2009-05-04,1.806
2009-05-05,1.839
2009-05-06,1.86
2009-05-07,1.86
2009-05-08,1.86
2009-05-11,1.884
2009-05-12,1.86
2009-05-13,1.841
2009-05-14,1.8
2009-05-15,1.798
2009-05-18,
2009-05-19,1.8
2009-05-20,1.82
2009-05-21,1.876
2009-05-22,1.75
2009-05-26,1.686
2009-05-27,1.76
2009-05-28,1.8
2009-05-29,1.88
2009-06-01,1.86
2009-06-02,1.848
2009-06-03,1.78
2009-06-04,1.88
2009-06-05,1.89
2009-06-08,1.874
2009-06-09,1.86
2009-06-10,1.86
2009-06-11,1.8
2009-06-12,1.879
2009-06-15,1.889
2009-06-16,1.959
2009-06-17,2.012
2009-06-18,2.04
2009-06-19,2.098
2009-06-22,2.121
2009-06-23,2.11
2009-06-24,2.144
2009-06-25,2.164
2009-06-26,2.192
2009-06-29,2.219
2009-06-30,2.24
2009-07-01,2.26
2009-07-02,2.286
2009-07-06,2.237
2009-07-07,2.239
2009-07-08,2.22
2009-07-09,2.14
2009-07-10,2.091
2009-07-13,2.089
2009-07-14,2.081
2009-07-15,2.127
2009-07-16,2.233
2009-07-17,2.336
2009-07-20,2.388
2009-07-21,2.425
2009-07-22,2.49
2009-07-23,2.513
2009-07-24,2.533
2009-07-27,2.605
2009-07-28,2.625
2009-07-29,2.655
2009-07-30,2.7
2009-07-31,2.755
2009-08-03,2.707
2009-08-04,2.76
2009-08-05,2.844
2009-08-06,2.92
2009-08-07,2.966
2009-08-10,3.115
2009-08-11,3.109
2009-08-12,3.105
2009-08-13,3.108
2009-08-14,3.155
2009-08-17,3.133
2009-08-18,3.2
2009-08-19,3.217
2009-08-20,3.29
2009-08-21,3.39
2009-08-24,3.427
2009-08-25,3.339
2009-08-26,3.293
2009-08-27,3.201
2009-08-28,3.1
2009-08-31,3.044
2009-09-01,3.161
2009-09-02,3.313
2009-09-03,3.469
2009-09-04,3.623
2009-09-08,3.901
2009-09-09,3.794
2009-09-10,3.93
2009-09-11,3.933
2009-09-14,3.924
2009-09-15,4.243
2009-09-16,4.291
2009-09-17,4.494
2009-09-18,22.275
2009-09-21,
2009-09-22,22.025
2009-09-23,22.275
2009-09-24,22.35
2009-09-25,22.275
2009-09-28,
2009-09-29,22.799999
2009-09-30,23.15
2009-10-01,23.75
2009-10-02,
2009-10-05,24.200001
2009-10-06,25.174999
2009-10-07,25.924999
2009-10-08,26.15
2009-10-09,26.450001
2009-10-12,26.825001
2009-10-13,
2009-10-14,26.75
2009-10-15,28.049999
2009-10-16,28.924999
2009-10-19,
2009-10-20,30.725
2009-10-21,31.575001
2009-10-22,30.549999
2009-10-23,31.549999
2009-10-26,31.9
2009-10-27,31.25
2009-10-28,31.674999
2009-10-29,30.9
2009-10-30,31.424999
2009-11-02,
2009-11-03,30.450001
2009-11-04,30.85
2009-11-05,31.299999
2009-11-06,31.5
2009-11-09,31.700001
2009-11-10,31.975
2009-11-11,32.575001
2009-11-12,32.700001
2009-11-13,33.424999
2009-11-16,34.299999
2009-11-17,11.0
2009-11-18,11.0
2009-11-19,11.0
2009-11-20,32.424999
2009-11-23,31.424999
2009-11-24,10.19
2009-11-25,10.3
2009-11-27,28.825001
2009-11-30,10.49
2009-12-01,10.43
2009-12-02,30.0
2009-12-03,10.29
2009-12-04,30.1
2009-12-07,12.26
2009-12-08,29.700001
2009-12-09,29.5
2009-12-10,30.0
2009-12-11,29.924999
2009-12-14,30.075001
2009-12-15,12.66
2009-12-16,30.1
2009-12-17,29.6
2009-12-18,30.275
2009-12-21,13.4
2009-12-22,13.32
2009-12-23,13.87
2009-12-24,13.87
2009-12-28,14.03
2009-12-29,13.99
2009-12-30,30.975
2009-12-31,14.39
2010-01-04,14.05
2010-01-05,14.05
2010-01-06,14.65
2010-01-07,14.835
2010-01-08,30.450001
2010-01-11,15.02
2010-01-12,30.6
2010-01-13,31.0
2010-01-14,30.75
2010-01-15,14.84
2010-01-19,30.025
2010-01-20,13.63
2010-01-21,13.225
2010-01-22,29.924999
2010-01-25,30.475
2010-01-26,60.0
2010-01-27,13.62
2010-01-28,13.395
2010-01-29,13.335
2010-02-01,30.0
2010-02-02,12.855
2010-02-03,13.21
2010-02-04,13.24
2010-02-05,13.28
2010-02-08,30.825001
2010-02-09,31.35
2010-02-10,13.35
2010-02-11,13.2
2010-02-12,13.185
2010-02-16,14.2
2010-02-17,14.3
2010-02-18,32.200001
2010-02-19,31.775
2010-02-22,14.235
2010-02-23,32.424999
2010-02-24,14.235
2010-02-25,14.23
2010-02-26,14.44
2010-03-01,
2010-03-02,32.450001
2010-03-03,14.735
2010-03-04,15.125
2010-03-05,14.8
2010-03-08,32.125
2010-03-09,14.675
2010-03-10,15.145
2010-03-11,31.25
2010-03-12,31.375
2010-03-15,31.475
2010-03-16,14.915
2010-03-17,29.424999
2010-03-18,14.475
2010-03-19,29.924999
2010-03-22,15.365
2010-03-23,30.275
2010-03-24,15.365
2010-03-25,15.155
2010-03-26,15.765
2010-03-29,27.4
2010-03-30,25.075001
2010-03-31,14.925
2010-04-01,24.15
2010-04-05,23.799999
2010-04-06,23.575001
2010-04-07,15.065
2010-04-08,15.46
2010-04-09,15.505
2010-04-12,25.5
2010-04-13,15.465
2010-04-14,
2010-04-15,15.465
2010-04-16,16.32
2010-04-19,16.465
2010-04-20,16.57
2010-04-21,16.530001000000002
2010-04-22,25.75
2010-04-23,16.530001000000002
2010-04-26,25.4
2010-04-27,16.35
2010-04-28,24.825001
2010-04-29,16.5
2010-04-30,25.549999
2010-05-03,25.424999
2010-05-04,15.925
2010-05-05,14.85
2010-05-06,24.85
2010-05-07,14.85
2010-05-10,15.175
2010-05-11,26.325001
2010-05-12,14.475
2010-05-13,26.65
2010-05-14,27.049999
2010-05-17,15.9
2010-05-18,14.585
2010-05-19,15.0
2010-05-20,28.075001
2010-05-21,28.75
2010-05-24,14.84
2010-05-25,27.575001
2010-05-26,27.799999
2010-05-27,14.675
2010-05-28,30.700001
2010-06-01,15.59
2010-06-02,15.495
2010-06-03,15.515
2010-06-04,33.400002
2010-06-07,15.7
2010-06-08,33.25
2010-06-09,14.45
2010-06-10,14.45
2010-06-11,14.45
2010-06-14,14.84
2010-06-15,14.84
2010-06-16,31.9
2010-06-17,31.549999
2010-06-18,15.095
2010-06-21,31.799999
2010-06-22,15.5
2010-06-23,15.5
2010-06-24,15.5
2010-06-25,15.5
2010-06-28,33.700001
2010-06-29,33.025002
2010-06-30,33.025002
2010-07-01,34.375
2010-07-02,32.799999
2010-07-06,31.975
2010-07-07,32.299999
2010-07-08,31.700001
2010-07-09,32.0
2010-07-12,31.525
2010-07-13,33.349998
2010-07-14,33.724998
2010-07-15,33.900002
2010-07-16,33.900002
2010-07-19,32.75
2010-07-20,32.424999
2010-07-21,31.75
2010-07-22,31.525
2010-07-23,31.174999
2010-07-26,32.775002
2010-07-27,34.325001
2010-07-28,35.5
2010-07-29,35.349998
2010-07-30,36.575001
2010-08-02,38.674999
2010-08-03,41.599998
2010-08-04,40.474998
2010-08-05,40.700001
2010-08-06,40.275002
2010-08-09,42.625
2010-08-10,43.974998
2010-08-11,44.575001
2010-08-12,45.400002
2010-08-13,46.0
2010-08-16,46.700001
2010-08-17,44.75
2010-08-18,46.875
2010-08-19,55.099998
2010-08-20,52.174999
2010-08-23,50.775002
2010-08-24,48.174999
2010-08-25,46.224998
2010-08-26,43.974998
2010-08-27,42.150002
2010-08-30,40.224998
2010-08-31,12.68
2010-09-01,41.875
2010-09-02,40.025002
2010-09-03,44.724998
2010-09-07,51.775002
2010-09-08,51.950001
2010-09-09,42.025002
2010-09-10,
2010-09-13,43.599998
2010-09-14,41.700001
2010-09-15,39.875
2010-09-16,38.674999
2010-09-17,39.775002
2010-09-20,13.29
2010-09-21,40.674999
2010-09-22,39.900002
2010-09-23,39.650002
2010-09-24,39.325001
2010-09-27,41.575001
2010-09-28,40.424999
2010-09-29,40.299999
2010-09-30,39.325001
2010-10-01,39.474998
2010-10-04,39.275002
2010-10-05,38.75
2010-10-06,39.375
2010-10-07,39.075001
2010-10-08,38.299999
2010-10-11,37.924999
2010-10-12,36.325001
2010-10-13,40.25
2010-10-14,38.5
2010-10-15,38.5
2010-10-18,37.125
2010-10-19,37.099998
2010-10-20,37.025002
2010-10-21,12.6
2010-10-22,13.17
2010-10-25,37.325001
2010-10-26,36.799999
2010-10-27,36.950001
2010-10-28,33.950001
2010-10-29,13.98
2010-11-01,31.825001
2010-11-02,31.424999
2010-11-03,32.099998
2010-11-04,31.025
2010-11-05,13.7
2010-11-08,31.200001
2010-11-09,31.0
2010-11-10,30.375
2010-11-11,29.975
2010-11-12,26.9
2010-11-15,30.549999
2010-11-16,33.099998
2010-11-17,14.465
2010-11-18,31.049999
2010-11-19,30.1
2010-11-22,29.25
2010-11-23,26.950001
2010-11-24,23.450001
2010-11-26,21.85
2010-11-29,23.950001
2010-11-30,25.25
2010-12-01,25.65
2010-12-02,24.799999
2010-12-03,22.35
2010-12-06,22.35
2010-12-07,21.799999
2010-12-08,22.75
2010-12-09,20.5
2010-12-10,18.450001
2010-12-13,16.6
2010-12-14,17.35
2010-12-15,18.15
2010-12-16,19.049999
2010-12-17,
2010-12-20,20.0
2010-12-21,21.0
2010-12-22,22.049999
2010-12-23,23.15
2010-12-27,25.15
2010-12-28,15.02
2010-12-29,26.799999
2010-12-30,26.049999
2010-12-31,26.35
2011-01-03,26.549999
2011-01-04,26.9
2011-01-05,27.049999
2011-01-06,27.450001
2011-01-07,27.65
2011-01-10,27.6
2011-01-11,28.6
2011-01-12,29.1
2011-01-13,29.5
2011-01-14,29.35
2011-01-18,29.299999
2011-01-19,29.299999
2011-01-20,15.69
2011-01-21,15.5
2011-01-24,14.99
2011-01-25,30.65
2011-01-26,
2011-01-27,30.450001
2011-01-28,28.950001
2011-01-31,28.15
2011-02-01,26.85
2011-02-02,28.15
2011-02-03,29.200001
2011-02-04,28.4
2011-02-07,28.75
2011-02-08,28.65
2011-02-09,27.450001
2011-02-10,14.02
2011-02-11,27.6
2011-02-14,14.3
2011-02-15,28.5
2011-02-16,28.450001
2011-02-17,28.799999
2011-02-18,28.5
2011-02-22,13.265
2011-02-23,29.25
2011-02-24,28.15
2011-02-25,13.05
2011-02-28,28.5
2011-03-01,29.0
2011-03-02,
2011-03-03,28.799999
2011-03-04,28.549999
2011-03-07,28.35
2011-03-08,28.049999
2011-03-09,28.299999
2011-03-10,28.15
2011-03-11,27.4
2011-03-14,27.549999
2011-03-15,27.5
2011-03-16,27.1
2011-03-17,27.6
2011-03-18,30.0
2011-03-21,27.9
2011-03-22,27.0
2011-03-23,27.299999
2011-03-24,27.25
2011-03-25,28.25
2011-03-28,27.950001
2011-03-29,27.15
2011-03-30,28.0
2011-03-31,27.049999
2011-04-01,27.75
2011-04-04,27.950001
2011-04-05,27.25
2011-04-06,27.0
2011-04-07,26.9
2011-04-08,26.799999
2011-04-11,28.75
2011-04-12,
2011-04-13,28.700001
2011-04-14,
2011-04-15,30.049999
2011-04-18,11.09
2011-04-19,31.4
2011-04-20,31.15
2011-04-21,30.65
2011-04-25,30.200001
2011-04-26,29.75
2011-04-27,29.35
2011-04-28,28.200001
2011-04-29,28.049999
2011-05-02,28.299999
2011-05-03,27.299999
2011-05-04,26.4
2011-05-05,25.950001
2011-05-06,26.049999
2011-05-09,25.75
2011-05-10,25.950001
2011-05-11,26.85
2011-05-12,27.049999
2011-05-13,27.0
2011-05-16,10.495
2011-05-17,28.75
2011-05-18,28.6
2011-05-19,28.700001
2011-05-20,27.799999
2011-05-23,28.6
2011-05-24,28.549999
2011-05-25,27.200001
2011-05-26,27.25
2011-05-27,11.05
2011-05-31,27.450001
2011-06-01,27.6
2011-06-02,27.200001
2011-06-03,27.25
2011-06-06,26.950001
2011-06-07,27.1
2011-06-08,26.299999
2011-06-09,26.9
2011-06-10,26.950001
2011-06-13,27.0
2011-06-14,26.75
2011-06-15,26.85
2011-06-16,26.6
2011-06-17,26.25
2011-06-20,26.049999
2011-06-21,26.65
2011-06-22,25.799999
2011-06-23,26.200001
2011-06-24,26.0
2011-06-27,24.950001
2011-06-28,24.950001
2011-06-29,24.950001
2011-06-30,25.1
2011-07-01,24.9
2011-07-05,24.950001
2011-07-06,25.049999
2011-07-07,24.9
2011-07-08,24.65
2011-07-11,24.950001
2011-07-12,24.85
2011-07-13,24.85
2011-07-14,24.85
2011-07-15,24.549999
2011-07-18,24.299999
2011-07-19,24.1
2011-07-20,23.799999
2011-07-21,24.0
2011-07-22,24.1
2011-07-25,24.299999
2011-07-26,23.25
2011-07-27,24.75
2011-07-28,24.35
2011-07-29,24.4
2011-08-01,24.35
2011-08-02,24.799999
2011-08-03,25.9
2011-08-04,25.200001
2011-08-05,25.299999
2011-08-08,24.85
2011-08-09,25.049999
2011-08-10,24.950001
2011-08-11,24.9
2011-08-12,25.1
2011-08-15,
2011-08-16,24.75
2011-08-17,24.85
2011-08-18,24.049999
2011-08-19,23.299999
2011-08-22,24.549999
2011-08-23,23.5
2011-08-24,23.35
2011-08-25,23.299999
2011-08-26,23.15
2011-08-29,23.450001
2011-08-30,24.1
2011-08-31,
2011-09-01,
2011-09-02,24.25
2011-09-06,25.450001
2011-09-07,24.6
2011-09-08,24.75
2011-09-09,25.450001
2011-09-12,25.35
2011-09-13,24.75
2011-09-14,24.700001
2011-09-15,24.799999
2011-09-16,24.75
2011-09-19,24.450001
2011-09-20,24.35
2011-09-21,24.549999
2011-09-22,23.700001
2011-09-23,24.25
2011-09-26,24.0
2011-09-27,24.950001
2011-09-28,26.049999
2011-09-29,24.9
2011-09-30,24.85
2011-10-03,24.4
2011-10-04,23.549999
2011-10-05,23.15
2011-10-06,
2011-10-07,23.1
2011-10-10,23.4
2011-10-11,24.0
2011-10-12,23.799999
2011-10-13,22.799999
2011-10-14,22.950001
2011-10-17,23.25
2011-10-18,22.950001
2011-10-19,26.85
2011-10-20,26.35
2011-10-21,24.950001
2011-10-24,25.549999
2011-10-25,25.200001
2011-10-26,26.5
2011-10-27,
2011-10-28,25.799999
2011-10-31,26.450001
2011-11-01,26.799999
2011-11-02,27.0
2011-11-03,27.85
2011-11-04,29.25
2011-11-07,
2011-11-08,29.6
2011-11-09,28.549999
2011-11-10,
2011-11-11,28.9
2011-11-14,27.15
2011-11-15,24.15
2011-11-16,23.35
2011-11-17,11.05
2011-11-18,11.05
2011-11-21,11.05
2011-11-22,11.05
2011-11-23,11.05
2011-11-25,11.05
2011-11-28,11.05
2011-11-29,11.05
2011-11-30,11.05
2011-12-01,11.05
2011-12-02,11.05
2011-12-05,11.05
2011-12-06,11.05
2011-12-07,11.05
2011-12-08,11.05
2011-12-09,11.05
2011-12-12,11.05
2011-12-13,11.05
2011-12-14,11.05
2011-12-15,11.05
2011-12-16,11.05
2011-12-19,11.05
2011-12-20,11.05
2011-12-21,11.05
2011-12-22,11.05
2011-12-23,11.05
2011-12-27,11.05
2011-12-28,11.05
2011-12-29,11.05
2011-12-30,11.05
2012-01-03,11.05
2012-01-04,11.05
2012-01-05,11.05
2012-01-06,11.05
2012-01-09,11.05
2012-01-10,11.05
2012-01-11,11.05
2012-01-12,11.05
2012-01-13,11.05
2012-01-17,11.05
2012-01-18,11.05
2012-01-19,11.05
2012-01-20,11.05
2012-01-23,11.05
2012-01-24,11.05
2012-01-25,11.05
2012-01-26,11.05
2012-01-27,11.05
2012-01-30,11.05
2012-01-31,11.05
2012-02-01,11.05
2012-02-02,11.05
2012-02-03,11.05
2012-02-06,11.05
2012-02-07,11.05
2012-02-08,11.05
2012-02-09,11.05
2012-02-10,11.05
2012-02-13,11.05
2012-02-14,11.05
2012-02-15,11.05
2012-02-16,11.05
2012-02-17,11.05
2012-02-21,11.05
2012-02-22,11.05
2012-02-23,11.05
2012-02-24,11.05
2012-02-27,11.05
2012-02-28,11.05
2012-02-29,11.05
2012-03-01,11.05
2012-03-02,11.05
2012-03-05,11.05
2012-03-06,11.05
2012-03-07,11.05
2012-03-08,11.05
2012-03-09,11.05
2012-03-12,11.05
2012-03-13,11.05
2012-03-14,11.05
2012-03-15,11.05
2012-03-16,11.05
2012-03-19,11.05
2012-03-20,11.05
2012-03-21,11.05
2012-03-22,11.05
2012-03-23,11.05
2012-03-26,11.05
2012-03-27,11.05
2012-03-28,11.05
2012-03-29,11.05
2012-03-30,11.05
2012-04-02,11.05
2012-04-03,11.05
2012-04-04,11.05
2012-04-05,11.05
2012-04-09,11.05
2012-04-10,11.05
2012-04-11,11.05
2012-04-12,11.05
2012-04-13,11.05
2012-04-16,11.05
2012-04-17,11.05
2012-04-18,11.05
2012-04-19,11.05
2012-04-20,11.05
2012-04-23,11.05
2012-04-24,11.05
2012-04-25,11.05
2012-04-26,11.05
2012-04-27,11.05
2012-04-30,11.05
2012-05-01,11.05
2012-05-02,11.05
2012-05-03,11.05
2012-05-04,11.05
2012-05-07,11.05
2012-05-08,11.05
2012-05-09,11.05
2012-05-10,11.05
2012-05-11,11.05
2012-05-14,11.05
2012-05-15,11.05
2012-05-16,11.05
2012-05-17,11.05
2012-05-18,11.05
2012-05-21,11.05
2012-05-22,11.05
2012-05-23,11.05
2012-05-24,11.05
2012-05-25,11.05
2012-05-29,11.05
2012-05-30,11.05
2012-05-31,11.05
2012-06-01,11.05
2012-06-04,11.05
2012-06-05,11.05
2012-06-06,11.05
2012-06-07,11.05
2012-06-08,11.05
2012-06-11,11.05
2012-06-12,11.05
2012-06-13,11.05
2012-06-14,11.05
2012-06-15,11.05
2012-06-18,11.05
2012-06-19,11.05
2012-06-20,11.05
2012-06-21,11.05
2012-06-22,11.05
2012-06-25,11.05
2012-06-26,11.05
2012-06-27,11.05
2012-06-28,11.05
2012-06-29,11.05
2012-07-02,11.05
2012-07-03,11.05
2012-07-05,11.05
2012-07-06,11.05
2012-07-09,11.05
2012-07-10,11.05
2012-07-11,11.05
2012-07-12,11.05
2012-07-13,11.05
2012-07-16,11.05
2012-07-17,11.05
2012-07-18,11.05
2012-07-19,11.05
2012-07-20,11.05
2012-07-23,11.05
2012-07-24,11.05
2012-07-25,11.05
2012-07-26,11.05
2012-07-27,11.05
2012-07-30,11.05
2012-07-31,11.05
2012-08-01,11.05
2012-08-02,11.05
2012-08-03,11.05
2012-08-06,11.05
2012-08-07,11.05
2012-08-08,11.05
2012-08-09,11.05
2012-08-10,11.05
2012-08-13,11.05
2012-08-14,11.05
2012-08-15,11.05
2012-08-16,11.05
2012-08-17,11.05
2012-08-20,11.05
2012-08-21,11.05
2012-08-22,11.05
2012-08-23,11.05
2012-08-24,11.05
2012-08-27,11.05
2012-08-28,11.05
2012-08-29,11.05
2012-08-30,11.05
2012-08-31,11.05
2012-09-04,11.05
2012-09-05,11.05
2012-09-06,11.05
2012-09-07,11.05
2012-09-10,11.05
2012-09-11,11.05
2012-09-12,11.05
2012-09-13,11.05
2012-09-14,11.05
2012-09-17,11.05
2012-09-18,11.05
2012-09-19,11.05
2012-09-20,11.05
2012-09-21,11.05
2012-09-24,3.35
2012-09-25,3.4
2012-09-26,3.3
2012-09-27,3.25
2012-09-28,3.3
2012-10-01,3.2
2012-10-02,3.2
2012-10-03,3.25
2012-10-04,3.2
2012-10-05,3.2
2012-10-08,3.2
2012-10-09,3.05
2012-10-10,3.0
2012-10-11,2.85
2012-10-12,2.95
2012-10-15,2.85
2012-10-16,2.85
2012-10-17,2.8
2012-10-18,2.75
2012-10-19,2.85
2012-10-22,2.8
2012-10-23,2.7
2012-10-24,2.7
2012-10-25,2.65
2012-10-26,2.65
2012-10-31,2.75
2012-11-01,2.85
2012-11-02,2.95
2012-11-05,2.85
2012-11-06,2.8
2012-11-07,2.7
2012-11-08,2.65
2012-11-09,2.65
2012-11-12,2.6
2012-11-13,2.6
2012-11-14,2.6
2012-11-15,2.6
2012-11-16,2.65
2012-11-19,2.5
2012-11-20,2.4
2012-11-21,2.3
2012-11-23,2.3
2012-11-26,2.25
2012-11-27,2.35
2012-11-28,2.35
2012-11-29,2.45
2012-11-30,2.45
2012-12-03,2.55
2012-12-04,2.65
2012-12-05,2.75
2012-12-06,2.8
2012-12-07,2.7
2012-12-10,2.6
2012-12-11,2.5
2012-12-12,2.45
2012-12-13,2.35
2012-12-14,2.25
2012-12-17,2.15
2012-12-18,2.25
2012-12-19,2.35
2012-12-20,2.45
2012-12-21,2.55
2012-12-24,2.5
2012-12-26,2.6
2012-12-27,2.6
2012-12-28,2.65
2012-12-31,2.65
2013-01-02,2.65
2013-01-03,2.65
2013-01-04,2.65
2013-01-07,2.6
2013-01-08,2.5
2013-01-09,2.4
2013-01-10,2.3
2013-01-11,2.3
2013-01-14,2.2
2013-01-15,2.2
2013-01-16,2.4
2013-01-17,2.55
2013-01-18,2.55
2013-01-22,2.55
2013-01-23,2.5
2013-01-24,2.45
2013-01-25,2.4
2013-01-28,2.5
2013-01-29,2.5
2013-01-30,2.5
2013-01-31,2.5
2013-02-01,2.5
2013-02-04,2.55
2013-02-05,2.6
2013-02-06,2.5
2013-02-07,2.5
2013-02-08,2.45
2013-02-11,2.4
2013-02-12,2.4
