Date,KBR
2006-11-16,20.75
2006-11-17,21.950001
2006-11-20,22.370001000000002
2006-11-21,21.809998999999998
2006-11-22,21.299999
2006-11-24,22.0
2006-11-27,21.950001
2006-11-28,21.950001
2006-11-29,22.09
2006-11-30,22.139999
2006-12-01,22.040001
2006-12-04,21.93
2006-12-05,21.549999
2006-12-06,21.610001
2006-12-07,21.85
2006-12-08,22.0
2006-12-11,22.42
2006-12-12,23.1
2006-12-13,22.700001
2006-12-14,22.889999
2006-12-15,23.700001
2006-12-18,23.870001000000002
2006-12-19,24.91
2006-12-20,25.98
2006-12-21,26.0
2006-12-22,27.0
2006-12-26,26.790001
2006-12-27,27.01
2006-12-28,26.700001
2006-12-29,26.16
2007-01-03,24.950001
2007-01-04,24.66
2007-01-05,24.34
2007-01-08,24.43
2007-01-09,24.43
2007-01-10,24.65
2007-01-11,25.040001
2007-01-12,24.879998999999998
2007-01-16,23.780001000000002
2007-01-17,23.52
2007-01-18,23.91
2007-01-19,24.17
2007-01-22,24.08
2007-01-23,25.32
2007-01-24,24.67
2007-01-25,23.25
2007-01-26,23.450001
2007-01-29,23.09
2007-01-30,23.530001000000002
2007-01-31,23.43
2007-02-01,23.799999
2007-02-02,23.950001
2007-02-05,23.469998999999998
2007-02-06,23.17
2007-02-07,22.98
2007-02-08,22.24
2007-02-09,22.200001
2007-02-12,22.76
2007-02-13,23.52
2007-02-14,23.41
2007-02-15,23.1
2007-02-16,22.879998999999998
2007-02-20,22.809998999999998
2007-02-21,22.84
2007-02-22,22.799999
2007-02-23,22.549999
2007-02-26,24.120001000000002
2007-02-27,22.450001
2007-02-28,22.700001
2007-03-01,22.66
2007-03-02,21.780001000000002
2007-03-05,22.26
2007-03-06,23.049999
2007-03-07,23.299999
2007-03-08,23.799999
2007-03-09,23.290001
2007-03-12,22.51
2007-03-13,21.959999
2007-03-14,21.65
2007-03-15,21.48
2007-03-16,21.17
2007-03-19,21.549999
2007-03-20,20.299999
2007-03-21,20.0
2007-03-22,20.24
2007-03-23,20.35
2007-03-26,20.34
2007-03-27,20.049999
2007-03-28,20.25
2007-03-29,20.719998999999998
2007-03-30,20.35
2007-04-02,20.690001000000002
2007-04-03,20.690001000000002
2007-04-04,20.559998999999998
2007-04-05,20.540001
2007-04-09,20.549999
2007-04-10,21.299999
2007-04-11,22.040001
2007-04-12,21.879998999999998
2007-04-13,21.959999
2007-04-16,21.9
2007-04-17,21.42
2007-04-18,21.219998999999998
2007-04-19,21.23
2007-04-20,21.43
2007-04-23,21.16
2007-04-24,20.629998999999998
2007-04-25,20.83
2007-04-26,20.950001
2007-04-27,21.07
2007-04-30,20.66
2007-05-01,20.860001
2007-05-02,21.43
2007-05-03,22.280001000000002
2007-05-04,21.82
2007-05-07,21.85
2007-05-08,22.370001000000002
2007-05-09,23.799999
2007-05-10,24.530001000000002
2007-05-11,24.16
2007-05-14,23.690001000000002
2007-05-15,25.01
2007-05-16,25.209999
2007-05-17,25.91
2007-05-18,26.780001000000002
2007-05-21,27.16
2007-05-22,28.0
2007-05-23,27.08
2007-05-24,26.18
2007-05-25,25.870001000000002
2007-05-29,26.639999
2007-05-30,27.41
2007-05-31,27.530001000000002
2007-06-01,27.5
2007-06-04,28.299999
2007-06-05,27.83
2007-06-06,27.25
2007-06-07,25.889999
2007-06-08,26.809998999999998
2007-06-11,26.98
2007-06-12,26.219998999999998
2007-06-13,27.120001000000002
2007-06-14,28.0
2007-06-15,27.530001000000002
2007-06-18,28.059998999999998
2007-06-19,28.92
2007-06-20,27.690001000000002
2007-06-21,27.700001
2007-06-22,28.059998999999998
2007-06-25,26.879998999999998
2007-06-26,26.209999
2007-06-27,26.4
2007-06-28,26.26
2007-06-29,26.23
2007-07-02,26.74
2007-07-03,26.690001000000002
2007-07-05,27.1
2007-07-06,27.6
2007-07-09,31.23
2007-07-10,30.93
2007-07-11,31.35
2007-07-12,35.279999
2007-07-13,34.700001
2007-07-16,34.310001
2007-07-17,34.459998999999996
2007-07-18,34.009997999999996
2007-07-19,33.459998999999996
2007-07-20,33.060001
2007-07-23,33.709998999999996
2007-07-24,32.23
2007-07-25,31.299999
2007-07-26,29.73
2007-07-27,28.93
2007-07-30,31.389999
2007-07-31,32.09
2007-08-01,31.59
2007-08-02,32.77
2007-08-03,31.93
2007-08-06,32.490002000000004
2007-08-07,34.080002
2007-08-08,34.639998999999996
2007-08-09,32.0
2007-08-10,31.23
2007-08-13,31.76
2007-08-14,30.799999
2007-08-15,29.82
2007-08-16,29.68
2007-08-17,29.889999
2007-08-20,29.559998999999998
2007-08-21,31.57
2007-08-22,32.040001000000004
2007-08-23,32.650002
2007-08-24,33.759997999999996
2007-08-27,33.669998
2007-08-28,32.240002000000004
2007-08-29,32.75
2007-08-30,32.16
2007-08-31,32.84
2007-09-04,33.650002
2007-09-05,33.720001
2007-09-06,34.27
2007-09-07,34.189999
2007-09-10,34.150002
2007-09-11,34.779999
2007-09-12,35.93
2007-09-13,37.32
2007-09-14,37.18
2007-09-17,35.939999
2007-09-18,37.310001
2007-09-19,38.240002000000004
2007-09-20,37.650002
2007-09-21,38.939999
2007-09-24,38.900002
2007-09-25,38.459998999999996
2007-09-26,38.889998999999996
2007-09-27,39.93
2007-09-28,38.77
2007-10-01,39.130001
2007-10-02,39.639998999999996
2007-10-03,39.880001
2007-10-04,39.82
2007-10-05,40.919998
2007-10-08,41.32
2007-10-09,41.400002
2007-10-10,43.0
2007-10-11,43.25
2007-10-12,44.009997999999996
2007-10-15,43.630001
2007-10-16,42.169998
2007-10-17,42.330002
2007-10-18,41.27
2007-10-19,40.25
2007-10-22,39.470001
2007-10-23,40.23
2007-10-24,40.5
2007-10-25,40.759997999999996
2007-10-26,40.400002
2007-10-29,42.290001000000004
2007-10-30,41.119999
2007-10-31,42.880001
2007-11-01,40.02
2007-11-02,38.77
2007-11-05,38.639998999999996
2007-11-06,39.799999
2007-11-07,38.619999
2007-11-08,39.09
2007-11-09,38.66
2007-11-12,34.970001
2007-11-13,35.630001
2007-11-14,36.470001
2007-11-15,36.259997999999996
2007-11-16,36.490002000000004
2007-11-19,34.150002
2007-11-20,35.0
2007-11-21,35.009997999999996
2007-11-23,35.290001000000004
2007-11-26,35.610001000000004
2007-11-27,35.59
2007-11-28,38.810001
2007-11-29,38.75
2007-11-30,39.82
2007-12-03,39.580002
2007-12-04,39.48
2007-12-05,39.700001
2007-12-06,42.32
2007-12-07,43.75
2007-12-10,42.84
2007-12-11,40.75
2007-12-12,39.389998999999996
2007-12-13,40.0
2007-12-14,38.919998
2007-12-17,37.66
2007-12-18,37.84
2007-12-19,37.860001000000004
2007-12-20,38.290001000000004
2007-12-21,39.41
2007-12-24,39.540001000000004
2007-12-26,40.029999
2007-12-27,39.740002000000004
2007-12-28,39.119999
2007-12-31,38.799999
2008-01-02,38.740002000000004
2008-01-03,40.380001
2008-01-04,38.66
2008-01-07,38.34
2008-01-08,36.779999
2008-01-09,35.459998999999996
2008-01-10,36.110001000000004
2008-01-11,34.619999
2008-01-14,35.470001
2008-01-15,33.509997999999996
2008-01-16,31.52
2008-01-17,29.879998999999998
2008-01-18,29.83
2008-01-22,30.27
