Date,OPB
2015-03-23,30.5
2015-03-24,30.34
2015-03-25,30.58
2015-03-26,30.440001000000002
2015-03-27,30.629998999999998
2015-03-30,30.67
2015-03-31,30.879998999999998
2015-04-01,30.67
2015-04-02,30.75
2015-04-06,30.85
2015-04-07,30.860001
2015-04-08,30.889999
2015-04-09,30.92
2015-04-10,30.74
2015-04-13,30.57
2015-04-14,30.549999
2015-04-15,30.870001000000002
2015-04-16,31.48
2015-04-17,30.83
2015-04-20,31.459999
2015-04-21,31.280001000000002
2015-04-22,31.4
2015-04-23,31.4
2015-04-24,31.4
2015-04-27,31.92
2015-04-28,32.529999
2015-04-29,32.73
2015-04-30,31.299999
2015-05-01,31.08
2015-05-04,31.299999
2015-05-05,31.09
2015-05-06,31.049999
2015-05-07,31.120001000000002
2015-05-08,30.99
2015-05-11,31.190001000000002
2015-05-12,31.15
2015-05-13,32.0
2015-05-14,32.360001000000004
2015-05-15,31.809998999999998
2015-05-18,31.58
2015-05-19,32.360001000000004
2015-05-20,32.310001
2015-05-21,32.119999
2015-05-22,32.27
2015-05-26,31.530001000000002
2015-05-27,32.25
2015-05-28,32.080002
2015-05-29,31.59
2015-06-01,31.42
2015-06-02,31.84
2015-06-03,32.02
2015-06-04,32.18
2015-06-05,32.77
2015-06-08,32.52
2015-06-09,32.459998999999996
2015-06-10,32.360001000000004
2015-06-11,32.740002000000004
2015-06-12,33.299999
2015-06-15,33.5
2015-06-16,34.009997999999996
2015-06-17,33.889998999999996
2015-06-18,34.439999
2015-06-19,34.73
2015-06-22,35.099998
2015-06-23,36.150002
2015-06-24,35.919998
2015-06-25,36.150002
2015-06-26,35.889998999999996
2015-06-29,35.779999
2015-06-30,36.18
2015-07-01,36.919998
2015-07-02,36.34
2015-07-06,36.869999
2015-07-07,36.240002000000004
2015-07-08,36.16
2015-07-09,36.07
2015-07-10,36.869999
2015-07-13,37.080002
2015-07-14,38.290001000000004
2015-07-15,38.189999
2015-07-16,37.77
2015-07-17,37.700001
2015-07-20,38.0
2015-07-21,37.950001
2015-07-22,38.0
2015-07-23,37.91
2015-07-24,37.610001000000004
2015-07-27,38.900002
2015-07-28,39.599998
2015-07-29,38.560001
2015-07-30,38.490002000000004
2015-07-31,39.150002
2015-08-03,39.75
2015-08-04,38.98
2015-08-05,39.099998
2015-08-06,37.91
2015-08-07,37.630001
2015-08-10,38.959998999999996
2015-08-11,38.900002
2015-08-12,37.68
2015-08-13,37.669998
2015-08-14,37.849998
2015-08-17,38.599998
2015-08-18,38.5
2015-08-19,37.880001
2015-08-20,36.709998999999996
2015-08-21,36.860001000000004
2015-08-24,35.119999
2015-08-25,35.529999
2015-08-26,37.029999
2015-08-27,37.580002
2015-08-28,36.450001
2015-08-31,36.790001000000004
2015-09-01,34.560001
2015-09-02,35.939999
2015-09-03,34.830002
2015-09-04,34.91
2015-09-08,37.0
