Date,LM
1983-08-01,3.02
1983-08-02,2.96
1983-08-03,2.96
1983-08-04,2.88
1983-08-05,2.88
1983-08-08,2.82
1983-08-09,2.82
1983-08-10,2.66
1983-08-11,2.68
1983-08-12,2.64
1983-08-15,2.58
1983-08-16,2.5
1983-08-17,2.48
1983-08-18,2.46
1983-08-19,2.44
1983-08-22,2.44
1983-08-23,2.32
1983-08-24,2.2
1983-08-25,2.16
1983-08-26,2.16
1983-08-29,2.26
1983-08-30,2.28
1983-08-31,2.38
1983-09-01,2.34
1983-09-02,2.36
1983-09-06,2.32
1983-09-07,2.3
1983-09-08,2.3
1983-09-09,2.3
1983-09-12,2.24
1983-09-13,2.14
1983-09-14,2.18
1983-09-15,2.14
1983-09-16,2.14
1983-09-19,2.12
1983-09-20,2.14
1983-09-21,2.1
1983-09-22,2.12
1983-09-23,2.1
1983-09-26,2.08
1983-09-27,2.04
1983-09-28,1.98
1983-09-29,1.96
1983-09-30,1.92
1983-10-03,1.94
1983-10-04,1.98
1983-10-05,2.02
1983-10-06,2.08
1983-10-07,2.12
1983-10-10,2.12
1983-10-11,2.08
1983-10-12,2.12
1983-10-13,2.06
1983-10-14,2.04
1983-10-17,2.02
1983-10-18,1.94
1983-10-19,1.92
1983-10-20,1.88
1983-10-21,1.86
1983-10-24,1.86
1983-10-25,1.84
1983-10-26,1.84
1983-10-27,1.8
1983-10-28,1.78
1983-10-31,1.8
1983-11-01,1.68
1983-11-02,1.74
1983-11-03,1.74
1983-11-04,1.72
1983-11-07,1.68
1983-11-08,1.66
1983-11-09,1.64
1983-11-10,1.64
1983-11-11,1.64
1983-11-14,1.72
1983-11-15,1.82
1983-11-16,2.0
1983-11-17,2.12
1983-11-18,2.08
1983-11-21,2.1
1983-11-22,2.16
1983-11-23,2.12
1983-11-25,2.12
1983-11-28,2.1
1983-11-29,2.12
1983-11-30,2.08
1983-12-01,2.1
1983-12-02,2.0
1983-12-05,1.9
1983-12-06,1.88
1983-12-07,1.92
1983-12-08,1.96
1983-12-09,1.96
1983-12-12,1.96
1983-12-13,1.94
1983-12-14,1.92
1983-12-15,1.84
1983-12-16,1.82
1983-12-19,1.8
1983-12-20,1.76
1983-12-21,1.82
1983-12-22,1.82
1983-12-23,1.9
1983-12-27,1.88
1983-12-28,1.88
1983-12-29,1.82
1983-12-30,1.78
1984-01-03,1.84
1984-01-04,1.9
1984-01-05,2.06
1984-01-06,2.12
1984-01-09,2.16
1984-01-10,2.08
1984-01-11,2.12
1984-01-12,2.08
1984-01-13,2.04
1984-01-16,2.0
1984-01-17,1.96
1984-01-18,2.02
1984-01-19,2.0
1984-01-20,1.98
1984-01-23,1.94
1984-01-24,1.88
1984-01-25,1.86
1984-01-26,1.84
1984-01-27,1.82
1984-01-30,1.8
1984-01-31,1.78
1984-02-01,1.78
1984-02-02,1.78
1984-02-03,1.74
1984-02-06,1.62
1984-02-07,1.62
1984-02-08,1.6
1984-02-09,1.58
1984-02-10,1.56
1984-02-13,1.58
1984-02-14,1.56
1984-02-15,1.58
1984-02-16,1.58
1984-02-17,1.56
1984-02-21,1.54
1984-02-22,1.52
1984-02-23,1.5
1984-02-24,1.58
1984-02-27,1.72
1984-02-28,1.68
1984-02-29,1.68
1984-03-01,1.74
1984-03-02,1.74
1984-03-05,1.72
1984-03-06,1.72
1984-03-07,1.68
1984-03-08,1.7
1984-03-09,1.7
1984-03-12,1.66
1984-03-13,1.74
1984-03-14,1.7
1984-03-15,1.72
1984-03-16,1.82
1984-03-19,1.76
1984-03-20,1.74
1984-03-21,1.68
1984-03-22,1.74
1984-03-23,1.7
1984-03-26,1.68
1984-03-27,1.64
1984-03-28,1.66
1984-03-29,1.66
1984-03-30,1.66
1984-04-02,1.66
1984-04-03,1.62
1984-04-04,1.62
1984-04-05,1.62
1984-04-06,1.62
1984-04-09,1.66
1984-04-10,1.64
1984-04-11,1.64
1984-04-12,1.66
1984-04-13,1.66
1984-04-16,1.64
1984-04-17,1.64
1984-04-18,1.62
1984-04-19,1.64
1984-04-23,1.62
1984-04-24,1.6
1984-04-25,1.62
1984-04-26,1.6
1984-04-27,1.62
1984-04-30,1.58
1984-05-01,1.58
1984-05-02,1.58
1984-05-03,1.58
1984-05-04,1.58
1984-05-07,1.6
1984-05-08,1.62
1984-05-09,1.6
1984-05-10,1.6
1984-05-11,1.6
1984-05-14,1.6
1984-05-15,1.58
1984-05-16,1.58
1984-05-17,1.56
1984-05-18,1.56
1984-05-21,1.56
1984-05-22,1.54
1984-05-23,1.54
1984-05-24,1.54
1984-05-25,1.56
1984-05-29,1.54
1984-05-30,1.58
1984-05-31,1.6
1984-06-01,1.62
1984-06-04,1.64
1984-06-05,1.62
1984-06-06,1.64
1984-06-07,1.62
1984-06-08,1.6
1984-06-11,1.56
1984-06-12,1.56
1984-06-13,1.56
1984-06-14,1.54
1984-06-15,1.54
1984-06-18,1.54
1984-06-19,1.58
1984-06-20,1.56
1984-06-21,1.58
1984-06-22,1.64
1984-06-25,1.66
1984-06-26,1.56
1984-06-27,1.58
1984-06-28,1.58
1984-06-29,1.6
1984-07-02,1.6
1984-07-03,1.6
1984-07-05,1.62
1984-07-06,1.62
1984-07-09,1.6
1984-07-10,1.6
1984-07-11,1.6
1984-07-12,1.62
1984-07-13,1.58
1984-07-16,1.54
1984-07-17,1.56
1984-07-18,1.54
1984-07-19,1.52
1984-07-20,1.52
1984-07-23,1.48
1984-07-24,1.46
1984-07-25,1.48
1984-07-26,1.46
1984-07-27,1.46
1984-07-30,1.44
1984-07-31,1.46
1984-08-01,1.52
1984-08-02,1.66
1984-08-03,1.94
1984-08-06,2.06
1984-08-07,2.04
1984-08-08,1.96
1984-08-09,2.12
1984-08-10,2.06
1984-08-13,2.1
1984-08-14,2.08
1984-08-15,2.02
1984-08-16,2.06
1984-08-17,2.06
1984-08-20,2.06
1984-08-21,2.08
1984-08-22,2.08
1984-08-23,2.04
1984-08-24,2.06
1984-08-27,2.04
1984-08-28,2.02
1984-08-29,2.02
1984-08-30,2.0
1984-08-31,1.98
1984-09-04,1.94
1984-09-05,1.94
1984-09-06,1.96
1984-09-07,1.92
1984-09-10,1.92
1984-09-11,1.92
1984-09-12,1.94
1984-09-13,1.96
1984-09-14,1.98
1984-09-17,1.96
1984-09-18,1.96
1984-09-19,1.96
1984-09-20,1.96
1984-09-21,1.96
1984-09-24,1.92
1984-09-25,1.92
1984-09-26,1.9
1984-09-27,1.92
1984-09-28,1.88
1984-10-01,1.84
1984-10-02,1.84
1984-10-03,1.82
1984-10-04,1.84
1984-10-05,1.82
1984-10-08,1.8
1984-10-09,1.76
1984-10-10,1.8
1984-10-11,1.86
1984-10-12,1.84
1984-10-15,1.84
1984-10-16,1.82
1984-10-17,1.8
1984-10-18,1.86
1984-10-19,1.9
1984-10-22,1.9
1984-10-23,1.9
1984-10-24,1.9
1984-10-25,1.86
1984-10-26,1.86
1984-10-29,1.76
1984-10-30,1.76
1984-10-31,1.8
1984-11-01,1.78
1984-11-02,1.78
1984-11-05,1.82
1984-11-06,1.82
1984-11-07,1.8
1984-11-08,1.82
1984-11-09,1.82
1984-11-12,1.8
1984-11-13,1.8
1984-11-14,1.78
1984-11-15,1.78
1984-11-16,1.76
1984-11-19,1.74
1984-11-20,1.68
1984-11-21,1.64
1984-11-23,1.68
1984-11-26,1.62
1984-11-27,1.6
1984-11-28,1.6
1984-11-29,1.6
1984-11-30,1.6
1984-12-03,1.56
1984-12-04,1.54
1984-12-05,1.54
1984-12-06,1.54
1984-12-07,1.54
1984-12-10,1.56
1984-12-11,1.6
1984-12-12,1.58
1984-12-13,1.56
1984-12-14,1.56
1984-12-17,1.58
1984-12-18,1.6
1984-12-19,1.64
1984-12-20,1.6
1984-12-21,1.6
1984-12-24,1.58
1984-12-26,1.54
1984-12-27,1.54
1984-12-28,1.54
1984-12-31,1.54
1985-01-02,1.6
1985-01-03,1.66
1985-01-04,1.64
1985-01-07,1.64
1985-01-08,1.64
1985-01-09,1.62
1985-01-10,1.72
1985-01-11,1.72
