Date,CFX
2008-05-08,21.0
2008-05-09,20.5
2008-05-12,20.889999
2008-05-13,22.07
2008-05-14,23.16
2008-05-15,24.049999
2008-05-16,23.809998999999998
2008-05-19,23.82
2008-05-20,23.0
2008-05-21,23.07
2008-05-22,22.4
2008-05-23,22.120001000000002
2008-05-27,23.75
2008-05-28,23.99
2008-05-29,24.299999
2008-05-30,24.790001
2008-06-02,24.32
2008-06-03,24.01
2008-06-04,23.940001000000002
2008-06-05,24.65
2008-06-06,24.139999
2008-06-09,23.200001
2008-06-10,22.0
2008-06-11,22.700001
2008-06-12,23.02
2008-06-13,24.200001
2008-06-16,24.5
2008-06-17,23.57
2008-06-18,24.379998999999998
2008-06-19,23.790001
2008-06-20,23.98
2008-06-23,24.139999
2008-06-24,24.93
2008-06-25,24.190001000000002
2008-06-26,23.98
2008-06-27,25.450001
2008-06-30,25.09
2008-07-01,25.43
2008-07-02,25.0
2008-07-03,23.82
2008-07-07,24.57
2008-07-08,24.51
2008-07-09,24.99
2008-07-10,25.93
2008-07-11,26.77
2008-07-14,26.57
2008-07-15,26.360001
2008-07-16,25.5
2008-07-17,24.940001000000002
2008-07-18,25.6
2008-07-21,27.26
2008-07-22,27.42
2008-07-23,25.93
2008-07-24,25.82
2008-07-25,26.76
2008-07-28,25.08
2008-07-29,25.540001
2008-07-30,27.07
2008-07-31,27.290001
2008-08-01,26.42
2008-08-04,27.620001000000002
2008-08-05,23.15
2008-08-06,23.889999
2008-08-07,23.200001
2008-08-08,22.379998999999998
2008-08-11,20.33
2008-08-12,21.85
2008-08-13,23.129998999999998
2008-08-14,24.030001000000002
2008-08-15,23.6
2008-08-18,23.719998999999998
2008-08-19,23.35
2008-08-20,23.77
2008-08-21,24.08
2008-08-22,24.540001
2008-08-25,24.26
2008-08-26,24.27
2008-08-27,24.66
2008-08-28,24.860001
2008-08-29,24.59
2008-09-02,22.6
2008-09-03,21.73
2008-09-04,20.5
2008-09-05,21.07
2008-09-08,21.25
2008-09-09,17.9
2008-09-10,19.440001000000002
2008-09-11,19.16
2008-09-12,18.52
2008-09-15,16.48
2008-09-16,18.01
2008-09-17,16.49
2008-09-18,17.91
2008-09-19,19.889999
2008-09-22,19.629998999999998
2008-09-23,18.969998999999998
2008-09-24,18.17
2008-09-25,17.25
2008-09-26,18.030001000000002
2008-09-29,15.01
2008-09-30,16.709999
2008-10-01,16.360001
2008-10-02,14.32
2008-10-03,12.96
2008-10-06,10.75
2008-10-07,9.85
2008-10-08,9.22
2008-10-09,8.88
2008-10-10,8.45
2008-10-13,9.91
2008-10-14,10.75
2008-10-15,8.23
2008-10-16,8.62
2008-10-17,8.82
2008-10-20,9.09
2008-10-21,8.74
2008-10-22,7.62
2008-10-23,7.14
2008-10-24,6.34
2008-10-27,5.95
2008-10-28,6.41
2008-10-29,6.73
2008-10-30,7.88
2008-10-31,8.52
2008-11-03,9.21
2008-11-04,9.47
2008-11-05,8.7
2008-11-06,7.74
2008-11-07,8.04
2008-11-10,8.15
2008-11-11,7.12
2008-11-12,6.61
2008-11-13,7.6
2008-11-14,6.84
2008-11-17,6.91
2008-11-18,7.27
2008-11-19,7.17
2008-11-20,7.06
2008-11-21,8.29
2008-11-24,8.86
2008-11-25,8.88
2008-11-26,9.44
2008-11-28,9.56
2008-12-01,7.69
2008-12-02,8.06
2008-12-03,7.83
2008-12-04,7.06
2008-12-05,7.08
2008-12-08,7.94
2008-12-09,8.09
2008-12-10,8.48
2008-12-11,8.25
2008-12-12,8.55
2008-12-15,8.02
2008-12-16,9.18
2008-12-17,9.96
2008-12-18,9.54
2008-12-19,9.45
2008-12-22,9.07
2008-12-23,9.05
2008-12-24,9.07
2008-12-26,9.01
2008-12-29,9.07
2008-12-30,10.07
2008-12-31,10.39
2009-01-02,10.76
2009-01-05,10.55
2009-01-06,11.91
2009-01-07,11.48
2009-01-08,12.34
2009-01-09,11.17
2009-01-12,10.75
2009-01-13,10.59
2009-01-14,10.53
2009-01-15,11.24
2009-01-16,10.13
2009-01-20,9.16
2009-01-21,10.28
2009-01-22,9.71
2009-01-23,10.19
2009-01-26,9.52
2009-01-27,9.22
2009-01-28,10.62
2009-01-29,9.08
2009-01-30,9.12
2009-02-02,9.17
2009-02-03,9.52
2009-02-04,9.45
2009-02-05,9.75
2009-02-06,9.98
2009-02-09,9.93
2009-02-10,9.25
2009-02-11,9.76
2009-02-12,9.43
2009-02-13,9.71
2009-02-17,9.21
2009-02-18,9.1
2009-02-19,10.13
2009-02-20,8.19
2009-02-23,7.37
2009-02-24,7.98
2009-02-25,7.23
2009-02-26,7.32
2009-02-27,7.27
2009-03-02,6.91
2009-03-03,6.65
2009-03-04,6.64
2009-03-05,6.11
2009-03-06,6.01
2009-03-09,5.41
2009-03-10,5.9
2009-03-11,5.91
2009-03-12,6.96
2009-03-13,7.44
2009-03-16,7.37
2009-03-17,7.52
2009-03-18,7.35
2009-03-19,7.33
2009-03-20,7.11
2009-03-23,7.3
2009-03-24,7.16
2009-03-25,7.35
2009-03-26,7.5
2009-03-27,7.07
2009-03-30,6.8
2009-03-31,6.87
2009-04-01,7.27
2009-04-02,7.65
2009-04-03,7.55
2009-04-06,7.55
2009-04-07,7.32
2009-04-08,7.09
2009-04-09,7.34
2009-04-13,7.1
2009-04-14,6.25
2009-04-15,6.91
2009-04-16,6.91
2009-04-17,6.61
2009-04-20,6.18
2009-04-21,6.65
2009-04-22,7.36
2009-04-23,7.68
2009-04-24,7.72
2009-04-27,7.65
2009-04-28,7.73
2009-04-29,8.53
2009-04-30,8.63
2009-05-01,8.71
2009-05-04,9.4
2009-05-05,9.33
2009-05-06,9.11
2009-05-07,8.4
2009-05-08,8.29
2009-05-11,8.52
2009-05-12,8.12
2009-05-13,7.18
2009-05-14,7.19
2009-05-15,7.27
2009-05-18,7.6
2009-05-19,8.0
2009-05-20,8.39
2009-05-21,8.0
2009-05-22,7.55
2009-05-26,8.38
2009-05-27,8.26
2009-05-28,7.78
2009-05-29,8.14
2009-06-01,8.74
2009-06-02,8.68
2009-06-03,8.34
2009-06-04,8.92
2009-06-05,8.92
2009-06-08,9.07
2009-06-09,9.01
2009-06-10,9.11
2009-06-11,9.13
2009-06-12,8.9
2009-06-15,8.1
2009-06-16,7.9
2009-06-17,7.82
2009-06-18,7.52
2009-06-19,7.88
2009-06-22,8.17
2009-06-23,7.63
2009-06-24,7.63
2009-06-25,7.69
2009-06-26,7.85
2009-06-29,7.66
2009-06-30,7.72
2009-07-01,7.85
2009-07-02,7.51
2009-07-06,7.5
2009-07-07,7.45
2009-07-08,7.29
2009-07-09,7.26
2009-07-10,7.28
2009-07-13,7.56
2009-07-14,7.64
2009-07-15,8.01
2009-07-16,8.11
2009-07-17,8.39
2009-07-20,8.62
2009-07-21,8.74
2009-07-22,8.57
2009-07-23,8.94
2009-07-24,9.03
2009-07-27,9.22
2009-07-28,9.27
2009-07-29,8.76
2009-07-30,8.91
2009-07-31,9.47
2009-08-03,9.57
2009-08-04,9.76
2009-08-05,9.91
2009-08-06,11.02
2009-08-07,11.63
2009-08-10,11.83
2009-08-11,11.34
2009-08-12,11.69
2009-08-13,11.43
2009-08-14,11.07
2009-08-17,10.55
2009-08-18,10.83
2009-08-19,10.98
2009-08-20,10.96
2009-08-21,11.24
2009-08-24,10.94
2009-08-25,10.97
2009-08-26,11.03
2009-08-27,10.77
2009-08-28,10.65
2009-08-31,10.6
2009-09-01,10.4
2009-09-02,10.4
2009-09-03,10.47
2009-09-04,10.83
2009-09-08,10.82
2009-09-09,11.09
2009-09-10,11.11
2009-09-11,11.57
2009-09-14,11.75
2009-09-15,11.84
2009-09-16,11.49
2009-09-17,11.23
2009-09-18,11.5
2009-09-21,11.42
2009-09-22,11.34
2009-09-23,11.05
2009-09-24,10.3
2009-09-25,10.4
2009-09-28,10.73
2009-09-29,10.78
2009-09-30,10.63
2009-10-01,10.29
2009-10-02,10.31
2009-10-05,10.71
2009-10-06,11.16
2009-10-07,11.06
2009-10-08,11.44
2009-10-09,11.52
2009-10-12,11.77
2009-10-13,11.82
2009-10-14,12.04
2009-10-15,12.0
2009-10-16,11.7
2009-10-19,12.13
2009-10-20,12.05
2009-10-21,11.83
2009-10-22,12.23
2009-10-23,11.99
2009-10-26,11.82
2009-10-27,12.0
2009-10-28,11.34
2009-10-29,11.66
2009-10-30,10.88
2009-11-02,10.89
2009-11-03,11.54
2009-11-04,11.39
2009-11-05,12.09
2009-11-06,12.04
2009-11-09,12.5
2009-11-10,12.42
2009-11-11,12.42
2009-11-12,12.14
2009-11-13,11.98
2009-11-16,12.5
2009-11-17,12.34
2009-11-18,12.14
2009-11-19,11.76
2009-11-20,12.08
2009-11-23,12.43
2009-11-24,12.49
2009-11-25,12.28
2009-11-27,11.89
2009-11-30,12.42
2009-12-01,12.49
2009-12-02,12.53
2009-12-03,12.43
2009-12-04,12.76
2009-12-07,13.63
2009-12-08,13.39
2009-12-09,12.31
2009-12-10,12.38
2009-12-11,12.48
2009-12-14,12.77
2009-12-15,12.89
2009-12-16,12.61
2009-12-17,12.52
2009-12-18,12.95
2009-12-21,12.71
2009-12-22,12.66
2009-12-23,12.7
2009-12-24,12.62
2009-12-28,12.49
2009-12-29,12.48
2009-12-30,12.11
2009-12-31,12.04
2010-01-04,12.38
2010-01-05,12.0
2010-01-06,11.77
2010-01-07,12.14
2010-01-08,12.24
2010-01-11,12.27
2010-01-12,12.08
2010-01-13,12.04
2010-01-14,12.21
2010-01-15,12.26
2010-01-19,12.43
2010-01-20,12.16
2010-01-21,11.73
2010-01-22,11.68
2010-01-25,11.73
2010-01-26,11.59
2010-01-27,11.9
2010-01-28,11.59
2010-01-29,11.27
2010-02-01,11.46
2010-02-02,11.16
2010-02-03,11.2
2010-02-04,10.81
2010-02-05,10.74
2010-02-08,10.7
2010-02-09,10.76
2010-02-10,11.13
2010-02-11,11.46
2010-02-12,11.63
2010-02-16,12.16
2010-02-17,11.88
2010-02-18,11.35
2010-02-19,11.46
2010-02-22,11.43
2010-02-23,11.22
2010-02-24,11.23
2010-02-25,11.53
2010-02-26,11.33
2010-03-01,11.79
2010-03-02,11.6
2010-03-03,11.59
2010-03-04,11.4
2010-03-05,11.68
2010-03-08,11.55
2010-03-09,11.53
2010-03-10,11.31
2010-03-11,11.28
2010-03-12,11.4
2010-03-15,11.33
2010-03-16,11.33
2010-03-17,11.48
2010-03-18,11.37
2010-03-19,11.11
2010-03-22,11.25
2010-03-23,11.6
2010-03-24,11.84
2010-03-25,11.65
2010-03-26,11.67
2010-03-29,11.85
2010-03-30,11.95
2010-03-31,11.77
2010-04-01,11.58
2010-04-05,11.97
2010-04-06,12.1
2010-04-07,11.82
2010-04-08,12.03
2010-04-09,12.07
2010-04-12,12.09
2010-04-13,11.97
2010-04-14,12.45
2010-04-15,12.8
2010-04-16,12.76
2010-04-19,12.69
2010-04-20,12.91
2010-04-21,13.2
2010-04-22,13.52
2010-04-23,13.74
2010-04-26,13.91
2010-04-27,13.47
2010-04-28,13.55
2010-04-29,13.67
2010-04-30,13.05
2010-05-03,13.67
2010-05-04,13.19
2010-05-05,13.08
2010-05-06,12.42
2010-05-07,12.39
2010-05-10,12.99
2010-05-11,13.14
2010-05-12,13.49
2010-05-13,13.46
2010-05-14,13.0
2010-05-17,12.93
2010-05-18,12.66
2010-05-19,12.44
2010-05-20,11.67
2010-05-21,11.71
2010-05-24,11.72
2010-05-25,11.39
2010-05-26,11.72
2010-05-27,12.16
2010-05-28,11.93
2010-06-01,11.49
2010-06-02,11.91
2010-06-03,11.89
2010-06-04,11.02
2010-06-07,10.88
2010-06-08,11.0
2010-06-09,11.1
2010-06-10,11.49
2010-06-11,11.73
2010-06-14,11.55
