Date,FHB
2016-08-05,24.84
2016-08-08,24.58
2016-08-09,24.41
2016-08-10,24.455
2016-08-11,24.83
2016-08-12,25.01
2016-08-15,25.290001
2016-08-16,25.209999
2016-08-17,25.5
2016-08-18,25.77
2016-08-19,26.25
2016-08-22,26.25
2016-08-23,26.58
2016-08-24,26.52
2016-08-25,26.75
2016-08-26,26.57
2016-08-29,26.49
2016-08-30,26.51
2016-08-31,26.58
2016-09-01,26.610001
2016-09-02,27.190001000000002
2016-09-06,26.32
2016-09-07,26.33
2016-09-08,26.15
2016-09-09,26.530001000000002
2016-09-12,26.719998999999998
2016-09-13,26.32
2016-09-14,26.4
2016-09-15,26.35
2016-09-16,26.18
2016-09-19,26.790001
2016-09-20,26.780001000000002
2016-09-21,27.040001
2016-09-22,26.799999
2016-09-23,26.77
2016-09-26,26.33
2016-09-27,26.809998999999998
2016-09-28,26.620001000000002
2016-09-29,26.68
2016-09-30,26.860001
2016-10-03,26.42
2016-10-04,26.74
2016-10-05,26.299999
2016-10-06,26.559998999999998
2016-10-07,26.82
2016-10-10,26.860001
2016-10-11,26.57
2016-10-12,26.42
2016-10-13,26.18
2016-10-14,26.360001
2016-10-17,26.26
2016-10-18,26.700001
2016-10-19,26.790001
2016-10-20,26.85
2016-10-21,26.77
2016-10-24,27.280001000000002
2016-10-25,27.209999
2016-10-26,26.93
2016-10-27,26.9
2016-10-28,27.059998999999998
2016-10-31,27.280001000000002
2016-11-01,26.799999
2016-11-02,26.780001000000002
2016-11-03,26.77
2016-11-04,26.73
2016-11-07,26.700001
2016-11-08,26.6
2016-11-09,27.639999
2016-11-10,28.93
2016-11-11,28.84
2016-11-14,29.860001
2016-11-15,29.610001
2016-11-16,29.48
2016-11-17,29.6
2016-11-18,29.83
2016-11-21,30.48
2016-11-22,30.959999
2016-11-23,31.549999
2016-11-25,31.66
2016-11-28,30.860001
2016-11-29,30.379998999999998
2016-11-30,29.99
2016-12-01,31.389999
2016-12-02,31.530001000000002
2016-12-05,32.5
2016-12-06,33.189999
2016-12-07,33.790001000000004
2016-12-08,33.599998
2016-12-09,33.650002
2016-12-12,32.709998999999996
2016-12-13,32.450001
2016-12-14,32.34
2016-12-15,32.84
2016-12-16,32.82
2016-12-19,33.200001
2016-12-20,34.18
2016-12-21,34.91
2016-12-22,35.119999
2016-12-23,35.029999
2016-12-27,35.189999
2016-12-28,35.049999
2016-12-29,34.93
2016-12-30,34.82
2017-01-03,34.66
2017-01-04,34.849998
2017-01-05,34.720001
2017-01-06,34.540001000000004
2017-01-09,33.959998999999996
2017-01-10,34.110001000000004
2017-01-11,33.32
2017-01-12,33.040001000000004
2017-01-13,33.189999
2017-01-17,32.040001000000004
2017-01-18,32.25
2017-01-19,31.93
2017-01-20,32.650002
2017-01-23,32.68
2017-01-24,33.299999
2017-01-25,34.150002
2017-01-26,34.59
2017-01-27,33.919998
2017-01-30,32.98
2017-01-31,32.990002000000004
2017-02-01,31.65
2017-02-02,31.66
2017-02-03,32.27
2017-02-06,31.9
2017-02-07,31.809998999999998
2017-02-08,31.389999
2017-02-09,31.700001
2017-02-10,31.549999
2017-02-13,32.009997999999996
2017-02-14,32.345001
2017-02-15,32.119999
2017-02-16,32.200001
2017-02-17,32.02
2017-02-21,32.07
2017-02-22,32.240002000000004
2017-02-23,32.049999
2017-02-24,31.799999
2017-02-27,31.92
2017-02-28,31.68
2017-03-01,32.009997999999996
2017-03-02,31.66
2017-03-03,31.9
2017-03-06,31.860001
2017-03-07,31.83
2017-03-08,31.34
2017-03-09,31.34
2017-03-10,31.25
2017-03-13,31.530001000000002
