Date,COMM
2013-10-25,14.99
2013-10-28,14.88
2013-10-29,15.25
2013-10-30,15.43
2013-10-31,15.28
2013-11-01,15.58
2013-11-04,15.29
2013-11-05,15.01
2013-11-06,15.0
2013-11-07,14.97
2013-11-08,15.27
2013-11-11,16.139999
2013-11-12,15.75
2013-11-13,15.82
2013-11-14,15.8
2013-11-15,15.79
2013-11-18,15.67
2013-11-19,15.34
2013-11-20,15.13
2013-11-21,15.18
2013-11-22,15.5
2013-11-25,15.44
2013-11-26,15.46
2013-11-27,16.190001000000002
2013-11-29,16.09
2013-12-02,16.74
2013-12-03,16.959999
2013-12-04,17.02
2013-12-05,16.809998999999998
2013-12-06,17.049999
2013-12-09,17.35
2013-12-10,17.370001000000002
2013-12-11,17.360001
2013-12-12,17.33
2013-12-13,17.4
2013-12-16,17.59
2013-12-17,17.68
2013-12-18,17.799999
2013-12-19,17.49
2013-12-20,17.84
2013-12-23,18.049999
2013-12-24,18.030001000000002
2013-12-26,18.1
2013-12-27,18.280001000000002
2013-12-30,18.48
2013-12-31,18.93
2014-01-02,18.77
2014-01-03,19.190001000000002
2014-01-06,19.299999
2014-01-07,19.030001000000002
2014-01-08,18.99
2014-01-09,18.93
2014-01-10,18.67
2014-01-13,18.35
2014-01-14,17.959999
2014-01-15,18.43
2014-01-16,18.68
2014-01-17,18.299999
2014-01-21,18.25
2014-01-22,18.370001000000002
2014-01-23,17.879998999999998
2014-01-24,17.809998999999998
2014-01-27,17.309998999999998
2014-01-28,17.610001
2014-01-29,17.34
2014-01-30,17.51
2014-01-31,17.93
2014-02-03,18.0
2014-02-04,18.26
2014-02-05,18.5
2014-02-06,18.459999
2014-02-07,18.209999
2014-02-10,18.58
2014-02-11,18.889999
2014-02-12,18.6
2014-02-13,18.77
2014-02-14,18.809998999999998
2014-02-18,19.02
2014-02-19,18.940001000000002
2014-02-20,18.969998999999998
2014-02-21,21.92
2014-02-24,22.92
2014-02-25,23.0
2014-02-26,23.360001
2014-02-27,23.629998999999998
2014-02-28,24.219998999999998
2014-03-03,24.24
2014-03-04,24.129998999999998
2014-03-05,24.049999
2014-03-06,23.49
2014-03-07,22.9
2014-03-10,22.709999
2014-03-11,21.99
2014-03-12,21.32
2014-03-13,21.950001
2014-03-14,21.690001000000002
2014-03-17,21.68
2014-03-18,22.02
2014-03-19,22.08
2014-03-20,22.129998999999998
2014-03-21,24.370001000000002
2014-03-24,24.43
2014-03-25,24.49
2014-03-26,23.85
2014-03-27,23.1
2014-03-28,22.940001000000002
2014-03-31,24.68
2014-04-01,25.360001
2014-04-02,25.709999
2014-04-03,24.889999
2014-04-04,24.68
2014-04-07,24.389999
2014-04-08,24.440001000000002
2014-04-09,24.82
2014-04-10,23.719998999999998
2014-04-11,23.51
2014-04-14,23.83
2014-04-15,23.68
2014-04-16,24.389999
2014-04-17,24.809998999999998
2014-04-21,25.309998999999998
2014-04-22,25.02
2014-04-23,25.389999
2014-04-24,25.129998999999998
2014-04-25,24.65
2014-04-28,24.51
2014-04-29,25.34
2014-04-30,26.68
2014-05-01,27.68
2014-05-02,27.84
2014-05-05,27.32
2014-05-06,26.879998999999998
2014-05-07,26.030001000000002
2014-05-08,25.690001000000002
2014-05-09,25.48
2014-05-12,25.4
2014-05-13,25.02
2014-05-14,24.950001
2014-05-15,24.92
2014-05-16,24.41
2014-05-19,24.790001
2014-05-20,25.27
2014-05-21,25.9
2014-05-22,26.440001000000002
2014-05-23,26.440001000000002
2014-05-27,26.49
2014-05-28,26.780001000000002
2014-05-29,27.0
2014-05-30,26.440001000000002
2014-06-02,24.9
2014-06-03,24.52
2014-06-04,24.879998999999998
2014-06-05,24.4
2014-06-06,24.889999
2014-06-09,25.01
2014-06-10,24.85
2014-06-11,24.629998999999998
2014-06-12,23.629998999999998
2014-06-13,23.120001000000002
2014-06-16,23.209999
2014-06-17,23.200001
2014-06-18,23.35
2014-06-19,23.790001
2014-06-20,24.110001
2014-06-23,24.309998999999998
2014-06-24,23.799999
2014-06-25,23.299999
2014-06-26,23.290001
2014-06-27,23.26
2014-06-30,23.129998999999998
2014-07-01,23.1
2014-07-02,23.35
2014-07-03,23.34
2014-07-07,22.77
2014-07-08,22.24
2014-07-09,22.459999
2014-07-10,22.26
2014-07-11,22.5
2014-07-14,23.049999
2014-07-15,22.85
2014-07-16,23.34
2014-07-17,23.02
2014-07-18,23.799999
2014-07-21,23.959999
2014-07-22,24.08
2014-07-23,23.26
2014-07-24,23.059998999999998
2014-07-25,23.4
2014-07-28,24.09
2014-07-29,24.01
2014-07-30,24.07
2014-07-31,24.639999
2014-08-01,24.889999
2014-08-04,25.42
2014-08-05,25.01
2014-08-06,24.790001
2014-08-07,24.700001
2014-08-08,24.6
2014-08-11,24.43
2014-08-12,24.620001000000002
2014-08-13,25.26
2014-08-14,25.43
2014-08-15,24.969998999999998
2014-08-18,24.870001000000002
2014-08-19,24.969998999999998
2014-08-20,25.4
2014-08-21,26.08
2014-08-22,25.889999
2014-08-25,25.99
2014-08-26,25.860001
2014-08-27,25.73
2014-08-28,25.690001000000002
2014-08-29,25.76
2014-09-02,26.5
2014-09-03,26.32
2014-09-04,26.139999
2014-09-05,26.24
2014-09-08,26.1
2014-09-09,25.360001
2014-09-10,25.700001
2014-09-11,25.799999
2014-09-12,25.190001000000002
2014-09-15,24.68
2014-09-16,24.629998999999998
2014-09-17,24.25
2014-09-18,24.77
2014-09-19,24.639999
2014-09-22,24.23
2014-09-23,24.17
2014-09-24,24.48
2014-09-25,24.309998999999998
2014-09-26,24.219998999999998
2014-09-29,24.280001000000002
2014-09-30,23.91
2014-10-01,23.940001000000002
2014-10-02,24.110001
2014-10-03,23.809998999999998
2014-10-06,23.450001
2014-10-07,23.15
2014-10-08,23.49
2014-10-09,23.030001000000002
2014-10-10,21.559998999999998
2014-10-13,21.290001
2014-10-14,21.25
2014-10-15,20.190001000000002
2014-10-16,21.0
2014-10-17,22.07
2014-10-20,22.18
2014-10-21,22.77
2014-10-22,22.360001
2014-10-23,23.030001000000002
2014-10-24,22.82
2014-10-27,22.4
2014-10-28,22.700001
2014-10-29,22.82
2014-10-30,23.25
2014-10-31,21.540001
2014-11-03,21.09
2014-11-04,21.559998999999998
2014-11-05,21.6
2014-11-06,22.200001
2014-11-07,22.59
2014-11-10,20.77
2014-11-11,21.1
2014-11-12,21.120001000000002
2014-11-13,20.879998999999998
2014-11-14,21.200001
2014-11-17,20.780001000000002
2014-11-18,21.58
2014-11-19,21.469998999999998
2014-11-20,21.67
2014-11-21,21.780001000000002
2014-11-24,22.049999
2014-11-25,22.190001000000002
2014-11-26,22.51
2014-11-28,22.200001
2014-12-01,22.219998999999998
2014-12-02,22.5
2014-12-03,23.1
2014-12-04,23.41
2014-12-05,23.83
2014-12-08,23.59
2014-12-09,23.35
2014-12-10,22.549999
2014-12-11,22.299999
2014-12-12,21.99
2014-12-15,21.955
2014-12-16,21.799999
2014-12-17,21.75
2014-12-18,22.08
2014-12-19,22.48
2014-12-22,22.75
2014-12-23,23.0
