Date,RS
1994-09-16,3.611111
1994-09-19,3.472222
1994-09-20,3.5
1994-09-21,3.361111
1994-09-22,3.388889
1994-09-23,3.361111
1994-09-26,3.194444
1994-09-27,3.361111
1994-09-28,3.361111
1994-09-29,3.416667
1994-09-30,3.5
1994-10-03,3.416667
1994-10-04,3.361111
1994-10-05,3.333333
1994-10-06,3.277778
1994-10-07,3.3055559999999997
1994-10-10,3.25
1994-10-11,3.222222
1994-10-12,3.194444
1994-10-13,3.3055559999999997
1994-10-14,3.25
1994-10-17,3.3055559999999997
1994-10-18,3.333333
1994-10-19,3.25
1994-10-20,3.222222
1994-10-21,3.222222
1994-10-24,3.083333
1994-10-25,3.055556
1994-10-26,3.083333
1994-10-27,3.111111
1994-10-28,3.111111
1994-10-31,3.25
1994-11-01,3.4444440000000003
1994-11-02,3.4444440000000003
1994-11-03,3.4444440000000003
1994-11-04,3.472222
1994-11-07,3.416667
1994-11-08,3.416667
1994-11-09,3.361111
1994-11-10,3.25
1994-11-11,3.277778
1994-11-14,3.3055559999999997
1994-11-15,3.3055559999999997
1994-11-16,3.138889
1994-11-17,3.083333
1994-11-18,3.055556
1994-11-21,3.055556
1994-11-22,2.916667
1994-11-23,2.861111
1994-11-25,2.833333
1994-11-28,2.861111
1994-11-29,2.833333
1994-11-30,2.888889
1994-12-01,2.861111
1994-12-02,2.861111
1994-12-05,2.861111
1994-12-06,2.805556
1994-12-07,2.75
1994-12-08,2.722222
1994-12-09,2.5
1994-12-12,2.444444
1994-12-13,2.444444
1994-12-14,2.444444
1994-12-15,2.472222
1994-12-16,2.583333
1994-12-19,2.777778
1994-12-20,2.75
1994-12-21,2.833333
1994-12-22,2.861111
1994-12-23,2.916667
1994-12-27,2.944444
1994-12-28,2.888889
1994-12-29,2.833333
1994-12-30,2.805556
1995-01-03,2.805556
1995-01-04,2.777778
1995-01-05,2.777778
1995-01-06,2.777778
1995-01-09,2.833333
1995-01-10,2.861111
1995-01-11,3.083333
1995-01-12,3.055556
1995-01-13,3.0
1995-01-16,3.0
1995-01-17,3.111111
1995-01-18,3.055556
1995-01-19,3.083333
1995-01-20,2.944444
1995-01-23,2.944444
1995-01-24,2.888889
1995-01-25,2.833333
1995-01-26,2.805556
1995-01-27,2.777778
1995-01-30,2.638889
1995-01-31,2.611111
1995-02-01,2.666667
1995-02-02,2.611111
1995-02-03,2.611111
1995-02-06,2.666667
1995-02-07,2.638889
1995-02-08,2.611111
1995-02-09,2.611111
1995-02-10,2.583333
1995-02-13,2.527778
1995-02-14,2.583333
1995-02-15,2.777778
1995-02-16,2.777778
1995-02-17,2.75
1995-02-21,2.722222
1995-02-22,2.861111
1995-02-23,2.833333
1995-02-24,2.833333
1995-02-27,2.833333
1995-02-28,2.972222
1995-03-01,3.027778
1995-03-02,2.944444
1995-03-03,3.111111
1995-03-06,3.0
1995-03-07,3.0
1995-03-08,2.833333
1995-03-09,2.833333
1995-03-10,2.861111
1995-03-13,2.916667
1995-03-14,2.944444
1995-03-15,2.944444
1995-03-16,2.916667
1995-03-17,2.888889
1995-03-20,2.861111
1995-03-21,2.666667
1995-03-22,2.722222
1995-03-23,2.75
1995-03-24,2.75
1995-03-27,2.777778
1995-03-28,2.777778
1995-03-29,2.75
1995-03-30,2.777778
1995-03-31,2.805556
1995-04-03,2.777778
1995-04-04,2.638889
1995-04-05,2.777778
1995-04-06,2.888889
1995-04-07,2.861111
1995-04-10,2.833333
1995-04-11,2.777778
1995-04-12,2.777778
1995-04-13,2.833333
1995-04-17,2.861111
1995-04-18,2.888889
1995-04-19,2.833333
1995-04-20,2.805556
