Date,EQH
2018-05-10,20.34
2018-05-11,21.389999
2018-05-14,21.5
2018-05-15,21.6
2018-05-16,21.6
2018-05-17,21.68
2018-05-18,21.58
2018-05-21,21.860001
2018-05-22,21.85
2018-05-23,21.719998999999998
2018-05-24,21.780001000000002
2018-05-25,21.950001
2018-05-29,20.74
2018-05-30,21.440001000000002
2018-05-31,21.360001
2018-06-01,21.540001
2018-06-04,21.68
2018-06-05,21.48
2018-06-06,21.379998999999998
2018-06-07,21.26
2018-06-08,21.059998999999998
2018-06-11,21.34
2018-06-12,21.379998999999998
2018-06-13,21.629998999999998
2018-06-14,21.200001
2018-06-15,21.120001000000002
2018-06-18,20.93
2018-06-19,20.9
2018-06-20,21.129998999999998
2018-06-21,21.209999
2018-06-22,21.690001000000002
2018-06-25,21.1
2018-06-26,20.82
2018-06-27,20.219998999999998
2018-06-28,20.25
2018-06-29,20.610001
2018-07-02,20.629998999999998
2018-07-03,20.790001
2018-07-05,21.07
2018-07-06,21.200001
2018-07-09,21.73
2018-07-10,21.540001
2018-07-11,21.040001
2018-07-12,21.1
2018-07-13,21.040001
2018-07-16,21.23
2018-07-17,21.25
2018-07-18,21.24
2018-07-19,20.969998999999998
2018-07-20,21.16
2018-07-23,21.5
2018-07-24,21.59
2018-07-25,21.57
2018-07-26,21.799999
2018-07-27,21.74
2018-07-30,22.02
2018-07-31,21.99
2018-08-01,21.66
2018-08-02,21.629998999999998
2018-08-03,21.959999
2018-08-06,21.940001000000002
2018-08-07,21.59
2018-08-08,21.83
2018-08-09,21.67
2018-08-10,21.299999
2018-08-13,21.35
2018-08-14,21.870001000000002
2018-08-15,21.629998999999998
2018-08-16,22.02
2018-08-17,22.23
2018-08-20,22.360001
2018-08-21,22.68
2018-08-22,22.639999
2018-08-23,22.469998999999998
2018-08-24,22.48
2018-08-27,22.790001
2018-08-28,22.84
2018-08-29,22.74
2018-08-30,23.0
2018-08-31,22.950001
2018-09-04,23.030001000000002
2018-09-05,22.9
2018-09-06,22.540001
2018-09-07,22.33
2018-09-10,22.5
2018-09-11,22.450001
2018-09-12,22.450001
2018-09-13,22.23
2018-09-14,22.25
2018-09-17,22.34
2018-09-18,22.219998999999998
2018-09-19,22.49
2018-09-20,22.549999
2018-09-21,22.459999
2018-09-24,22.209999
2018-09-25,21.85
2018-09-26,21.4
2018-09-27,21.82
2018-09-28,21.450001
