Date,UNP
1980-11-03,5.7784379999999995
1980-11-05,6.020080999999999
1980-11-06,5.936031
1980-11-07,5.988563
1980-11-10,5.946537
1980-11-11,6.209194
1980-11-12,6.524381
1980-11-13,6.482355999999999
1980-11-14,6.587419000000001
1980-11-17,7.018175
1980-11-18,7.375388
1980-11-19,7.102225
1980-11-20,7.238805999999999
1980-11-21,7.438425
1980-11-24,7.406905999999999
1980-11-25,7.31235
1980-11-26,7.690575
1980-11-28,7.669561999999999
1980-12-01,7.2913369999999995
1980-12-02,7.123238000000001
1980-12-03,7.0602
1980-12-04,7.007669
1980-12-05,6.702988
1980-12-08,6.408812999999999
1980-12-09,6.450838
1980-12-10,6.429825
1980-12-11,6.3878
1980-12-12,6.618937
1980-12-15,6.63995
1980-12-16,6.724
1980-12-17,6.913113
1980-12-18,6.955138000000001
1980-12-19,6.766025
1980-12-22,6.724
1980-12-23,6.429825
1980-12-24,6.618937
1980-12-26,6.702988
1980-12-29,6.513875
1980-12-30,6.63995
1980-12-31,6.618937
1981-01-02,6.5559
1981-01-05,6.513875
1981-01-06,6.30375
1981-01-07,6.188181
1981-01-08,5.988563
1981-01-09,5.946537
1981-01-12,5.96755
1981-01-13,6.0516
1981-01-14,6.2197
1981-01-15,6.3878
1981-01-16,6.576911999999999
1981-01-19,6.440331
1981-01-20,6.251219
1981-01-21,6.156662
1981-01-22,6.093625
1981-01-23,6.009575
1981-01-26,5.757425
1981-01-27,5.8309690000000005
1981-01-28,5.841475
1981-01-29,5.872994
1981-01-30,5.8835
1981-02-02,5.7784379999999995
1981-02-03,5.872994
1981-02-04,5.904512
1981-02-05,5.862487000000001
1981-02-06,5.862487000000001
1981-02-09,5.494769
1981-02-10,5.526288
1981-02-11,5.442237
1981-02-12,5.473756
1981-02-13,5.46325
1981-02-17,5.505275
1981-02-18,5.63135
1981-02-19,5.494769
1981-02-20,5.46325
1981-02-23,5.473756
1981-02-24,5.515781
1981-02-25,5.557805999999999
1981-02-26,5.63135
1981-02-27,5.673375
1981-03-02,5.736413
1981-03-03,5.8309690000000005
1981-03-04,6.030588
1981-03-05,5.8835
1981-03-06,5.736413
1981-03-09,5.7154
1981-03-10,5.7154
1981-03-11,5.7784379999999995
1981-03-12,6.009575
1981-03-13,6.156662
1981-03-16,6.261725
1981-03-17,6.2197
1981-03-18,6.030588
1981-03-19,5.7154
1981-03-20,5.63135
1981-03-23,5.809956
1981-03-24,5.96755
1981-03-25,6.198688
1981-03-26,6.167169
1981-03-27,6.114637
1981-03-30,6.093625
1981-03-31,6.2197
1981-04-01,6.2197
1981-04-02,6.2197
1981-04-03,6.261725
1981-04-06,6.114637
1981-04-07,6.041094
1981-04-08,6.0516
1981-04-09,5.96755
1981-04-10,5.925525
1981-04-13,5.5473
