Date,RFL
2018-03-27,4.9
2018-03-28,4.65
2018-03-29,4.85
2018-04-02,4.55
2018-04-03,5.13
2018-04-04,5.28
2018-04-05,6.27
2018-04-06,5.88
2018-04-09,6.03
2018-04-10,6.0
2018-04-11,5.96
2018-04-12,6.01
2018-04-13,6.22
2018-04-16,6.74
2018-04-17,6.85
2018-04-18,6.5
2018-04-19,6.53
2018-04-20,6.38
2018-04-23,6.8
2018-04-24,6.65
2018-04-25,6.74
2018-04-26,6.89
2018-04-27,7.35
2018-04-30,8.2
2018-05-01,7.75
2018-05-02,7.94
2018-05-03,7.8
2018-05-04,7.89
2018-05-07,8.23
2018-05-08,8.24
2018-05-09,8.13
2018-05-10,7.59
2018-05-11,8.0
2018-05-14,8.31
2018-05-15,8.36
2018-05-16,8.56
2018-05-17,8.28
2018-05-18,8.27
2018-05-21,8.39
2018-05-22,8.05
2018-05-23,8.37
2018-05-24,8.41
2018-05-25,8.49
2018-05-29,8.65
2018-05-30,8.92
2018-05-31,9.15
2018-06-01,9.92
2018-06-04,9.96
2018-06-05,10.11
2018-06-06,9.93
2018-06-07,10.0
2018-06-08,10.0
2018-06-11,9.8
2018-06-12,9.63
2018-06-13,9.32
2018-06-14,9.29
2018-06-15,9.05
2018-06-18,9.2
2018-06-19,8.75
2018-06-20,8.33
2018-06-21,8.74
2018-06-22,8.88
2018-06-25,9.2
2018-06-26,9.43
2018-06-27,9.06
2018-06-28,9.01
2018-06-29,9.19
2018-07-02,9.13
2018-07-03,9.14
2018-07-05,8.99
2018-07-06,8.92
2018-07-09,9.36
2018-07-10,9.24
2018-07-11,9.4
2018-07-12,9.66
2018-07-13,9.48
2018-07-16,9.117
2018-07-17,9.33
2018-07-18,9.59
2018-07-19,9.58
2018-07-20,10.17
2018-07-23,10.02
2018-07-24,9.34
2018-07-25,9.53
2018-07-26,9.46
2018-07-27,9.35
2018-07-30,9.12
2018-07-31,9.1
2018-08-01,9.12
2018-08-02,9.1
2018-08-03,9.3
2018-08-06,9.68
2018-08-07,9.6
2018-08-08,9.68
2018-08-09,9.45
2018-08-10,9.25
2018-08-13,9.06
2018-08-14,9.0
2018-08-15,9.2
2018-08-16,9.3
2018-08-17,9.2
2018-08-20,9.18
2018-08-21,9.1
2018-08-22,9.28
2018-08-23,9.66
2018-08-24,9.6
2018-08-27,9.17
2018-08-28,9.35
2018-08-29,9.41
2018-08-30,9.39
2018-08-31,9.42
2018-09-04,9.1
2018-09-05,9.23
2018-09-06,9.11
2018-09-07,9.15
2018-09-10,9.0
2018-09-11,9.32
2018-09-12,9.41
2018-09-13,9.26
2018-09-14,9.2
2018-09-17,9.12
2018-09-18,9.2
2018-09-19,9.06
2018-09-20,9.12
2018-09-21,8.91
2018-09-24,8.72
2018-09-25,8.65
2018-09-26,8.63
2018-09-27,8.49
2018-09-28,8.4
2018-10-01,8.25
2018-10-02,8.2
2018-10-03,8.18
2018-10-04,8.15
2018-10-05,8.32
2018-10-08,8.19
2018-10-09,8.4
2018-10-10,8.13
2018-10-11,8.05
2018-10-12,8.44
2018-10-15,8.55
2018-10-16,8.81
2018-10-17,9.02
2018-10-18,8.7
2018-10-19,8.95
2018-10-22,9.09
2018-10-23,8.97
2018-10-24,8.63
2018-10-25,8.42
2018-10-26,8.35
2018-10-29,8.16
2018-10-30,8.26
2018-10-31,8.14
2018-11-01,8.59
2018-11-02,8.38
2018-11-05,8.49
2018-11-06,8.8
2018-11-07,8.71
2018-11-08,8.16
2018-11-09,8.32
2018-11-12,8.05
2018-11-13,8.49
2018-11-14,8.47
2018-11-15,8.43
2018-11-16,8.7
2018-11-19,8.59
2018-11-20,8.33
2018-11-21,8.18
2018-11-23,8.55
2018-11-26,8.31
2018-11-27,8.313
2018-11-28,8.19
2018-11-29,8.35
2018-11-30,8.3
2018-12-03,8.41
2018-12-04,8.4
2018-12-06,8.41
2018-12-07,8.46
2018-12-10,8.5
2018-12-11,8.99
2018-12-12,9.1
2018-12-13,9.1
2018-12-14,8.96
2018-12-17,8.31
2018-12-18,8.47
2018-12-19,8.66
2018-12-20,7.95
2018-12-21,7.95
2018-12-24,7.81
2018-12-26,7.63
2018-12-27,7.86
2018-12-28,8.28
2018-12-31,7.93
2019-01-02,8.29
2019-01-03,8.4
2019-01-04,8.512
2019-01-07,8.66
2019-01-08,8.71
2019-01-09,9.1
2019-01-10,11.83
2019-01-11,11.83
2019-01-14,12.26
2019-01-15,13.019
2019-01-16,12.705
2019-01-17,14.35
2019-01-18,16.49
2019-01-22,18.49
2019-01-23,16.959999
2019-01-24,17.25
2019-01-25,17.639999
2019-01-28,17.65
2019-01-29,17.74
2019-01-30,17.059998999999998
2019-01-31,15.42
2019-02-01,15.81
2019-02-04,15.56
2019-02-05,15.77
2019-02-06,15.99
2019-02-07,15.88
2019-02-08,16.6
2019-02-11,17.41
2019-02-12,16.799999
2019-02-13,16.25
2019-02-14,16.43
2019-02-15,16.530001000000002
2019-02-19,17.0
2019-02-20,16.459999
2019-02-21,16.5
2019-02-22,16.950001
2019-02-25,16.120001000000002
2019-02-26,16.200001
2019-02-27,16.0
2019-02-28,15.8
2019-03-01,15.7
2019-03-04,16.07
2019-03-05,15.7
2019-03-06,15.02
2019-03-07,13.47
2019-03-08,13.68
2019-03-11,14.17
2019-03-12,15.21
2019-03-13,15.63
2019-03-14,14.82
2019-03-15,14.56
2019-03-18,14.47
2019-03-19,13.97
2019-03-20,14.26
2019-03-21,14.01
2019-03-22,13.87
2019-03-25,13.5
2019-03-26,12.15
2019-03-27,11.8
2019-03-28,12.13
2019-03-29,12.65
2019-04-01,12.3
2019-04-02,13.3
2019-04-03,13.5
2019-04-04,14.0
2019-04-05,14.39
2019-04-08,14.06
2019-04-09,13.68
2019-04-10,14.15
2019-04-11,14.65
2019-04-12,14.15
2019-04-15,14.06
2019-04-16,14.52
2019-04-17,14.33
2019-04-18,14.61
2019-04-22,15.5
2019-04-23,14.78
2019-04-24,15.78
2019-04-25,16.15
2019-04-26,16.4
2019-04-29,16.18
2019-04-30,16.200001
2019-05-01,16.200001
2019-05-02,16.5
2019-05-03,16.0
2019-05-06,15.97
2019-05-07,15.11
2019-05-08,16.74
2019-05-09,16.950001
2019-05-10,16.24
2019-05-13,15.35
2019-05-14,16.049999
2019-05-15,16.1
2019-05-16,15.66
2019-05-17,15.29
2019-05-20,15.39
2019-05-21,15.7
2019-05-22,15.45
2019-05-23,15.29
2019-05-24,15.7
2019-05-28,15.7
2019-05-29,16.1
2019-05-30,17.469998999999998
2019-05-31,16.25
2019-06-03,16.07
2019-06-04,16.5
2019-06-05,16.6
2019-06-06,16.77
2019-06-07,18.07
2019-06-10,19.5
2019-06-11,19.34
2019-06-12,21.25
2019-06-13,22.07
2019-06-14,21.959999
2019-06-17,21.83
2019-06-18,24.74
2019-06-19,24.059998999999998
2019-06-20,24.68
2019-06-21,25.360001
2019-06-24,24.0
2019-06-25,26.540001
2019-06-26,26.59
2019-06-27,27.49
2019-06-28,28.75
2019-07-01,27.01
2019-07-02,24.540001
2019-07-03,23.48
2019-07-05,22.469998999999998
2019-07-08,22.68
2019-07-09,22.43
2019-07-10,22.219998999999998
2019-07-11,22.01
2019-07-12,21.84
2019-07-15,21.469998999999998
2019-07-16,20.629998999999998
2019-07-17,21.09
2019-07-18,21.299999
2019-07-19,20.870001000000002
2019-07-22,21.299999
2019-07-23,20.85
2019-07-24,21.25
2019-07-25,20.77
2019-07-26,20.43
2019-07-29,19.809998999999998
2019-07-30,20.76
2019-07-31,20.700001
2019-08-01,20.33
2019-08-02,20.219998999999998
2019-08-05,19.879998999999998
2019-08-06,19.120001000000002
2019-08-07,18.83
2019-08-08,20.15
2019-08-09,18.889999
2019-08-12,19.48
2019-08-13,20.200001
2019-08-14,19.549999
2019-08-15,19.32
2019-08-16,20.49
