Date,TPHS
2012-10-02,3.6
2012-10-03,4.1
2012-10-04,4.01
2012-10-05,4.01
2012-10-08,4.01
2012-10-09,3.55
2012-10-10,3.55
2012-10-11,3.55
2012-10-12,3.58
2012-10-15,3.58
2012-10-16,3.58
2012-10-17,3.5
2012-10-18,3.5
2012-10-19,3.5
2012-10-22,3.58
2012-10-23,3.55
2012-10-24,3.55
2012-10-25,3.55
2012-10-26,3.55
2012-10-31,4.0
2012-11-01,4.05
2012-11-02,4.05
2012-11-05,4.01
2012-11-06,4.05
2012-11-07,4.05
2012-11-08,4.02
2012-11-09,4.05
2012-11-12,4.05
2012-11-13,4.19
2012-11-14,4.19
2012-11-15,4.05
2012-11-16,4.24
2012-11-19,4.24
2012-11-20,4.05
2012-11-21,4.05
2012-11-23,4.05
2012-11-26,4.05
2012-11-27,4.04
2012-11-28,4.05
2012-11-29,4.25
2012-11-30,4.25
2012-12-03,4.25
2012-12-04,4.06
2012-12-05,4.06
2012-12-06,4.14
2012-12-07,4.13
2012-12-10,4.13
2012-12-11,4.2
2012-12-12,4.2
2012-12-13,4.25
2012-12-14,4.25
2012-12-17,4.45
2012-12-18,4.45
2012-12-19,4.69
2012-12-20,4.65
2012-12-21,4.65
2012-12-24,4.64
2012-12-26,4.64
2012-12-27,4.76
2012-12-28,4.75
2012-12-31,4.95
2013-01-02,5.0
2013-01-03,5.0
2013-01-04,5.0
2013-01-07,5.0
2013-01-08,5.0
2013-01-09,5.45
2013-01-10,5.45
2013-01-11,4.945
2013-01-14,4.945
2013-01-15,4.945
2013-01-16,4.76
2013-01-17,4.85
2013-01-18,4.5
2013-01-22,4.65
2013-01-23,4.4
2013-01-24,4.46
2013-01-25,4.46
2013-01-28,4.43
2013-01-29,4.43
2013-01-30,4.6
2013-01-31,4.6
2013-02-01,4.6
2013-02-04,4.43
2013-02-05,4.45
2013-02-06,4.4
2013-02-07,4.4
2013-02-08,4.4
2013-02-11,4.4
2013-02-12,4.4
2013-02-13,4.4
2013-02-14,4.4
2013-02-15,4.4
2013-02-19,4.4
2013-02-20,4.4
2013-02-21,4.4
2013-02-22,4.4
2013-02-25,4.4
2013-02-26,4.4
2013-02-27,4.25
2013-02-28,4.23
2013-03-01,4.3
2013-03-04,4.31
2013-03-05,4.25
2013-03-06,4.21
2013-03-07,4.25
2013-03-08,4.25
2013-03-11,4.3
2013-03-12,4.3
2013-03-13,5.25
2013-03-14,4.5
2013-03-15,4.5
2013-03-18,4.21
2013-03-19,4.21
2013-03-20,4.94
2013-03-21,4.94
2013-03-22,4.94
2013-03-25,4.94
2013-03-26,4.94
2013-03-27,4.48
2013-03-28,4.31
2013-04-01,4.31
2013-04-02,4.3
2013-04-03,5.3
2013-04-04,5.0
2013-04-05,4.6
2013-04-08,4.45
2013-04-09,4.4
2013-04-10,4.4
2013-04-11,4.35
2013-04-12,4.3
2013-04-15,4.17
2013-04-16,4.17
