Date,PD
2020-03-10,19.27
2020-03-11,18.1
2020-03-12,15.77
2020-03-13,15.61
2020-03-16,12.87
2020-03-17,14.94
2020-03-18,14.92
2020-03-19,18.43
2020-03-20,19.07
2020-03-23,17.790001
2020-03-24,18.030001000000002
2020-03-25,18.35
2020-03-26,18.4
2020-03-27,16.299999
2020-03-30,17.030001000000002
2020-03-31,17.280001000000002
2020-04-01,16.040001
2020-04-02,15.89
2020-04-03,15.11
2020-04-06,17.26
2020-04-07,16.629998999999998
2020-04-08,18.129998999999998
2020-04-09,18.389999
2020-04-13,19.120001000000002
2020-04-14,19.200001
2020-04-15,19.389999
2020-04-16,19.719998999999998
2020-04-17,20.91
2020-04-20,21.620001000000002
2020-04-21,21.129998999999998
2020-04-22,21.09
2020-04-23,21.450001
2020-04-24,21.459999
2020-04-27,22.16
2020-04-28,21.290001
2020-04-29,21.5
2020-04-30,21.110001
2020-05-01,20.73
2020-05-04,20.799999
2020-05-05,21.299999
2020-05-06,22.09
2020-05-07,24.09
2020-05-08,24.57
