Date,ENLC
2004-01-13,8.466666
2004-01-14,8.403334
2004-01-15,8.36
2004-01-16,8.333333
2004-01-20,8.36
2004-01-21,8.416667
2004-01-22,8.663333
2004-01-23,9.03
2004-01-26,9.083333
2004-01-27,9.2
2004-01-28,9.42
2004-01-29,9.35
2004-01-30,9.366667
2004-02-02,9.366667
2004-02-03,9.45
2004-02-04,9.626667
2004-02-05,9.7
2004-02-06,9.806666
2004-02-09,9.81
2004-02-10,10.103333000000001
2004-02-11,10.5
2004-02-12,10.933333
2004-02-13,10.533334
2004-02-17,11.146666999999999
2004-02-18,11.72
2004-02-19,11.673333
2004-02-20,11.646666999999999
2004-02-23,12.066667
2004-02-24,12.433333
2004-02-25,12.54
2004-02-26,12.566667
2004-02-27,13.003333
2004-03-01,13.916667000000002
2004-03-02,13.77
2004-03-03,13.666667000000002
2004-03-04,13.433333
2004-03-05,13.123332999999999
2004-03-08,12.9
2004-03-09,12.936666
2004-03-10,12.56
2004-03-11,12.54
2004-03-12,13.156667
2004-03-15,12.87
2004-03-16,13.276667000000002
2004-03-17,13.1
2004-03-18,13.16
2004-03-19,13.016666
2004-03-22,13.433333
2004-03-23,13.31
2004-03-24,13.583332999999998
2004-03-25,13.833332999999998
2004-03-26,13.716666
2004-03-29,13.8
2004-03-30,14.0
2004-03-31,13.983334
2004-04-01,14.033334
2004-04-02,14.013333
2004-04-05,13.913332999999998
2004-04-06,13.833332999999998
2004-04-07,14.036667000000001
2004-04-08,13.953332999999999
2004-04-12,13.783334
2004-04-13,13.416667000000002
2004-04-14,13.093333
2004-04-15,13.4
2004-04-16,13.396667
2004-04-19,13.326667
2004-04-20,13.303332999999999
2004-04-21,13.0
2004-04-22,12.95
2004-04-23,13.006667
2004-04-26,13.2
2004-04-27,13.25
2004-04-28,13.666667000000002
2004-04-29,13.55
2004-04-30,13.643332999999998
2004-05-03,14.116667000000001
2004-05-04,14.333332999999998
2004-05-05,14.533334
2004-05-06,14.54
2004-05-07,14.476666
2004-05-10,14.256667000000002
2004-05-11,14.48
2004-05-12,14.383332999999999
2004-05-13,13.866667000000001
2004-05-14,13.983334
2004-05-17,13.93
2004-05-18,13.85
2004-05-19,13.95
2004-05-20,13.833332999999998
2004-05-21,14.16
2004-05-24,14.243332999999998
2004-05-25,13.99
2004-05-26,13.966666
2004-05-27,14.006667000000002
2004-05-28,13.873332999999999
2004-06-01,14.016666
2004-06-02,14.293332999999999
2004-06-03,13.836667000000002
2004-06-04,14.25
2004-06-07,14.266666
2004-06-08,13.883332999999999
2004-06-09,13.986667
2004-06-10,13.846666
2004-06-14,13.66
2004-06-15,13.703332999999999
2004-06-16,13.836667000000002
2004-06-17,14.23
2004-06-18,14.333332999999998
2004-06-21,14.1
2004-06-22,14.616667000000001
2004-06-23,14.66
2004-06-24,14.296667000000001
