Date,DOV
1980-03-17,1.471596
1980-03-18,1.455885
1980-03-19,1.4349370000000001
1980-03-20,1.4244629999999998
1980-03-21,1.4244629999999998
1980-03-24,1.4244629999999998
1980-03-25,1.4244629999999998
1980-03-26,1.403515
1980-03-27,1.382567
1980-03-28,1.413989
1980-03-31,1.455885
1980-04-01,1.476833
1980-04-02,1.487307
1980-04-03,1.508255
1980-04-07,1.508255
1980-04-08,1.48207
1980-04-09,1.476833
1980-04-10,1.497781
1980-04-11,1.508255
1980-04-14,1.497781
1980-04-15,1.497781
1980-04-16,1.508255
1980-04-17,1.487307
1980-04-18,1.466359
1980-04-21,1.445411
1980-04-22,1.487307
1980-04-23,1.497781
1980-04-24,1.518729
1980-04-25,1.508255
1980-04-28,1.508255
1980-04-29,1.497781
1980-04-30,1.503018
1980-05-01,1.466359
1980-05-02,1.445411
1980-05-05,1.403515
1980-05-06,1.403515
1980-05-07,1.419226
1980-05-08,1.4244629999999998
1980-05-09,1.3982780000000001
1980-05-12,1.408752
1980-05-13,1.403515
1980-05-14,1.4244629999999998
1980-05-15,1.4297
1980-05-16,1.4244629999999998
1980-05-19,1.413989
1980-05-20,1.445411
1980-05-21,1.445411
1980-05-22,1.445411
1980-05-23,1.4349370000000001
1980-05-27,1.455885
1980-05-28,1.4244629999999998
1980-05-29,1.461122
1980-05-30,1.4349370000000001
1980-06-02,1.440174
1980-06-03,1.4349370000000001
1980-06-04,1.445411
1980-06-05,1.471596
1980-06-06,1.518729
1980-06-09,1.560625
1980-06-10,1.560625
1980-06-11,1.571099
1980-06-12,1.581573
1980-06-13,1.571099
1980-06-16,1.539677
1980-06-17,1.58681
1980-06-18,1.592047
1980-06-19,1.571099
1980-06-20,1.58681
1980-06-23,1.6025209999999999
1980-06-24,1.571099
1980-06-25,1.6025209999999999
1980-06-26,1.618232
1980-06-27,1.6129950000000002
1980-06-30,1.6129950000000002
1980-07-01,1.607758
1980-07-02,1.6653650000000002
1980-07-03,1.7177349999999998
1980-07-07,1.7910529999999998
1980-07-08,1.785816
1980-07-09,1.764868
1980-07-10,1.749157
1980-07-11,1.7386830000000002
1980-07-14,1.785816
1980-07-15,1.801527
1980-07-16,1.8172380000000001
1980-07-17,1.801527
1980-07-18,1.7962900000000002
1980-07-21,1.7701049999999998
1980-07-22,1.801527
1980-07-23,1.7543939999999998
1980-07-24,1.7701049999999998
1980-07-25,1.7701049999999998
1980-07-28,1.801527
1980-07-29,1.8329490000000002
1980-07-30,1.8329490000000002
1980-07-31,1.827712
1980-08-01,1.838186
1980-08-04,1.859134
1980-08-05,1.885319
1980-08-06,1.984822
1980-08-07,2.079088
1980-08-08,2.0371919999999997
1980-08-11,2.0371919999999997
1980-08-12,2.0110069999999998
1980-08-13,1.969111
1980-08-14,1.974348
1980-08-15,1.969111
1980-08-18,1.906267
1980-08-19,1.874845
1980-08-20,1.822475
1980-08-21,1.906267
1980-08-22,1.969111
1980-08-25,1.948163
1980-08-26,1.948163
1980-08-27,1.916741
1980-08-28,1.9272150000000001
1980-08-29,1.921978
1980-09-02,1.9272150000000001
1980-09-03,2.047666
1980-09-04,2.1157470000000003
1980-09-05,2.094799
1980-09-08,2.0529029999999997
1980-09-09,2.0529029999999997
1980-09-10,2.0529029999999997
1980-09-11,2.120984
1980-09-12,2.136695
1980-09-15,2.1262209999999997
1980-09-16,2.1890650000000003
1980-09-17,2.157643
1980-09-18,2.147169
1980-09-19,2.178591
1980-09-22,2.1681169999999996
1980-09-23,2.178591
1980-09-24,2.178591
1980-09-25,2.194302
1980-09-26,2.1733540000000002
1980-09-29,2.094799
1980-09-30,2.1157470000000003
1980-10-01,2.136695
1980-10-02,2.094799
1980-10-03,2.136695
1980-10-06,2.157643
1980-10-07,2.105273
1980-10-08,2.084325
1980-10-09,2.079088
1980-10-10,2.031955
1980-10-13,2.084325
1980-10-14,2.199539
1980-10-15,2.2623830000000003
1980-10-16,2.299042
1980-10-17,2.346175
1980-10-20,2.346175
1980-10-21,2.367123
1980-10-22,2.377597
1980-10-23,2.367123
1980-10-24,2.367123
1980-10-27,2.325227
1980-10-28,2.325227
1980-10-29,2.309516
1980-10-30,2.283331
1980-10-31,2.272857
1980-11-03,2.367123
1980-11-05,2.409019
1980-11-06,2.346175
1980-11-07,2.367123
1980-11-10,2.37236
1980-11-11,2.346175
1980-11-12,2.346175
1980-11-13,2.377597
1980-11-14,2.346175
1980-11-17,2.367123
1980-11-18,2.42473
1980-11-19,2.471863
1980-11-20,2.450915
1980-11-21,2.388071
1980-11-24,2.361886
1980-11-25,2.398545
1980-11-26,2.314753
1980-11-28,2.335701
1980-12-01,2.367123
1980-12-02,2.283331
1980-12-03,2.304279
1980-12-04,2.314753
1980-12-05,2.283331
1980-12-08,2.2466720000000002
1980-12-09,2.257146
1980-12-10,2.278094
1980-12-11,2.278094
1980-12-12,2.31999
1980-12-15,2.31999
1980-12-16,2.340938
1980-12-17,2.377597
1980-12-18,2.450915
1980-12-19,2.450915
