Date,BNS
1999-09-13,10.74
1999-09-14,10.74
1999-09-15,10.74
1999-09-16,10.74
1999-09-17,10.74
1999-09-20,10.74
1999-09-21,10.74
1999-09-22,10.74
1999-09-23,10.74
1999-09-24,10.28
1999-09-27,10.28
1999-09-28,10.28
1999-09-29,10.28
1999-09-30,10.28
1999-10-01,10.28
1999-10-04,10.28
1999-10-05,10.28
1999-10-06,10.28
1999-10-07,11.12
1999-10-08,11.12
1999-10-11,11.12
1999-10-12,11.12
1999-10-13,11.08
1999-10-14,11.08
1999-10-15,10.54
1999-10-18,10.54
1999-10-19,10.54
1999-10-20,10.54
1999-10-21,10.54
1999-10-22,10.94
1999-10-25,10.94
1999-10-26,11.04
1999-10-27,11.04
1999-10-28,11.04
1999-10-29,11.04
1999-11-01,11.04
1999-11-02,11.04
1999-11-03,11.32
1999-11-04,11.2
1999-11-05,11.28
1999-11-08,11.24
1999-11-09,10.94
1999-11-10,10.94
1999-11-11,10.86
1999-11-12,10.86
1999-11-15,10.86
1999-11-16,11.32
1999-11-17,11.28
1999-11-18,11.28
1999-11-19,11.28
1999-11-22,11.28
1999-11-23,11.28
1999-11-24,11.28
1999-11-26,11.28
1999-11-29,11.28
1999-11-30,11.28
1999-12-01,11.28
1999-12-02,10.7
1999-12-03,10.62
1999-12-06,10.66
1999-12-07,10.66
1999-12-08,10.66
1999-12-09,10.66
1999-12-10,10.7
1999-12-13,10.7
1999-12-14,10.7
1999-12-15,10.7
1999-12-16,10.54
1999-12-17,10.54
1999-12-20,10.54
1999-12-21,10.44
1999-12-22,10.4
1999-12-23,10.5
1999-12-27,10.66
1999-12-28,10.66
1999-12-29,10.66
1999-12-30,10.9
1999-12-31,10.9
2000-01-03,10.9
2000-01-04,10.9
2000-01-05,10.9
2000-01-06,10.74
2000-01-07,10.74
2000-01-10,10.74
2000-01-11,10.28
2000-01-12,10.28
2000-01-13,10.28
2000-01-14,10.28
2000-01-18,10.24
2000-01-19,10.24
2000-01-20,10.9
2000-01-21,10.9
2000-01-24,9.9
2000-01-25,9.44
2000-01-26,9.9
2000-01-27,10.24
2000-01-28,10.24
2000-01-31,10.4
2000-02-01,10.4
2000-02-02,10.48
2000-02-03,10.48
2000-02-04,10.48
2000-02-07,9.9
2000-02-08,10.16
2000-02-09,10.16
2000-02-10,10.08
2000-02-11,9.94
2000-02-14,9.94
2000-02-15,9.94
2000-02-16,9.94
2000-02-17,9.82
2000-02-18,9.82
2000-02-22,9.82
2000-02-23,9.66
2000-02-24,9.66
2000-02-25,9.54
2000-02-28,9.58
2000-02-29,9.58
2000-03-01,10.12
2000-03-02,10.12
2000-03-03,10.12
2000-03-06,10.12
2000-03-07,10.12
2000-03-08,10.12
2000-03-09,8.94
2000-03-10,8.94
2000-03-13,8.94
2000-03-14,8.94
2000-03-15,9.08
2000-03-16,9.08
2000-03-17,9.58
2000-03-20,9.62
2000-03-21,9.62
2000-03-22,9.62
2000-03-23,9.62
2000-03-24,9.62
2000-03-27,9.62
2000-03-28,9.62
2000-03-29,9.62
2000-03-30,10.0
2000-03-31,10.24
2000-04-03,10.24
2000-04-04,10.24
2000-04-05,10.36
2000-04-06,10.62
2000-04-07,10.62
2000-04-10,10.62
2000-04-11,10.62
2000-04-12,10.62
2000-04-13,10.62
2000-04-14,10.62
2000-04-17,10.62
2000-04-18,10.32
2000-04-19,10.32
2000-04-20,10.32
2000-04-24,10.32
2000-04-25,11.78
2000-04-26,11.78
2000-04-27,11.78
2000-04-28,11.78
2000-05-01,11.78
2000-05-02,11.78
2000-05-03,11.28
2000-05-04,11.28
2000-05-05,11.28
2000-05-08,11.28
2000-05-09,11.28
2000-05-10,11.62
2000-05-11,11.62
2000-05-12,11.62
2000-05-15,11.62
2000-05-16,11.62
2000-05-17,11.9
2000-05-18,11.78
2000-05-19,11.98
2000-05-22,11.98
2000-05-23,11.98
2000-05-24,11.94
2000-05-25,11.94
2000-05-26,11.94
2000-05-30,11.94
2000-05-31,12.58
2000-06-01,12.58
2000-06-02,12.58
2000-06-05,12.82
2000-06-06,12.7
2000-06-07,12.7
2000-06-08,12.2
2000-06-09,12.2
2000-06-12,12.36
2000-06-13,12.36
2000-06-14,12.36
2000-06-15,12.36
2000-06-16,12.2
2000-06-19,12.2
2000-06-20,11.9
2000-06-21,11.9
2000-06-22,11.9
2000-06-23,11.9
2000-06-26,11.9
2000-06-27,11.9
2000-06-28,11.9
2000-06-29,11.9
2000-06-30,12.44
2000-07-03,12.44
2000-07-05,12.44
2000-07-06,12.36
2000-07-07,12.36
2000-07-10,12.36
2000-07-11,12.36
2000-07-12,12.08
2000-07-13,12.08
2000-07-14,11.9
2000-07-17,11.9
2000-07-18,12.0
2000-07-19,12.0
2000-07-20,12.04
2000-07-21,12.04
2000-07-24,12.04
2000-07-25,12.04
2000-07-26,12.74
2000-07-27,12.74
2000-07-28,12.74
2000-07-31,12.7
2000-08-01,12.7
2000-08-02,12.74
2000-08-03,12.82
2000-08-04,12.82
2000-08-07,12.82
2000-08-08,12.82
2000-08-09,12.7
2000-08-10,12.7
2000-08-11,12.7
2000-08-14,12.94
2000-08-15,12.94
2000-08-16,12.94
2000-08-17,12.94
2000-08-18,12.94
2000-08-21,13.08
2000-08-22,12.7
2000-08-23,12.82
2000-08-24,12.82
2000-08-25,12.82
2000-08-28,12.82
2000-08-29,12.82
2000-08-30,12.82
2000-08-31,12.82
2000-09-01,13.2
2000-09-05,13.2
2000-09-06,13.2
2000-09-07,13.0
2000-09-08,13.0
2000-09-11,13.0
2000-09-12,13.0
2000-09-13,13.5
2000-09-14,13.9
2000-09-15,14.08
2000-09-18,14.12
2000-09-19,14.16
2000-09-20,14.16
2000-09-21,14.7
2000-09-22,14.7
2000-09-25,14.7
2000-09-26,14.7
2000-09-27,14.7
2000-09-28,14.0
2000-09-29,14.32
2000-10-02,14.32
2000-10-03,14.32
2000-10-04,14.32
2000-10-05,14.32
2000-10-06,14.32
2000-10-09,14.32
2000-10-10,14.32
2000-10-11,14.32
2000-10-12,14.32
2000-10-13,13.24
2000-10-16,13.24
2000-10-17,13.24
2000-10-18,13.24
2000-10-19,12.9
2000-10-20,12.9
2000-10-23,12.9
2000-10-24,12.9
2000-10-25,12.9
2000-10-26,13.28
2000-10-27,13.28
2000-10-30,13.28
2000-10-31,13.28
2000-11-01,14.2
2000-11-02,14.28
2000-11-03,14.48
2000-11-06,14.48
2000-11-07,14.48
2000-11-08,14.66
2000-11-09,14.66
2000-11-10,14.62
2000-11-13,14.62
2000-11-14,14.62
2000-11-15,14.2
2000-11-16,13.36
2000-11-17,13.36
2000-11-20,12.7
2000-11-21,12.58
2000-11-22,12.58
2000-11-24,12.5
2000-11-27,12.5
2000-11-28,12.94
2000-11-29,13.0
2000-11-30,13.0
2000-12-01,13.0
2000-12-04,13.0
2000-12-05,13.0
2000-12-06,12.58
2000-12-07,12.58
2000-12-08,12.58
2000-12-11,12.58
2000-12-12,14.12
2000-12-13,14.12
2000-12-14,14.12
2000-12-15,14.12
2000-12-18,14.12
2000-12-19,14.12
2000-12-20,13.62
2000-12-21,13.58
2000-12-22,13.58
2000-12-26,13.58
2000-12-27,13.58
2000-12-28,13.58
2000-12-29,13.58
2001-01-02,13.58
2001-01-03,13.58
2001-01-04,13.98
2001-01-05,14.62
2001-01-08,14.4
2001-01-09,14.4
2001-01-10,14.36
2001-01-11,14.36
2001-01-12,14.54
2001-01-16,14.36
2001-01-17,14.36
2001-01-18,14.36
2001-01-19,14.36
2001-01-22,14.36
2001-01-23,14.36
2001-01-24,14.16
2001-01-25,14.28
2001-01-26,14.28
2001-01-29,14.28
2001-01-30,14.9
2001-01-31,14.94
2001-02-01,15.08
