Date,GGG
2001-07-18,4.829629
2001-07-19,4.946667
2001-07-20,4.940741
2001-07-23,4.881482
2001-07-24,4.851852
2001-07-25,5.01037
2001-07-26,5.022222
2001-07-27,4.991111
2001-07-30,5.0340739999999995
2001-07-31,5.007407
2001-08-01,5.0740739999999995
2001-08-02,5.037037000000001
2001-08-03,5.0740739999999995
2001-08-06,5.0148150000000005
2001-08-07,5.072593
2001-08-08,4.992593
2001-08-09,5.056296
2001-08-10,5.059259
2001-08-13,5.125926
2001-08-14,5.0740739999999995
2001-08-15,5.037037000000001
2001-08-16,5.131851999999999
2001-08-17,5.048889
2001-08-20,5.118518
2001-08-21,5.121481
2001-08-22,5.170371
2001-08-23,5.223704
2001-08-24,5.177778
2001-08-27,5.170371
2001-08-28,5.081481
2001-08-29,5.140741
2001-08-30,5.078518
2001-08-31,5.096296
2001-09-04,5.185185
2001-09-05,5.12
2001-09-06,5.059259
2001-09-07,4.831111
2001-09-10,4.743704
2001-09-17,4.518518
2001-09-18,4.4222220000000005
2001-09-19,4.318519
2001-09-20,4.148148
2001-09-21,4.151111
2001-09-24,4.348148
2001-09-25,4.325926
2001-09-26,4.195556
2001-09-27,4.288889
2001-09-28,4.474074
2001-10-01,4.457778
2001-10-02,4.28
2001-10-03,4.380741
2001-10-04,4.4222220000000005
2001-10-05,4.456296
2001-10-08,4.511111
2001-10-09,4.405926
2001-10-10,4.503704
2001-10-11,4.555555
2001-10-12,4.4
2001-10-15,4.459258999999999
2001-10-16,4.927407
2001-10-17,4.908148000000001
2001-10-18,4.851852
2001-10-19,4.933333
2001-10-22,5.084445
2001-10-23,5.185185
2001-10-24,5.296296
2001-10-25,5.185185
2001-10-26,5.0340739999999995
2001-10-29,4.831111
2001-10-30,4.740741000000001
2001-10-31,4.814815
2001-11-01,4.888889
2001-11-02,4.955555
2001-11-05,4.851852
2001-11-06,4.8281480000000006
2001-11-07,4.8074069999999995
2001-11-08,4.8074069999999995
2001-11-09,4.740741000000001
2001-11-12,4.651852
2001-11-13,4.681481
2001-11-14,4.745185
2001-11-15,4.711111
2001-11-16,4.739259
2001-11-19,4.946667
2001-11-20,5.032593
2001-11-21,4.8770370000000005
2001-11-23,4.911111
2001-11-26,4.86963
2001-11-27,4.888889
2001-11-28,4.940741
2001-11-29,5.066667
2001-11-30,5.155556
2001-12-03,5.111111
2001-12-04,5.3333330000000005
2001-12-05,5.385185
2001-12-06,5.321482
2001-12-07,5.330369999999999
2001-12-10,5.312593
2001-12-11,5.303704
2001-12-12,5.321482
2001-12-13,5.3333330000000005
2001-12-14,5.4
2001-12-17,5.511111
2001-12-18,5.622222
2001-12-19,5.5007410000000005
2001-12-20,5.505185
2001-12-21,5.555555
2001-12-24,5.5007410000000005
2001-12-26,5.451852
2001-12-27,5.607408
2001-12-28,5.718519000000001
2001-12-31,5.785185
2002-01-02,5.696296
2002-01-03,5.703704
2002-01-04,5.733333
2002-01-07,5.674074
2002-01-08,5.696296
2002-01-09,5.725926
2002-01-10,5.749629
2002-01-11,5.696296
2002-01-14,5.681481
2002-01-15,5.614815
2002-01-16,5.521482
2002-01-17,5.554074
2002-01-18,5.451852
2002-01-22,5.444445
2002-01-23,5.6
2002-01-24,5.6666669999999995
2002-01-25,5.829629
2002-01-28,5.893333
2002-01-29,5.700741000000001
2002-01-30,5.651852
2002-01-31,5.696296
2002-02-01,5.641481
2002-02-04,5.733333
2002-02-05,5.629630000000001
2002-02-06,5.6
2002-02-07,5.620741000000001
2002-02-08,5.814815
2002-02-11,5.866667
2002-02-12,5.922962999999999
2002-02-13,5.9259260000000005
2002-02-14,5.896297
2002-02-15,6.007407
2002-02-19,5.997037000000001
2002-02-20,6.214815
2002-02-21,5.9851849999999995
2002-02-22,6.13037
2002-02-25,5.866667
