Date,YPF
1993-06-29,21.875
1993-06-30,21.75
1993-07-01,21.25
1993-07-02,21.125
1993-07-06,20.75
1993-07-07,20.875
1993-07-08,20.75
1993-07-09,20.25
1993-07-12,20.375
1993-07-13,20.5
1993-07-14,20.25
1993-07-15,19.875
1993-07-16,19.5
1993-07-19,19.0
1993-07-20,19.5
1993-07-21,19.5
1993-07-22,19.625
1993-07-23,19.625
1993-07-26,20.0
1993-07-27,20.375
1993-07-28,20.625
1993-07-29,20.625
1993-07-30,20.25
1993-08-02,20.5
1993-08-03,20.375
1993-08-04,20.125
1993-08-05,20.0
1993-08-06,19.875
1993-08-09,20.25
1993-08-10,20.375
1993-08-11,20.625
1993-08-12,20.875
1993-08-13,21.625
1993-08-16,22.0
1993-08-17,22.875
1993-08-18,22.625
1993-08-19,22.0
1993-08-20,22.625
1993-08-23,22.625
1993-08-24,23.0
1993-08-25,23.25
1993-08-26,24.0
1993-08-27,23.625
1993-08-30,23.875
1993-08-31,23.875
1993-09-01,24.125
1993-09-02,24.0
1993-09-03,24.125
1993-09-07,22.625
1993-09-08,23.5
1993-09-09,23.25
1993-09-10,23.5
1993-09-13,23.375
1993-09-14,23.5
1993-09-15,23.625
1993-09-16,23.625
1993-09-17,23.5
1993-09-20,23.625
1993-09-21,23.375
1993-09-22,23.5
1993-09-23,23.5
1993-09-24,23.25
1993-09-27,23.75
1993-09-28,24.0
1993-09-29,24.375
1993-09-30,25.375
1993-10-01,25.625
1993-10-04,26.0
1993-10-05,26.25
1993-10-06,25.75
1993-10-07,26.25
1993-10-08,27.25
1993-10-11,27.25
1993-10-12,27.375
1993-10-13,26.875
1993-10-14,26.375
1993-10-15,26.875
1993-10-18,27.75
1993-10-19,27.75
1993-10-20,27.75
1993-10-21,28.125
1993-10-22,28.75
1993-10-25,27.75
1993-10-26,27.75
1993-10-27,27.5
1993-10-28,27.875
1993-10-29,27.25
1993-11-01,26.875
1993-11-02,26.5
1993-11-03,25.625
1993-11-04,25.625
1993-11-05,25.5
1993-11-08,25.875
1993-11-09,25.75
1993-11-10,26.75
1993-11-11,26.75
1993-11-12,27.125
1993-11-15,27.125
1993-11-16,26.625
1993-11-17,26.875
1993-11-18,26.875
1993-11-19,26.875
1993-11-22,26.5
1993-11-23,26.25
1993-11-24,26.0
1993-11-26,25.875
1993-11-29,24.625
1993-11-30,24.75
1993-12-01,25.0
1993-12-02,24.75
1993-12-03,24.375
1993-12-06,24.875
1993-12-07,25.125
1993-12-08,25.375
1993-12-09,25.5
1993-12-10,25.375
1993-12-13,25.375
1993-12-14,25.0
1993-12-15,24.375
1993-12-16,24.0
1993-12-17,24.375
1993-12-20,25.125
1993-12-21,25.875
1993-12-22,25.0
1993-12-23,25.0
1993-12-27,25.5
1993-12-28,25.75
1993-12-29,25.875
1993-12-30,25.875
1993-12-31,26.0
1994-01-03,26.125
1994-01-04,26.625
1994-01-05,26.375
1994-01-06,26.75
1994-01-07,26.375
1994-01-10,25.75
1994-01-11,25.875
1994-01-12,25.875
1994-01-13,25.75
1994-01-14,25.5
1994-01-17,26.25
1994-01-18,27.0
1994-01-19,26.875
1994-01-20,26.75
1994-01-21,26.875
1994-01-24,26.625
1994-01-25,26.625
1994-01-26,26.875
1994-01-27,28.0
1994-01-28,27.875
1994-01-31,28.875
1994-02-01,28.75
1994-02-02,28.375
1994-02-03,28.875
1994-02-04,28.0
1994-02-07,28.5
1994-02-08,29.0
1994-02-09,28.5
1994-02-10,28.125
1994-02-11,28.25
1994-02-14,28.0
1994-02-15,28.75
1994-02-16,28.875
1994-02-17,28.75
1994-02-18,28.0
1994-02-22,28.875
1994-02-23,28.375
1994-02-24,26.625
1994-02-25,26.25
1994-02-28,27.375
1994-03-01,26.125
1994-03-02,26.25
1994-03-03,25.625
1994-03-04,25.625
1994-03-07,25.625
1994-03-08,25.375
1994-03-09,25.25
1994-03-10,24.375
1994-03-11,24.5
1994-03-14,24.5
1994-03-15,23.625
1994-03-16,25.125
1994-03-17,25.5
1994-03-18,24.5
1994-03-21,24.375
1994-03-22,25.0
1994-03-23,25.375
1994-03-24,24.25
1994-03-25,24.875
1994-03-28,24.375
1994-03-29,24.0
1994-03-30,24.0
1994-03-31,23.75
1994-04-04,22.25
1994-04-05,23.25
1994-04-06,23.75
1994-04-07,24.25
1994-04-08,24.375
1994-04-11,25.0
1994-04-12,25.375
