Date,HCMLF
2007-12-20,111.0
2007-12-21,111.0
2007-12-24,111.0
2007-12-26,111.0
2007-12-27,111.0
2007-12-28,111.0
2007-12-31,111.0
2008-01-02,111.0
2008-01-03,111.0
2008-01-04,111.0
2008-01-07,111.0
2008-01-08,111.0
2008-01-09,111.0
2008-01-10,100.5
2008-01-11,100.25
2008-01-14,103.75
2008-01-15,100.5
2008-01-16,100.5
2008-01-17,100.5
2008-01-18,100.5
2008-01-22,100.5
2008-01-23,93.800003
2008-01-24,93.800003
2008-01-25,93.800003
2008-01-28,95.5
2008-01-29,95.5
2008-01-30,95.5
2008-01-31,95.5
2008-02-01,95.5
2008-02-04,100.32
2008-02-05,95.0
2008-02-06,95.0
2008-02-07,95.0
2008-02-08,95.0
2008-02-11,90.650002
2008-02-12,93.0
2008-02-13,92.75
2008-02-14,95.900002
2008-02-15,94.5
2008-02-19,94.5
2008-02-20,94.5
2008-02-21,94.5
2008-02-22,94.5
2008-02-25,94.5
2008-02-26,102.75
2008-02-27,102.0
2008-02-28,104.0
2008-02-29,104.0
2008-03-03,104.0
2008-03-04,104.0
2008-03-05,102.75
2008-03-06,102.75
2008-03-07,102.75
2008-03-10,100.25
2008-03-11,101.25
2008-03-12,102.0
2008-03-13,101.0
2008-03-14,101.0
2008-03-17,101.0
2008-03-18,101.0
2008-03-19,101.25
2008-03-20,101.25
2008-03-24,101.25
2008-03-25,101.25
2008-03-26,101.25
2008-03-27,101.25
2008-03-28,101.25
2008-03-31,105.25
2008-04-01,104.889999
2008-04-02,104.889999
2008-04-03,104.889999
2008-04-04,104.889999
2008-04-07,104.889999
2008-04-08,104.889999
2008-04-09,104.889999
2008-04-10,104.5
2008-04-11,104.5
2008-04-14,104.0
2008-04-15,104.0
2008-04-16,106.25
2008-04-17,105.25
2008-04-18,105.25
2008-04-21,105.25
2008-04-22,105.25
2008-04-23,103.400002
2008-04-24,103.400002
2008-04-25,102.5
2008-04-28,102.5
2008-04-29,102.5
2008-04-30,102.5
2008-05-01,102.5
2008-05-02,96.75
2008-05-05,96.75
2008-05-06,96.75
2008-05-07,97.099998
2008-05-08,97.099998
2008-05-09,97.099998
2008-05-12,97.099998
2008-05-13,94.5
2008-05-14,94.0
2008-05-15,94.0
2008-05-16,98.75
2008-05-19,98.82
2008-05-20,98.82
2008-05-21,97.849998
2008-05-22,97.849998
2008-05-23,97.849998
2008-05-27,95.620003
2008-05-28,95.620003
2008-05-29,93.5
2008-05-30,93.199997
2008-06-02,93.199997
2008-06-03,93.199997
2008-06-04,93.08000200000001
2008-06-05,93.08000200000001
2008-06-06,93.0
2008-06-09,93.0
2008-06-10,88.5
2008-06-11,88.5
2008-06-12,88.5
2008-06-13,88.5
2008-06-16,87.32
2008-06-17,86.41999799999999
2008-06-18,84.75
2008-06-19,83.550003
2008-06-20,82.199997
2008-06-23,82.199997
2008-06-24,79.75
2008-06-25,79.75
2008-06-26,82.900002
2008-06-27,81.5
2008-06-30,81.25
2008-07-01,81.25
2008-07-02,78.0
2008-07-03,78.0
2008-07-07,76.029999
2008-07-08,74.0
2008-07-09,74.0
2008-07-10,74.0
2008-07-11,71.0
2008-07-14,71.0
2008-07-15,71.0
2008-07-16,71.0
2008-07-17,71.0
2008-07-18,71.0
2008-07-21,74.550003
2008-07-22,74.550003
2008-07-23,75.949997
2008-07-24,73.5
2008-07-25,73.5
2008-07-28,72.449997
2008-07-29,71.900002
2008-07-30,71.900002
2008-07-31,71.5
2008-08-01,71.5
2008-08-04,69.349998
2008-08-05,69.349998
2008-08-06,69.349998
2008-08-07,69.349998
2008-08-08,69.349998
2008-08-11,69.349998
2008-08-12,69.349998
2008-08-13,72.0
2008-08-14,72.0
2008-08-15,72.0
2008-08-18,72.949997
2008-08-19,72.949997
2008-08-20,72.949997
2008-08-21,69.699997
2008-08-22,70.099998
2008-08-25,70.099998
2008-08-26,70.099998
2008-08-27,70.099998
2008-08-28,71.400002
2008-08-29,71.400002
2008-09-02,74.349998
2008-09-03,73.699997
2008-09-04,73.699997
2008-09-05,73.699997
2008-09-08,73.699997
2008-09-09,72.199997
2008-09-10,72.43
2008-09-11,72.43
2008-09-12,72.43
2008-09-15,72.43
2008-09-16,72.43
2008-09-17,72.43
2008-09-18,81.550003
2008-09-19,81.550003
2008-09-22,81.550003
2008-09-23,81.550003
2008-09-24,81.550003
2008-09-25,81.550003
2008-09-26,81.550003
2008-09-29,70.0
2008-09-30,71.75
2008-10-01,71.75
2008-10-02,71.75
2008-10-03,71.75
2008-10-06,71.75
2008-10-07,71.75
2008-10-08,71.75
2008-10-09,61.5
2008-10-10,60.5
2008-10-13,63.25
2008-10-14,67.0
2008-10-15,67.0
2008-10-16,56.75
2008-10-17,56.75
2008-10-20,56.75
2008-10-21,56.75
2008-10-22,54.25
2008-10-23,52.049999
2008-10-24,52.049999
2008-10-27,52.049999
2008-10-28,48.75
2008-10-29,57.0
2008-10-30,57.0
2008-10-31,57.0
2008-11-03,57.0
2008-11-04,57.0
2008-11-05,57.0
2008-11-06,53.290001000000004
2008-11-07,53.290001000000004
2008-11-10,53.290001000000004
2008-11-11,53.290001000000004
2008-11-12,43.549999
2008-11-13,42.650002
2008-11-14,42.650002
2008-11-17,43.25
2008-11-18,43.25
2008-11-19,38.5
2008-11-20,34.919998
2008-11-21,34.400002
2008-11-24,34.400002
2008-11-25,34.400002
2008-11-26,34.400002
2008-11-28,34.400002
2008-12-01,34.400002
2008-12-02,34.400002
2008-12-03,34.400002
2008-12-04,34.400002
2008-12-05,34.400002
2008-12-08,34.400002
2008-12-09,34.400002
2008-12-10,51.5
2008-12-11,51.5
2008-12-12,51.5
