Date,DLB
2005-02-17,24.299999
2005-02-18,24.57
2005-02-22,23.549999
2005-02-23,23.389999
2005-02-24,22.4
2005-02-25,23.07
2005-02-28,23.08
2005-03-01,22.83
2005-03-02,22.59
2005-03-03,22.9
2005-03-04,22.93
2005-03-07,23.639999
2005-03-08,23.85
2005-03-09,23.76
2005-03-10,23.540001
2005-03-11,23.9
2005-03-14,24.1
2005-03-15,24.379998999999998
2005-03-16,23.799999
2005-03-17,23.940001000000002
2005-03-18,23.85
2005-03-21,23.43
2005-03-22,22.77
2005-03-23,22.6
2005-03-24,23.120001000000002
2005-03-28,23.15
2005-03-29,23.08
2005-03-30,23.25
2005-03-31,23.5
2005-04-01,23.74
2005-04-04,23.450001
2005-04-05,23.809998999999998
2005-04-06,22.700001
2005-04-07,22.58
2005-04-08,23.0
2005-04-11,23.0
2005-04-12,22.99
2005-04-13,22.049999
2005-04-14,21.950001
2005-04-15,21.799999
2005-04-18,20.700001
2005-04-19,20.73
2005-04-20,20.280001000000002
2005-04-21,19.889999
2005-04-22,18.9
2005-04-25,19.98
2005-04-26,20.01
2005-04-27,20.049999
2005-04-28,20.24
2005-04-29,20.450001
2005-05-02,20.809998999999998
2005-05-03,20.690001000000002
2005-05-04,20.75
2005-05-05,21.35
2005-05-06,19.82
2005-05-09,19.5
2005-05-10,19.4
2005-05-11,18.99
2005-05-12,18.709999
2005-05-13,18.709999
2005-05-16,19.17
2005-05-17,19.209999
2005-05-18,19.549999
2005-05-19,19.860001
2005-05-20,19.74
2005-05-23,19.65
2005-05-24,19.549999
2005-05-25,19.459999
2005-05-26,19.49
2005-05-27,19.65
2005-05-31,19.940001000000002
2005-06-01,19.52
2005-06-02,19.75
2005-06-03,19.860001
2005-06-06,19.9
2005-06-07,19.52
2005-06-08,19.73
2005-06-09,19.59
2005-06-10,19.57
2005-06-13,19.620001000000002
2005-06-14,19.74
2005-06-15,19.360001
2005-06-16,19.200001
2005-06-17,19.690001000000002
2005-06-20,19.950001
2005-06-21,22.879998999999998
2005-06-22,22.25
2005-06-23,22.41
2005-06-24,22.65
2005-06-27,21.99
2005-06-28,22.110001
2005-06-29,22.049999
2005-06-30,22.059998999999998
2005-07-01,22.4
2005-07-05,22.040001
2005-07-06,22.690001000000002
2005-07-07,22.92
2005-07-08,23.780001000000002
2005-07-11,23.25
2005-07-12,23.34
2005-07-13,23.280001000000002
2005-07-14,23.059998999999998
2005-07-15,22.75
2005-07-18,22.1
2005-07-19,21.99
2005-07-20,21.98
2005-07-21,21.4
2005-07-22,21.01
2005-07-25,21.35
2005-07-26,21.280001000000002
2005-07-27,20.190001000000002
2005-07-28,19.799999
2005-07-29,19.030001000000002
2005-08-01,19.0
2005-08-02,19.200001
2005-08-03,19.309998999999998
2005-08-04,19.08
2005-08-05,18.91
2005-08-08,18.4
2005-08-09,18.09
2005-08-10,18.049999
2005-08-11,17.879998999999998
2005-08-12,17.67
2005-08-15,16.25
2005-08-16,16.52
2005-08-17,16.139999
2005-08-18,16.4
2005-08-19,16.620001000000002
2005-08-22,16.35
2005-08-23,16.450001
2005-08-24,16.5
2005-08-25,16.299999
2005-08-26,16.120001000000002
2005-08-29,16.139999
2005-08-30,16.01
2005-08-31,16.0
2005-09-01,15.5
2005-09-02,15.91
2005-09-06,15.9
2005-09-07,15.77
2005-09-08,15.85
2005-09-09,15.86
2005-09-12,16.02
2005-09-13,15.65
2005-09-14,15.68
2005-09-15,15.61
2005-09-16,15.66
2005-09-19,15.84
2005-09-20,15.69
2005-09-21,15.56
2005-09-22,15.66
2005-09-23,15.59
2005-09-26,15.6
2005-09-27,15.47
2005-09-28,16.030001000000002
2005-09-29,15.95
2005-09-30,16.0
2005-10-03,16.530001000000002
2005-10-04,16.5
2005-10-05,15.93
2005-10-06,15.79
2005-10-07,15.91
2005-10-10,15.81
2005-10-11,15.65
2005-10-12,15.38
2005-10-13,15.55
2005-10-14,15.7
2005-10-17,15.8
2005-10-18,16.360001
2005-10-19,16.35
2005-10-20,17.0
2005-10-21,16.530001000000002
2005-10-24,16.58
2005-10-25,16.049999
2005-10-26,16.15
2005-10-27,16.030001000000002
2005-10-28,16.120001000000002
2005-10-31,16.1
2005-11-01,16.15
2005-11-02,16.200001
2005-11-03,16.190001000000002
2005-11-04,16.110001
2005-11-07,16.190001000000002
