Date,HOT
2012-06-18,28700.0
2012-06-19,28700.0
2012-06-20,28700.0
2012-06-21,28700.0
2012-06-22,28700.0
2012-06-25,28700.0
2012-06-26,28700.0
2012-06-27,28700.0
2012-06-28,28700.0
2012-06-29,28700.0
2012-07-02,28700.0
2012-07-03,28700.0
2012-07-05,28700.0
2012-07-06,28700.0
2012-07-09,28700.0
2012-07-10,28700.0
2012-07-11,28700.0
2012-07-12,27500.0
2012-07-13,27500.0
2012-07-16,26200.0
2012-07-17,27500.0
2012-07-18,28700.0
2012-07-19,29800.0
2012-07-20,30000.0
2012-07-23,30000.0
2012-07-24,30000.0
2012-07-25,30000.0
2012-07-26,30000.0
2012-07-27,30000.0
2012-07-30,30000.0
2012-07-31,28500.0
2012-08-01,27100.0
2012-08-02,27100.0
2012-08-03,27100.0
2012-08-06,27100.0
2012-08-07,27100.0
2012-08-08,27100.0
2012-08-09,27100.0
2012-08-10,28300.0
2012-08-13,26900.0
2012-08-14,25600.0
2012-08-15,25600.0
2012-08-16,25600.0
2012-08-17,25600.0
2012-08-20,25600.0
2012-08-21,24400.0
2012-08-22,24400.0
2012-08-23,24400.0
2012-08-24,24000.0
2012-08-27,22800.0
2012-08-28,22800.0
2012-08-29,22800.0
2012-08-30,21700.0
2012-08-31,21700.0
2012-09-04,22100.0
2012-09-05,22500.0
2012-09-06,21400.0
2012-09-07,21400.0
2012-09-10,20600.0
2012-09-11,19600.0
2012-09-12,19600.0
2012-09-13,19600.0
2012-09-14,20000.0
2012-09-17,21000.0
2012-09-18,22000.0
2012-09-19,23100.0
2012-09-20,24200.0
2012-09-21,25400.0
2012-09-24,26600.0
2012-09-25,26600.0
2012-09-26,27400.0
2012-09-27,27400.0
2012-09-28,28300.0
2012-10-01,28300.0
2012-10-02,29600.0
2012-10-03,29600.0
2012-10-04,28200.0
2012-10-05,26800.0
2012-10-08,25500.0
2012-10-09,25600.0
2012-10-10,25600.0
2012-10-11,26500.0
2012-10-12,25200.0
2012-10-15,26100.0
2012-10-16,27300.0
2012-10-17,26000.0
2012-10-18,24700.0
2012-10-19,25900.0
2012-10-22,27000.0
2012-10-23,27000.0
2012-10-24,27800.0
2012-10-25,28300.0
2012-10-26,28300.0
2012-10-31,28300.0
2012-11-01,28300.0
2012-11-02,28300.0
2012-11-05,28300.0
2012-11-06,28300.0
2012-11-07,28300.0
2012-11-08,28300.0
2012-11-09,28300.0
2012-11-12,28300.0
2012-11-13,28300.0
2012-11-14,28300.0
2012-11-15,28300.0
2012-11-16,28300.0
2012-11-19,28300.0
2012-11-20,28300.0
2012-11-21,28300.0
2012-11-23,28300.0
2012-11-26,28300.0
2012-11-27,28300.0
2012-11-28,28300.0
2012-11-29,26900.0
2012-11-30,26900.0
2012-12-03,25600.0
2012-12-04,24400.0
2012-12-05,23500.0
2012-12-06,23500.0
2012-12-07,23500.0
2012-12-10,23500.0
2012-12-11,24000.0
2012-12-12,24000.0
2012-12-13,25200.0
2012-12-14,25900.0
2012-12-17,25900.0
2012-12-18,24700.0
2012-12-19,24700.0
2012-12-20,24700.0
2012-12-21,24700.0
2012-12-24,25900.0
2012-12-26,25900.0
2012-12-27,25900.0
2012-12-28,25900.0
2012-12-31,25900.0
2013-01-02,27000.0
2013-01-03,27500.0
2013-01-04,28800.0
2013-01-07,28800.0
2013-01-08,28800.0
2013-01-09,28800.0
2013-01-10,28800.0
2013-01-11,28800.0
2013-01-14,28800.0
2013-01-15,28800.0
2013-01-16,28800.0
2013-01-17,28800.0
2013-01-18,28800.0
2013-01-22,29800.0
2013-01-23,30000.0
2013-01-24,30000.0
2013-01-25,27800.0
2013-01-28,27800.0
2013-01-29,27700.0
2013-01-30,27700.0
2013-01-31,25800.0
2013-02-01,24000.0
2013-02-04,23000.0
2013-02-05,23000.0
2013-02-06,24000.0
2013-02-07,24200.0
2013-02-08,24500.0
2013-02-11,24500.0
2013-02-12,24500.0
2013-02-13,24500.0
2013-02-14,24500.0
2013-02-15,24500.0
2013-02-19,27000.0
2013-02-20,25200.0
2013-02-21,26900.0
2013-02-22,26800.0
2013-02-25,25500.0
2013-02-26,25500.0
2013-02-27,25500.0
2013-02-28,27000.0
2013-03-01,27900.0
2013-03-04,27800.0
2013-03-05,27800.0
2013-03-06,27800.0
2013-03-07,28900.0
2013-03-08,27800.0
2013-03-11,27800.0
2013-03-12,27800.0
2013-03-13,28200.0
2013-03-14,27800.0
2013-03-15,27800.0
2013-03-18,27800.0
2013-03-19,30000.0
2013-03-20,27900.0
2013-03-21,27900.0
2013-03-22,28000.0
2013-03-25,29500.0
2013-03-26,29500.0
2013-03-27,28000.0
2013-03-28,27900.0
2013-04-01,28000.0
2013-04-02,28000.0
2013-04-03,27900.0
2013-04-04,27900.0
2013-04-05,27900.0
2013-04-08,27900.0
2013-04-09,27900.0
2013-04-10,27900.0
2013-04-11,27800.0
2013-04-12,27800.0
2013-04-15,27800.0
2013-04-16,27800.0
2013-04-17,27800.0
2013-04-18,27800.0
2013-04-19,27800.0
2013-04-22,27800.0
2013-04-23,27800.0
2013-04-24,27800.0
2013-04-25,27800.0
2013-04-26,27800.0
2013-04-29,27800.0
2013-04-30,27800.0
2013-05-01,27800.0
