Date,PM
2008-03-17,49.389998999999996
2008-03-18,49.599998
2008-03-19,50.099998
2008-03-20,49.150002
2008-03-24,51.0
2008-03-25,51.75
2008-03-26,50.299999
2008-03-27,50.68
2008-03-28,51.060001
2008-03-31,50.580002
2008-04-01,50.580002
2008-04-02,51.209998999999996
2008-04-03,51.049999
2008-04-04,51.369999
2008-04-07,50.669998
2008-04-08,50.599998
2008-04-09,49.380001
2008-04-10,48.66
2008-04-11,48.330002
2008-04-14,48.0
2008-04-15,48.200001
2008-04-16,49.459998999999996
2008-04-17,49.849998
2008-04-18,49.959998999999996
2008-04-21,50.630001
2008-04-22,50.07
2008-04-23,52.0
2008-04-24,52.0
2008-04-25,51.299999
2008-04-28,51.07
2008-04-29,52.009997999999996
2008-04-30,51.029999
2008-05-01,50.75
2008-05-02,51.02
2008-05-05,50.810001
2008-05-06,51.880001
2008-05-07,51.689999
2008-05-08,52.200001
2008-05-09,51.830002
2008-05-12,52.470001
2008-05-13,52.459998999999996
2008-05-14,52.669998
2008-05-15,53.25
2008-05-16,53.380001
2008-05-19,53.630001
2008-05-20,52.91
2008-05-21,51.98
2008-05-22,52.279999
2008-05-23,51.799999
2008-05-27,51.630001
2008-05-28,51.16
2008-05-29,52.02
2008-05-30,52.66
2008-06-02,52.110001000000004
2008-06-03,51.669998
2008-06-04,51.950001
2008-06-05,51.810001
2008-06-06,50.5
2008-06-09,49.490002000000004
2008-06-10,49.490002000000004
2008-06-11,49.860001000000004
2008-06-12,51.290001000000004
2008-06-13,51.610001000000004
2008-06-16,50.73
2008-06-17,50.630001
2008-06-18,49.900002
2008-06-19,50.400002
2008-06-20,50.220001
2008-06-23,50.639998999999996
2008-06-24,51.169998
2008-06-25,51.77
2008-06-26,50.150002
2008-06-27,49.830002
2008-06-30,49.389998999999996
2008-07-01,50.389998999999996
2008-07-02,50.599998
2008-07-03,51.470001
2008-07-07,51.849998
2008-07-08,53.77
2008-07-09,54.0
2008-07-10,53.439999
2008-07-11,53.369999
2008-07-14,53.560001
2008-07-15,53.299999
2008-07-16,52.919998
2008-07-17,50.959998999999996
2008-07-18,50.720001
2008-07-21,50.48
2008-07-22,52.049999
2008-07-23,51.470001
2008-07-24,52.459998999999996
2008-07-25,53.049999
2008-07-28,52.619999
2008-07-29,53.34
2008-07-30,53.369999
2008-07-31,51.650002
2008-08-01,52.080002
2008-08-04,53.720001
2008-08-05,55.200001
2008-08-06,55.529999
