Date,BRFS
2000-10-20,1.171875
2000-10-23,1.166667
2000-10-24,1.151042
2000-10-25,1.151042
2000-10-26,1.151042
2000-10-27,1.151042
2000-10-30,1.151042
2000-10-31,1.151042
2000-11-01,1.151042
2000-11-02,1.151042
2000-11-03,1.151042
2000-11-06,1.151042
2000-11-07,1.151042
2000-11-08,1.151042
2000-11-09,1.151042
2000-11-10,1.151042
2000-11-13,1.151042
2000-11-14,1.151042
2000-11-15,1.151042
2000-11-16,1.151042
2000-11-17,1.151042
2000-11-20,1.151042
2000-11-21,1.0625
2000-11-22,1.052083
2000-11-24,1.052083
2000-11-27,1.052083
2000-11-28,1.03125
2000-11-29,1.03125
2000-11-30,1.03125
2000-12-01,1.03125
2000-12-04,1.03125
2000-12-05,1.083333
2000-12-06,1.104167
2000-12-07,1.104167
2000-12-08,1.125
2000-12-11,1.208333
2000-12-12,1.208333
2000-12-13,1.208333
2000-12-14,1.208333
2000-12-15,1.208333
2000-12-18,1.208333
2000-12-19,1.208333
2000-12-20,1.208333
2000-12-21,1.208333
2000-12-22,1.208333
2000-12-26,1.208333
2000-12-27,1.25
2000-12-28,1.239583
2000-12-29,1.239583
2001-01-02,1.25
2001-01-03,1.239583
2001-01-04,1.270833
2001-01-05,1.270833
2001-01-08,1.270833
2001-01-09,1.270833
2001-01-10,1.333333
2001-01-11,1.333333
2001-01-12,1.333333
2001-01-16,1.333333
2001-01-17,1.375
2001-01-18,1.375
2001-01-19,1.375
2001-01-22,1.333333
2001-01-23,1.354167
2001-01-24,1.354167
2001-01-25,1.333333
2001-01-26,1.322917
2001-01-29,1.322917
2001-01-30,1.322917
2001-01-31,1.354167
2001-02-01,1.333333
2001-02-02,1.333333
2001-02-05,1.333333
2001-02-06,1.333333
2001-02-07,1.333333
2001-02-08,1.333333
2001-02-09,1.333333
2001-02-12,1.333333
2001-02-13,1.333333
2001-02-14,1.333333
2001-02-15,1.333333
2001-02-16,1.333333
2001-02-20,1.333333
2001-02-21,1.333333
2001-02-22,1.333333
2001-02-23,1.333333
2001-02-26,1.333333
2001-02-27,1.333333
2001-02-28,1.333333
2001-03-01,1.333333
2001-03-02,1.333333
2001-03-05,1.333333
2001-03-06,1.333333
2001-03-07,1.3125
2001-03-08,1.3125
2001-03-09,1.3125
2001-03-12,1.3125
2001-03-13,1.270833
2001-03-14,1.25
2001-03-15,1.208333
2001-03-16,1.208333
2001-03-19,1.166667
2001-03-20,1.166667
2001-03-21,1.166667
2001-03-22,1.127604
2001-03-23,1.125
2001-03-26,1.125
2001-03-27,1.125
2001-03-28,1.125
2001-03-29,1.125
2001-03-30,1.125
2001-04-02,1.125
2001-04-03,1.125
2001-04-04,1.125
2001-04-05,1.125
2001-04-06,1.125
2001-04-09,1.125
2001-04-10,1.125
2001-04-11,1.125
2001-04-12,1.166667
2001-04-16,1.13
2001-04-17,1.13
2001-04-18,1.13
2001-04-19,1.095833
2001-04-20,1.095833
2001-04-23,1.095833
2001-04-24,1.095833
2001-04-25,1.095833
2001-04-26,1.095833
2001-04-27,1.1125
2001-04-30,1.1125
2001-05-01,1.1125
2001-05-02,1.191667
2001-05-03,1.175
2001-05-04,1.154167
2001-05-07,1.154167
2001-05-08,1.133333
2001-05-09,1.116667
2001-05-10,1.116667
2001-05-11,1.116667
2001-05-14,1.116667
2001-05-15,1.1
2001-05-16,1.1
2001-05-17,1.083333
2001-05-18,1.083333
2001-05-21,1.083333
2001-05-22,1.083333
2001-05-23,1.083333
2001-05-24,1.083333
2001-05-25,1.083333
2001-05-29,1.025
2001-05-30,0.979167
2001-05-31,0.979167
2001-06-01,0.95
2001-06-04,0.958333
2001-06-05,0.958333
2001-06-06,0.95
2001-06-07,0.916667
2001-06-08,0.9375
2001-06-11,0.9375
2001-06-12,0.9375
2001-06-13,0.9375
2001-06-14,0.9375
2001-06-15,0.9375
2001-06-18,0.9375
2001-06-19,0.9
2001-06-20,0.9
2001-06-21,0.9
2001-06-22,0.958333
2001-06-25,0.958333
2001-06-26,0.958333
2001-06-27,0.958333
2001-06-28,0.958333
2001-06-29,0.95
2001-07-02,0.941667
2001-07-03,0.941667
2001-07-05,0.875
2001-07-06,0.875
2001-07-09,0.875
2001-07-10,0.858333
2001-07-11,0.825
2001-07-12,0.825
2001-07-13,0.833333
2001-07-16,0.791667
2001-07-17,0.791667
2001-07-18,0.783333
2001-07-19,0.783333
2001-07-20,0.783333
