Date,ARKAY
2006-05-19,42.150002
2006-05-22,42.150002
2006-05-23,37.450001
2006-05-24,36.200001
2006-05-25,36.150002
2006-05-26,37.75
2006-05-30,37.0
2006-05-31,35.5
2006-06-01,36.349998
2006-06-02,37.5
2006-06-05,36.299999
2006-06-06,35.650002
2006-06-07,35.650002
2006-06-08,34.5
2006-06-09,35.25
2006-06-12,33.0
2006-06-13,33.0
2006-06-14,32.0
2006-06-15,35.25
2006-06-16,37.400002
2006-06-19,35.450001
2006-06-20,35.25
2006-06-21,36.450001
2006-06-22,36.75
2006-06-23,35.650002
2006-06-26,36.799999
2006-06-27,37.0
2006-06-28,36.849998
2006-06-29,37.650002
2006-06-30,38.650002
2006-07-03,39.099998
2006-07-05,37.849998
2006-07-06,37.549999
2006-07-07,38.150002
2006-07-10,37.900002
2006-07-11,38.400002
2006-07-12,37.799999
2006-07-13,37.700001
2006-07-14,38.549999
2006-07-17,37.950001
2006-07-18,36.650002
2006-07-19,37.25
2006-07-20,36.849998
2006-07-21,37.75
2006-07-24,38.049999
2006-07-25,38.799999
2006-07-26,39.0
2006-07-27,38.299999
2006-07-28,38.900002
2006-07-31,38.900002
2006-08-01,38.700001
2006-08-02,38.450001
2006-08-03,38.450001
2006-08-04,38.299999
2006-08-07,38.099998
2006-08-08,37.099998
2006-08-09,36.599998
2006-08-10,36.599998
2006-08-11,36.450001
2006-08-14,36.75
2006-08-15,36.900002
2006-08-16,37.599998
2006-08-17,38.349998
2006-08-18,38.799999
2006-08-21,38.700001
2006-08-22,39.150002
2006-08-23,39.400002
2006-08-24,39.0
2006-08-25,39.349998
2006-08-28,39.349998
2006-08-29,39.349998
2006-08-30,39.5
2006-08-31,39.049999
2006-09-01,39.150002
2006-09-05,38.150002
2006-09-06,38.0
2006-09-07,37.099998
2006-09-08,37.150002
2006-09-11,37.349998
2006-09-12,37.549999
2006-09-13,42.5
2006-09-14,44.400002
2006-09-15,44.799999
2006-09-18,45.549999
2006-09-19,44.950001
2006-09-20,45.049999
2006-09-21,45.900002
2006-09-22,46.5
2006-09-25,46.700001
2006-09-26,46.950001
2006-09-27,47.0
2006-09-28,47.450001
2006-09-29,47.0
2006-10-02,47.650002
2006-10-03,47.400002
2006-10-04,47.299999
2006-10-05,46.650002
2006-10-06,46.400002
2006-10-09,46.549999
2006-10-10,46.200001
2006-10-11,45.75
2006-10-12,45.75
2006-10-13,46.450001
2006-10-16,46.5
2006-10-17,46.5
2006-10-18,46.150002
2006-10-19,47.150002
2006-10-20,48.299999
2006-10-23,47.299999
2006-10-24,47.650002
2006-10-25,47.849998
2006-10-26,48.349998
2006-10-27,48.400002
2006-10-30,48.25
2006-10-31,48.400002
2006-11-01,48.700001
2006-11-02,48.400002
2006-11-03,48.200001
2006-11-06,48.5
2006-11-07,49.049999
2006-11-08,48.75
2006-11-09,48.549999
2006-11-10,50.099998
2006-11-13,50.150002
