Date,RCII
1995-01-25,1.533333
1995-01-26,1.6
1995-01-27,1.6
1995-01-30,1.6
1995-01-31,1.6
1995-02-01,1.566667
1995-02-02,1.566667
1995-02-03,1.7333330000000002
1995-02-06,1.666667
1995-02-07,1.666667
1995-02-08,1.666667
1995-02-09,1.666667
1995-02-10,1.666667
1995-02-13,1.666667
1995-02-14,1.65
1995-02-15,1.633333
1995-02-16,1.7
1995-02-17,1.6833330000000002
1995-02-21,1.7666669999999998
1995-02-22,1.833333
1995-02-23,1.833333
1995-02-24,1.8666669999999999
1995-02-27,1.8666669999999999
1995-02-28,2.0333330000000003
1995-03-01,2.1
1995-03-02,2.1
1995-03-03,2.0333330000000003
1995-03-06,2.0333330000000003
1995-03-07,1.9666669999999997
1995-03-08,2.066667
1995-03-09,2.066667
1995-03-10,2.0
1995-03-13,2.0
1995-03-14,1.95
1995-03-15,1.95
1995-03-16,1.8666669999999999
1995-03-17,1.833333
1995-03-20,1.8666669999999999
1995-03-21,1.8
1995-03-22,1.8
1995-03-23,1.8
1995-03-24,1.8666669999999999
1995-03-27,1.9833330000000002
1995-03-28,2.0
1995-03-29,2.0333330000000003
1995-03-30,2.066667
1995-03-31,2.066667
1995-04-03,2.0
1995-04-04,2.15
1995-04-05,2.1
1995-04-06,2.066667
1995-04-07,2.1
1995-04-10,2.1333330000000004
1995-04-11,2.1333330000000004
1995-04-12,2.1333330000000004
1995-04-13,2.1333330000000004
1995-04-17,2.333333
1995-04-18,2.7
1995-04-19,2.6333330000000004
1995-04-20,2.5333330000000003
1995-04-21,2.683333
1995-04-24,2.683333
1995-04-25,2.6166669999999996
1995-04-26,2.675
1995-04-27,2.7
1995-04-28,2.833333
1995-05-01,3.1333330000000004
1995-05-02,3.0
1995-05-03,3.0
1995-05-04,2.566667
1995-05-05,2.6333330000000004
1995-05-08,2.666667
1995-05-09,2.833333
1995-05-10,2.7
1995-05-11,2.816667
1995-05-12,3.0333330000000003
1995-05-15,2.9666669999999997
1995-05-16,3.0333330000000003
1995-05-17,2.8666669999999996
1995-05-18,2.9666669999999997
1995-05-19,2.8
1995-05-22,2.8
1995-05-23,2.6333330000000004
1995-05-24,2.733333
1995-05-25,2.833333
1995-05-26,2.85
1995-05-30,2.8833330000000004
1995-05-31,2.8833330000000004
1995-06-01,2.833333
1995-06-02,2.7166669999999997
1995-06-05,2.733333
1995-06-06,2.6333330000000004
1995-06-07,2.75
1995-06-08,2.75
1995-06-09,2.666667
1995-06-12,2.766667
1995-06-13,2.766667
1995-06-14,2.766667
1995-06-15,2.833333
1995-06-16,2.8
1995-06-19,2.9666669999999997
1995-06-20,3.1333330000000004
1995-06-21,3.15
1995-06-22,3.3
1995-06-23,3.5
1995-06-26,3.65
1995-06-27,3.75
1995-06-28,3.75
1995-06-29,3.95
1995-06-30,4.0
1995-07-03,4.0
1995-07-05,4.0
1995-07-06,4.1
1995-07-07,4.0
1995-07-10,4.0
1995-07-11,4.0
1995-07-12,4.05
1995-07-13,4.225
1995-07-14,4.35
1995-07-17,4.35
1995-07-18,4.3
1995-07-19,4.3
1995-07-20,4.225
1995-07-21,4.2
1995-07-24,4.2
1995-07-25,4.3
1995-07-26,4.6
1995-07-27,4.65
1995-07-28,4.95
1995-07-31,5.05
1995-08-01,5.05
1995-08-02,5.3
1995-08-03,5.05
1995-08-04,4.9375
1995-08-07,4.9
1995-08-08,5.1
1995-08-09,5.15
1995-08-10,5.0
1995-08-11,4.95
1995-08-14,4.95
1995-08-15,5.1
1995-08-16,5.1
1995-08-17,4.95
1995-08-18,4.95
1995-08-21,5.1
1995-08-22,4.95
1995-08-23,5.05
1995-08-24,5.0
1995-08-25,4.95
1995-08-28,5.2
1995-08-29,5.25
1995-08-30,5.3
1995-08-31,5.7
1995-09-01,6.1
1995-09-05,6.125
1995-09-06,6.15
1995-09-07,6.1
1995-09-08,6.15
1995-09-11,6.15
1995-09-12,6.05
1995-09-13,6.35
1995-09-14,6.3
1995-09-15,6.35
1995-09-18,6.05
1995-09-19,6.3
1995-09-20,6.3
1995-09-21,6.4
1995-09-22,6.65
1995-09-25,6.35
1995-09-26,6.35
1995-09-27,6.175
1995-09-28,6.15
1995-09-29,6.125
1995-10-02,6.05
1995-10-03,6.1
1995-10-04,6.35
1995-10-05,6.35
1995-10-06,6.15
1995-10-09,6.5
1995-10-10,6.3
1995-10-11,6.6
1995-10-12,6.5
1995-10-13,7.0
1995-10-16,6.8
1995-10-17,7.2
1995-10-18,7.2
1995-10-19,7.2
1995-10-20,7.2
1995-10-23,6.9
1995-10-24,6.8
1995-10-25,6.5
1995-10-26,6.8
1995-10-27,6.75
1995-10-30,6.8
1995-10-31,6.7
1995-11-01,7.3
1995-11-02,6.9
1995-11-03,7.2
1995-11-06,6.7
1995-11-07,6.7
1995-11-08,6.9
1995-11-09,6.7
1995-11-10,6.7
1995-11-13,6.675
1995-11-14,6.4
1995-11-15,6.45
1995-11-16,6.5
1995-11-17,6.4
1995-11-20,6.4
1995-11-21,6.2
1995-11-22,6.25
1995-11-24,6.2
1995-11-27,6.5
1995-11-28,6.6
1995-11-29,6.6
1995-11-30,6.55
1995-12-01,6.6
1995-12-04,6.75
1995-12-05,6.7
1995-12-06,6.6
1995-12-07,6.6
1995-12-08,6.6
1995-12-11,6.6
1995-12-12,6.6
1995-12-13,7.0
1995-12-14,6.95
1995-12-15,7.2
1995-12-18,7.0
1995-12-19,6.6
1995-12-20,6.75
1995-12-21,5.3
1995-12-22,5.7
1995-12-26,5.75
1995-12-27,5.7
1995-12-28,5.3
1995-12-29,5.5
1996-01-02,5.3
1996-01-03,5.25
1996-01-04,5.4
1996-01-05,5.4
1996-01-08,5.2
1996-01-09,5.25
1996-01-10,5.2
1996-01-11,5.3
1996-01-12,5.1
1996-01-15,5.2
1996-01-16,5.5
1996-01-17,5.5
1996-01-18,5.8
1996-01-19,6.0
1996-01-22,6.0
1996-01-23,6.3
1996-01-24,6.2
1996-01-25,6.55
1996-01-26,6.6
1996-01-29,6.6
1996-01-30,6.5
1996-01-31,6.55
1996-02-01,6.3
1996-02-02,6.1
1996-02-05,6.0
1996-02-06,5.8
1996-02-07,6.0
1996-02-08,6.1
1996-02-09,6.125
1996-02-12,6.15
1996-02-13,6.1
1996-02-14,6.1
1996-02-15,6.7
1996-02-16,6.65
1996-02-20,6.6
1996-02-21,6.7
1996-02-22,6.675
1996-02-23,6.5
1996-02-26,6.8
1996-02-27,6.65
1996-02-28,6.9
1996-02-29,6.775
1996-03-01,6.75
1996-03-04,6.5
1996-03-05,6.6
1996-03-06,6.6
1996-03-07,6.8
1996-03-08,6.4
1996-03-11,6.4
1996-03-12,6.15
1996-03-13,6.3
1996-03-14,6.45
1996-03-15,6.4
1996-03-18,6.325
1996-03-19,6.7
1996-03-20,6.65
1996-03-21,6.6
1996-03-22,7.1
1996-03-25,6.75
1996-03-26,6.9
1996-03-27,7.0
1996-03-28,7.05
1996-03-29,6.95
1996-04-01,7.0
1996-04-02,6.9
1996-04-03,6.9
1996-04-04,6.9
1996-04-08,6.9
1996-04-09,6.95
1996-04-10,7.05
1996-04-11,7.2
