Date,DO
1995-10-11,12.0
1995-10-12,12.125
1995-10-13,12.125
1995-10-16,12.0
1995-10-17,12.125
1995-10-18,12.125
1995-10-19,12.0625
1995-10-20,12.0
1995-10-23,12.125
1995-10-24,12.4375
1995-10-25,12.75
1995-10-26,12.5
1995-10-27,12.1875
1995-10-30,12.3125
1995-10-31,12.4375
1995-11-01,12.75
1995-11-02,12.8125
1995-11-03,12.875
1995-11-06,13.6875
1995-11-07,13.5
1995-11-08,13.5
1995-11-09,13.5625
1995-11-10,13.5
1995-11-13,13.375
1995-11-14,13.0
1995-11-15,12.9375
1995-11-16,13.0625
1995-11-17,13.0
1995-11-20,13.0625
1995-11-21,13.125
1995-11-22,13.375
1995-11-24,13.375
1995-11-27,13.5
1995-11-28,13.5625
1995-11-29,14.0
1995-11-30,14.4375
1995-12-01,14.375
1995-12-04,14.625
1995-12-05,14.6875
1995-12-06,14.6875
1995-12-07,14.4375
1995-12-08,15.25
1995-12-11,15.8125
1995-12-12,16.0
1995-12-13,16.875
1995-12-14,16.75
1995-12-15,17.0
1995-12-18,16.8125
1995-12-19,16.625
1995-12-20,16.5625
1995-12-21,16.75
1995-12-22,16.4375
1995-12-26,16.5
1995-12-27,16.625
1995-12-28,16.75
1995-12-29,16.875
1996-01-02,16.8125
1996-01-03,16.9375
1996-01-04,16.6875
1996-01-05,16.875
1996-01-08,16.6875
1996-01-09,16.9375
1996-01-10,17.25
1996-01-11,17.3125
1996-01-12,17.4375
1996-01-15,17.0
1996-01-16,17.1875
1996-01-17,17.375
1996-01-18,17.25
1996-01-19,17.125
1996-01-22,17.125
1996-01-23,16.9375
1996-01-24,17.8125
1996-01-25,17.625
1996-01-26,17.625
1996-01-29,18.75
1996-01-30,19.1875
1996-01-31,19.0625
1996-02-01,19.4375
1996-02-02,20.0
1996-02-05,19.75
1996-02-06,19.125
1996-02-07,18.625
1996-02-08,18.5
1996-02-09,18.5625
1996-02-12,18.8125
1996-02-13,18.75
1996-02-14,18.625
1996-02-15,18.9375
1996-02-16,19.0625
1996-02-20,19.0625
1996-02-21,18.9375
1996-02-22,19.0625
1996-02-23,18.9375
1996-02-26,18.625
1996-02-27,18.25
1996-02-28,17.6875
1996-02-29,18.3125
1996-03-01,19.0
1996-03-04,19.25
1996-03-05,19.3125
1996-03-06,19.75
