Date,TTM
2004-09-27,9.15
2004-09-28,8.76
2004-09-29,8.75
2004-09-30,8.97
2004-10-01,9.25
2004-10-04,9.47
2004-10-05,9.63
2004-10-06,9.45
2004-10-07,9.45
2004-10-08,9.4
2004-10-11,9.23
2004-10-12,9.0
2004-10-13,9.01
2004-10-14,9.04
2004-10-15,8.95
2004-10-18,9.04
2004-10-19,9.27
2004-10-20,9.1
2004-10-21,9.1
2004-10-22,9.17
2004-10-25,8.73
2004-10-26,8.92
2004-10-27,9.01
2004-10-28,9.19
2004-10-29,9.25
2004-11-01,9.2
2004-11-02,9.25
2004-11-03,9.34
2004-11-04,9.28
2004-11-05,9.5
2004-11-08,9.5
2004-11-09,9.48
2004-11-10,9.5
2004-11-11,9.5
2004-11-12,9.46
2004-11-15,9.48
2004-11-16,9.66
2004-11-17,9.95
2004-11-18,10.0
2004-11-19,9.76
2004-11-22,9.83
2004-11-23,10.0
2004-11-24,10.6
2004-11-26,10.51
2004-11-29,11.15
2004-11-30,11.13
2004-12-01,11.17
2004-12-02,11.41
2004-12-03,11.56
2004-12-06,11.55
2004-12-07,11.45
2004-12-08,10.95
2004-12-09,11.05
2004-12-10,10.75
2004-12-13,10.87
2004-12-14,10.97
2004-12-15,11.37
2004-12-16,11.4
2004-12-17,11.3
2004-12-20,11.32
2004-12-21,11.46
2004-12-22,11.46
2004-12-23,11.6
2004-12-27,11.66
2004-12-28,11.7
2004-12-29,11.64
2004-12-30,11.39
2004-12-31,11.92
2005-01-03,12.06
2005-01-04,11.78
2005-01-05,11.34
2005-01-06,11.1
2005-01-07,11.3
2005-01-10,10.7
2005-01-11,10.76
2005-01-12,10.7
2005-01-13,11.03
2005-01-14,11.12
2005-01-18,10.99
2005-01-19,10.6
2005-01-20,10.65
2005-01-21,10.6
2005-01-24,10.45
2005-01-25,10.84
2005-01-26,10.76
2005-01-27,10.83
2005-01-28,10.95
2005-01-31,11.63
2005-02-01,11.2
2005-02-02,11.21
2005-02-03,11.3
2005-02-04,11.32
2005-02-07,11.34
2005-02-08,11.28
2005-02-09,11.3
2005-02-10,11.37
2005-02-11,11.56
2005-02-14,11.59
2005-02-15,11.59
2005-02-16,11.24
2005-02-17,11.21
2005-02-18,10.85
2005-02-22,11.1
2005-02-23,10.95
2005-02-24,10.87
2005-02-25,10.7
2005-02-28,10.88
2005-03-01,10.64
2005-03-02,10.66
2005-03-03,10.88
2005-03-04,11.1
