Date,SMH
2000-06-05,98.6875
2000-06-06,94.625
2000-06-07,96.1875
2000-06-08,96.625
2000-06-09,98.625
2000-06-12,94.8125
2000-06-13,98.8125
2000-06-14,94.5625
2000-06-15,95.375
2000-06-16,96.0
2000-06-19,102.5
2000-06-20,104.0
2000-06-21,104.4375
2000-06-22,99.25
2000-06-23,97.5
2000-06-26,97.5
2000-06-27,94.375
2000-06-28,94.875
2000-06-29,92.6875
2000-06-30,94.0
2000-07-03,96.125
2000-07-05,88.625
2000-07-06,92.25
2000-07-07,95.25
2000-07-10,95.125
2000-07-11,93.625
2000-07-12,95.9375
2000-07-13,98.375
2000-07-14,101.375
2000-07-17,102.9375
2000-07-18,98.4375
2000-07-19,94.9375
2000-07-20,93.4375
2000-07-21,89.625
2000-07-24,89.25
2000-07-25,92.8125
2000-07-26,88.75
2000-07-27,82.6875
2000-07-28,81.9375
2000-07-31,84.625
2000-08-01,81.8125
2000-08-02,81.0
2000-08-03,80.875
2000-08-04,78.6875
2000-08-07,81.0
2000-08-08,81.0625
2000-08-09,83.4375
2000-08-10,81.4375
2000-08-11,82.6875
2000-08-14,87.75
2000-08-15,90.625
2000-08-16,93.25
2000-08-17,95.0625
2000-08-18,97.4375
2000-08-21,95.0
2000-08-22,95.9375
2000-08-23,99.75
2000-08-24,99.25
2000-08-25,98.0
2000-08-28,98.5
2000-08-29,97.75
2000-08-30,96.8125
2000-08-31,98.6875
2000-09-01,97.875
2000-09-05,95.125
2000-09-06,89.0625
2000-09-07,92.0
2000-09-08,87.625
2000-09-11,86.25
2000-09-12,84.1875
2000-09-13,84.875
2000-09-14,84.8125
2000-09-15,82.75
2000-09-18,81.0
2000-09-19,87.0625
2000-09-20,87.75
2000-09-21,84.25
2000-09-22,78.125
2000-09-25,74.010002
2000-09-26,73.25
2000-09-27,72.5
2000-09-28,74.75
2000-09-29,71.099998
2000-10-02,69.5
2000-10-03,68.449997
2000-10-04,72.0
2000-10-05,70.199997
2000-10-06,67.699997
2000-10-09,66.5
2000-10-10,60.34
2000-10-11,59.950001
2000-10-12,58.599998
2000-10-13,64.75
2000-10-16,61.049999
2000-10-17,57.73
2000-10-18,56.599998
2000-10-19,65.75
2000-10-20,66.75
2000-10-23,68.300003
2000-10-24,63.75
2000-10-25,58.790001000000004
2000-10-26,61.849998
2000-10-27,61.700001
2000-10-30,62.130001
2000-10-31,65.75
2000-11-01,63.400002
2000-11-02,65.0
2000-11-03,64.489998
2000-11-06,64.5
2000-11-07,61.490002000000004
2000-11-08,56.650002
2000-11-09,56.5
2000-11-10,53.0
2000-11-13,55.299999
2000-11-14,58.450001
2000-11-15,61.099998
2000-11-16,57.799999
2000-11-17,57.650002
2000-11-20,56.900002
2000-11-21,55.689999
2000-11-22,54.5
2000-11-24,58.490002000000004
2000-11-27,55.299999
