Date,NFX
2013-05-10,23.65
2013-05-13,23.299999
2013-05-14,23.77
2013-05-15,23.790001
2013-05-16,23.299999
2013-05-17,23.58
2013-05-20,24.25
2013-05-21,24.66
2013-05-22,24.639999
2013-05-23,24.780001000000002
2013-05-24,24.360001
2013-05-28,24.700001
2013-05-29,24.889999
2013-05-30,24.889999
2013-05-31,23.790001
2013-06-03,23.93
2013-06-04,23.75
2013-06-05,23.290001
2013-06-06,22.969998999999998
2013-06-07,23.540001
2013-06-10,23.610001
2013-06-11,22.780001000000002
2013-06-12,22.370001000000002
2013-06-13,22.83
2013-06-14,22.5
2013-06-17,23.01
2013-06-18,23.940001000000002
2013-06-19,24.43
2013-06-20,23.25
2013-06-21,23.559998999999998
2013-06-24,23.42
2013-06-25,24.059998999999998
2013-06-26,24.129998999999998
2013-06-27,24.15
2013-06-28,23.889999
2013-07-01,24.16
2013-07-02,24.1
2013-07-03,23.93
2013-07-05,24.51
2013-07-08,24.860001
2013-07-09,25.0
2013-07-10,25.200001
2013-07-11,25.469998999999998
2013-07-12,25.75
2013-07-15,25.709999
2013-07-16,26.16
2013-07-17,26.66
2013-07-18,27.07
2013-07-19,27.690001000000002
2013-07-22,27.09
2013-07-23,26.889999
2013-07-24,26.48
2013-07-25,24.799999
2013-07-26,24.780001000000002
2013-07-29,24.459999
2013-07-30,24.469998999999998
2013-07-31,24.6
2013-08-01,25.09
2013-08-02,24.549999
2013-08-05,24.790001
2013-08-06,24.24
2013-08-07,23.91
2013-08-08,24.559998999999998
2013-08-09,24.65
2013-08-12,24.469998999999998
2013-08-13,24.48
2013-08-14,23.540001
2013-08-15,23.889999
2013-08-16,23.780001000000002
2013-08-19,22.940001000000002
2013-08-20,23.110001
2013-08-21,22.73
2013-08-22,23.370001000000002
2013-08-23,23.52
2013-08-26,23.610001
2013-08-27,23.42
2013-08-28,23.98
2013-08-29,23.68
2013-08-30,23.82
2013-09-03,23.74
2013-09-04,23.700001
2013-09-05,23.85
2013-09-06,23.860001
2013-09-09,24.219998999999998
2013-09-10,24.25
2013-09-11,26.07
2013-09-12,25.76
2013-09-13,25.6
2013-09-16,25.790001
2013-09-17,26.049999
2013-09-18,26.67
2013-09-19,26.49
2013-09-20,26.83
2013-09-23,27.049999
2013-09-24,27.74
2013-09-25,28.02
2013-09-26,27.6
2013-09-27,27.379998999999998
2013-09-30,27.370001000000002
2013-10-01,27.9
2013-10-02,27.879998999999998
2013-10-03,28.02
2013-10-04,28.700001
2013-10-07,28.540001
2013-10-08,28.290001
2013-10-09,28.16
2013-10-10,28.48
2013-10-11,29.17
2013-10-14,29.4
2013-10-15,29.200001
2013-10-16,29.780001000000002
2013-10-17,29.959999
2013-10-18,30.34
2013-10-21,30.860001
2013-10-22,31.68
2013-10-23,30.74
2013-10-24,31.290001
2013-10-25,31.26
2013-10-28,31.32
2013-10-29,31.41
2013-10-30,30.559998999999998
2013-10-31,30.450001
2013-11-01,30.450001
2013-11-04,31.02
2013-11-05,30.799999
2013-11-06,30.09
2013-11-07,29.030001000000002
2013-11-08,29.459999
2013-11-11,29.77
2013-11-12,29.59
2013-11-13,29.610001
2013-11-14,29.549999
2013-11-15,29.67
2013-11-18,29.18
2013-11-19,29.23
2013-11-20,29.34
2013-11-21,29.790001
2013-11-22,30.030001000000002
2013-11-25,28.98
2013-11-26,29.48
2013-11-27,28.26
2013-11-29,28.1
2013-12-02,28.299999
2013-12-03,28.32
2013-12-04,28.389999
2013-12-05,27.66
2013-12-06,26.43
2013-12-09,24.33
2013-12-10,23.709999
2013-12-11,23.85
2013-12-12,23.52
2013-12-13,23.360001
2013-12-16,23.01
2013-12-17,23.15
2013-12-18,23.280001000000002
2013-12-19,23.85
2013-12-20,23.98
2013-12-23,24.120001000000002
2013-12-24,24.129998999999998
2013-12-26,24.07
2013-12-27,24.540001
2013-12-30,24.030001000000002
2013-12-31,24.629998999999998
2014-01-02,24.370001000000002
2014-01-03,24.389999
2014-01-06,23.799999
2014-01-07,24.65
2014-01-08,24.25
2014-01-09,24.77
2014-01-10,25.690001000000002
2014-01-13,25.08
2014-01-14,25.0
2014-01-15,25.280001000000002
2014-01-16,25.24
2014-01-17,25.09
2014-01-21,25.540001
2014-01-22,25.92
2014-01-23,25.34
2014-01-24,24.709999
2014-01-27,24.280001000000002
2014-01-28,24.620001000000002
2014-01-29,24.25
2014-01-30,24.889999
2014-01-31,24.77
2014-02-03,23.780001000000002
2014-02-04,23.959999
2014-02-05,23.690001000000002
2014-02-06,24.030001000000002
2014-02-07,24.120001000000002
2014-02-10,24.1
2014-02-11,24.209999
2014-02-12,24.25
2014-02-13,24.780001000000002
2014-02-14,25.17
2014-02-18,26.33
2014-02-19,25.719998999999998
2014-02-20,25.219998999999998
2014-02-21,24.700001
2014-02-24,25.32
2014-02-25,25.66
2014-02-26,27.540001
2014-02-27,27.35
2014-02-28,28.190001000000002
2014-03-03,28.379998999999998
2014-03-04,28.84
2014-03-05,28.67
2014-03-06,28.73
2014-03-07,28.75
2014-03-10,28.620001000000002
2014-03-11,28.1
2014-03-12,28.129998999999998
2014-03-13,27.530001000000002
2014-03-14,27.65
2014-03-17,27.93
2014-03-18,28.620001000000002
2014-03-19,28.379998999999998
2014-03-20,28.379998999999998
2014-03-21,30.08
2014-03-24,30.01
2014-03-25,30.889999
2014-03-26,30.43
2014-03-27,30.98
2014-03-28,31.549999
2014-03-31,31.360001
2014-04-01,31.360001
2014-04-02,31.42
2014-04-03,32.330002
2014-04-04,32.25
2014-04-07,32.130001
2014-04-08,32.189999
2014-04-09,32.470001
2014-04-10,32.080002
2014-04-11,32.040001000000004
2014-04-14,32.52
2014-04-15,32.759997999999996
2014-04-16,32.950001
2014-04-17,33.259997999999996
2014-04-21,32.66
2014-04-22,32.610001000000004
2014-04-23,32.82
2014-04-24,32.959998999999996
2014-04-25,31.75
2014-04-28,31.83
2014-04-29,32.240002000000004
2014-04-30,33.849998
2014-05-01,33.560001
2014-05-02,33.73
2014-05-05,33.59
2014-05-06,33.93
2014-05-07,34.57
2014-05-08,33.689999
2014-05-09,33.75
2014-05-12,33.75
2014-05-13,33.91
2014-05-14,34.16
2014-05-15,33.369999
2014-05-16,33.970001
2014-05-19,34.43
2014-05-20,34.959998999999996
2014-05-21,35.66
2014-05-22,35.599998
2014-05-23,35.439999
2014-05-27,35.91
2014-05-28,35.950001
2014-05-29,36.73
2014-05-30,36.48
2014-06-02,36.560001
2014-06-03,36.619999
2014-06-04,36.650002
2014-06-05,36.68
2014-06-06,37.279999
2014-06-09,38.07
2014-06-10,38.27
2014-06-11,38.93
2014-06-12,39.27
2014-06-13,40.450001
2014-06-16,41.599998
2014-06-17,41.720001
2014-06-18,42.830002
2014-06-19,42.740002000000004
2014-06-20,43.23
2014-06-23,43.599998
2014-06-24,42.27
2014-06-25,43.700001
2014-06-26,43.66
2014-06-27,43.529999
2014-06-30,44.200001
2014-07-01,43.889998999999996
2014-07-02,43.779999
2014-07-03,43.59
2014-07-07,43.09
2014-07-08,43.540001000000004
2014-07-09,43.709998999999996
2014-07-10,43.060001
2014-07-11,41.919998
2014-07-14,42.330002
2014-07-15,41.470001
2014-07-16,42.68
2014-07-17,43.549999
2014-07-18,44.130001
2014-07-21,44.48
2014-07-22,44.82
2014-07-23,44.919998
2014-07-24,44.98
2014-07-25,44.639998999999996
2014-07-28,44.0
2014-07-29,43.470001
2014-07-30,41.48
2014-07-31,40.299999
2014-08-01,39.330002
2014-08-04,40.25
2014-08-05,39.790001000000004
2014-08-06,39.689999
2014-08-07,39.900002
2014-08-08,40.810001
2014-08-11,40.349998
2014-08-12,39.639998999999996
2014-08-13,40.419998
2014-08-14,40.470001
2014-08-15,41.27
2014-08-18,41.66
2014-08-19,41.990002000000004
2014-08-20,41.709998999999996
2014-08-21,42.490002000000004
2014-08-22,42.400002
2014-08-25,43.860001000000004
2014-08-26,44.220001
2014-08-27,44.130001
2014-08-28,43.75
2014-08-29,44.82
2014-09-02,43.880001
2014-09-03,42.779999
2014-09-04,41.709998999999996
2014-09-05,41.959998999999996
2014-09-08,40.0
2014-09-09,39.470001
2014-09-10,39.130001
2014-09-11,39.330002
2014-09-12,38.330002
2014-09-15,38.450001
2014-09-16,39.18
2014-09-17,39.41
2014-09-18,39.009997999999996
2014-09-19,38.59
2014-09-22,37.73
2014-09-23,38.150002
2014-09-24,39.040001000000004
2014-09-25,37.849998
2014-09-26,38.400002
2014-09-29,38.740002000000004
2014-09-30,37.07
2014-10-01,36.16
2014-10-02,35.759997999999996
2014-10-03,35.130001
2014-10-06,35.34
2014-10-07,33.540001000000004
2014-10-08,33.84
2014-10-09,31.68
2014-10-10,30.209999
2014-10-13,27.85
2014-10-14,26.27
2014-10-15,26.0
2014-10-16,27.41
2014-10-17,27.1
2014-10-20,28.1
2014-10-21,29.51
2014-10-22,28.17
2014-10-23,29.41
2014-10-24,29.540001
2014-10-27,28.17
2014-10-28,29.379998999999998
2014-10-29,32.580002
2014-10-30,31.799999
2014-10-31,32.610001000000004
2014-11-03,31.690001000000002
2014-11-04,30.65
2014-11-05,31.84
2014-11-06,32.5
2014-11-07,33.57
2014-11-10,33.259997999999996
2014-11-11,33.619999
2014-11-12,33.110001000000004
2014-11-13,32.900002
2014-11-14,33.66
2014-11-17,32.5
2014-11-18,33.02
2014-11-19,33.119999
2014-11-20,34.599998
2014-11-21,35.119999
2014-11-24,34.509997999999996
2014-11-25,33.68
2014-11-26,32.48
2014-11-28,27.23
2014-12-01,26.110001
2014-12-02,26.5
2014-12-03,27.190001000000002
2014-12-04,26.18
2014-12-05,25.85
2014-12-08,23.66
2014-12-09,25.34
2014-12-10,23.98
2014-12-11,24.02
2014-12-12,24.129998999999998
2014-12-15,23.559998999999998
2014-12-16,23.799999
2014-12-17,25.809998999999998
2014-12-18,26.23
2014-12-19,28.48
2014-12-22,27.469998999999998
2014-12-23,28.25
2014-12-24,27.860001
2014-12-26,26.969998999999998
2014-12-29,27.42
2014-12-30,27.290001
2014-12-31,27.120001000000002
2015-01-02,26.6
2015-01-05,24.9
2015-01-06,24.6
2015-01-07,23.610001
2015-01-08,23.98
2015-01-09,24.5
2015-01-12,22.73
2015-01-13,22.9
2015-01-14,24.190001000000002
2015-01-15,23.5
2015-01-16,25.879998999999998
2015-01-20,26.280001000000002
2015-01-21,28.09
2015-01-22,28.530001000000002
2015-01-23,28.49
2015-01-26,28.290001
2015-01-27,28.77
2015-01-28,27.43
2015-01-29,28.51
2015-01-30,29.780001000000002
2015-02-02,30.93
2015-02-03,32.18
2015-02-04,30.99
2015-02-05,30.889999
2015-02-06,30.790001
2015-02-09,30.559998999999998
2015-02-10,30.18
2015-02-11,29.91
2015-02-12,30.889999
2015-02-13,32.240002000000004
2015-02-17,33.09
2015-02-18,32.849998
2015-02-19,32.779999
2015-02-20,32.09
2015-02-23,31.709999
2015-02-24,31.67
2015-02-25,36.0
2015-02-26,33.599998
2015-02-27,33.029999
2015-03-02,32.43
2015-03-03,32.939999
2015-03-04,33.18
2015-03-05,32.77
2015-03-06,32.0
2015-03-09,31.690001000000002
2015-03-10,30.959999
2015-03-11,31.280001000000002
2015-03-12,31.1
2015-03-13,31.360001
2015-03-16,31.73
2015-03-17,31.57
2015-03-18,33.369999
2015-03-19,32.470001
2015-03-20,33.290001000000004
2015-03-23,32.650002
2015-03-24,32.939999
2015-03-25,33.77
2015-03-26,34.240002000000004
2015-03-27,34.279999
2015-03-30,35.18
2015-03-31,35.09
2015-04-01,36.09
2015-04-02,36.279999
2015-04-06,37.73
2015-04-07,37.009997999999996
2015-04-08,36.099998
2015-04-09,37.099998
2015-04-10,37.189999
2015-04-13,36.560001
2015-04-14,37.439999
2015-04-15,38.779999
2015-04-16,38.75
2015-04-17,38.48
2015-04-20,38.16
2015-04-21,36.98
2015-04-22,37.77
2015-04-23,38.040001000000004
2015-04-24,38.759997999999996
2015-04-27,38.18
2015-04-28,39.09
2015-04-29,39.689999
2015-04-30,39.240002000000004
2015-05-01,38.990002000000004
2015-05-04,38.990002000000004
2015-05-05,36.990002000000004
2015-05-06,36.049999
2015-05-07,35.240002000000004
2015-05-08,36.439999
2015-05-11,35.93
2015-05-12,35.950001
2015-05-13,35.34
2015-05-14,34.540001000000004
2015-05-15,35.540001000000004
2015-05-18,36.740002000000004
2015-05-19,36.970001
2015-05-20,37.400002
2015-05-21,38.290001000000004
2015-05-22,38.040001000000004
2015-05-26,37.290001000000004
2015-05-27,37.380001
2015-05-28,36.790001000000004
2015-05-29,37.810001
2015-06-01,37.330002
2015-06-02,37.369999
2015-06-03,36.259997999999996
2015-06-04,36.150002
2015-06-05,37.299999
2015-06-08,36.950001
2015-06-09,37.259997999999996
2015-06-10,37.919998
2015-06-11,37.439999
2015-06-12,36.669998
2015-06-15,36.369999
2015-06-16,37.400002
2015-06-17,36.900002
2015-06-18,37.380001
2015-06-19,36.759997999999996
2015-06-22,37.169998
2015-06-23,37.950001
2015-06-24,37.970001
2015-06-25,37.630001
2015-06-26,36.470001
2015-06-29,34.84
2015-06-30,36.119999
2015-07-01,35.259997999999996
2015-07-02,35.040001000000004
2015-07-06,34.360001000000004
2015-07-07,35.630001
2015-07-08,34.849998
2015-07-09,35.459998999999996
2015-07-10,35.470001
2015-07-13,35.700001
2015-07-14,36.529999
2015-07-15,34.779999
2015-07-16,35.299999
2015-07-17,34.139998999999996
2015-07-20,33.610001000000004
2015-07-21,33.830002
2015-07-22,33.400002
2015-07-23,33.720001
2015-07-24,32.779999
2015-07-27,30.879998999999998
2015-07-28,31.530001000000002
2015-07-29,32.880001
2015-07-30,33.360001000000004
2015-07-31,32.790001000000004
2015-08-03,32.439999
2015-08-04,32.650002
2015-08-05,32.549999
2015-08-06,34.77
2015-08-07,34.23
2015-08-10,35.650002
2015-08-11,35.360001000000004
2015-08-12,36.610001000000004
2015-08-13,36.080002
2015-08-14,36.189999
2015-08-17,35.48
2015-08-18,35.299999
2015-08-19,33.93
2015-08-20,32.5
2015-08-21,30.82
2015-08-24,27.629998999999998
2015-08-25,27.049999
2015-08-26,28.059998999999998
2015-08-27,30.700001
