Date,HEGIF
2009-02-13,3.48
2009-02-17,3.48
2009-02-18,3.48
2009-02-19,3.48
2009-02-20,3.48
2009-02-23,3.45
2009-02-24,3.45
2009-02-25,3.65
2009-02-26,3.65
2009-02-27,3.65
2009-03-02,3.65
2009-03-03,3.35
2009-03-04,3.35
2009-03-05,3.35
2009-03-06,3.35
2009-03-09,3.35
2009-03-10,3.35
2009-03-11,3.35
2009-03-12,3.35
2009-03-13,3.35
2009-03-16,3.5
2009-03-17,3.5
2009-03-18,3.5
2009-03-19,3.5
2009-03-20,3.8
2009-03-23,3.8
2009-03-24,3.8
2009-03-25,3.85
2009-03-26,3.72
2009-03-27,3.95
2009-03-30,3.85
2009-03-31,3.9
2009-04-01,4.05
2009-04-02,4.05
2009-04-03,3.95
2009-04-06,3.82
2009-04-07,3.85
2009-04-08,3.85
2009-04-09,3.75
2009-04-13,3.75
2009-04-14,3.8
2009-04-15,3.8
2009-04-16,3.8
2009-04-17,3.94
2009-04-20,3.94
2009-04-21,3.9
2009-04-22,3.9
2009-04-23,3.9
2009-04-24,3.9
2009-04-27,3.87
2009-04-28,3.87
2009-04-29,4.1
2009-04-30,4.24
2009-05-01,4.24
2009-05-04,4.25
2009-05-05,4.25
2009-05-06,4.5
2009-05-07,4.5
2009-05-08,4.75
2009-05-11,4.75
2009-05-12,4.3
2009-05-13,4.15
2009-05-14,4.15
2009-05-15,4.4
2009-05-18,4.6
2009-05-19,4.68
2009-05-20,4.35
2009-05-21,4.4
2009-05-22,4.5
2009-05-26,4.5
2009-05-27,4.65
2009-05-28,4.7
2009-05-29,4.65
2009-06-01,4.65
2009-06-02,4.45
2009-06-03,4.45
2009-06-04,4.45
2009-06-05,4.45
2009-06-08,4.45
2009-06-09,4.4
2009-06-10,4.4
2009-06-11,4.4
2009-06-12,4.72
2009-06-15,4.72
2009-06-16,4.72
2009-06-17,4.72
2009-06-18,4.45
2009-06-19,4.5
2009-06-22,4.5
2009-06-23,4.5
2009-06-24,5.1
2009-06-25,4.65
2009-06-26,4.95
2009-06-29,4.95
2009-06-30,4.95
2009-07-01,4.95
2009-07-02,4.95
2009-07-06,4.95
2009-07-07,4.95
2009-07-08,4.95
2009-07-09,4.95
2009-07-10,4.95
2009-07-13,4.95
2009-07-14,5.1
2009-07-15,5.1
2009-07-16,5.1
2009-07-17,5.25
2009-07-20,5.75
2009-07-21,5.5
2009-07-22,5.4
2009-07-23,5.25
2009-07-24,5.25
2009-07-27,5.25
2009-07-28,5.25
2009-07-29,5.55
2009-07-30,5.55
2009-07-31,5.95
2009-08-03,5.95
2009-08-04,5.87
2009-08-05,5.75
2009-08-06,5.75
2009-08-07,5.75
2009-08-10,5.55
2009-08-11,5.75
2009-08-12,5.5
2009-08-13,5.75
2009-08-14,5.75
2009-08-17,5.75
2009-08-18,5.25
2009-08-19,5.25
2009-08-20,5.15
2009-08-21,5.15
2009-08-24,5.35
2009-08-25,5.4
2009-08-26,5.45
2009-08-27,5.65
2009-08-28,5.3
2009-08-31,5.65
2009-09-01,5.65
2009-09-02,5.65
2009-09-03,5.65
2009-09-04,5.55
2009-09-08,5.55
2009-09-09,5.55
2009-09-10,5.55
2009-09-11,5.55
2009-09-14,5.85
2009-09-15,5.85
2009-09-16,5.85
2009-09-17,5.85
2009-09-18,5.85
2009-09-21,5.95
2009-09-22,5.95
2009-09-23,5.95
2009-09-24,5.95
2009-09-25,5.9
2009-09-28,5.9
2009-09-29,5.91
2009-09-30,5.91
2009-10-01,5.91
2009-10-02,5.91
2009-10-05,6.05
2009-10-06,6.33
2009-10-07,6.1
2009-10-08,6.1
2009-10-09,6.1
2009-10-12,6.1
2009-10-13,6.35
2009-10-14,6.35
2009-10-15,6.52
2009-10-16,6.5
2009-10-19,6.36
2009-10-20,6.35
2009-10-21,6.35
2009-10-22,6.35
2009-10-23,6.68
2009-10-26,6.5
2009-10-27,6.5
2009-10-28,6.55
2009-10-29,6.4
2009-10-30,6.4
2009-11-02,6.25
2009-11-03,6.25
2009-11-04,6.25
2009-11-05,6.25
2009-11-06,6.25
2009-11-09,6.8
2009-11-10,6.9
2009-11-11,6.65
2009-11-12,6.8
2009-11-13,7.0
2009-11-16,7.15
2009-11-17,7.05
2009-11-18,7.05
2009-11-19,7.1
2009-11-20,7.1
2009-11-23,7.3
2009-11-24,7.3
2009-11-25,7.3
2009-11-27,7.35
2009-11-30,7.35
2009-12-01,7.35
2009-12-02,7.35
2009-12-03,7.35
2009-12-04,7.2
2009-12-07,7.2
2009-12-08,7.2
2009-12-09,7.2
2009-12-10,7.2
2009-12-11,7.2
2009-12-14,7.2
2009-12-15,7.2
2009-12-16,7.25
2009-12-17,7.35
2009-12-18,7.35
2009-12-21,7.25
2009-12-22,7.25
2009-12-23,7.45
2009-12-24,7.45
2009-12-28,7.55
2009-12-29,7.55
2009-12-30,7.55
2009-12-31,7.55
2010-01-04,7.55
2010-01-05,7.55
2010-01-06,7.35
2010-01-07,7.35
2010-01-08,7.05
2010-01-11,7.05
2010-01-12,7.0
2010-01-13,7.0
2010-01-14,6.9
2010-01-15,6.95
2010-01-19,6.85
2010-01-20,6.85
2010-01-21,6.55
2010-01-22,6.55
2010-01-25,6.62
2010-01-26,6.25
2010-01-27,6.5
2010-01-28,6.5
2010-01-29,6.5
2010-02-01,6.5
2010-02-02,6.5
2010-02-03,6.8
2010-02-04,6.8
2010-02-05,6.8
2010-02-08,6.8
2010-02-09,6.8
2010-02-10,6.8
2010-02-11,6.8
2010-02-12,6.8
2010-02-16,6.8
2010-02-17,6.8
2010-02-18,6.45
2010-02-19,6.55
2010-02-22,6.55
2010-02-23,6.55
2010-02-24,6.6
2010-02-25,6.6
2010-02-26,6.6
2010-03-01,6.6
2010-03-02,6.6
2010-03-03,6.6
2010-03-04,6.6
2010-03-05,6.6
2010-03-08,7.25
2010-03-09,7.25
2010-03-10,7.6
2010-03-11,7.6
2010-03-12,7.6
2010-03-15,7.05
2010-03-16,7.05
2010-03-17,7.3
2010-03-18,7.3
2010-03-19,7.3
2010-03-22,7.3
2010-03-23,6.9
2010-03-24,6.9
2010-03-25,7.49
2010-03-26,7.44
2010-03-29,7.35
2010-03-30,7.35
2010-03-31,7.35
2010-04-01,7.45
2010-04-05,7.6
2010-04-06,7.55
2010-04-07,7.55
2010-04-08,7.55
2010-04-09,7.55
2010-04-12,7.3
2010-04-13,7.3
2010-04-14,7.45
2010-04-15,7.45
2010-04-16,7.3
2010-04-19,7.45
2010-04-20,7.15
2010-04-21,7.3
2010-04-22,7.3
2010-04-23,7.3
2010-04-26,7.3
2010-04-27,7.3
2010-04-28,7.3
2010-04-29,7.3
2010-04-30,7.3
2010-05-03,7.65
2010-05-04,7.65
2010-05-05,7.65
2010-05-06,7.65
2010-05-07,7.2
2010-05-10,7.2
2010-05-11,7.2
2010-05-12,7.2
2010-05-13,7.2
2010-05-14,7.05
2010-05-17,7.05
2010-05-18,7.05
2010-05-19,6.5
2010-05-20,6.5
2010-05-21,6.9
2010-05-24,6.6
2010-05-25,6.6
2010-05-26,6.6
2010-05-27,6.6
2010-05-28,7.3
2010-06-01,7.3
2010-06-02,7.3
2010-06-03,7.3
2010-06-04,7.3
2010-06-07,7.3
2010-06-08,7.25
2010-06-09,7.25
2010-06-10,7.25
2010-06-11,7.25
2010-06-14,7.45
2010-06-15,7.9
2010-06-16,7.9
2010-06-17,8.05
2010-06-18,8.1
2010-06-21,8.1
2010-06-22,8.25
2010-06-23,8.25
2010-06-24,8.25
2010-06-25,8.25
2010-06-28,8.25
2010-06-29,8.25
2010-06-30,8.3
2010-07-01,8.2
2010-07-02,7.95
2010-07-06,7.95
2010-07-07,7.95
2010-07-08,7.95
2010-07-09,7.95
2010-07-12,7.95
2010-07-13,7.95
2010-07-14,7.95
2010-07-15,7.95
2010-07-16,7.95
2010-07-19,7.95
2010-07-20,7.95
2010-07-21,7.95
2010-07-22,8.47
2010-07-23,8.47
2010-07-26,8.6
2010-07-27,8.62
2010-07-28,8.62
2010-07-29,8.62
2010-07-30,8.5
2010-08-02,8.75
2010-08-03,8.75
2010-08-04,8.9
2010-08-05,8.9
2010-08-06,8.9
2010-08-09,8.9
2010-08-10,9.3
2010-08-11,9.1
2010-08-12,9.1
2010-08-13,9.1
2010-08-16,9.1
2010-08-17,8.9
2010-08-18,8.9
2010-08-19,8.9
2010-08-20,8.9
2010-08-23,8.68
2010-08-24,8.68
2010-08-25,8.6
2010-08-26,8.6
2010-08-27,8.6
2010-08-30,8.6
2010-08-31,8.6
2010-09-01,8.6
2010-09-02,8.9
2010-09-03,9.0
2010-09-07,9.0
2010-09-08,8.9
2010-09-09,8.9
2010-09-10,9.3
2010-09-13,9.6
2010-09-14,9.45
2010-09-15,9.45
2010-09-16,9.3
2010-09-17,9.7
2010-09-20,9.85
2010-09-21,9.95
2010-09-22,10.1
2010-09-23,10.05
2010-09-24,10.05
2010-09-27,9.8
2010-09-28,9.8
2010-09-29,9.95
2010-09-30,9.95
2010-10-01,10.25
2010-10-04,10.25
2010-10-05,10.15
2010-10-06,9.75
2010-10-07,9.66
2010-10-08,9.66
2010-10-11,9.4
2010-10-12,9.43
2010-10-13,9.43
2010-10-14,9.6
2010-10-15,9.1
2010-10-18,9.15
2010-10-19,9.51
2010-10-20,9.53
2010-10-21,9.53
2010-10-22,9.53
2010-10-25,9.5
2010-10-26,9.5
2010-10-27,9.11
2010-10-28,9.37
2010-10-29,9.45
2010-11-01,9.45
2010-11-02,9.45
2010-11-03,9.49
2010-11-04,9.37
2010-11-05,9.37
2010-11-08,9.37
2010-11-09,9.37
2010-11-10,9.37
2010-11-11,8.9
2010-11-12,8.86
2010-11-15,8.6
2010-11-16,8.6
2010-11-17,8.8
2010-11-18,8.84
2010-11-19,8.84
2010-11-22,8.96
2010-11-23,8.67
2010-11-24,8.73
2010-11-26,9.0
2010-11-29,9.25
2010-11-30,9.11
2010-12-01,9.13
2010-12-02,9.03
2010-12-03,9.03
2010-12-06,9.03
2010-12-07,9.03
2010-12-08,9.3
2010-12-09,9.3
