Date,SHPG
2012-06-18,89.900002
2012-06-19,91.66999799999999
2012-06-20,91.529999
2012-06-21,90.82
2012-06-22,91.360001
2012-06-25,82.650002
2012-06-26,86.019997
2012-06-27,85.300003
2012-06-28,84.139999
2012-06-29,86.389999
2012-07-02,87.480003
2012-07-03,86.32
2012-07-05,84.239998
2012-07-06,84.82
2012-07-09,85.839996
2012-07-10,85.66999799999999
2012-07-11,86.260002
2012-07-12,86.489998
2012-07-13,87.879997
2012-07-16,87.610001
2012-07-17,88.349998
2012-07-18,88.849998
2012-07-19,90.230003
2012-07-20,89.290001
2012-07-23,87.870003
2012-07-24,87.529999
2012-07-25,87.360001
2012-07-26,89.849998
2012-07-27,91.019997
2012-07-30,89.66999799999999
2012-07-31,86.18
2012-08-01,89.730003
2012-08-02,89.199997
2012-08-03,91.16999799999999
2012-08-06,91.769997
2012-08-07,92.690002
2012-08-08,92.93
2012-08-09,92.639999
2012-08-10,93.050003
2012-08-13,93.389999
2012-08-14,94.029999
2012-08-15,95.050003
2012-08-16,94.650002
2012-08-17,93.43
2012-08-20,92.160004
2012-08-21,93.0
2012-08-22,92.209999
2012-08-23,91.33000200000001
2012-08-24,91.769997
2012-08-27,91.480003
2012-08-28,90.879997
2012-08-29,91.370003
2012-08-30,90.269997
2012-08-31,90.540001
2012-09-04,91.660004
2012-09-05,92.209999
2012-09-06,94.389999
2012-09-07,93.220001
2012-09-10,92.139999
2012-09-11,92.120003
2012-09-12,91.709999
2012-09-13,93.059998
2012-09-14,92.5
2012-09-17,92.58000200000001
2012-09-18,91.199997
2012-09-19,90.510002
2012-09-20,88.440002
2012-09-21,88.5
2012-09-24,89.639999
2012-09-25,88.290001
2012-09-26,87.269997
2012-09-27,87.360001
2012-09-28,88.699997
2012-10-01,88.730003
2012-10-02,87.68
2012-10-03,87.900002
2012-10-04,88.629997
2012-10-05,88.339996
2012-10-08,87.519997
2012-10-09,86.91999799999999
2012-10-10,86.550003
2012-10-11,87.099998
2012-10-12,86.860001
2012-10-15,86.510002
2012-10-16,89.989998
2012-10-17,90.610001
2012-10-18,90.32
2012-10-19,87.889999
2012-10-22,87.519997
2012-10-23,84.459999
2012-10-24,85.059998
2012-10-25,85.730003
2012-10-26,84.58000200000001
2012-10-31,84.389999
2012-11-01,85.33000200000001
2012-11-02,84.650002
2012-11-05,84.599998
2012-11-06,85.5
2012-11-07,84.75
2012-11-08,84.029999
2012-11-09,83.779999
2012-11-12,83.239998
2012-11-13,83.5
2012-11-14,83.07
2012-11-15,82.449997
2012-11-16,82.470001
2012-11-19,82.709999
2012-11-20,84.0
2012-11-21,85.400002
2012-11-23,86.629997
2012-11-26,85.32
2012-11-27,85.660004
2012-11-28,86.029999
2012-11-29,87.360001
2012-11-30,86.629997
2012-12-03,87.08000200000001
2012-12-04,89.260002
2012-12-05,90.400002
2012-12-06,90.400002
2012-12-07,91.18
2012-12-10,92.714996
2012-12-11,92.870003
2012-12-12,93.349998
2012-12-13,93.860001
2012-12-14,93.5
2012-12-17,93.129997
2012-12-18,94.040001
2012-12-19,93.529999
2012-12-20,94.190002
2012-12-21,92.800003
2012-12-24,92.489998
2012-12-26,91.989998
2012-12-27,92.269997
2012-12-28,91.139999
2012-12-31,92.18
2013-01-02,93.214996
2013-01-03,92.739998
2013-01-04,93.5
2013-01-07,92.949997
2013-01-08,95.480003
2013-01-09,96.900002
2013-01-10,97.610001
2013-01-11,98.550003
2013-01-14,98.32
2013-01-15,98.650002
2013-01-16,99.790001
2013-01-17,100.290001
2013-01-18,100.040001
2013-01-22,99.360001
2013-01-23,99.769997
2013-01-24,99.91999799999999
2013-01-25,100.870003
2013-01-28,99.550003
2013-01-29,100.349998
2013-01-30,100.110001
2013-01-31,100.139999
2013-02-01,101.629997
2013-02-04,101.400002
2013-02-05,100.32
2013-02-06,100.790001
2013-02-07,100.059998
2013-02-08,100.120003
2013-02-11,99.41999799999999
2013-02-12,99.349998
2013-02-13,100.370003
2013-02-14,93.68
2013-02-15,95.665001
2013-02-19,95.5
2013-02-20,94.720001
2013-02-21,94.379997
2013-02-22,96.010002
2013-02-25,95.07
2013-02-26,95.349998
2013-02-27,96.099998
2013-02-28,93.660004
2013-03-01,96.290001
2013-03-04,95.199997
2013-03-05,94.860001
2013-03-06,94.699997
2013-03-07,93.66999799999999
2013-03-08,92.0
2013-03-11,91.339996
2013-03-12,91.559998
2013-03-13,91.779999
2013-03-14,93.029999
2013-03-15,92.029999
2013-03-18,90.980003
